A	B	source
MIR138-2	MIR138-2	only_in_union
TUBB2A	TUBB2A	only_in_union
MIR190A	ssc-mir-190a	only_in_union
OCRL	OCRL	only_in_union
RRP7A	RRP7A	only_in_union
KDELR1	KDELR1	only_in_union
CD8B	CD8B	only_in_union
MRPS34	MRPS34	only_in_union
MIR148B	MIR148B	only_in_union
VASP	VASP	only_in_union
MIR29B1	ssc-mir-29b-1	only_in_union
TRPC1	TRPC1	only_in_union
CFAP107	CFAP107	only_in_union
MIR196B	ssc-mir-196b-1	only_in_union
CPT1A	CPT1A	only_in_union
SMAGP	SMAGP	only_in_union
LMBR1L	LMBR1L	only_in_union
KRT72	KRT72	only_in_union
HADHA	HADHA	only_in_union
SNORA49	SNORA49	only_in_union
DUOXA2	DUOXA2	only_in_union
SNORD121B	SNORD121B	only_in_union
ENTPD7	ENTPD7	only_in_union
CCDC38	CCDC38	only_in_union
KDELR3	KDELR3	only_in_union
GMPR2	GMPR2	only_in_union
MIR29C	ssc-mir-29c	only_in_union
MKNK2	MKNK2	only_in_union
KLHL25	KLHL25	only_in_union
LHX1	LHX1	only_in_union
MRPS9	MRPS9	only_in_union
GHSR	GHSR	only_in_union
LUC7L3	LUC7L3	only_in_union
HSP90AA1	HSP90AA1	only_in_union
MIRLET7F1	ssc-let-7f-2	only_in_union
SNORD24	SNORD24	only_in_union
MIR15A	MIR15A	only_in_union
PLEKHG2	PLEKHG2	only_in_union
CD1B	CD1B	only_in_union
GZF1	GZF1	only_in_union
AMDHD1	AMDHD1	only_in_union
TXNDC15	TXNDC15	only_in_union
SNORD98	SNORD98	only_in_union
ARK2C	ARK2C	only_in_union
TVP23A	TVP23A	only_in_union
PPP1R3E	PPP1R3E	only_in_union
SEC61A2	SEC61A2	only_in_union
GCNT3	GCNT3	only_in_union
MSI2	MSI2	only_in_union
TUT4	TUT4	only_in_union
HINT1	HINT1	only_in_union
ACSBG1	ACSBG1	only_in_union
RHOT2	RHOT2	only_in_union
SPMIP8	SPMIP8	only_in_union
