Gene name,Macaque gene name
ND2,ND2
COX1,COX1
COX2,COX2
ATP8,ATP8
ATP6,ATP6
COX3,COX3
ND3,ND3
ND4L,ND4L
ND4,ND4
ND5,ND5
CYTB,CYTB
NFATC2,NFATC2
DYNC1LI2,DYNC1LI2
PHKG2,PHKG2
SLC7A3,SLC7A3
PECAM1,PECAM1
FERMT3,FERMT3
U6,U6
5S_rRNA,5S_rRNA
PHOSPHO1,PHOSPHO1
PIP4K2C,PIP4K2C
SLC5A10,SLC5A10
CGNL1,CGNL1
CNPPD1,CNPPD1
TRRAP,TRRAP
GMPR,GMPR2
CAMSAP2,CAMSAP2
ZFYVE21,ZFYVE21
MIS12,MIS12
AFAP1,AFAP1
MIER3,MIER3
YTHDC1,YTHDC1
SNORD81,SNORD81
SBSN,SBSN
ggo-mir-148b,mml-mir-148b
U6,U6
HESX1,HESX1
Metazoa_SRP,Metazoa_SRP
TLX2,TLX2
U7,U7
GPR84,GPR84
COL5A1,COL5A1
U7,U7
SNORA15,SNORA15
Metazoa_SRP,Metazoa_SRP
TESPA1,TESPA1
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
SCARNA13,SCARNA13
TPD52L3,TPD52L3
Metazoa_SRP,Metazoa_SRP
SLC16A13,SLC16A13
U6,U6
ABHD13,ABHD13
DYRK4,DYRK4
HIP1,HIP1
URB2,URB2
Metazoa_SRP,Metazoa_SRP
HTRA1,HTRA1
REPS2,REPS2
CEMIP2,CEMIP2
GRIPAP1,GRIPAP1
U7,U7
FNDC9,FNDC9
Metazoa_SRP,Metazoa_SRP
PRDM12,PRDM12
SNORD116,SNORD116
ggo-mir-30a,mml-mir-30a
CLEC14A,CLEC14A
ARF1,ARF1
UBQLN2,UBQLN2
MKX,MKX
Metazoa_SRP,Metazoa_SRP
U6,U6
U7,U7
CYP1A2,CYP1A2
HFM1,HFM1
VCPKMT,VCPKMT
SKAP1,SKAP1
SNORD116,SNORD116
KPTN,KPTN
ZNF581,ZNF581
U6,U6
KIF1B,KIF1B
Metazoa_SRP,Metazoa_SRP
SLC9B2,SLC9B2
U6,U6
U7,U7
Metazoa_SRP,Metazoa_SRP
SNORD116,SNORD116
U1,U1
HEYL,HEYL
U6,U6
C1QL1,C1QL1
SHMT2,SHMT2
Metazoa_SRP,Metazoa_SRP
PCDHB4,PCDHB4
MRPL57,MRPL57
U6,U6
U7,U7
BPTF,BPTF
U6,U6
Y_RNA,Y_RNA
RABAC1,RABAC1
SNORD116,SNORD116
TYW1,TYW1
CACNA1F,CACNA1F
GATA5,GATA5
SCARNA1,SCARNA1
ZNF280B,ZNF280B
Metazoa_SRP,Metazoa_SRP
TRIM56,TRIM56
U6,U6
U6,U6
U7,U7
SNORD31,SNORD31
ABCA7,ABCA7
5S_rRNA,5S_rRNA
SNORD116,SNORD116
SNORD31,SNORD31
U7,U7
U6,U6
Metazoa_SRP,Metazoa_SRP
U6,U6
MMP2,MMP2
SCFD1,SCFD1
SMIM31,SMIM31
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
USP48,USP48
MIR519C-1,mml-mir-519a-2
U7,U7
TICRR,TICRR
METTL21EP,METTL21EP
GINS2,GINS2
RNF217,RNF217
Metazoa_SRP,Metazoa_SRP
U1,U1
U6,U6
ARF3,ARF3
U7,U7
ZNF773,ZNF773
TAS2R50,TAS2R50
U7,U7
U6,U6
Metazoa_SRP,Metazoa_SRP
TP53I3,TP53I3
ANTKMT,ANTKMT
EDRF1,EDRF1
SNORD107,SNORD107
ZNF133,ZNF133
U6,U6
SEC24A,SEC24A
SNORD126,SNORD126
MFSD14B,MFSD14B
STRN,STRN
U7,U7
FGFBP1,FGFBP1
Y_RNA,Y_RNA
KCNV2,KCNV2
APCS,APCS
U6,U6
M1AP,M1AP
ZBTB4,ZBTB4
GK5,GK5
U6,U6
SNORD116,SNORD116
Metazoa_SRP,Metazoa_SRP
DNAJC11,DNAJC11
SNORD63,SNORD63
U7,U7
U6,U6
RAD54L,RAD54L
SLC5A9,SLC5A9
MRPL40,MRPL40
MAPK1IP1L,MAPK1IP1L
CYP11A1,CYP11A1
Y_RNA,Y_RNA
UCN,UCN
CTCF,CTCF
SNORD116,SNORD116
COCH,COCH
U6,U6
GNRHR,GNRHR
U1,U1
SNORD70B,SNORD70B
C1orf87,C1H1orf87
COX7A1,COX7A1
DRAP1,DRAP1
Vault,Vault
U6,U6
DEPTOR,DEPTOR
U1,U1
SPATA4,SPATA4
U6,U6
SPIDR,SPIDR
Vault,Vault
PPP1R3B,PPP1R3B
C5AR2,C5AR2
SNORD63,SNORD63
RANBP10,RANBP10
PLEKHF2,PLEKHF2
SLC35D2,SLC35D2
CACNA1I,CACNA1I
CFAP126,CFAP126
ZFPM2,ZFPM2
SNORD116,SNORD116
U6,U6
U7,U7
OR6X1,OR6X1
DHRS3,DHRS3
SMAD3,SMAD3
U6,U6
SOWAHC,SOWAHC
PPP1R1C,PPP1R1C
RFT1,RFT1
MED29,MED29
SNORA12,SNORA12
RASSF2,RASSF2
C3AR1,C3AR1
ZBTB3,ZBTB3
U7,U7
PTAFR,PTAFR
Vault,Vault
U2,U2
U6,U6
Y_RNA,Y_RNA
ECE2,ECE2
OR10A6,OR10A6
U6,U6
PADI6,PADI6
OR13C9,OR13C9
SLC16A1,SLC16A1
Vault,Vault
CNBP,CNBP
STAB1,STAB1
U6,U6
U7,U7
SLC16A4,SLC16A4
U6,U6
U1,U1
STC1,STC1
Vault,Vault
TFF2,TFF2
SMTNL1,SMTNL1
U7,U7
SNURF,SNURF
U6,U6
KLHL10,KLHL10
CIAO3,CIAO3
LCK,LCK
U6,U6
HMX3,HMX3
SNORD116,SNORD116
SNORA47,SNORA47
FGL2,FGL2
KCNE3,KCNE3
ggo-mir-190a,mml-mir-190a
MKRN2,MKRN2
HCRT,HCRT
CDHR1,CDHR1
U6,U6
ATAD5,ATAD5
U1,U1
U6,U6
MIR802,mml-mir-802
SNORD116,SNORD116
Y_RNA,Y_RNA
SNORD97,SNORD97
SNORA2A,SNORA2A
U6,U6
U7,U7
KCNA1,KCNA1
ATL2,ATL2
U2,U2
SNORA61,SNORA61
ORC2,ORC2
SNORA2C,SNORA2C
SNORA84,SNORA84
Y_RNA,Y_RNA
SNORA2B,SNORA2B
SNORD116,SNORD116
U2,U2
Metazoa_SRP,Metazoa_SRP
GYS1,GYS1
U6,U6
Metazoa_SRP,Metazoa_SRP
U6,U6
U6,U6
HRC,HRC
GPRIN3,GPRIN3
U7,U7
MIRLET7A2,mml-let-7a-2
TMEM163,TMEM163
ETV6,ETV6
Y_RNA,Y_RNA
SNORA38,SNORA38
SOHLH1,SOHLH1
MIR640,mml-mir-640
C2CD2,C2CD2
C8orf33,C8H8orf33
U6,U6
Metazoa_SRP,Metazoa_SRP
SNORD116,SNORD116
OR13C8,OR13C8
CIB4,CIB4
NAALADL2,NAALADL2
Y_RNA,Y_RNA
PPP1R3G,PPP1R3G
CLEC1B,CLEC1B
