A	B	source
AF366264	senp1	only_in_union
Oxgr1	p2ry11	only_in_union
Tmem28	nalf2	only_in_union
1700057G04Rik	plscr2	only_in_union
Traj13	astl2g	only_in_union
Tubal3	tuba5	only_in_union
Lyrm4	lyrm4	only_in_union
Smim15	smim15	only_in_union
Brdt	brdt	only_in_union
Tead3	tead4	only_in_union
Poc5	poc5	only_in_union
Pdzph1	plekhg4	only_in_union
Chit1	chit1	only_in_union
Perm1	perm1	only_in_union
Atp5md	atp5mk	only_in_union
Fam193a	selenbp1	only_in_union
Ocm	ocm4.3	only_in_union
Txndc8	XB5961763	only_in_union
Cystm1	cystm1	only_in_union
Flt1	flt1	only_in_union
Kdm5c	kdm5c	only_in_union
Dcaf4	dcaf4	only_in_union
Cdkn1c	cfap44	only_in_union
Chia1	XB5763442	only_in_union
Naip6	naip	only_in_union
Exo1	XB5992703	only_in_union
Hprt	prtfdc1	only_in_union
Cd209d	clec4e	only_in_union
Tlr4	tlr3	only_in_union
Ubtf	ubtf	only_in_union
Zfp772	znf347	only_in_union
Trim21	MGC147490	only_in_union
Pex7	pex7	only_in_union
Edaradd	edaradd	only_in_union
Meikin	palb2	only_in_union
Gm17783	nectin1l1	only_in_union
Hoxa13	hoxa13	only_in_union
Ovol3	ovol1	only_in_union
Reg3a	reg1b	only_in_union
1520401A03Rik	eln2	only_in_union
Cyp2d11	cyp2d6	only_in_union
Nmral1	nmral1	only_in_union
H2-Eb2	XB5827395	only_in_union
Krt5	krt61	only_in_union
Trim31	XB5729975	only_in_union
Zscan4-ps1	znf81	only_in_union
Fgf13	fgf13	only_in_union
Lexm	cimap2	only_in_union
Ddi2	ddi2	only_in_union
Ehmt1	kmt2b	only_in_union
1700129C05Rik	spmip8	only_in_union
Hexdc	hexd	only_in_union
Foxf2	foxf2	only_in_union
Rbmxl1	rbmx	only_in_union
Tm4sf5	XB5845012	only_in_union
Cysltr2	XB5844514	only_in_union
Zfp235	znf84-like	only_in_union
Sall2	sall2	only_in_union
Vmn2r128	v2ra1	only_in_union
Fxyd4	fxyd3	only_in_union
Nkx3-1	nkx3-1	only_in_union
Ccdc117	XB5884357	only_in_union
Styxl1	styxl1	only_in_union
Foxa3	foxa4	only_in_union
Rex2	XB5924310	only_in_union
Arid5b	arid5b	only_in_union
Card19	card19	only_in_union
Zp1	zp4.2	only_in_union
Hs3st3b1	hs3st3a1	only_in_union
Dkk2	dkk2	only_in_union
B230217C12Rik	LASP1NB	only_in_union
Grcc10	c7h12orf57	only_in_union
Pzp	a2m	only_in_union
Ifitm7	ifitm1	only_in_union
Cops9	cops9	only_in_union
Olfr727	or4e2	only_in_union
Tmem167b	tmem167b	only_in_union
Necap1	necap2	only_in_union
Btbd16	btbd17	only_in_union
Ccl22	ccl5	only_in_union
Ssu2	XB5956430	only_in_union
Zbbx	zbbx	only_in_union
Tns2	tns2	only_in_union
Ccdc63	ccdc63	only_in_union
Gm4125	thibz	only_in_union
Plvap	plvap	only_in_union
Pifo	pifo	only_in_union
Lcor	lcor	only_in_union
Psmg4	psmg4	only_in_union
Nkx2-3	nkx2-3	only_in_union
Cxcl1	cxcl8a.2	only_in_union
Fetub	MGC69493	only_in_union
Gm44596	nrip3	only_in_union
Dpy19l2	PIGZ	only_in_union
Magoh	magoh	only_in_union
Trappc6b	trappc6a	only_in_union
Gm42688	exoc3l1	only_in_union
Cfhr1	svep1l	only_in_union
Nfam1	XB5720005	only_in_union
Vmn1r85	vn1r1	only_in_union
Serpina3k	serpina3	only_in_union
Cd22	cd22	only_in_union
Art3	XB5799088	only_in_union
Wfdc5	XB22169518	only_in_union
Apool	apool	only_in_union
Rac3	rac3	only_in_union
Muc4	tmprss11a	only_in_union
Cd68	lamp3	only_in_union
Dkk1	dkk1	only_in_union
Sun5	sun3l	only_in_union
Sftpd	mbl2	only_in_union
Hsf3	hsf2.2	only_in_union
Vnn1	vnn2	only_in_union
1700010I14Rik	c5h6orf118	only_in_union
Btnl6	XB22063306	only_in_union
Fcgbp	fcgbp	only_in_union
Rnase9	nog2	only_in_union
Trim65	trim25l	only_in_union
Pnma3	arc	only_in_union
Ibsp	ibsp	only_in_union
Mrpl55	mrpl55	only_in_union
Cetn2	cetn2	only_in_union
Btbd11	abtb3	only_in_union
Tnfrsf26	ltbr	only_in_union
Tlr1	tlr6	only_in_union
Dcbld1	dcbld1	only_in_union
Slc34a1	slc34a3	only_in_union
Gal3st2c	gal3st4.1	only_in_union
Lgi3	lgi4	only_in_union
Gm13941	ehbp1l1	only_in_union
Hnrnpa1	hnrnpa1	only_in_union
Prr29	prr29	only_in_union
Cfc1	tdgf1.1	only_in_union
Krt15	krt15.2	only_in_union
Gdpd4	gdpd4	only_in_union
Hdgfl2	hdgfl2	only_in_union
Sh3gl2	sh3gl2	only_in_union
Gnai3	gnai3	only_in_union
Itgal	itga10	only_in_union
G6pc	g6pc1	only_in_union
Xcr1	ccr3	only_in_union
Art4	XB5918646	only_in_union
Olfr521	or30a1	only_in_union
Defb22	tmprss4	only_in_union
Prl8a2	gh2	only_in_union
Odf3b	cimap1a	only_in_union
Tmem102	tmem102	only_in_union
Resf1	c15orf39	only_in_union
Cd7	MGC147231	only_in_union
Zfp352	XB22065601	only_in_union
9130409I23Rik	degs3	only_in_union
P2ry6	serpinh1	only_in_union
Capza3	med1l	only_in_union
2510009E07Rik	c9h3orf70	only_in_union
St6gal1	abo2	only_in_union
Micos10	micos10	only_in_union
Ltbp2	ltbp4	only_in_union
Nes	nes	only_in_union
Syngr1	syngr2	only_in_union
Capn11	capn8.3	only_in_union
Cyp2a12	cyp2g1	only_in_union
Stx17	tsnare1	only_in_union
Olfr1150-ps1	or5i1	only_in_union
Pon1	pon2	only_in_union
Cyp2c67	cyp2a6.9	only_in_union
Siglece	XB5961956	only_in_union
Dgat2l6	dgat2l6	only_in_union
Mreg	mreg	only_in_union
Rcvrn	rcvrn	only_in_union
Dohh	dohh	only_in_union
Kcnj11	kcnj11	only_in_union
Tmem14c	tmem14a	only_in_union
Dynll1	dynll1	only_in_union
Slc16a11	slc16a13	only_in_union
Trim59	trim59	only_in_union
