A	B	source
ZNF175	Zfp369	only_in_union
EIF1	Zfp706	only_in_union
RPL26	Rpl26	only_in_union
H3C8	H3c1	only_in_union
DYNLT2	Dynlt2a1	only_in_union
OR5T3	Olfr1094	only_in_union
CLDN3	Fam189b	only_in_union
CCDC178	Ccdc175	only_in_union
CCL8	Ccl12	only_in_union
TRIM5	Trim34b	only_in_union
OR10P1	Olfr796	only_in_union
ZNF184	Zfp607b	only_in_union
RIGI	Ddx58	only_in_union
DEFB126	Defb22	only_in_union
ZNF81	A430033K04Rik	only_in_union
HLA-DMB	H2-DMb1	only_in_union
ZNF124	Zfp58	only_in_union
DEFA6	Defa5	only_in_union
APOL2	Apol10b	only_in_union
OR8K1	Olfr1046	only_in_union
CASZ1	Casz1	only_in_union
OR11H4	Olfr749	only_in_union
KRTAP10-7	Gm9736	only_in_union
ERVK3-1	Erv3	only_in_union
IGSF5	Igsf5	only_in_union
ZNF343	Zfp869	only_in_union
LY6K	Gml	only_in_union
PITPNC1	Pitpnc1	only_in_union
H2BC12	H2bc4	only_in_union
PRR20G	Spem2	only_in_union
ZNF41	Zfp53	only_in_union
DNAJC19	Dnajc19	only_in_union
ZNF789	Zfp563	only_in_union
ST13	Get3	only_in_union
TRAJ38	Traj38	only_in_union
NCR2	Treml4	only_in_union
ZNF726	Zfp457	only_in_union
PAGR1	Gm42742	only_in_union
TCHP	Tchp	only_in_union
ERVW-1	BC035947	only_in_union
CHI3L2	Chil6	only_in_union
PF4V1	Pf4	only_in_union
CYP2A26	Cyp2a5	only_in_union
SPCS3	Spcs3	only_in_union
RABEP1	Rabep1	only_in_union
ZNF596	Zfp951	only_in_union
TMIGD2	Pdcd1	only_in_union
KLK2	Klk1b1	only_in_union
ZNF701	Zfp386	only_in_union
HTR1D	Htr1d	only_in_union
N4BP2L2	N4bp2	only_in_union
ZNF670	Zfp964	only_in_union
RPS27	Rps27rt	only_in_union
MICAL2	Micall1	only_in_union
CD300C	Cd300c	only_in_union
ZNF267	Zfp788	only_in_union
TTC24	Ttc24	only_in_union
APBA2	Apba1	only_in_union
ZNF382	Zfp300	only_in_union
OR10R2	Olfr1408	only_in_union
SPIN3	Spin2c	only_in_union
DUXB	Obox3	only_in_union
FCRL3	Fcrl5	only_in_union
ZNF764	Zfp764	only_in_union
SERPINA1	Serpina1c	only_in_union
CIMAP3	Pifo	only_in_union
ZNF581	Zfp580	only_in_union
OR3A2	Olfr401	only_in_union
OR10Q1	Olfr1494	only_in_union
DEFB121	Defb45	only_in_union
ZNF888	Zfp942	only_in_union
SELENOH	Selenoh	only_in_union
NLRP9	Nlrp4e	only_in_union
FUT3	Fut4	only_in_union
APELA	Apela	only_in_union
OR14J1	Olfr125	only_in_union
S100P	S100z	only_in_union
ZNF224	Zfp111	only_in_union
ZNF93	Zfp677	only_in_union
EOMES	Tbr1	only_in_union
OR2B3	Olfr136	only_in_union
PYURF	Pyurf	only_in_union
UBE2L5	Ube2l3	only_in_union
DEFB136	Defb7	only_in_union
TESMIN	Pprc1	only_in_union
EDDM13	Epp13	only_in_union
CLEC17A	Cd209f	only_in_union
OR52K1	Olfr552	only_in_union
CDRT4	Tex43	only_in_union
OR10K2	Olfr370	only_in_union
SRP54	Srp54c	only_in_union
C2orf15	Ahctf1	only_in_union
CIST1	Gypa	only_in_union
ZNF560	Zfp119a	only_in_union
SPCS2	Spcs2	only_in_union
SPATA13	Arhgef4	only_in_union
CYP2C18	Cyp2c65	only_in_union
ANKRD26	Ankrd26	only_in_union
BTBD1	Ppid	only_in_union
ZBED2	Zbed3	only_in_union
C2orf73	4930505A04Rik	only_in_union
IFI27	Ifi27l2a	only_in_union
SLC6A14	Slc6a14	only_in_union
LIAT1	Gm10717	only_in_union
OR2W1	Olfr263	only_in_union
CCL13	Ccl5	only_in_union
C6orf136	Atat1	only_in_union
MAP4	Map4	only_in_union
BEND2	Ifi208	only_in_union
ZNF311	Zfp92	only_in_union
IGLV8-61	Iglv1	only_in_union
PISD	Gm20671	only_in_union
ADIRF	Fam25c	only_in_union
FUNDC2	1700034I23Rik	only_in_union
NSUN4	Uqcrh	only_in_union
PRAME	Pramel37	only_in_union
OR4S2	Olfr1191-ps1	only_in_union
BET1	Bet1	only_in_union
SFT2D1	Gm12166	only_in_union
MYL12A	Gm49909	only_in_union
PAGE3	Gm5901	only_in_union
EPPIN	Wfdc6a	only_in_union
APOL6	Apol7e	only_in_union
EFCAB7	Pgm1	only_in_union
CD200R1	Cd200r4	only_in_union
TAS2R5	Vmn1r65	only_in_union
OR6C74	Olfr821	only_in_union
OAS1	Oas1a	only_in_union
C7orf33	Tepp	only_in_union
HOOK3	Fnta	only_in_union
OR2J3	Olfr1367	only_in_union
CD55	Cd55b	only_in_union
SHCBP1	Shcbp1l	only_in_union
ZFP57	Zfp641	only_in_union
GOLGA2	Golga2	only_in_union
SDHC	Sdhc	only_in_union
ZNF493	Platr25	only_in_union
ZNF584	Zfp747	only_in_union
KRTAP1-4	Krtap9-3	only_in_union
ZNF846	Zfp493	only_in_union
TRAV41	Trav13n-4	only_in_union
ZNF10	Zfp599	only_in_union
S100A2	S100a6	only_in_union
ZNF100	Zfp989	only_in_union
IGLV5-52	Vpreb2	only_in_union
A2ML1	Gm7298	only_in_union
CLEC4A	Clec4a4	only_in_union
CD209	Cd209b	only_in_union
PCDHB8	Pcdhb16	only_in_union
JAML	Jaml	only_in_union
PBLD	Pbld2	only_in_union
SPATA31G1	4930407I10Rik	only_in_union
IL10RB	Gm21970	only_in_union
RNASE12	Rnase10	only_in_union
CTSL	Ctsl	only_in_union
RNASE8	Ear6	only_in_union
ZNF862	Zbed6	only_in_union
AZU1	Elane	only_in_union
FTHL17	Fthl17b	only_in_union
FBXW12	Fbxw19	only_in_union
ZNF484	Zfp119b	only_in_union
ND1	mt-Nd1	only_in_union
OR13C4	Olfr273	only_in_union
BEX5	Bex3	only_in_union
H2AC8	H2ac11	only_in_union
OR1E1	Olfr376	only_in_union
DEFB132	Defb21	only_in_union
H3-3A	H3f3a	only_in_union
ASMT	Asmt	only_in_union
TSTD3	Tstd3	only_in_union
ZNF700	Zfp619	only_in_union
ZNF84	Zfp74	only_in_union
ND6	mt-Nd6	only_in_union
ENTREP2	Fam189a1	only_in_union
TSLP	Scgb2b2	only_in_union
PI3	Wap	only_in_union
OR4N5	Olfr722	only_in_union
ZNF567	Zfp947	only_in_union
ZNF419	Zfp568	only_in_union
SERPINA2	Serpina1b	only_in_union
TEX48	Spi1	only_in_union
OR6K3	Olfr424	only_in_union
TRBV9	Trbv12-1	only_in_union
OR10A7	Olfr1126	only_in_union
OR4A47	Olfr1256	only_in_union
LBHD2	Lbhd2	only_in_union
TTLL5	Ttll5	only_in_union
RXFP3	Rxfp3	only_in_union
CR2	C4bp	only_in_union
ZNF551	Zfp846	only_in_union
OLFML1	Olfm5	only_in_union
TRBV25-1	Trbv13-1	only_in_union
TMEM265	Tmem265	only_in_union
OR7E24	Olfr18	only_in_union
ZGRF1	Zgrf1	only_in_union
EMC9	Gm42421	only_in_union
C4BPB	Zp3r	only_in_union
ZNF283	Zfp40	only_in_union
DEFB114	Defb39	only_in_union
NLRP13	Nlrp9a	only_in_union
XAGE2	Gm20715	only_in_union
C16orf96	Qrich2	only_in_union
MATCAP2	9530077C05Rik	only_in_union
KRTAP10-11	Gm3285	only_in_union
AKR1C1	Akr1c20	only_in_union
GNRH2	Nmb	only_in_union
TRAV2	Trav14n-3	only_in_union
OR6C75	Olfr790	only_in_union
PTEN	Pten	only_in_union
RNASE7	Rnase2b	only_in_union
ZNF527	Zfp383	only_in_union
IGLV9-49	Igkv9-123	only_in_union
ZNF101	BC025920	only_in_union
SPG11	Spg11	only_in_union
DCAF12L1	Dcaf12l2	only_in_union
CCL2	Ccl25	only_in_union
SIGLECL1	Gm11437	only_in_union
CHODL	Chodl	only_in_union
CYP4F57	Cyp4f40	only_in_union
TRAJ18	Traj18	only_in_union
OR6C1	Olfr802	only_in_union
MMP10	Mmp10	only_in_union
ZNF14	AU041133	only_in_union
BTN2A1	Btn2a2	only_in_union
GPR32	Fpr-rs3	only_in_union
WBP11	Wbp11	only_in_union
PASD1	Gm1141	only_in_union
OR2M4	Olfr164	only_in_union
CLDN24	Cldn24	only_in_union
IGLV3-9	Igkv4-58	only_in_union
ZNF34	Zfp94	only_in_union
GPX5	Gpx5	only_in_union
ADPRHL1	Klhdc7b	only_in_union
ZFYVE16	Zfyve16	only_in_union
ATP8	mt-Atp8	only_in_union
NLRP4	Nlrp4c	only_in_union
ZRSR2	Zrsr1	only_in_union
KGD4	Mrps36	only_in_union
SULT1C4	Sult1c1	only_in_union
ZNF681	Zfp729b	only_in_union
TRAV16	Trav6n-6	only_in_union
SPATA33	1190005I06Rik	only_in_union
REG1B	Reg1	only_in_union
C17orf75	5730455P16Rik	only_in_union
CR1	Gm5155	only_in_union
IK	Ik	only_in_union
OR2V1	Olfr56	only_in_union
PHB2	Phb2	only_in_union
TAS2R9	Tas2r131	only_in_union
NLRP8	Nlrp1b	only_in_union
LGALS1	Gm5065	only_in_union
TEX13A	Tex13a	only_in_union
TTC27	Ighd4-1	only_in_union
ZFTRAF1	Cyhr1	only_in_union
ZNF490	Zfp872	only_in_union
ZNF580	Zfp219	only_in_union
ZNF3	Zfp472	only_in_union
HSD3B2	Hsd3b2	only_in_union
OR6Q1	Olfr1321	only_in_union
DAPK2	Dapk3	only_in_union
CXorf66	Tex16	only_in_union
SIRPB2	Gm9733	only_in_union
PROC	Proc	only_in_union
OR8I2	Olfr1104	only_in_union
TRAV3	Trav9-4	only_in_union
ARGFX	Nanog	only_in_union
TCL1A	Tcl1b2	only_in_union
FAM9C	Gm5935	only_in_union
OR2C3	Olfr1361	only_in_union
KLRF1	Klrb1b	only_in_union
OR9I1	Olfr1502	only_in_union
CD68	Cd68	only_in_union
CSNKA2IP	4932415D10Rik	only_in_union
OR6T1	Olfr212	only_in_union
SH2D1B	Sh2d1b1	only_in_union
ZNF554	Zfp114	only_in_union
PSMA6	Psma6	only_in_union
TRIM61	Trim60	only_in_union
FAM9B	Akap17b	only_in_union
OR4K13	Olfr726	only_in_union
PTPRH	Ptprh	only_in_union
ADAM19	Adam19	only_in_union
MTDH	Mtdh	only_in_union
ZNF132	Gm6871	only_in_union
DUXA	Duxbl1	only_in_union
ZNF177	Zfp738	only_in_union
SPATA31F3	Fam205c	only_in_union
