human gene name,pig gene name
MIR124-3,MIR124-3
MIR219A2,MIR219A2
ZNHIT1,ZNHIT1
RPS21,RPS21
TMEM47,TMEM47
MIR19A,ssc-mir-19a
MIR1-2,MIR1-2
SMARCB1,SMARCB1
RPS20,RPS20
MIR106B,MIR106B
UBE2R2,UBE2R2
DCTN5,DCTN5
RRAGA,RRAGA
EIF5A2,EIF5A2
LSM4,LSM4
LSM2,LSM2
CAMK2N2,CAMK2N2
GNB4,GNB4
FAM168B,FAM168B
NCS1,NCS1
SUMO2,SUMO2
TMEM167B,TMEM167B
PPP1CA,PPP1CA
STEEP1,STEEP1
FBXW11,FBXW11
HNRNPH3,HNRNPH3
CAMK2N1,CAMK2N1
DYNLL1,DYNLL1
PSMC2,PSMC2
CTXN1,CTXN1
RHOQ,RHOQ
PABPN1,PABPN1
TLE5,TLE5
ARPP19,ARPP19
RPS11,RPS11
GPR173,GPR173
PPP2CB,PPP2CB
RPL23A,RPL23A
TRAPPC6B,TRAPPC6B
H2AC17,H2AC17
GRB2,GRB2
TMEM258,TMEM258
PPP6C,PPP6C
RPS28,RPS28
BTF3L4,BTF3L4
PAFAH1B2,PAFAH1B2
ACTB,ACTB
NCALD,NCALD
MYL12B,MYL12B
MIR421,ssc-mir-421
UBB,UBB
LAMTOR5,LAMTOR5
H3C7,H3C4
RPS14,RPS14
RACK1,RACK1
ANAPC13,ANAPC13
GET3,GET3
CFL2,CFL2
RHOB,RHOB
RPL37,RPL37
SHOC2,SHOC2
TUBB,TUBB
ATAD1,ATAD1
ENY2,ENY2
RPL36,RPL36
GNAI1,GNAI1
RAP1B,RAP1B
BRMS1L,BRMS1L
ARL5A,ARL5A
MOB1A,MOB1A
UBE2H,UBE2H
ABHD17B,ABHD17B
ARF6,ARF6
UBE2E3,UBE2E3
PPP4C,PPP4C
RAB11A,RAB11A
SPOP,SPOP
MIRLET7F2,ssc-let-7f-1
DLX3,DLX3
PRPF38A,PRPF38A
AP1S2,AP1S2
MOSMO,MOSMO
S100A10,S100A10
ETF1,ETF1
H2AC12,H2AC12
RHOA,RHOA
PPIL1,PPIL1
TMA7,TMA7
MIR190A,ssc-mir-190a
SMU1,SMU1
H2AC20,H2AC20
H2AC21,H2AC21
RPS27L,RPS27L
NEUROD6,NEUROD6
H2AZ2,H2AZ2
SNRPE,SNRPE
MEMO1,MEMO1
TIMM10,TIMM10
LSM12,LSM12
H2AC6,H2AC6
RPS3A,RPS3A
U2AF2,U2AF2
PSMC5,PSMC5
MIR3115,MIR3115
DNAJA1,DNAJA1
BLCAP,BLCAP
CNOT8,CNOT8
GNB2,GNB2
UFC1,UFC1
MAP2K1,MAP2K1
CGGBP1,CGGBP1
GABARAP,GABARAP
PELI1,PELI1
H2BC18,H2BC18
SEC61A1,SEC61A1
LRRC3B,LRRC3B
MIR124-1,ssc-mir-124a-2
GMFB,GMFB
MIR153-2,ssc-mir-153
TRNAU1AP,TRNAU1AP
NKIRAS2,NKIRAS2
ZNF664,ZNF664
CKS1B,CKS1B
HOXB8,HOXB8
OTP,OTP
SEC11A,SEC11A
RPS18,RPS18
RPS23,RPS23
H3C15,H3C15
RPL26L1,RPL26L1
USP46,USP46
H2BC5,H2BC5
RBM8A,RBM8A
MTURN,MTURN
GNG5,GNG5
SERP1,SERP1
PPP2CA,PPP2CA
CBX5,CBX5
CKS2,CKS2
CACNG7,CACNG7
PSMA6,PSMA6
UBE2B,UBE2B
BUD31,BUD31
SF3B5,SF3B5
RPS25,RPS25
FAM78B,FAM78B
MIR29C,ssc-mir-29c
CDC73,CDC73
PRPF8,PRPF8
NLK,NLK
SUB1,SUB1
RPL23,RPL23
CHIC2,CHIC2
PPIL3,PPIL3
MIR135A2,ssc-mir-135-2
RAC3,RAC3
CDC42SE1,CDC42SE1
SMAD5,SMAD5
UBLCP1,UBLCP1
ERH,ERH
