human gene name,chimpanzee gene name
CAB39L,CAB39L
CRYL1,CRYL1
KPNA3,KPNA3
SCAF4,SCAF4
CXADR,CXADR
RNU6-521P,U6
MT-TE,MT-TE
MT-TA,MT-TA
Y_RNA,Y_RNA
MZT1,MZT1
LHFPL6,LHFPL6
MIR3121,MIR3121
MIR3197,MIR3197
TMEM47,TMEM47
DOK5,DOK5
UPB1,UPB1
CST3,CST3
SNRPD3,SNRPD3
GID8,GID8
HCCS,HCCS
MIR5583-2,MIR5583-2
MIR4743,MIR4743
ABHD13,ABHD13
EIF2S2,EIF2S2
SRPX,SRPX
MIR4760,MIR4760
SYNDIG1,SYNDIG1
STOML3,STOML3
ZBTB14,ZBTB14
MAPK1,MAPK1
DOK6,DOK6
MIR3929,MIR3929
MIR4499,MIR4499
MIR2276,MIR2276
FOXO1,FOXO1
DEFB129,DEFB129
PKNOX1,PKNOX1
CDADC1,CDADC1
SOX1,SOX1
DNAL4,DNAL4
GJB2,GJB2
CBX6,CBX6
KBTBD7,KBTBD7
MTRF1,MTRF1
C15orf62,C15H15orf62
MIR3200,MIR3200
SPRED1,SPRED1
SIX6,SIX6
RPS19BP1,RPS19BP1
ADRM1,ADRM1
KIN,KIN
TRIM35,TRIM35
MIR5006,MIR5006
HMBOX1,HMBOX1
SIX1,SIX1
CBLN4,CBLN4
MED4,MED4
SLC25A6,SLC25A6
TCEA2,TCEA2
MIR4744,MIR4744
PSIP1,PSIP1
STYX,STYX
DHX15,DHX15
PCP4,PCP4
DSCAM,DSCAM
SNORA31,SNORA31
RTCB,RTCB
YWHAH,YWHAH
ASPHD2,ASPHD2
TEX30,TEX30
PCMTD1,PCMTD1
SH3GL2,SH3GL2
BNIP3L,BNIP3L
MIR1-1,ptr-mir-1-1
MIR6070,MIR6070
LDB2,LDB2
PIP4K2A,PIP4K2A
SLTM,SLTM
UBE2G2,UBE2G2
EGLN3,EGLN3
PFKL,PFKL
CLCN5,CLCN5
DUSP26,DUSP26
MIR298,ptr-mir-298
PTCHD1,PTCHD1
ATP5F1C,ATP5F1C
IER3IP1,IER3IP1
EGR3,EGR3
RHOJ,RHOJ
NFX1,NFX1
SNORA50B,SNORA50B
MIR4703,MIR4703
GPR18,GPR18
RGCC,RGCC
STC1,STC1
LSM14B,LSM14B
MIR4527,MIR4527
PIAS2,PIAS2
SGCZ,SGCZ
RIMKLB,RIMKLB
SRSF5,SRSF5
GFOD1,GFOD1
FBXL3,FBXL3
IFT52,IFT52
MAGEH1,MAGEH1
TRIM27,TRIM27
RAB8B,RAB8B
UBE2D1,UBE2D1
GNAQ,GNAQ
PHF5A,PHF5A
COMMD8,COMMD8
PSAT1,PSAT1
POLR3H,POLR3H
MSX1,MSX1
S100G,S100G
MIR3198-1,MIR3198-1
MED10,MED10
NRSN1,NRSN1
VPS36,VPS36
PMM1,PMM1
GPHB5,GPHB5
PDS5B,PDS5B
MNAT1,MNAT1
DPYSL2,DPYSL2
APH1B,APH1B
FRMD5,FRMD5
CA8,CA8
NDUFA4,NDUFA4
RNF122,RNF122
FBXL7,FBXL7
HS3ST2,HS3ST2
GSX1,GSX1
POLR1D,POLR1D
NXPH1,NXPH1
CDH10,CDH10
NPTN,NPTN
ONECUT2,ONECUT2
SNU13,SNU13
GNA15,GNA15
KLF8,KLF8
ZFAND5,ZFAND5
EEF1E1,EEF1E1
PKIG,PKIG
TLDC2,TLDC2
FGF16,FGF16
NAA35,NAA35
OSTF1,OSTF1
GALNT18,GALNT18
MIR4529,MIR4529
OTOR,OTOR
FOXB1,FOXB1
GCHFR,GCHFR
GMDS,GMDS
SPTSSA,SPTSSA
ATP8A2,ATP8A2
PAX5,PAX5
FITM2,FITM2
RCBTB1,RCBTB1
SNORA108,SNORD28
RTRAF,RTRAF
ARMC1,ARMC1
NMT2,NMT2
BARX1,BARX1
SYNDIG1L,SYNDIG1L
KCTD8,KCTD8
FGF9,FGF9
MYL9,MYL9
SSTR1,SSTR1
MIR3618,MIR3618
MIR1306,ptr-mir-1306
CRK,CRK
FST,FST
XRCC6,XRCC6
GABRB1,GABRB1
MIR124-3,MIR124-3
SNORD27,SNORD27
PABPC5,PABPC5
GDAP1L1,GDAP1L1
NHLRC1,NHLRC1
SOX4,SOX4
ID4,ID4
GNG7,GNG7
RELL1,RELL1
DESI1,DESI1
LYN,LYN
ARIH1,ARIH1
FUT8,FUT8
RRAS2,RRAS2
XK,XK
SP4,SP4
STK38L,STK38L
KLHL7,KLHL7
CCDC85C,CCDC85C
LIN54,LIN54
ANXA11,ANXA11
AP2B1,AP2B1
MIR548X2,MIR548X2
SH3BGRL,SH3BGRL
RAB3C,RAB3C
BBOX1,BBOX1
LMX1B,LMX1B
GSG1L,GSG1L
MMP24,MMP24
FEM1B,FEM1B
WNT7A,WNT7A
NXN,NXN
MYDGF,MYDGF
PSMC1,PSMC1
BCL2L1,BCL2L1
IGF2BP3,IGF2BP3
VAV1,VAV1
SDAD1,SDAD1
MIR185,ptr-mir-185
MIR1825,ptr-mir-1825
MAPRE1,MAPRE1
ISL1,ISL1
CLVS1,CLVS1
CELF5,CELF5
BCL2,BCL2
SPIN4,SPIN4
PRDM14,PRDM14
KDSR,KDSR
FABP5,FABP5
PLPPR1,PLPPR1
SDHAF4,SDHAF4
TMEM117,TMEM117
MRPL1,MRPL1
PSMA4,PSMA4
DNAJC24,DNAJC24
POU3F4,POU3F4
SAP18,SAP18
MAP2K5,MAP2K5
TRIM44,TRIM44
KLF3,KLF3
GNA11,GNA11
ENOX1,ENOX1
MIR4319,MIR4319
MIR4526,MIR4526
FAM210A,FAM210A
PAQR8,PAQR8
H2AZ1,H2AZ1
PLCL2,PLCL2
NBDY,NBDY
TGIF2,TGIF2
DYNC1LI1,DYNC1LI1
EDA,EDA
SOD1,SOD1
MRPS26,MRPS26
PCNA,PCNA
SPIN1,SPIN1
MTCP1,MTCP1
CDK8,CDK8
MIR33A,ptr-mir-33a
THAP2,THAP2
RNU7-167P,U7
SLC16A7,SLC16A7
GSKIP,GSKIP
COMMD7,COMMD7
EEF1G,EEF1G
STOM,STOM
RPL30,RPL30
LRRC4C,LRRC4C
BDH2,BDH2
MARCHF5,MARCHF5
HHEX,HHEX
PSMD10,PSMD10
BRINP1,BRINP1
CKMT2,CKMT2
SNX5,SNX5
TSPAN18,TSPAN18
POLR2K,POLR2K
PPA2,PPA2
CYB5R4,CYB5R4
NCBP1,NCBP1
SVIP,SVIP
MIR1286,ptr-mir-1286
NAPG,NAPG
RPS6KA5,RPS6KA5
PET117,PET117
CCL17,CCL17
HSPH1,HSPH1
LRATD1,LRATD1
MED27,MED27
TMEM51,TMEM51
LDLRAD3,LDLRAD3
TOP1,TOP1
ARPC5L,ARPC5L
COA3,COA3
ROMO1,ROMO1
RBM39,RBM39
KRTAP20-3,KRTAP20-3
MIR99A,ptr-mir-99a
MIRLET7C,ptr-let-7c
MIR125B2,ptr-mir-125b-2
WDR44,WDR44
CFAP20,CFAP20
TMEM50B,TMEM50B
MIR6820,MIR6820
GNAI2,GNAI2
CHRNB3,CHRNB3
MAPKAP1,MAPKAP1
PPM1H,PPM1H
EIF6,EIF6
CDC16,CDC16
PEX14,PEX14
ITM2A,ITM2A
ZNF706,ZNF706
MYL12B,MYL12B
MAPK11,MAPK11
YWHAZ,YWHAZ
RNF138,RNF138
LYZL1,LYZL1
CRABP1,CRABP1
F10,F10
YPEL1,YPEL1
EFCAB11,EFCAB11
KCTD6,KCTD6
NDUFS4,NDUFS4
CUL4A,CUL4A
VTA1,VTA1
POLR2C,POLR2C
RMDN3,RMDN3
MIR4708,MIR4708
DDTL,DDTL
DAD1,DAD1
CTSZ,CTSZ
RBMS3,RBMS3
GOLPH3,GOLPH3
CA10,CA10
ARMH3,ARMH3
VOPP1,VOPP1
BTG1,BTG1
VSNL1,VSNL1
KRTAP19-5,KRTAP19-5
KRTAP22-2,KRTAP22-2
KRTAP20-4,KRTAP20-4
CACNG2,CACNG2
LARGE1,LARGE1
TRIQK,TRIQK
KLHL26,KLHL26
