zebrafish gene name,frog gene name,correlation
phf5a,phf5a,1.0000017
si:dkey-261m9.13,h4c1,1.0000011
ppp6c,ppp6c,1.0000004
hist2h3c,h3c14,1.0000002
mosmoa,mosmo,0.9999995
ppp3r1b,ppp3r1,0.9999986
h3f3b.1,h3-3a,0.999998
acta1a,mgc75582,0.9998953
ubc,ubc,0.9998338
ypel5,ypel5,0.99973434
csnk2b,csnk2b,0.9996533
polr2l,polr2l.2,0.99954015
dcaf7,dcaf7,0.99950576
uba52,uba52,0.99949974
snrpd2,snrpd2,0.99941367
erh,erh,0.9993978
rab14l,rab14,0.99938506
tuba1a,tuba1b,0.99935037
rpl23,rpl23,0.99931085
sec61a1a,sec61a1,0.99912506
ube2al,ube2a,0.9990028
psmd14,psmd14,0.9989412
rps23,rps23,0.99886984
usp9,usp9x,0.9988492
ap2m1b,ap2m1,0.99881643
ago3a,ago3,0.9987611
prpf8,prpf8,0.9987387
cltca,cltc,0.9987266
ncalda,ncald,0.9986961
actc1a,acta2,0.99866825
ago4,ago4,0.99866474
spop,spop,0.99855113
actr2a,actr2,0.9985397
si:ch211-114n24.6,tuba1cl.3,0.99853957
hist2h2l,h2bc11,0.9985355
txnl4a,txnl4a,0.9985073
eloca,eloc,0.99848396
mab21l1,mab21l1,0.9984259
rps29,rps29,0.9983968
polr2a,polr2a,0.99838346
fbxo11b,fbxo11,0.9983829
ypel2b,ypel2,0.9983443
ctnnb1,ctnnb1,0.99829376
copb1,copb1,0.9982514
eif1axb,eif1ax,0.9982478
mob1ba,mob1b,0.9981893
ago1,ago1,0.9981244
gnaz,gnaz,0.9980696
med23,med23,0.9979926
ldb1b,ldb1,0.99798036
arpc4,arpc4,0.9979375
cfap20,cfap20,0.99792856
cul3a,cul3,0.99790496
DYNC1H1,dync1h1,0.9978793
chmp2a,chmp2a,0.9978395
ywhag1,ywhag,0.9977838
sf3b3,sf3b3,0.99777395
gnai1,gnai1,0.99777323
tuba8l5,tuba5,0.9977722
rps15a,rps15a,0.9977656
sec61g,sec61g,0.9977485
sec11a,sec11a,0.99774283
calm1b,calm1,0.9977275
psma2a,psma2,0.9977246
cul1a,cul1,0.9977173
gjd2b,gjd2,0.997701
tuba8l3,tuba1c,0.997698
mab21l2,mab21l2,0.9976291
ppp1cb,ppp1cb,0.9976202
h2ax1,h2ac14,0.9976051
smc3,smc3,0.99760395
polr3b,polr3b,0.9975512
tpm1,tpm1,0.99746585
ppp2r1ba,ppp2r1b,0.99746484
mob1a,mob1a,0.9974644
prkar1aa,prkar1a,0.9974485
sox14,sox14,0.9974397
cand1,cand1,0.99741644
arf3b,arf5,0.9974066
sf3b1,sf3b1,0.9973657
cstf3,cstf3,0.9972876
mcts1,mcts1,0.9972636
tbl1xr1a,tbl1xr1,0.99726206
dr1,dr1,0.99726117
tln1,tln1,0.99725187
sec23a,sec23a,0.9972282
atp1a1b,atp1a1,0.99722636
ap1m1,ap1m1,0.99722415
snx6,snx6,0.99721706
rpl15,rpl15,0.99714917
pds5b,pds5b,0.99714166
tubb2b,tubb4a,0.997115
actn3a,actn3,0.9971093
rab5aa,rab5a,0.9971
supt5h,supt5h,0.9970953
snrpb,snrpb,0.99709374
psmc5,psmc5,0.99708015
cyfip2,cyfip2,0.9970788
cul5a,cul5,0.9970475
pbx1a,pbx1,0.9970473
skp1,skp1,0.9970473
smu1a,smu1,0.99703646
creb1a,creb1,0.9970164
mt-co1,COX1,0.9970139
eif4a3,eif4a3.1,0.9970056
ypel1,ypel1,0.9969788
psmc2,psmc2,0.99697816
ago2,ago2,0.9969775
pik3ca,pik3ca,0.9969411
ctnna1,ctnna1,0.99693334
kpnb1,kpnb1,0.9969255
polr2g,polr2g,0.99692243
EML5,eml5,0.9969151
wdr45b,wdr45b,0.99684846
myo7aa,myo7a,0.99683976
sar1b,sar1a,0.99683493
polr3a,polr3a,0.99682987
emc3,emc3,0.9968252
ctr9,ctr9,0.9968127
ralba,ralb,0.99679273
polr3k,polr3k,0.99679214
cnot9,cnot9,0.9967194
mfn2,mfn2,0.99671024
anapc7,anapc7,0.99669504
stag1a,stag1,0.9966929
rap2c,rap2c,0.9966896
mob4,mob4,0.9966704
h2ax,h2ax.2,0.996634
rpl19,rpl19,0.9966264
epha7,epha7,0.9966207
tubb5,tubb6,0.99661833
six1b,six1,0.9966132
ehd3,ehd3,0.99657345
dnm1b,dnm1,0.99655277
tuba8l2,tubal3,0.9965505
gnat1,gnat1,0.99653184
GNG4,gng4,0.9965218
prkg1b,prkg1,0.99649334
tubb2,tubb3,0.9964481
myh7ba,myh7b,0.99644697
klhl20,klhl20,0.9964308
tm9sf3,tm9sf3,0.99642265
sf3a3,sf3a3,0.9964121
parvaa,parva,0.9964107
zc4h2,zc4h2,0.99640614
meis1b,meis1,0.9963833
si:dkey-108k21.19,h2ac21,0.99632955
arl8a,arl8a,0.996324
usp7,usp7,0.9963199
grik2,grik2,0.99631876
eef2l2,eef2.2,0.99628603
trrap,trrap,0.9962775
stt3b,stt3b,0.99627364
kdelr2b,kdelr1,0.99627197
atp1a3a,atp1a3,0.9962644
xpo7,xpo7,0.99625915
sf3b5,sf3b5,0.99625283
ppfia2,ppfia2,0.99620146
cdc73,cdc73,0.9961929
GPR89B,gpr89b,0.9961782
acta2,actc1,0.99617773
hk1,hk1,0.99614805
etf1b,etf1,0.99614346
kcnab2a,kcnab2,0.9961298
cse1l,cse1l,0.99610156
rpl26,rpl26,0.99607795
ddx39ab,ddx39a,0.99607635
eef1a1l1,eef1a1o,0.9960682
zic1,zic1,0.9960504
myha,myh13,0.9960496
washc4,washc4,0.9959803
ssbp4,ssbp4,0.9959739
myl12.2,myl12b,0.9959718
tuba5,tubal3.2,0.99596584
tnpo1,tnpo1,0.9959326
ppip5k1a,ppip5k1,0.99592036
ogdhb,ogdh,0.9958959
ptpn11a,ptpn11,0.9958858
eef1a2,eef1a2,0.9958823
grip1,grip1,0.9958792
cyth3b,cyth3,0.9958641
tbc1d9,tbc1d9,0.9958639
bmal1a,bmal1,0.99585783
tnpo2a,tnpo2,0.99585503
RYR1,ryr1,0.99582314
hspa5,hspa5,0.995815
rap2ab,rap2a,0.99579746
pdcd10a,pdcd10,0.99578327
hsc70,hspa1a,0.99578214
mfsd14a2,mfsd14b,0.9957518
zfhx4,zfhx4,0.99574846
mcm2,mcm2,0.9957439
atp2a3,atp2a2,0.99572647
rasgrf2a,rasgrf2,0.99569577
rps15,rps15,0.9956722
rab8a,rab8a,0.9956674
map1lc3a,map1lc3a,0.9956374
eif2s1a,eif2s1,0.99562246
wnt7bb,wnt7b,0.9956175
gna11b,gna11,0.9956042
myh10,myh10,0.99559844
traf7,traf7,0.9955921
psma6a,psma6,0.9955874
prpf6,prpf6,0.9955822
ints1,ints1,0.9955599
pptc7a,pptc7,0.99553674
HUWE1,huwe1,0.9955284
rae1,rae1,0.99552405
arf5,arf4,0.9955233
PCDH9,pcdh9,0.99551827
kcna2b,kcna2,0.995511
prkcbb,prkcb,0.9955108
rap1b,rap1b,0.99550515
cops5,cops5,0.9954884
rab11ba,rab11b.2,0.99548423
large1,large1,0.99547577
rbbp4,rbbp4,0.9954579
UBR4,ubr4,0.995457
rap2b,rap2b,0.99545115
ostc,ostc,0.99544877
tubgcp5,tubgcp5,0.99540305
hist1h2a5,h2ac12,0.9954028
trim23,trim23,0.99538785
ppp2r2d,ppp2r2d,0.99538594
prkd1,prkd1,0.99534905
derl2,derl2,0.99534297
col2a1a,col2a1,0.9953396
arih1l,arih1,0.99531156
rpl23a,rpl23a,0.9952663
siah1,siah1,0.9952582
mfap1,mfap1,0.9952566
ssr3,ssr3,0.9952455
ankrd28b,ankrd28,0.9952338
cacng5b,CACNG5,0.99523306
med14,med14,0.9952318
nsfa,nsf,0.99522513
arl8bb,arl8b,0.9952082
tfap2d,tfap2d,0.995201
usp32,usp32,0.9951617
arnt2,arnt2,0.99514496
slc25a5,slc25a5,0.9951361
smurf2,smurf2,0.9951339
rps27.1,rps27,0.99512625
dynll1,dynll1,0.9950975
ube2g1a,ube2g1,0.99509335
prkaa2,prkaa2,0.9950779
nfyc,nfyc,0.99507105
lmo1,lmo1,0.99506456
vps26a,vps26a,0.99505895
si:dkey-23a13.22,h2bc21,0.9950589
adgrl2a,adgrl2,0.995057
abcd3a,abcd3,0.99500483
naa35,naa35,0.9950045
fyna,fyn,0.9949984
slc32a1,slc32a1,0.99499464
ccnc,ccnc,0.99498814
adcy5,ADCY5,0.9949836
ddx39b,ddx39b,0.99498254
ntn1b,NTN1,0.99496675
trioa,trio,0.99496514
sf3b6,sf3b6,0.9949636
esrrga,esrrg,0.99492115
