A	B	source
ITGB1BP1	ITGB1BP1	only_in_union
KLK8	KLK10	only_in_union
NIT2	NIT2	only_in_union
MCRIP2	MCRIP2	only_in_union
PVR	PVR	only_in_union
THEM4	THEM4	only_in_union
TUBA1B	TUBA1A	only_in_union
NOP2	NOP2	only_in_union
RPS27	RPS27L	only_in_union
XYLT2	ABO	only_in_union
MFSD3	PAQR6	only_in_union
RPL7L1	RPL7L1	only_in_union
IGLV8-61	IGLV8-61	only_in_union
TRAV4	TRAV26-2	only_in_union
SERINC2	SERINC2	only_in_union
RPS13	RPS13	only_in_union
EFCAB7	PGM1	only_in_union
ZC4H2	ZC4H2	only_in_union
RBM4	RBM4B	only_in_union
CKLF	CKLF	only_in_union
FXYD6	FXYD6	only_in_union
ZNF346	ZNF346	only_in_union
DDT	DDT	only_in_union
FXYD5	FXYD5	only_in_union
FAM81B	CCDC159	only_in_union
ECSCR	MUCL3	only_in_union
RPL35A	RPL35A	only_in_union
COX7B	COX7B	only_in_union
EPHB6	EPHB6	only_in_union
TMIE	TMIE	only_in_union
NUDT16L1	NUDT16	only_in_union
SUCLA2	SUCLA2	only_in_union
GSK3A	DEDD2	only_in_union
CEACAM1	CEACAM1	only_in_union
ZNF580	ZNF579	only_in_union
OR7A17	OR7A17	only_in_union
CACNG4	CACNG8	only_in_union
MORF4L1	MORF4L1	only_in_union
PSME2	PSME2	only_in_union
GSTM5	GSTM5	only_in_union
BCAS4	BCAS4	only_in_union
SDHC	SDHC	only_in_union
GUSB	GUSB	only_in_union
PCDHGA10	PCDHGB5	only_in_union
PET117	ATP5ME	only_in_union
TINAGL1	TINAG	only_in_union
FAM83D	PPP1R16B	only_in_union
KCNQ2	KCNQ2	only_in_union
FBXO27	NCCRP1	only_in_union
NUDT17	NUDT17	only_in_union
CKS1B	CKS1B	only_in_union
UBE2V2	UBE2V2	only_in_union
COA5	CMC1	only_in_union
PTCH2	EIF2B3	only_in_union
ZNRF2	ZNRF2	only_in_union
GNAO1	GNAO1	only_in_union
ARL6	SAR1A	only_in_union
FANCG	TTC34	only_in_union
YAF2	RYBP	only_in_union
H2AC7	H2AC11	only_in_union
ERICH5	PALM3	only_in_union
SPCS2	SPCS2	only_in_union
BRI3	BRI3	only_in_union
SOX14	SOX21	only_in_union
PTEN	PTEN	only_in_union
NME1	NME1	only_in_union
TRAJ38	TRAJ38	only_in_union
ZNF37A	ZNF37A	only_in_union
EEF1A1	EEF1A1	only_in_union
MRPL14	MRPL14	only_in_union
RAC1	RAC1	only_in_union
AEBP1	AEBP1	only_in_union
DLAT	DLAT	only_in_union
BTG1	BTG1	only_in_union
ZNF461	ZNF566	only_in_union
ZNF627	ZNF627	only_in_union
ST13	ST13	only_in_union
SDHA	SDHA	only_in_union
CHST1	SLC7A10	only_in_union
ZNF319	ZNF672	only_in_union
DEFB119	DEFB119	only_in_union
CSNK2B	CSNK2B	only_in_union
PHLDA1	PXDC1	only_in_union
RPLP1	RPLP1	only_in_union
SOX2	SOX3	only_in_union
GNG2	GNG3	only_in_union
PITPNC1	PITPNC1	only_in_union
GPBP1L1	GPBP1L1	only_in_union
GLRX	GLRX	only_in_union
RABEP1	RABEP1	only_in_union
SERHL2	EPHX1	only_in_union
PRSS41	PRSS21	only_in_union
C1orf35	C1H1orf35	only_in_union
CALHM6	CALHM4	only_in_union
FERD3L	NHLH2	only_in_union
PSMA6	PSMA6	only_in_union
ATP6V0C	TSPAN13	only_in_union
MEIS3	MEIS3	only_in_union
ZNF681	ZNF681	only_in_union
RPS20	RPS20	only_in_union
N4BP2L2	N4BP2L2	only_in_union
TRAC	TRAC	only_in_union
UBE2D3	UBE2D3	only_in_union
PPIL3	PPIL3	only_in_union
LYZL6	LYZL6	only_in_union
PLAAT3	PLAAT3	only_in_union
HMGB2	HMGB2	only_in_union
FZD1	FZD8	only_in_union
ATG9A	ATG9A	only_in_union
TINCR	FAU	only_in_union
NLRP9	NLRP9	only_in_union
ROMO1	NDUFA11	only_in_union
SPATA31F1	SPATA31F1	only_in_union
TRBV6-8	TRBV6-1	only_in_union
FMC1	MRPL41	only_in_union
C11orf91	CD59	only_in_union
OR2J1	OR2J1	only_in_union
PTPRH	PTPRH	only_in_union
CCL25	CCL25	only_in_union
PCDHB16	PCDHB5	only_in_union
PLEKHG4	PLEKHG4B	only_in_union
CEBPA	CEBPD	only_in_union
TMEM240	TMEM240	only_in_union
OR6B3	OR6B3	only_in_union
CES1	CES1	only_in_union
CYP2C18	CYP2C76	only_in_union
ZNF592	ZNF592	only_in_union
SRP14	SRP14	only_in_union
C3orf18	SHISA5	only_in_union
GLYATL1	GLYATL1B	only_in_union
FBP2	FBP2	only_in_union
CYP4F57	CYP4F8	only_in_union
ATP5IF1	ATP5IF1	only_in_union
DMKN	DMKN	only_in_union
ARPC3	ARPC3	only_in_union
CEP295NL	TSGA10IP	only_in_union
MRGPRE	MRGPRG	only_in_union
OSTC	OSTC	only_in_union
SPG11	SPG11	only_in_union
CPLX2	CPLX1	only_in_union
CBX3	CBX3	only_in_union
ABHD17C	ABHD17A	only_in_union
BCCIP	BCCIP	only_in_union
SMIM7	MED26	only_in_union
OR8H1	OR8H3	only_in_union
FUNDC1	FUNDC1	only_in_union
PHB2	PHB2	only_in_union
RAB1A	RAB1A	only_in_union
DTWD2	DTWD2	only_in_union
GCAT	GCAT	only_in_union
ZCCHC4	ALG9	only_in_union
CLCNKA	CLCNKB	only_in_union
OR2AG2	OR2AG2	only_in_union
MYOT	TTN	only_in_union
LYRM9	LYRM1	only_in_union
ZNF726	ZNF726	only_in_union
SELENON	ASTN2	only_in_union
CSNK1A1	CSNK1A1	only_in_union
TNFAIP8L1	TNFAIP8L2	only_in_union
KGD4	KGD4	only_in_union
SCO2	SCO1	only_in_union
TYMP	HAGHL	only_in_union
PKD1L2	PKD1L3	only_in_union
AKR1C1	AKR1C1	only_in_union
TRGV10	TRGV10	only_in_union
HCFC1R1	HCFC1R1	only_in_union
HRNR	FLG2	only_in_union
H2AC8	H2AC8	only_in_union
ZNF713	MRPS17	only_in_union
HNRNPA1	HNRNPA1	only_in_union
COX7A2L	SPATA45	only_in_union
SUMO3	SUMO3	only_in_union
SIGLEC5	SIGLEC5	only_in_union
CC2D2B	ENTPD1	only_in_union
CDRT4	C15H9orf153	only_in_union
KHSRP	KHSRP	only_in_union
WRAP73	WRAP73	only_in_union
MAGEA1	MAGEF1	only_in_union
SPIC	SPIC	only_in_union
GLIPR1	GLIPR1L2	only_in_union
RNF8	ANKRD18B	only_in_union
CBR1	CBR1	only_in_union
SOX7	SOX15	only_in_union
MRPS24	MRPL49	only_in_union
DDB2	DCAF12L2	only_in_union
ATP5PO	DONSON	only_in_union
KRTAP10-11	KRTAP10-10	only_in_union
DNAJC19	DNAJC19	only_in_union
HDAC1	HDAC1	only_in_union
EXOSC1	EXOSC1	only_in_union
IGLV7-43	IGLV7-43	only_in_union
C18orf32	RPL17	only_in_union
RPL19	RPL19	only_in_union
UBE2C	UBE2J2	only_in_union
ZNF229	ZNF180	only_in_union
NUDT19	TDRD12	only_in_union
ANP32B	ANP32B	only_in_union
ZNF680	ZNF680	only_in_union
C7orf50	C3H7orf50	only_in_union
ZFP69	ZFP69B	only_in_union
EPHX4	MEST	only_in_union
RNASE13	RNASE9	only_in_union
NUDT3	NUDT4	only_in_union
RETREG2	RETREG2	only_in_union
BBS5	KLHL41	only_in_union
KRTAP4-12	KRTAP4-1	only_in_union
EIF4A1	EIF4A1	only_in_union
ALDH8A1	ALDH9A1	only_in_union
TIGD3	TIGD5	only_in_union
H3-3A	H3-3B	only_in_union
IGHV6-1	IGHV3-72	only_in_union
TP53AIP1	CMC4	only_in_union
MBTPS2	YY2	only_in_union
UBE2Q2	UBE2Q2	only_in_union
CCND2	TIGAR	only_in_union
RPS6	RPS3A	only_in_union
ND1	ND1	only_in_union
IGLV3-22	IGLV3-10	only_in_union
MTDH	MTDH	only_in_union
