mice gene name,frog gene name,correlation,identical_scores,orthology confidence,combo_score
Snrpf,snrpf,1.0,100.0,1.0,1.9999978819598918
Rps29,rps29,0.99999934,100.0,1.0,1.9999966111358272
Ppp3r1,ppp3r1,0.9999986,100.0,1.0,1.9999951862724814
Tuba1b,tuba1b,0.9996382,100.0,1.0,1.9993012393134046
Dcaf7,dcaf7,0.99983037,99.7076,1.0,1.9967028440534609
Ube2r2,ube2r2,0.9998296,99.5798,1.0,1.995403948034201
Uba52,uba52,0.99715173,100.0,1.0,1.9945135636881663
Phf5a,phf5a,0.9954712,100.0,1.0,1.9912777182854544
Cnot9,cnot9,0.99887717,99.3311,1.0,1.9910452739924667
Lsm6,lsm6,0.99471295,100.0,1.0,1.9898177147290723
Ywhag,ywhag,0.9989131,99.1903,1.0,1.9896850687350773
Ncald,ncald,0.99683887,99.4819,1.0,1.9886514528660069
Arf1,arf5,0.9996805,98.895,1.0,1.988164833144375
Mab21l1,mab21l1,0.99961925,98.8858,1.0,1.987953499299052
Gpr85,gpr85,0.9993425,98.9189,1.0,1.9877566477006825
Psmd14,psmd14,0.9983562,99.0323,1.0,1.9870087618868824
Rap2a,rap2a,0.9984722,98.9071,1.0,1.9859611004041797
Tuba1c,tuba1c,0.9996573,98.6637,1.0,1.9857720262492398
Prpf8,prpf8,0.99845284,98.8437,1.0,1.9852801921549186
Psmc1,psmc1,0.99191916,100.0,1.0,1.9844382972074315
Smu1,smu1,0.9989871,98.6355,1.0,1.9841952784700259
Cops2,cops2,0.9974354,98.77425,1.0,1.9826160708189242
Sf3b6,sf3b6,0.9943101,99.2,1.0,1.9809205071012417
Eef1a2,eef1a2,0.9990724,98.2721,1.0,1.9806703207687937
Ypel2,ypel2,0.9892224,100.0,1.0,1.9792457100782412
Ran,ran,0.9989484,98.1481,1.0,1.979172723729672
Sec61a1,sec61a1,0.99908644,98.1092,1.0,1.9790436094244792
Gnai1,gnai1,0.9990446,98.0226,1.0,1.9780838919536818
Mab21l2,mab21l2,0.99936384,97.7716,1.0,1.9761504576810833
Actr2,actr2,0.998509,97.86015,1.0,1.975403422089056
Rpl19,rpl19,0.9971761,97.71055,1.0,1.9713182102166396
Ube2b,ube2b,0.99180603,98.6842,1.0,1.9708625905089765
Dr1,dr1,0.9980444,97.4367,1.0,1.9702100150194546
Acta2,acta2,0.98699707,99.2042,1.0,1.9668819715979655
Ppp2ca,ppp2ca,0.987321,99.0291,1.0,1.9657280974274165
Tubb6,tubb6,0.9991247,96.75265,1.0,1.9653457127025122
Sf3b3,sf3b3,0.9991716,96.6311,1.0,1.9642020542425098
Rap2c,rap2c,0.9985661,96.7213,1.0,1.9639518712206487
Ostc,ostc,0.9978946,96.6443,1.0,1.9618772073650201
Nckap1,nckap1,0.99542385,97.05035,1.0,1.9612419812682027
Psmd7,psmd7,0.9985345,96.41210000000001,1.0,1.9607520568428876
Rpl17,rpl17,0.99674517,96.7391,1.0,1.9606263907800483
Rps27a,rps27a,0.982215,99.359,1.0,1.9592456536279337
Peli1,peli1,0.99480647,96.89,1.0,1.958425363748375
Ypel1,ypel1,0.9841191,98.7359,1.0,1.9565863293803178
Prps1,prps1,0.99688196,96.25375,1.0,1.95596255186075
Btf3l4,btf3l4,0.9965117,96.2025,1.0,1.9547293344562853
Ssr3,ssr3,0.99587893,96.2162,1.0,1.9536500226027456
Gnaz,gnaz,0.9966048,96.0563,1.0,1.953424389235656
Lsm3,lsm3,0.9955844,96.0784,1.0,1.9516839753004502
Tle4,tle4,0.9862955,97.7376,1.0,1.9506423217771203
Ebf3,ebf3,0.99745196,95.59235000000001,1.0,1.9503456121189489
Rab14,rab14,0.9733115,100.0,1.0,1.9486094152081634
Chic2,chic2,0.9968357,95.46915,1.0,1.947908294400086
Srp54c,srp54,0.99252737,96.2302,1.0,1.947338750624463
Tubb2b,tubb2b,0.9951262,95.658,1.0,1.9465338546819275
Mcts1,mcts1,0.997946,95.0276,1.0,1.9455635936471867
