Human gene name,Mouse gene name,correlation
IGHD7-27,Ighd4-1,1.0000029
UBE2R2,Ube2r2,1.0000018
TWIST2,Twist2,1.0000017
TUBA3D,Tuba3a,1.0000012
CTXND1,Gm2115,1.0000011
H4-16,H4c1,1.0000011
CABP7,Cabp7,1.000001
TIMM10,Timm10,1.000001
MAB21L1,Mab21l1,1.0000007
GNG11,Gng11,1.0000005
RHOB,Rhob,1.0000005
RPS26,Rps26,1.0000004
TMSB10,Gm9844,1.0000004
H2BC10,H2bc4,1.0000002
H3C13,H3c13,1.0000002
TUBB4B,Tubb4b,1.0000002
ISL1,Isl1,1.0000001
RRAGA,Rraga,1.0
TUBB2A,Tubb2a,1.0
H2AC4,H2ac11,0.99999994
H2BC5,H2bc14,0.99999994
ENHO,Enho,0.9999999
ZNF664,Zfp664,0.9999998
OTP,Otp,0.99999976
RAB10,Rab10,0.99999964
RPL39,Rpl39,0.99999964
TRBD1,Trbd1,0.99999964
OST4,Ost4,0.9999996
EMC6,Emc6,0.9999995
NRARP,Nrarp,0.9999995
PHF5A,Phf5a,0.9999995
YWHAG,Ywhag,0.9999995
MYL12B,Myl12b,0.99999946
RPS4X,Rps4x,0.99999946
GNG3,Gng3,0.9999994
H2AC18,H2ac18,0.9999994
H2AW,H2aw,0.9999994
POLR2L,Polr2l,0.9999994
SMU1,Smu1,0.9999994
H2BU1,H2bu1-ps,0.99999934
H3C1,H3c1,0.9999992
H2AC20,H2ac20,0.9999991
LSM3,Lsm3,0.99999887
LSM6,Lsm6,0.9999988
RAP2B,Rap2b,0.99999875
SPCS3,Spcs3,0.99999875
TUBB2B,Tubb2b,0.99999845
PCBP1,Pcbp1,0.9999984
ARF1,Arf1,0.99999815
POLR2A,Polr2a,0.99999803
SMC3,Smc3,0.999987
POU3F2,Pou3f2,0.99993384
FOXB1,Foxb1,0.9999293
MFSD14A,Mfsd14a,0.99992776
SP9,Sp9,0.9999153
MAB21L2,Mab21l2,0.99990827
HAS2,Has2,0.9998584
