Gene name,Mouse gene name
MT-ND1,mt-Nd1
MT-ND2,mt-Nd2
MT-CO1,mt-Co1
MT-CO2,mt-Co2
MT-ATP8,mt-Atp8
MT-ATP6,mt-Atp6
MT-CO3,mt-Co3
MT-ND3,mt-Nd3
MT-ND4L,mt-Nd4l
MT-ND4,mt-Nd4
MT-ND5,mt-Nd5
MT-ND6,mt-Nd6
MT-CYB,mt-Cytb
USP9Y,Usp9y
KDM5D,Kdm5d
RN7SKP282,Gm56434
SRY,Sry
ZFY,Zfx
DDX3Y,Ddx3y
UTY,Uty
TMSB4Y,Tmsb4x
TMPRSS15,Tmprss15
URB1,Urb1
JAM2,Jam2
CLDN17,Cldn17
KRTAP24-1,Krtap24-1
SCAF4,Scaf4
NCAM2,Ncam2
MIPEP,Mipep
CLDN8,Cldn8
HUNK,Hunk
C21orf91,D16Ertd472e
KPNA3,Kpna3
MORC3,Morc3
CRYL1,Cryl1
PAXBP1,Paxbp1
CAB39L,Cab39l
DNAJC15,Dnajc15
GPR12,Gpr12
COLEC12,Colec12
WASF3,Wasf3
EPCIP,Epcip
POSTN,Postn
CHODL,Chodl
RAB31,Rab31
BACH1,Bach1
YES1,Yes1
ETS2,Ets2
NDUFV2,Ndufv2
KCNJ15,Kcnj15
CELF4,Celf4
CRYZL1,Cryzl1
FNDC3A,Fndc3a
N6AMT1,N6amt1
LHFPL6,Lhfpl6
AKAP11,Akap11
ADAMTS5,Adamts5
MZT1,Mzt1
PROSER1,Proser1
AKAIN1,Akain1
SLC14A2,Slc14a2
RN7SKP147,Gm55331
RNU6-772P,Gm24737
SNORA62,Gm54861
C2CD2,C2cd2
RALBP1,Ralbp1
ERICH6B,Erich6b
PIBF1,Pibf1
SS18,Ss18
ZBTB21,Zbtb21
BORA,Bora
CBR3,Cbr3
EVA1C,Eva1c
KLHL1,Klhl1
SCEL,Scel
CFAP298,Cfap298
ANKRD12,Ankrd12
FREM2,Frem2
BTG3,Btg3
ARK2N,Ark2n
TBC1D4,Tbc1d4
SKA1,Ska1
SAMSN1,Samsn1
SPRY2,Spry2
RPRD1A,Rprd1a
UFM1,Ufm1
KLF5,Klf5
RIT2,Rit2
SIM2,Sim2
CBY2,Cby2
RIPPLY3,Ripply3
HRH4,Hrh4
UBAC2,Ubac2
RRP1B,Rrp1b
MAPK4,Mapk4
RFC3,Rfc3
PDXK,Pdxk
ARK2C,Ark2c
POU4F1,Pou4f1
SPATA13,Spata13
ST8SIA3,St8sia3
RNF152,Rnf152
CCDC68,Ccdc68
SMAD2,Smad2
RRP1,Rrp1
MED15,Med15
NHLRC3,Nhlrc3
AGPAT3,Agpat3
OLFM4,Olfm4
IPO5,Ipo5
RAB27B,Rab27b
TXNL1,Txnl1
TRAPPC10,Trappc10
CTIF,Ctif
GAREM1,Garem1
PWP2,Pwp2
OSM,Osm
ZBTB7C,Zbtb7c
DIAPH3,Diaph3
NCF4,Ncf4
DYRK1A,Dyrk1a
CACNA1I,Cacna1i
FBXO15,Fbxo15
CDH7,Cdh7
PCDH17,Pcdh17
SERTM1,Sertm1
SLC7A1,Slc7a1
PRDM15,Prdm15
TPGS2,Tpgs2
SLC15A1,Slc15a1
ISX,Isx
ENTHD1,Enthd1
LIF,Lif
CBX7,Cbx7
FOXO1,Foxo1
PNPLA3,Pnpla3
COG3,Cog3
MC4R,Mc4r
TMX3,Tmx3
EFCAB6,Efcab6
ADRA1D,Adra1d
RSPO4,Rspo4
LRCH1,Lrch1
DEFB129,Defb23
ANGPT4,Angpt4
SHLD1,Shld1
CDH20,Cdh20
SLX4IP,Slx4ip
PKNOX1,Pknox1
TBC1D22A,Tbc1d22a
DEFB125,Defb26
BMP2,Bmp2
CDADC1,Cdadc1
PTPN2,Ptpn2
FAM110A,Fam110a
INSM1,Insm1
DIS3,Dis3
DEFB128,Defb20
BTBD3,Btbd3
CBS,Cbs
PCSK2,Pcsk2
PHLPP1,Phlpp1
SLITRK6,Slitrk6
ZMYM5,Zmym5
CDH19,Cdh19
ISM1,Ism1
RPL3,Rpl3
SOX1,Sox1
MYO16,Myo16
SYNDIG1,Syndig1
XRN2,Xrn2
C18orf21,2700062C07Rik
U2AF1,U2af1
KCTD1,Kctd1
SNRPB2,Snrpb2
IRS2,Irs2
SPACA7,Spaca7
CST7,Cst7
STOML3,Stoml3
SLC39A6,Slc39a6
GTSE1,Gtse1
APMAP,Apmap
ANKRD10,Ankrd10
BFSP1,Bfsp1
ZBTB14,Zbtb14
SETD4,Setd4
NALF1,Nalf1
PCCA,Pcca
SAMM50,Samm50
GALR1,Galr1
ZNF521,Zfp521
IMPACT,Impact
DSTN,Dstn
TTC38,Ttc38
STK35,Stk35
SCRT2,Scrt2
CBLN2,Cbln2
NCOA6,Ncoa6
TUBGCP3,Tubgcp3
TRIOBP,Triobp
SLC19A1,Slc19a1
MBP,Mbp
COL18A1,Col18a1
SPTLC3,Sptlc3
DEFB115,Defb28
PIM3,Pim3
SLC23A2,Slc23a2
GRK1,Grk1
DENND6B,Dennd6b
OBI1,Obi1
UBL3,Ubl3
FLT3,Flt3
CERK,Cerk
TASP1,Tasp1
FAM216B,Fam216b
PPP6R2,Ppp6r2
WFDC9,Wfdc9
TMEM241,Tmem241
RN7SKP1,Gm55256
MTCL2,Mtcl2
SNORD31B,Gm23246
WFDC10A,Wfdc10
PPP1R16B,Ppp1r16b
ITM2B,Itm2b
FAM3B,Fam3b
TRIM13,Trim13
DHX35,Dhx35
KCNRG,Kcnrg
MIR15A,Mir15a
ADAMTS1,Adamts1
ELP2,Elp2
FAM124A,Fam124a
ZAR1L,Zar1l
N4BP2L1,N4bp2l1
RTL6,Rtl6
PVALB,Pvalb
MIS18A,Mis18a
TOX2,Tox2
SYNGR1,Syngr1
MRAP,Mrap
WDR4,Wdr4
RFXAP,Rfxap
TRPC4,Trpc4
PDGFB,Pdgfb
WFDC11,Wfdc11
RIPOR3,Ripor3
MPPED1,Mpped1
FAM83D,Fam83d
SLC2A10,Slc2a10
KCNB1,Kcnb1
PKDREJ,Pkdrej
NDUFV3,Ndufv3
ANKRD54,Ankrd54
CDH22,Cdh22
GABPA,Gabpa
NCOA3,Ncoa3
CLIC6,Clic6
TSPO,Tspo
CPB2,Cpb2
CD226,Cd226
SHISAL1,Shisal1
LCP1,Lcp1
ZNRF3,Znrf3
PIGN,Pign
SNORD83A,Gm55357
SNORD83B,Snord83b
RN7SKP214,Gm54905
