Gene name	Mouse gene name	Mouse homology type	%id. target Mouse gene identical to query gene	%id. query gene identical to target Mouse gene	Mouse Gene-order conservation score	Mouse Whole-genome alignment coverage	Mouse orthology confidence [0 low, 1 high]
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
PGBD2							
							
Y_RNA							
							
TCEANC2	Tceanc2	ortholog_one2one	90.3846	90.8213	100	0.00	1
MEX3A	Mex3a	ortholog_one2one	96.7078	90.3846	100	0.00	1
U6							
U1							
RAB25	Rab25	ortholog_one2one	84.2795	90.6103	100	0.00	1
U6	Gm25598	ortholog_one2many	81.7308	79.4393		0.00	0
U1	Gm23680	ortholog_many2many	56.2874	57.3171		0.00	0
U1	Gm54652	ortholog_many2many	51.497	55.1282		0.00	0
Metazoa_SRP							
							
	Rpl34	ortholog_one2one	99.1453	99.1453	0	0.00	0
							
LAMC1	Lamc1	ortholog_one2one	93.5826	93.4661	100	95.42	1
Metazoa_SRP							
Metazoa_SRP							
Metazoa_SRP							
ACTRT3	Actrt3	ortholog_one2one	78.7634	79.4038	50	0.00	0
RNU6-723P	Gm22004	ortholog_one2many	81.3084	81.3084		0.00	0
AK4	Ak4	ortholog_one2many	76.9231	89.6861	100	0.00	1
Metazoa_SRP							
	Slc39a1	ortholog_one2many	79.2746	94.4444	100	0.00	1
Metazoa_SRP							
GJA8	Gja8	ortholog_one2one	87.8161	86.8182	75	100.00	1
RNU6-1205P							
							
MIR30C1	Mir30c-1	ortholog_one2one	98.8764	98.8764		100.00	1
							
KLF17	Klf17	ortholog_one2one	43.9277	49.8534	100	93.37	0
							
U8	Gm56239	ortholog_many2many	55.8824	64.9573		0.00	0
U8	Gm25369	ortholog_many2many	66.9118	68.9394		0.00	0
U8	Gm23182	ortholog_many2many	57.3529	57.7778		0.00	0
Metazoa_SRP							
							
CTTNBP2NL	Cttnbp2nl	ortholog_one2one	86.9301	89.6552	100	44.03	1
NEXN	Nexn	ortholog_one2one	89.645	90.313	100	10.82	1
ABHD10	Abhd10	ortholog_one2one	73.2026	75.4209	100	73.87	1
PPP2R3A	Ppp2r3a	ortholog_one2one	85.5652	85.5652	75	79.86	1
							
MIR101-1	Mir101a	ortholog_one2one	100	100		100.00	1
ZNF692	Zfp692	ortholog_one2one	76.4479	74.5763	50	0.00	0
RN7SL479P							
							
RCC2	Rcc2	ortholog_one2one	95.2015	95.3846	100	0.00	1
							
RNU6-1176P	Gm26122	ortholog_one2many	50.9804	63.4146		0.00	0
MYNN	Mynn	ortholog_one2one	82.7586	90.4918	100	0.00	1
							
GJA5	Gja5	ortholog_one2one	84.3575	84.3575	75	0.00	1
							
RNU6-1304P	Gm26206	ortholog_one2many	66.0194	61.8182		0.00	0
Metazoa_SRP	Gm55425	ortholog_many2many	57.265	26.1719		0.00	0
Metazoa_SRP	Gm25574	ortholog_many2many	57.265	26.9076		0.00	0
Metazoa_SRP	Gm24576	ortholog_many2many	56.4103	26.6129		0.00	0
Metazoa_SRP	Gm56405	ortholog_many2many	58.9744	27.1654		0.00	0
Metazoa_SRP	Gm24809	ortholog_many2many	58.1197	25.0923		0.00	0
