A	B	source
Gan	gan	only_in_union
2310022B05Rik	c1orf198	only_in_union
Atf2	chn1	only_in_union
Adamts3	adamts3	only_in_union
Pycr3	pycr3	only_in_union
Mir196b	xtr-mir-196b	only_in_union
Cetn1	cetn1	only_in_union
Eif4a1	eif4a1	only_in_union
Man1c1	man1c1	only_in_union
Tmem120a	tmem120a	only_in_union
Fgfr3	fgfr3	only_in_union
H3c4	h3c14	only_in_union
Smarcd3	smarcd3	only_in_union
Hdac5	hdac5	only_in_union
Upp2	upp2	only_in_union
Stmn1	stmn1	only_in_union
Etl4	kiaa1217	only_in_union
Phox2a	phox2a	only_in_union
Dhx33	dhx33	only_in_union
Prss29	tpsg1	only_in_union
Adamts14	adamts14	only_in_union
Hspb9	hsp30e	only_in_union
Pias3	pias3	only_in_union
Itpkc	itpkc	only_in_union
Col24a1	col24a1	only_in_union
Zcchc14	zcchc14	only_in_union
Kcnq1	kcnq1	only_in_union
Rab29	nucks1	only_in_union
Glis1	glis1	only_in_union
Skic3	ttc37	only_in_union
Cpne5	cpne9	only_in_union
Nup54	nup54	only_in_union
Bend5	agbl4	only_in_union
Gsk3b	gsk3b	only_in_union
Tamalin	tamalin	only_in_union
Coq8a	coq8a	only_in_union
Rcor2	rcor2	only_in_union
Sec31b	sec31b	only_in_union
Mpg	mpg	only_in_union
Ip6k1	ip6k1	only_in_union
Slc38a5	slc38a5	only_in_union
Ell2	ell2	only_in_union
Creb3l1	creb3l1	only_in_union
Rasa2	rasa2	only_in_union
Snord73b	SNORD73	only_in_union
Calcoco1	calcoco1	only_in_union
Prss3b	prss1	only_in_union
Rbm15b	rbm15b	only_in_union
Gja4	gja4	only_in_union
Nmd3	nmd3	only_in_union
Spmip8	tepp	only_in_union
Elavl4	ppp1r26	only_in_union
Fbxw5	fbxw5	only_in_union
Mir26b	xtr-mir-26-2	only_in_union
Ppp1r12c	ppp1r12c	only_in_union
Hapln4	hapln4	only_in_union
Slc22a18	slc22a18	only_in_union
Nat8f5	nat8.7	only_in_union
Srrm3	srrm3	only_in_union
Lama2	lama2	only_in_union
Ahcy	ahcy	only_in_union
Rbm39	rbm39	only_in_union
Airim	c1orf109	only_in_union
Nfrkb	nfrkb	only_in_union
Mirlet7c-1	xtr-let-7c	only_in_union
Nckipsd	nckipsd	only_in_union
Mir18b	xtr-mir-18b	only_in_union
Cacna2d2	XB5760648 [provisional:pinlyp]	only_in_union
Mir205	xtr-mir-205a	only_in_union
Fam184b	fam184b	only_in_union
Cdh15	cdh15	only_in_union
Galnt18	galnt18	only_in_union
Cnot6l	cnot6l	only_in_union
Sox7	sox7	only_in_union
Nfatc2	nfatc2	only_in_union
F11	klkb1	only_in_union
Cfap97d2	cfap97d1	only_in_union
Tspan2	tspan2	only_in_union
Enpp6	enpp6	only_in_union
Rnf220	rnf220.1	only_in_union
Vash2	vash2	only_in_union
Ccdc88c	ccdc88c	only_in_union
Rgs1	rgs1	only_in_union
Lhfpl7	tmem211	only_in_union
Sema4d	sema4d	only_in_union
Or5p68	or8a1	only_in_union
Artn	artn	only_in_union
St3gal2	st3gal2.1	only_in_union
Slx4	slx4	only_in_union
Notch4	notch4	only_in_union
Nbea	nbea	only_in_union
Samd7	samd7	only_in_union
Bpifb2	bpifb2	only_in_union
Ctsl	ctsv	only_in_union
Grk5	prdx3	only_in_union
Mir98	xtr-mir-98	only_in_union
Gabra1	gabra1	only_in_union
Adcy5	adcy5	only_in_union
Usp13	usp13	only_in_union
Pou2af2	c11orf53	only_in_union
Gm22357	SNORD24	only_in_union
Snrk	snrk	only_in_union
Fam210a	fam210a	only_in_union
Psme1	psme1	only_in_union
Neurl1a	neurl1	only_in_union
Fgfr1	fgfr1	only_in_union
Tenm4	tenm4	only_in_union
Slc12a4	slc12a4	only_in_union
Ankrd13b	ankrd13b	only_in_union
Lrrc40	lrrc40	only_in_union
Phc3	phc3	only_in_union
Acaca	acaca	only_in_union
Cars1	cars1	only_in_union
Igfbp5	igfbp5	only_in_union
Tanc1	tanc1	only_in_union
Kcnv2	kcnv2	only_in_union
Mrpl49	mrpl49	only_in_union
Cwc22	cwc22	only_in_union
Slc12a5	slc12a5	only_in_union
Cmah	cmahp	only_in_union
Tmem87a	tmem87a	only_in_union
Mrpl13	mrpl13	only_in_union
Aars2	aars2	only_in_union
Aicda	aicda	only_in_union
Tmem170b	TMEM170B	only_in_union
Msh2	msh2	only_in_union
Rras2	rras2	only_in_union
Cd276	cd276	only_in_union
Nedd8	nedd8	only_in_union
1810009A15Rik	lbhd1	only_in_union
Epha6	epha6	only_in_union
Atp5f1a	atp5f1a	only_in_union
Shc2	shc2	only_in_union
Mir126a	xtr-mir-126	only_in_union
Steap4	steap4.1	only_in_union
Wnt6	wnt6	only_in_union
Slc36a4	slc36a4	only_in_union
Sox3	sox3	only_in_union
Rbm5	rbm5	only_in_union
Chp1	chp1	only_in_union
Osgin1	osgin1	only_in_union
Ankrd54	ankrd54	only_in_union
2310033P09Rik	c1orf35	only_in_union
Grm7	grm7	only_in_union
Adh4	adh4	only_in_union
Vgll3	cfap70	only_in_union
Pdia2	pdia2	only_in_union
Zfp513	ZNF513	only_in_union
Tmem199	tmem199	only_in_union
Epcam	epcam	only_in_union
Akap9	akap9	only_in_union
Wdpcp	wdpcp	only_in_union
Ptprn2	ptprn2	only_in_union
1110059E24Rik	c9orf85	only_in_union
Pkig	pkig	only_in_union
Fbxl8	fbxl8	only_in_union
Nell1	NELL1	only_in_union
Cln6	cln6	only_in_union
Paxip1	paxip1	only_in_union
Adgrg1	adgrg1	only_in_union
Ccdc102a	ccdc102a	only_in_union
Gprin1	gprin1	only_in_union
Zfp318	znf318	only_in_union
Gnmt	gnmt	only_in_union
Slc1a3	slc1a3	only_in_union
Pde9a	XB990243 [provisional]	only_in_union
Fsd1	fsd1	only_in_union
Ablim2	ablim2	only_in_union
Sgms2	sgms2	only_in_union
Atp5f1d	atp5f1d	only_in_union
Wdr77	wdr77	only_in_union
Rnf138	rnf138	only_in_union
Fgf11	fgf11	only_in_union
Myo1c	myo1c	only_in_union
Slc37a1	slc37a1	only_in_union
Ubac2	ubac2	only_in_union
Sipa1l3	sipa1l3	only_in_union
Arfgef2	arfgef2	only_in_union
Sorcs1	SORCS1	only_in_union
Ifna6	ifn4	only_in_union
Gnpda1	gnpda1	only_in_union
Maml1	maml1	only_in_union
Shroom4	shroom4	only_in_union
Tapbpl	tapbpl	only_in_union
Nsg2	nsg2	only_in_union
Adipor2	adipor2	only_in_union
Foxq1	FOXQ1	only_in_union
Myog	myog	only_in_union
Fam234b	fam234b	only_in_union
Lbhd2	XB5959262 [provisional:lbh]	only_in_union
Ifrd2	ifrd2	only_in_union
Lrrc9	lrrc9	only_in_union
Numb	numb	only_in_union
Slc28a3	slc28a3	only_in_union
Mir23b	xtr-mir-23b	only_in_union
Zfand6	zfand6	only_in_union
Ncaph	ncaph	only_in_union
Dennd4a	dennd4a	only_in_union
Otub2	otub2	only_in_union
C9	c9	only_in_union
Mir125b-1	xtr-mir-125b-1	only_in_union
Slx9	slx9	only_in_union
Arhgdia	arhgdia	only_in_union
Ndc1	ndc1	only_in_union
Itga3	itga3	only_in_union
Camk1d	camk1d	only_in_union
Tafazzin	tafazzin	only_in_union
St3gal4	st3gal4	only_in_union
Pkia	pkia	only_in_union
Wwc1	rars1	only_in_union
Malrd1	malrd1	only_in_union
Fignl2	fignl2	only_in_union
Mapk1	mapk1	only_in_union
Derl2	derl2	only_in_union
Lhx4	lhx4	only_in_union
Wars1	wars1	only_in_union
Tmem161a	tmem161a	only_in_union
Zmynd10	zmynd10	only_in_union
Dennd11	dennd11	only_in_union
Tenm3	tenm3	only_in_union
Igsf8	XB5942349 [provisional:igsf8]	only_in_union
Mertk	mertk	only_in_union
Cd8b1	XB989856 [provisional]	only_in_union
1700088E04Rik	c22orf23	only_in_union
Ptp4a1	ptp4a1	only_in_union
Emilin2	emilin2	only_in_union
Cenpp	cenpp	only_in_union
Pappa2	pappa2	only_in_union
Slc2a9	slc2a15a	only_in_union
Hk1	hk1	only_in_union
Ints2	ints2	only_in_union
Lrba	lrba	only_in_union
Rras	rras	only_in_union
Ak3	ak3	only_in_union
Isl2	isl2	only_in_union
D16Ertd472e	c21orf91	only_in_union
Tbc1d16	tbc1d16	only_in_union
Cimip1	c20orf85	only_in_union
R3hdm1	r3hdm1	only_in_union
Slc25a24	slc25a24	only_in_union
Bcl3	bcl3	only_in_union
Plcd3	plcd3	only_in_union
Chrne	chrne	only_in_union
Dzip3	rnf145l	only_in_union
Crlf3	crlf3	only_in_union
Gal3st2b	gal3st2	only_in_union
Ppm1f	ppm1f	only_in_union
H2-DMa	mhc2a	only_in_union
Entrep1	fam189a2	only_in_union
Gm26228	U6	only_in_union
Fam110d	fam110d	only_in_union
Prr35	prr35	only_in_union
Qng1	c9orf64	only_in_union
Exoc6b	exoc6b	only_in_union
Bicd1	bicd1	only_in_union
Rbm25	rbm25	only_in_union
Cdh4	cdh4	only_in_union
Eif4g1	eif4g1	only_in_union
Naa11	XB5761890 [provisional:nat16]	only_in_union
Best1	best1	only_in_union
Slc7a1	slc7a1	only_in_union
Hoxc12	hoxc12	only_in_union
Mamdc4	mamdc4	only_in_union
Insig2	insig2	only_in_union
Pde6a	pde6a	only_in_union
Gpr137c	gpr137c	only_in_union
B3gnt9	b3gnt9	only_in_union
Tle1	tle1	only_in_union
Efhb	efhb	only_in_union
Csrp3	csrp3	only_in_union
Calm2	calm2	only_in_union
Adar	adar	only_in_union
Cldn8	cldn17.1	only_in_union
Irx5	irx5	only_in_union
Nedd4	nedd4	only_in_union
Wdr82	wdr82	only_in_union
Pgm2l1	pgm2l1	only_in_union
