Gene name	Gorilla gene name	Gorilla homology type	%id. target Gorilla gene identical to query gene	%id. query gene identical to target Gorilla gene	Gorilla Gene-order conservation score	Gorilla Whole-genome alignment coverage	Gorilla orthology confidence [0 low, 1 high]
							
							
							
							
							
MT-ND1	ND1	ortholog_one2one	94.6541	94.6541	50	100.00	1
							
							
							
MT-ND2	ND2	ortholog_one2one	93.6599	93.6599	75	100.00	1
							
MT-TA							
							
							
							
MT-CO1	COX1	ortholog_one2one	98.4405	98.6328	100	100.00	1
							
							
MT-CO2	COX2	ortholog_one2one	98.2379	98.2379	100	100.00	1
							
MT-ATP8	ATP8	ortholog_one2one	85.2941	85.2941	100	100.00	1
MT-ATP6	ATP6	ortholog_one2one	90.708	90.708	100	100.00	1
MT-CO3	COX3	ortholog_one2one	96.5517	96.5517	100	100.00	1
							
MT-ND3	ND3	ortholog_one2one	91.3043	91.3043	100	100.00	1
							
MT-ND4L	ND4L	ortholog_one2many	98.9796	98.9796	100	100.00	1
MT-ND4	ND4	ortholog_one2one	93.0283	93.0283	100	100.00	1
							
							
							
MT-ND5	ND5	ortholog_one2one	90.5473	90.5473	100	100.00	1
MT-ND6	ND6	ortholog_one2one	95.977	95.977	75	100.00	1
MT-TE							
MT-CYB	CYTB	ortholog_one2one	93.1579	93.1579	50	100.00	1
							
							
CYP51A1	CYP51A1	ortholog_one2many	99.4106	99.4106	100	100.00	1
FAM209B							
SDC2	SDC2	ortholog_one2one	99.5025	99.5025	100	100.00	1
							
C8orf89	C8orf89	ortholog_one2one	96.8944	96.8944	100	100.00	1
FGF23	FGF23	ortholog_one2one	98.008	98.008	100	100.00	1
							
							
CYP2C9	CYP2C9	ortholog_one2one	98.7755	98.7755	100	100.00	1
SPTSSA							
ARSK	ARSK	ortholog_one2one	98.5075	98.5075	100	100.00	1
		ortholog_one2many	97.9592	94.1176	0	0.00	0
ZNF789							
ADRB2	ADRB2	ortholog_one2one	91.8415	95.3995	100	100.00	1
		ortholog_one2one	98.5714	98.5714	100	100.00	1
		ortholog_one2one	93.7799	94.0048	100	100.00	1
MMP15	MMP15	ortholog_one2one	99.701	99.701	100	100.00	1
		ortholog_one2one	95.8333	95.8333	75	100.00	1
							
CFAP65	CFAP65	ortholog_one2one	98.2338	98.2338	100	100.00	1
							
		ortholog_one2one	100	100	100	100.00	1
							
ZNF700	ZNF700	ortholog_one2one	98.1132	98.1132	100	100.00	1
HOXA11	HOXA11	ortholog_one2many	99.6805	99.0476	100	100.00	1
							
OPTN	OPTN	ortholog_one2one	99.4801	99.4801	75	100.00	1
MIR548N	MIR548N	ortholog_one2many	96.0526	97.3333		0.00	0
TBX6	TBX6	ortholog_one2one	92.0993	93.578	100	100.00	1
METTL4	METTL4	ortholog_one2one	100	89.6186	100	100.00	1
EPG5	EPG5	ortholog_one2one	99.4188	99.4959	100	100.00	1
	TRGV9	ortholog_one2many	97.4359	97.4359	50	100.00	1
5S_rRNA	5S_rRNA	ortholog_one2one	96.0784	96.0784		100.00	1
		ortholog_many2many	81.4465	92.1708	0	0.00	0
		ortholog_many2many	87.1069	90.5229	0	0.00	0
PDSS1	PDSS1	ortholog_one2one	99.0361	99.0361	100	100.00	1
