A	B	source
TFF1	Tff1	only_in_union
H2BC7	H2bc8	only_in_union
RN7SKP46	Gm55445	only_in_union
ZNF397	Zfp397	only_in_union
MIR532	Mir532	only_in_union
CDC42SE2	Cdc42se2	only_in_union
FAM53A	Fam53a	only_in_union
SNORA75B	Gm22972	only_in_union
SNX19	Snx19	only_in_union
SNORA8	Gm25791	only_in_union
SSX1	Ssxb9	only_in_union
DNAAF11	Dnaaf11	only_in_union
SCAI	Scai	only_in_union
RNU6-839P	Gm24527	only_in_union
HRAS	Hras	only_in_union
MIR29B2	Mir29b-2	only_in_union
SNORD113-9	Gm55110	only_in_union
IGHV3-66	Ighv10-1	only_in_union
OR8K5	Or8k16	only_in_union
RN7SKP298	Gm55956	only_in_union
TRIM43	Trim43a	only_in_union
NFILZ	Nfilz	only_in_union
RN7SKP244	Gm54501	only_in_union
CEPT1	Cept1	only_in_union
PIK3R3	Pik3r3	only_in_union
DPP9	Dpp9	only_in_union
CCNO	Ccno	only_in_union
SLC6A11	Slc6a11	only_in_union
SNORA20B	Gm24615	only_in_union
MIR193A	Mir193a	only_in_union
RNU6-1292P	Gm25207	only_in_union
SYCP3	Sycp3	only_in_union
OR1B1	Or1b1	only_in_union
TGFBR3	Tgfbr3	only_in_union
MRAP	Mrap	only_in_union
CD70	Cd70	only_in_union
ALG10	Alg10b	only_in_union
IFNA8	Ifna5	only_in_union
NCOA2	Ncoa2	only_in_union
GARIN3	Garin3	only_in_union
MIR10B	Mir10b	only_in_union
FASTKD3	Fastkd3	only_in_union
MIR195	Mir195a	only_in_union
KIF4B	Kif4-ps	only_in_union
OGFOD2	Ogfod2	only_in_union
ALKBH5	Alkbh5	only_in_union
MIR450A2	Mir450-2	only_in_union
RRP12	Rrp12	only_in_union
CYP4F11	Cyp4a31	only_in_union
PROKR2	Prokr2	only_in_union
GNGT1	Gngt1	only_in_union
PNLIP	Pnlip	only_in_union
IGHV2OR16-5	Ighv8-5	only_in_union
C22orf23	1700088E04Rik	only_in_union
CAMK2B	Camk2b	only_in_union
CDK9	Cdk9	only_in_union
TMEM150A	Tmem150a	only_in_union
