Gene name,Chimpanzee gene name
MT-ND1,MT-ND1
MT-ND2,MT-ND2
MT-TA,MT-TA
MT-CO1,MT-CO1
MT-CO2,MT-CO2
MT-ATP8,MT-ATP8
MT-ATP6,MT-ATP6
MT-CO3,MT-CO3
MT-ND3,MT-ND3
MT-ND4,MT-ND4
MT-ND5,MT-ND5
MT-ND6,MT-ND6
MT-TE,MT-TE
MT-CYB,MT-CYB
Y_RNA,Y_RNA
USP9Y,USP9Y
EIF1AY,EIF1AY
RN7SL702P,Metazoa_SRP
RNU6-255P,U6
KDM5D,KDM5D
RN7SKP282,7SK
Y_RNA,Y_RNA
RNU6-941P,U6
RNU6-521P,U6
RNU6-1334P,U6
SRY,SRY
RPS4Y1,RPS4Y1
ZFY,ZFY
DDX3Y,DDX3Y
UTY,UTY
TMSB4Y,TMSB4Y
AMELY,AMELY
TBL1Y,TBL1Y
NLGN4Y,NLGN4Y
RNU6-1314P,U6
RPS4Y2,RPS4Y2
TMPRSS15,TMPRSS15
CXADR,CXADR
URB1,URB1
KRTAP25-1,KRTAP25-1
JAM2,JAM2
CLDN17,CLDN17
KRTAP24-1,KRTAP24-1
SCAF4,SCAF4
NCAM2,NCAM2
MIPEP,MIPEP
CLDN8,CLDN8
HUNK,HUNK
C21orf91,C21H21orf91
KPNA3,KPNA3
MORC3,MORC3
CRYL1,CRYL1
CAB39L,CAB39L
DNAJC15,DNAJC15
GPR12,GPR12
COLEC12,COLEC12
WASF3,WASF3
EPCIP,EPCIP
POSTN,POSTN
CHODL,CHODL
RAB31,RAB31
BACH1,BACH1
YES1,YES1
ETS2,ETS2
KCNJ15,KCNJ15
CELF4,CELF4
FNDC3A,FNDC3A
N6AMT1,N6AMT1
LHFPL6,LHFPL6
AKAP11,AKAP11
ADAMTS5,ADAMTS5
Y_RNA,Y_RNA
PROSER1,PROSER1
Y_RNA,Y_RNA
AKAIN1,AKAIN1
SNORA70,SNORA70
SLC14A2,SLC14A2
RNU6-113P,U6
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RN7SKP147,7SK
RNU6-772P,U6
RNU1-139P,U1
RNU4-45P,U4
Y_RNA,Y_RNA
RN7SKP236,7SK
MIR4759,MIR4759
MIR548X,MIR548X
U6,U6
SNORA62,SNORA62
SNORA80A,SNORA80A
C2CD2,C2CD2
RALBP1,RALBP1
ERICH6B,ERICH6B
PIBF1,PIBF1
SS18,SS18
ZBTB21,ZBTB21
MIR802,ptr-mir-802
RNU6-992P,U6
CBR1,CBR1
BORA,BORA
CBR3,CBR3
EVA1C,EVA1C
KLHL1,KLHL1
SCEL,SCEL
CFAP298,CFAP298
ANKRD12,ANKRD12
TCP10L,TCP10L
FREM2,FREM2
BTG3,BTG3
ARK2N,ARK2N
TBC1D4,TBC1D4
SKA1,SKA1
SAMSN1,SAMSN1
SPRY2,SPRY2
RPRD1A,RPRD1A
KLF5,KLF5
RIT2,RIT2
SIM2,SIM2
CBY2,CBY2
CTAGE1,CTAGE1
Y_RNA,Y_RNA
RIPPLY3,RIPPLY3
HRH4,HRH4
RNU6-696P,U6
UBAC2,UBAC2
RRP1B,RRP1B
MAPK4,MAPK4
RFC3,RFC3
PDXK,PDXK
ARK2C,ARK2C
POU4F1,POU4F1
SPATA13,SPATA13
ST8SIA3,ST8SIA3
RNF152,RNF152
CCDC68,CCDC68
SMAD2,SMAD2
RRP1,RRP1
MED15,MED15
NHLRC3,NHLRC3
AGPAT3,AGPAT3
OLFM4,OLFM4
IPO5,IPO5
RAB27B,RAB27B
TXNL1,TXNL1
RNU6-859P,U6
RNU6-1150P,U6
TRAPPC10,TRAPPC10
CTIF,CTIF
GAREM1,GAREM1
PWP2,PWP2
OSM,OSM
ZBTB7C,ZBTB7C
DIAPH3,DIAPH3
NCF4,NCF4
DYRK1A,DYRK1A
CACNA1I,CACNA1I
BOD1L2,BOD1L2
FBXO15,FBXO15
CDH7,CDH7
PCDH17,PCDH17
SERTM1,SERTM1
SLC7A1,SLC7A1
PRDM15,PRDM15
TPGS2,TPGS2
SLC15A1,SLC15A1
ISX,ISX
ENTHD1,ENTHD1
LIF,LIF
CBX7,CBX7
FOXO1,FOXO1
COG3,COG3
MC4R,MC4R
TMX3,TMX3
EFCAB6,EFCAB6
ADRA1D,ADRA1D
RSPO4,RSPO4
LRCH1,LRCH1
DEFB129,DEFB129
ANGPT4,ANGPT4
SHLD1,SHLD1
CDH20,CDH20
SLX4IP,SLX4IP
PKNOX1,PKNOX1
TBC1D22A,TBC1D22A
BMP2,BMP2
CDADC1,CDADC1
PTPN2,PTPN2
FAM110A,FAM110A
DIS3,DIS3
DEFB126,DEFB126
BTBD3,BTBD3
CBS,CBS
PCSK2,PCSK2
ZNF343,ZNF343
PHLPP1,PHLPP1
SLITRK6,SLITRK6
ZMYM5,ZMYM5
CDH19,CDH19
ISM1,ISM1
SOX1,SOX1
CST5,CST5
MYO16,MYO16
SYNDIG1,SYNDIG1
XRN2,XRN2
C18orf21,C18H18orf21
SNRPB2,SNRPB2
IRS2,IRS2
SPACA7,SPACA7
CST7,CST7
STOML3,STOML3
SLC39A6,SLC39A6
GTSE1,GTSE1
APMAP,APMAP
ANKRD10,ANKRD10
BFSP1,BFSP1
ZBTB14,ZBTB14
SETD4,SETD4
NALF1,NALF1
PCCA,PCCA
GALR1,GALR1
ZNF521,ZNF521
GGTLC1,GGTLC1
CST2,CST1
IMPACT,IMPACT
DSTN,DSTN
TTC38,TTC38
STK35,STK35
SCRT2,SCRT2
CBLN2,CBLN2
NCOA6,NCOA6
TRIOBP,TRIOBP
SLC19A1,SLC19A1
MBP,MBP
COL18A1,COL18A1
DEFB127,DEFB127
SPTLC3,SPTLC3
DEFB115,DEFB115
PIM3,PIM3
SLC23A2,SLC23A2
GRK1,GRK1
DENND6B,DENND6B
OBI1,OBI1
UBL3,UBL3
MLNR,MLNR
FLT3,FLT3
CERK,CERK
CST9L,CST9L
TASP1,TASP1
FAM216B,FAM216B
PPP6R2,PPP6R2
WFDC9,WFDC9
TMEM241,TMEM241
MIR4499,MIR4499
MIR2276,MIR2276
Metazoa_SRP,Metazoa_SRP
RNU5A-4P,U5
RNU6-56P,U6
SNORD116,SNORD116
RNY3P9,Y_RNA
RN7SKP2,7SK
MTCL2,MTCL2
RN7SL700P,Metazoa_SRP
RNU6-60P,U6
RNY3P2,Y_RNA
Metazoa_SRP,Metazoa_SRP
RN7SL618P,Metazoa_SRP
