human gene name,mice gene name,pig gene name
C17orf49,0610010K14Rik,C17orf49
C2orf68,0610030E20Rik,C2orf68
C4orf19,0610040J01Rik,C4orf19
C4orf54,1110002E22Rik,C4orf54
C11orf58,1110004F10Rik,C11orf58
C3orf80,1110032F04Rik,C3orf80
KRTAP19-2,1110057P08Rik,KRTAP22-1
C9orf85,1110059E24Rik,C9orf85
KIAA1143,1110059G10Rik,KIAA1143
C1orf122,1110065P20Rik,C1orf122
C16orf74,1190005I06Rik,C16orf74
C12orf73,1190007I07Rik,UQCC6
C12orf75,1500009L16Rik,C12orf75
SMIM9,1500011B03Rik,C12orf76
C6orf120,1600012H06Rik,C6orf120
C19orf12,1600014C10Rik,C19orf12
GUCA1ANB,1700001C19Rik,CIMIP3
C2orf81,1700003E16Rik,C2orf81
C9orf116,1700007K13Rik,PIERCE1
C19orf81,1700008O03Rik,C19orf81
C6orf118,1700010I14Rik,C20orf96
C4orf51,1700011L22Rik,C4orf51
C11orf97,1700012B09Rik,C11orf97
C19orf73,1700014B07Rik,RPL36AL
C4orf36,1700016H13Rik,C4orf36
C15orf39,1700017B05Rik,C15orf39
C12orf50,1700017N19Rik,C12orf50
C2orf88,1700019D03Rik,C2orf88
C20orf141,1700020A23Rik,C20orf141
C10orf53,1700024G13Rik,C10orf53
C1orf146,1700028K03Rik,C1orf146
C13orf46,1700029H14Rik,C13orf46
C12orf76,1700029I15Rik,HILPDA
C16orf46,1700030J22Rik,C16orf46
C19orf44,1700030K09Rik,C19orf44
C16orf90,1700037C18Rik,C16orf90
C2orf69,1700066M21Rik,C2orf69
C19orf67,1700067K01Rik,C19orf67
C22orf23,1700088E04Rik,C22orf23
TEX54,1700092M07Rik,TEX54
C2orf74,1700093K21Rik,C2orf74
C3orf62,1700102P08Rik,C3orf62
C14orf119,1700123O20Rik,C14orf119
C11orf98,1810009A15Rik,C11orf98
C17orf58,1810010H24Rik,C17orf58
CXorf38,1810030O07Rik,CXorf38
C4orf3,1810037I17Rik,C4orf3
C11orf86,2010003K11Rik,C11orf86
C19orf33,2200002D01Rik,FAM133A
C12orf43,2210016L21Rik,C12orf43
LCE7A,2210017I01Rik,LCE7A
KIAA0825,2210408I21Rik,KIAA0825
C6orf15,2300002M23Rik,C6orf15
C15orf61,2300009A05Rik,C15orf61
C1orf53,2310009B15Rik,C1orf53
C19orf25,2310011J03Rik,C19orf25
C19orf47,2310022A10Rik,C19orf47
C1orf198,2310022B05Rik,C1orf198
C11orf52,2310030G06Rik,C11orf52
C1orf35,2310033P09Rik,C1orf35
C6orf136,2310061I04Rik,C6orf136
C1orf52,2410004B18Rik,C1orf52
C22orf39,2510002D24Rik,C22orf39
C3orf70,2510009E07Rik,C3orf70
KIAA2013,2510039O18Rik,KIAA2013
C1orf210,2610528J11Rik,C1orf210
KIAA0586,2700049A03Rik,KIAA0586
C18orf21,2700062C07Rik,C18orf21
C1orf131,2810004N23Rik,C1orf131
C2orf72,2810459M11Rik,C2orf72
KIAA1671,2900026A02Rik,CRACDL
C2orf76,3110009E18Rik,C2orf76
C15orf40,3110040N11Rik,C15orf40
C7orf50,3110082I17Rik,C7orf50
C10orf71,3425401B19Rik,C10orf71
C5orf34,4833420G17Rik,C5orf34
KIAA1191,4833439L19Rik,KIAA1191
C16orf87,4921524J17Rik,C16orf87
C1orf141,4921539E11Rik,C1orf141
TCHHL1,4930407I10Rik,SPATA31G1
C8orf89,4930444P10Rik,C8orf89
C14orf39,4930447C04Rik,C14orf39
C16orf92,4930451I11Rik,C16orf92
C3orf38,4930453N24Rik,C3orf38
C18orf54,4930503L19Rik,C18orf54
CIMIP6,4930505A04Rik,CIMIP6
C1orf185,4930522H14Rik,C1orf185
KIAA0040,4930523C07Rik,KIAA0040
C5orf47,4930524B15Rik,C5orf47
C17orf107,4930544D05Rik,C17orf107
C11orf65,4930550C14Rik,C11orf65
C1orf105,4930558K02Rik,C1orf105
C8orf74,4930578I06Rik,C8orf74
C4orf17,4930579F01Rik,C4orf17
