crab_eating_macaque gene name,rhesus_macaque gene name,human gene name,mice gene name,pig gene name
C17orf49,C16H17orf49,C17orf49,0610010K14Rik,C17orf49
C2orf68,C13H2orf68,C2orf68,0610030E20Rik,C2orf68
C4orf19,C5H4orf19,C4orf19,0610040J01Rik,C4orf19
C4orf54,C5H4orf54,C4orf54,1110002E22Rik,C4orf54
C11orf58,C14H11orf58,C11orf58,1110004F10Rik,C11orf58
SPMIP6,SPMIP6,C9orf24,1110017D15Rik,SPMIP6
CSTPP1,CSTPP1,C11orf49,1110051M20Rik,CSTPP1
KIAA1143,KIAA1143,KIAA1143,1110059G10Rik,KIAA1143
UQCC6,UQCC6,C12orf73,1190007I07Rik,UQCC6
C6orf120,C4H6orf120,C6orf120,1600012H06Rik,C6orf120
C19orf12,C19H19orf12,C19orf12,1600014C10Rik,C19orf12
CFAP90,CFAP90,C5orf49,1700001L19Rik,CFAP90
PIERCE1,PIERCE1,C9orf116,1700007K13Rik,PIERCE1
C6orf118,C4H6orf118,C6orf118,1700010I14Rik,C20orf96
C4orf51,C5H4orf51,C4orf51,1700011L22Rik,C4orf51
C11orf97,C14H11orf97,C11orf97,1700012B09Rik,C11orf97
CFAP107,CFAP107,C1orf158,1700012P22Rik,CFAP107
SPMIP3,SPMIP3,C1orf100,1700016C15Rik,SPMIP3
C4orf36,C5H4orf36,C4orf36,1700016H13Rik,C5orf52
C15orf39,C7H15orf39,C15orf39,1700017B05Rik,C15orf39
C12orf50,C11H12orf50,C12orf50,1700017N19Rik,C12orf50
C2orf88,C12H2orf88,C2orf88,1700019D03Rik,C2orf88
C20orf141,C10H20orf141,C20orf141,1700020A23Rik,C20orf141
CIMIP1,CIMIP1,C20orf85,1700021F07Rik,CIMIP1
C10orf53,C9H10orf53,C10orf53,1700024G13Rik,C10orf53
C13orf46,C17H13orf46,C13orf46,1700029H14Rik,C13orf46
CFAP96,CFAP96,C4orf47,1700029J07Rik,CFAP96
C19orf44,C19H19orf44,C19orf44,1700030K09Rik,C19orf44
FUNDC2,FUNDC2,FUNDC2,1700034I23Rik,FUNDC2
C16orf90,C20H16orf90,C16orf90,1700037C18Rik,C16orf90
TMEM119,TMEM119,SMIM33,1700066B19Rik,SMIM33
C2orf69,C12H2orf69,C2orf69,1700066M21Rik,C2orf69
C19orf67,C19H19orf67,C19orf67,1700067K01Rik,C19orf67
C2orf74,C13H2orf74,C2orf74,1700093K21Rik,C2orf74
C3orf62,C2H3orf62,C3orf62,1700102P08Rik,C3orf62
ZNF292,CCDC197,CCDC197,1700125H20Rik,C17orf78
DCAF16,DCAF16,DCAF16,1700129C05Rik,POMP
LIN52,LIN52,C16orf72,1810013L24Rik,HAPSTR1
CFAP92,CFAP92,CFAP92,1810020O05Rik,CFAP92
POU2AF2,POU2AF2,C11orf53,1810046K07Rik,POU2AF2
C11orf86,C14H11orf86,C11orf86,2010003K11Rik,C11orf86
C19orf33,C19orf33,C19orf33,2200002D01Rik,FAM133A
QNG1,QNG1,C9orf64,2210016F16Rik,QNG1
C6orf15,C4H6orf15,C6orf15,2300002M23Rik,C6orf15
C15orf61,C7H15orf61,C15orf61,2300009A05Rik,C15orf61
C1orf198,C1H1orf198,C1orf198,2310022B05Rik,C1orf198
C11orf52,C14H11orf52,C11orf52,2310030G06Rik,C11orf52
C1orf35,C1H1orf35,C1orf35,2310033P09Rik,C1orf35
C1orf52,C1H1orf52,C1orf52,2410004B18Rik,C1orf52
KIAA2013,KIAA2013,KIAA2013,2510039O18Rik,KIAA2013
CFAP418,CFAP418,CFAP418,2610301B20Rik,CFAP418
BLTP2,KIAA0100,KIAA0100,2610507B11Rik,BLTP2
C1orf210,C1H1orf210,C1orf210,2610528J11Rik,C1orf210
KIAA0586,KIAA0586,KIAA0586,2700049A03Rik,KIAA0586
C1orf131,C1H1orf131,C1orf131,2810004N23Rik,C1orf131
KIAA1671,KIAA1671,KIAA1671,2900026A02Rik,CRACDL
C7orf50,C3H7orf50,C7orf50,3110082I17Rik,C7orf50
C10orf71,C9H10orf71,C10orf71,3425401B19Rik,C10orf71
CEP15,CEP15,C3orf14,3830406C13Rik,CEP15
KIAA1191,KIAA1191,KIAA1191,4833439L19Rik,KIAA1191
ZC2HC1C,ZC2HC1C,ZC2HC1C,4921517D22Rik,CT83
C1orf141,C1H1orf141,C1orf141,4921539E11Rik,C1orf141
TEKTIP1,TEKTIP1,C19orf71,4930404N11Rik,TEKTIP1
TCHHL1,TCHHL1,TCHHL1,4930407I10Rik,SPATA31G1
C3orf38,C2H3orf38,C3orf38,4930453N24Rik,C3orf38
C18orf54,C18H18orf54,C18orf54,4930503L19Rik,C18orf54
C1orf185,C1H1orf185,C1orf185,4930522H14Rik,C1orf185
KIAA0040,KIAA0040,KIAA0040,4930523C07Rik,KIAA0040
TMEM270,TMEM270,C17orf107,4930544D05Rik,C17orf107
C8orf74,C8H8orf74,C8orf74,4930578I06Rik,C8orf74
C4orf17,C5H4orf17,C4orf17,4930579F01Rik,C4orf17
C4orf46,C5H4orf46,C4orf46,4930579G24Rik,C4orf46
MATCAP1,MATCAP1,KIAA0895L,4931428F04Rik,MATCAP1
EPCIP,EPCIP,C21orf62,4932438H23Rik,EPCIP
C16orf78,C20H16orf78,C16orf78,4933402J07Rik,C16orf78
C10orf120,C9H10orf120,C10orf120,4933402N03Rik,C14H10orf120
C1orf43,C1H1orf43,C1orf43,4933434E20Rik,C1orf43
C1orf216,C1H1orf216,C1orf216,5730409E04Rik,C1orf216
C17orf75,C16H17orf75,C17orf75,5730455P16Rik,C17orf75
C5orf22,C6H5orf22,C5orf22,6030458C11Rik,C5orf22
KIAA0513,KIAA0513,KIAA0513,6430548M08Rik,KIAA0513
ZCCHC24,COMTD1,TLX2,6430628N08Rik,ARK2C
ARK2N,ARK2N,C18orf25,8030462N17Rik,ARK2N
KIAA0408,KIAA0408,KIAA0408,9330159F19Rik,KIAA0408
C1orf159,C1H1orf159,C1orf159,9430015G10Rik,RELT
MATCAP2,MATCAP2,KIAA0895,9530077C05Rik,MATCAP2
BRD10,BRD10,KIAA2026,9930021J03Rik,BRD10
AIRIM,AIRIM,C1orf109,9930104L06Rik,AIRIM
C1orf74,C1H1orf74,C1orf74,A130010J15Rik,C1orf74
A1CF,A1CF,A1CF,A1cf,A1CF
A4GALT,A4GALT,A4GALT,A4galt,A4GALT
SP100,SP100,SP100,A630001G21Rik,SP110
FAM229B,FAM229B,CSAG1,A630095N17Rik,FAM229B
C8orf34,C8H8orf34,C8orf34,A830018L16Rik,C8orf34
PRR35,PRR35,PRR35,A930017K11Rik,PRR35
C1orf116,C1H1orf116,C1orf116,AA986860,C1orf116
