Gene name,White-tufted-ear marmoset gene name
ZNF692,ZNF692
SH3BP5L,SH3BP5L
LYPD8,LYPD8
OR2T27,OR2T27
Y_RNA,Y_RNA
OR2T10,OR2T10
OR9G1,OR9G1
OR2T1,OR2T1
OR2T6,OR2T6
TRIM58,TRIM58
OR6F1,OR6F1
OR13G1,OR13G1
GCSAML,GCSAML
OR2B11,OR2B11
NLRP3,NLRP3
ZNF496,ZNF496
ZNF124,ZNF124
ZNF670,ZNF670
AHCTF1,AHCTF1
SCCPDH,SCCPDH
U6,U6
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
U6,U6
Y_RNA,Y_RNA
Metazoa_SRP,Metazoa_SRP
Metazoa_SRP,Metazoa_SRP
U6,U6
U6,U6
GJA8,GJA8
ID3,ID3
Metazoa_SRP,Metazoa_SRP
CNST,CNST
CCDC190,CCDC190
TFB2M,TFB2M
Y_RNA,Y_RNA
Y_RNA,Y_RNA
SMYD3,SMYD3
U6,U6
NPR1,NPR1
KIF26B,KIF26B
U1,U1
SH2D5,SH2D5
EFCAB2,EFCAB2
KIAA1143,KIAA1143
U6,U6
SERP1,SERP1
HNRNPU,HNRNPU
PSEN2,PSEN2
DESI2,DESI2
COL8A2,COL8A2
CATSPERE,CATSPERE
COQ8A,COQ8A
ADPRS,ADPRS
CIART,CIART
ADSS2,ADSS
TEKT2,TEKT2
DTL,DTL
SPMIP3,SPMIP3
AGO3,AGO3
E2F2,E2F2
ZBTB18,ZBTB18
PPP2R5A,PPP2R5A
POU3F1,POU3F1
ASAP3,ASAP3
AGO1,AGO1
PACC1,PACC1
DDOST,KIF17
AKT3,AKT3
PPP2R3A,PPP2R3A
SNAPIN,SNAPIN
SLC6A9,SLC6A9
GPR160,GPR160
PINK1,PINK1
CHTOP,CHTOP
U4,U4
TCEA3,TCEA3
S100A1,S100A1
CDA,CDA
EPHB3,EPHB3
CCDC24,CCDC24
S100A13,S100A13
AGO4,AGO4
MSL2,MSL2
Y_RNA,Y_RNA
B4GALT2,B4GALT2
FAM43B,FAM43B
S100A16,S100A16
CDC42BPA,CDC42BPA
DNAH1,DNAH1
ZNF436,ZNF436
MAGEF1,MAGEF1
S100A2,S100A2
MUL1,MUL1
Metazoa_SRP,Metazoa_SRP
PHC3,PHC3
SDCCAG8,SDCCAG8
S100A3,S100A3
GLUL,GLUL
CAMK2N1,CAMK2N1
S100A4,S100A4
DPH2,DPH2
HNRNPR,HNRNPR
S100A5,S100A5
S100A6,S100A6
TEDDM1,TEDDM1
PCCB,PCCB
FCAMR,FCAMR
VWA5B1,VWA5B1
GJA5,CXNI
CLSPN,CLSPN
C1H1orf116,C1orf116
Metazoa_SRP,Metazoa_SRP
HTR1D,HTR1D
YOD1,YOD1
RGSL1,RGSL1
ATF3,ATF3
CHL1,CHL1
USP24,USP24
LUZP1,LUZP1
GCLM,GCLM
BAP1,BAP1
U6,U6
IPO13,IPO13
PFKFB2,PFKFB2
UBXN10,UBXN10
C1H1orf54,C1orf54
BATF3,BATF3
S100A8,S100A8
C1H1orf216,C1orf216
S100A12,S100A12
S100A9,S100A9
DNTTIP2,DNTTIP2
PLA2G2F,PLA2G2F
RNASEL,RNASEL
PGLYRP4,PGLYRP4
NSL1,NSL1
PSMB2,PSMB2
U6,U6
PGLYRP3,PGLYRP3
MIR760,MIR760
Metazoa_SRP,Metazoa_SRP
PLA2G2D,PLA2G2D
Metazoa_SRP,Metazoa_SRP
C4BPB,C4BPB
RGS16,RGS16
ARTN,ARTN
TFAP2E,TFAP2E
TATDN3,TATDN3
PRR9,PRR9
PLA2G5,PLA2G5
PRKCI,PRKCI
PHF7,PHF7
SPATA45,SPATA45
RGS8,RGS8
Metazoa_SRP,Metazoa_SRP
NCDN,NCDN
BCAR3,BCAR3
ZBTB8B,ZBTB8B
Metazoa_SRP,Metazoa_SRP
FLVCR1,FLVCR1
PLA2G2E,PLA2G2E
VPS8,VPS8
SEMA3G,SEMA3G
ST3GAL3,ST3GAL3
CEP170,CEP170
UTP11,UTP11
OTUD3,OTUD3
SPRR3,SPRR3
VASH2,VASH2
TNNC1,TNNC1
Metazoa_SRP,Metazoa_SRP
FNBP1L,FNBP1L
BSDC1,BSDC1
RNF186,RNF186
NPL,NPL
HIVEP3,HIVEP3
CD55,CD55
KIAA0319L,KIAA0319L
ANGEL2,ANGEL2
TMCO4,TMCO4
U6,U6
STAG1,STAG1
FOXO6,FOXO6
Y_RNA,Y_RNA
TEX46,TEX46
Metazoa_SRP,Metazoa_SRP
HTR6,HTR6
Metazoa_SRP,Metazoa_SRP
NISCH,NISCH
LACTBL1,LACTBL1
KDM4A,KDM4A
SKIL,SKIL
Metazoa_SRP,Metazoa_SRP
DHX9,DHX9
SCMH1,SCMH1
CR2,CR2
NBL1,NBL1
CCDC18,CCDC18
GTPBP8,GTPBP8
PLD5,PLD5
CNTN6,CNTN6
CLDN11,CLDN11
MRPS25,MRPS25
TMIGD3,TMIGD3
EPHB2,EPHB2
RPS6KC1,RPS6KC1
TSSK3,TSSK3
NEPRO,NEPRO
SLC7A14,SLC7A14
FAM229A,FAM229A
U6,U6
CRCT1,CRCT1
RBSN,ZFYVE20
C1H1orf162,C1orf162
CTPS1,CTPS1
SHCBP1L,SHCBP1L
BECN2,BECN2
CR1L,CR1L
TMED5,TMED5
RUSC1,RUSC1
HDAC1,HDAC1
EXO1,EXO1
RPL22L1,RPL22L1
LAMC1,LAMC1
U4,U4
C1QB,C1QB
EIF5A2,EIF5A2
TRH,TRH
U1,U1
APH1A,APH1A
C1QC,C1QC
MTF2,MTF2
LCK,LCK
CITED4,CITED4
SLC2A2,SLC2A2
CAPZB,CAPZB
ACP6,ACP6
WDR64,WDR64
CD46,CD46
KCNQ4,KCNQ4
OVGP1,OVGP1
CNTN4,CNTN4
TMCC1,TMCC1
BCL9,BCL9
PCSK9,PCSK9
Metazoa_SRP,Metazoa_SRP
U6,U6
Y_RNA,Y_RNA
Y_RNA,Y_RNA
EPHA8,EPHA8
LAMC2,LAMC2
ZMYM4,ZMYM4
STAB1,STAB1
Y_RNA,Y_RNA
FMO5,FMO5
FHL3,FHL3
IL5RA,IL5RA
SLC66A1,SLC66A1
KIF15,KIF15
NFYC,NFYC
OPN3,OPN3
FAM167B,FAM167B
U6,U6
Metazoa_SRP,Metazoa_SRP
U6,U6
TRNT1,TRNT1
EIF3I,EIF3I
PLXND1,PLXND1
KMO,KMO
Y_RNA,Y_RNA
LDLRAP1,LDLRAP1
SLC35G2,SLC35G2
ZBTB40,ZBTB40
TMEM234,TMEM234
DIPK1A,DIPK1A
BSND,BSND
EIF2A,EIF2A
CIMAP3,CIMAP3
MIR29C,MIR29C
mml-mir-29b-2,cja-mir-29b-1
PROX1,PROX1
TMEM61,TMEM61
CHD1L,CHD1L
CHIA,CHIA
FH,FH
AKR7A2,AKR7A2
NCK1,NCK1
mml-mir-30c-1,MIR30C1
IQCC,IQCC
NMNAT2,NMNAT2
CD34,CD34
DHCR24,DHCR24
SNORD21,SNORD21
U6,U6
MACO1,MACO1
SMYD2,SMYD2
IL20RB,IL20RB
RIMS3,RIMS3
C2H3orf70,C3orf70
CHI3L2,CHI3L2
CIMAP2,CIMAP2
H1-8,H1-8
PRKAB2,PRKAB2
PTPN14,PTPN14
PTPRF,PTPRF
RHO,RHO
EHHADH,EHHADH
RGS7,RGS7
WNT4,WNT4
SETMAR,SETMAR
DCDC2B,DCDC2B
EVI5,EVI5
INPP5B,INPP5B
RHCE,RHCE
PLXNA2,PLXNA2
ZNF684,ZNF684
Metazoa_SRP,Metazoa_SRP
CCDC28B,CCDC28B
TNIK,TNIK
EXO5,EXO5
DENND2D,DENND2D
SUMF1,SUMF1
CLDN18,CLDN18
CDC42,CDC42
5S_rRNA,5S_rRNA
MAP3K13,MAP3K13
ZFP69B,ZFP69B
