A	B	source
ABCC5	ABCC5	only_in_union
CFAP54	CFAP54	only_in_union
EEF1B2	EEF1B2	only_in_union
OR4C13	OR4C46	only_in_union
DEXI	SMIM45	only_in_union
HNRPA1LK1	HNRNPA1L2	only_in_union
PCDHB11	PCDHB3	only_in_union
IGLC7	IGLC7	only_in_union
SNRPG	SNRPE	only_in_union
GMPS	GMPS	only_in_union
NOP2	NOP2	only_in_union
H2BC4	H2BC13	only_in_union
ZNF253	ZNF253	only_in_union
SOX3	SOX21	only_in_union
PPP4R2	PPP4R2	only_in_union
DYNLT1	DYNLT1	only_in_union
FOXD4L4	FOXD4	only_in_union
RPS15A	RPS15A	only_in_union
TMEM234	TMEM234	only_in_union
FXYD5	FXYD5	only_in_union
TPSB2	TPSD1	only_in_union
CBFA2T2	CBFA2T2	only_in_union
SLX9	SLX9	only_in_union
CPT1A	CPT1A	only_in_union
SIGLEC13	SIGLEC14	only_in_union
RPL35A	RPL35A	only_in_union
PRSS22	PRSS33	only_in_union
PSG9	PSG4	only_in_union
KLK3	KLK3	only_in_union
TRAV26-2	TRAV4	only_in_union
THNSL2	THNSL2	only_in_union
BTF3L4	BTF3L4	only_in_union
KCTD9	KCTD9	only_in_union
TRBV25-1	TRBV4-2	only_in_union
CTBP2	CTBP2	only_in_union
EIF2S2	EIF2S2	only_in_union
OR10C1	OR10P1	only_in_union
H2AZ2	H2AZ2	only_in_union
GH1	GH-N	only_in_union
KIAA2013	KIAA2013	only_in_union
ATN1	C12orf57	only_in_union
RPS3	RPS3	only_in_union
FAM90A26	FAM90A1	only_in_union
MTHFD1	MTHFD1L	only_in_union
IFNA5	IFNA1	only_in_union
WIPF1	WIPF1	only_in_union
AP2A2	AP2A2	only_in_union
H2BC21	H2BC21	only_in_union
LDHB	LDHB	only_in_union
LSM3	LSM3	only_in_union
RGS20	RGS20	only_in_union
MXRA7	MMP24OS	only_in_union
KRTAP21-1	KRTAP21-2	only_in_union
KRTAP6-3	KRTAP6-3	only_in_union
LPA	LPA	only_in_union
ACYP1	POLR2G	only_in_union
TMEM161B	TMEM161B	only_in_union
OR4K2	OR4K5	only_in_union
GTF2IRD1	GTF2IRD1	only_in_union
UBE2V2	UBE2V2	only_in_union
CKS1B	CKS1B	only_in_union
CHP1	CHP1	only_in_union
ACTR3B	ACTR3	only_in_union
RPS27	RPS27	only_in_union
COL9A3	COL9A3	only_in_union
PPP5C	PPP5C	only_in_union
OR2T4	OR2T10	only_in_union
POLD1	SPIB	only_in_union
PABPC1	PABPC1L	only_in_union
MAP2K4	MAP2K4	only_in_union
TCEAL4	TCEAL2	only_in_union
NME1	NME1	only_in_union
CENPVL2	CENPVL1	only_in_union
PCDHGA1	PCDHB12	only_in_union
DNAJC8	DNAJC8	only_in_union
PATZ1	PATZ1	only_in_union
POLR3G	POLR3G	only_in_union
PABPC1L	PABPC4L	only_in_union
DEFB124	DEFB108B	only_in_union
RPL34	RPL34	only_in_union
TRPM4	TRPM4	only_in_union
IRF2BP2	IRF2BPL	only_in_union
ZNF429	ZNF430	only_in_union
CDKN2A	CDKN2A	only_in_union
RPLP1	RPLP1	only_in_union
HSD17B14	HSD17B14	only_in_union
CYP11B1	CYP11B2	only_in_union
SPANXN5	SPANXN5	only_in_union
ZFP82	ZFP14	only_in_union
USP4	USP32	only_in_union
HMGB3	HMGB3	only_in_union
EIF5A	EIF5A	only_in_union
ELOC	ELOC	only_in_union
MAF1	WDR97	only_in_union
KRTAP9-1	KRTAP9-6	only_in_union
OR11A1	OR6T1	only_in_union
PSMA6	PSMA6	only_in_union
ATAD3B	ATAD3A	only_in_union
LCN12	LCNL1	only_in_union
CHRNA7	CHRFAM7A	only_in_union
RPS14	RPS14	only_in_union
FOXD1	FOXL2	only_in_union
SMCP	SPRR4	only_in_union
MICB	MICB	only_in_union
RPS20	RPS20	only_in_union
LSM14A	LSM14A	only_in_union
H3-3A	H3-3A	only_in_union
PSMD7	PSMD7	only_in_union
SNRNP200	SNRNP200	only_in_union
RPS16	RPS16	only_in_union
OR10A7	OR10A4	only_in_union
TRAV12-1	TRAV36DV7	only_in_union
IFT20	IFT20	only_in_union
OR10H3	OR10H1	only_in_union
EFCAB3	EFCAB3	only_in_union
ACYP2	ACYP2	only_in_union
NUDT16	NUDT16	only_in_union
CCL4	CCL4	only_in_union
GP6	GP6	only_in_union
ADAM21	ADAM21	only_in_union
RNF168	RNF168	only_in_union
SNRPF	SNRPF	only_in_union
OR6C74	OR6C75	only_in_union
TRIM49B	TRIM48	only_in_union
RPL13	RPL13	only_in_union
POLD3	POLD3	only_in_union
RFK	RFK	only_in_union
DNAJA1	DNAJA1	only_in_union
LILRB1	LILRB1	only_in_union
GABARAP	GABARAP	only_in_union
GPR132	GPR132	only_in_union
USP12	USP12	only_in_union
SLC6A18	SLC6A19	only_in_union
ZNF850	ZNF594	only_in_union
LFNG	LFNG	only_in_union
IGHV3OR16-13	IGHV3-20	only_in_union
RPL37	RPL37	only_in_union
RAB7A	RAB7A	only_in_union
ADH1B	ADH1C	only_in_union
FUNDC1	FUNDC1	only_in_union
DUS1L	DUS1L	only_in_union
ZNF568	ZNF568	only_in_union
ZNF737	ZNF737	only_in_union
SPATA31E1	SPATA31D1	only_in_union
SPRR2D	SPRR2F	only_in_union
MAPRE1	MAPRE1	only_in_union
TUBA8	TUBA8	only_in_union
PATR-B	HLA-B	only_in_union
CDK5RAP3	CDK5RAP3	only_in_union
BHMT2	BHMT2	only_in_union
HSP90AB1	HSP90AB1	only_in_union
SFI1	SFI1	only_in_union
DDX19B	DDX19B	only_in_union
CSNK1A1	CSNK1A1	only_in_union
STK36	STK36	only_in_union
SAMD1	C1orf202	only_in_union
PRAMEF19	PRAMEF18	only_in_union
COL23A1	COL23A1	only_in_union
SAP18	SAP18	only_in_union
ZNF552	ZNF587B	only_in_union
ANKRD36C	ANKRD30B	only_in_union
PDE6A	PDE6B	only_in_union
ODF2L	ODF2L	only_in_union
SPATA1	CXorf65	only_in_union
CES5A	CES1	only_in_union
RPL32	RPL32	only_in_union
ZFAND2B	ZFAND2A	only_in_union
LHB	LHB	only_in_union
ZNF544	ZNF773	only_in_union
ZNF772	ZNF772	only_in_union
HNRNPC	HNRNPC	only_in_union
ZNF517	ZNF517	only_in_union
ZNF829	ZNF383	only_in_union
ZNF600	ZNF808	only_in_union
ALG1L	ALG1L2	only_in_union
