mice gene name,pig gene name,correlation
Dynll1,DYNLL1,1.0000021
Mab21l2,MAB21L2,1.0000018
Ube2r2,UBE2R2,1.0000018
Rps17,RPS17,1.0000017
Twist2,TWIST2,1.0000017
Hoxc8,HOXC8,1.0000012
Cabp7,CABP7,1.000001
Timm10,TIMM10,1.000001
Rpl36,RPL36,1.0000008
Snrpg,SNRPG,1.0000008
Rhob,RHOB,1.0000005
Eif1ax,EIF1AY,1.0000002
H3c13,H3C14,1.0000002
Rpl32,RPL32,1.0
C1ql3,C1QL3,0.99999994
H2bc14,H2BC5,0.99999994
Zfp664,ZNF664,0.9999998
Otp,OTP,0.99999976
Arf6,ARF6,0.9999997
H2bc18,H2BC18,0.9999997
Etf1,ETF1,0.99999964
Ost4,OST4,0.99999964
Eif2s1,EIF2S1,0.9999995
Nxph1,NXPH1,0.9999995
Phf5a,PHF5A,0.9999995
Ywhag,YWHAG,0.9999995
Myl12b,MYL12B,0.99999946
H2aw,H2AC25,0.9999994
Romo1,ROMO1,0.9999994
Rps4x,RPS4X,0.9999994
H3c1,H3C4,0.9999992
Psmc1,PSMC1,0.9999992
H2ac20,H2AC20,0.99999917
Hoxc5,HOXC5,0.99999905
Serp1,SERP1,0.99999905
Snx3,SNX3,0.99999887
Rap2b,RAP2B,0.99999875
Cacng7,CACNG7,0.9999976
Ebf2,EBF2,0.9999681
Ube2z,UBE2Z,0.9999283
Kpnb1,KPNB1,0.9999189
Lrrc3b,LRRC3B,0.9999176
Gnaq,GNAQ,0.9999142
Kcnd2,KCND2,0.9999081
Pou4f1,POU4F1,0.9998893
Foxb1,FOXB1,0.99988806
Sp9,SP9,0.999887
Spryd3,SPRYD3,0.99988085
Zmat2,ZMAT2,0.9998721
Ppp2ca,PPP2CA,0.999852
Efna5,EFNA5,0.9998442
Sf3b4,SF3B4,0.99984384
Sox21,SOX21,0.9998302
Sv2a,SV2A,0.99982417
Klhl14,KLHL14,0.99981976
Wnt7a,WNT7A,0.9998101
Tfap2a,TFAP2A,0.99980956
Enc1,ENC1,0.9998038
Six1,SIX1,0.9997778
Hnrnph2,HNRNPH2,0.99977267
Rap2c,RAP2C,0.99975663
Pou3f1,POU3F1,0.99974555
Cbln1,CBLN1,0.999742
Slc32a1,SLC32A1,0.99973804
Rtcb,RTCB,0.9997298
Lingo1,LINGO1,0.9997201
Trpc4ap,TRPC4AP,0.9997153
Has2,SHAS2,0.9997101
Gdf11,GDF11,0.99970376
Prkcb,PRKCB,0.99969625
Kcns2,KCNS2,0.99969435
Tfap2b,TFAP2B,0.99969375
Mfap1a,MFAP1,0.9996926
Ssna1,SSNA1,0.9996865
Zic1,ZIC1,0.99966717
Gpr173,GPR173,0.9996652
Cnnm2,CNNM2,0.99964863
Zbtb14,ZBTB14,0.9996434
Rps3a1,RPS3A,0.9996421
Kcna2,KCNA2,0.9996418
Emc3,EMC3,0.9996362
Glra2,GLRA2,0.999633
Plagl2,PLAGL2,0.9996318
Mafg,MAFG,0.99962264
Olig3,OLIG3,0.9996215
Kctd21,KCTD21,0.9996122
Hoxb5,HOXB5,0.9996072
Brinp1,BRINP1,0.999606
Lhx5,LHX5,0.99960387
Snu13,SNU13,0.9995911
Barhl1,BARHL1,0.9995872
Hoxb6,HOXB6,0.99957544
Pou3f2,POU3F2,0.99955875
Nog,NOG,0.9995573
Tfap2d,TFAP2D,0.9995532
Prox1,PROX1,0.99954504
Cnr1,CNR1,0.9995437
Kcnj2,KCNJ2,0.99954295
H2bu1-ps,H2BC26,0.9995429
Kpna3,KPNA3,0.9995418
Grin1,GRIN1,0.9995372
Flnc,FLNC,0.999533
Copb1,COPB1,0.99953276
Pou3f3,POU3F3,0.99952996
Ogt,OGT,0.9995258
Rab39b,RAB39B,0.9995206
Sptbn1,SPTBN1,0.99951553
Rims4,RIMS4,0.9995096
Jun,JUN,0.999506
Arhgap35,ARHGAP35,0.99950564
Cacng2,CACNG2,0.9995014
Zfp503,ZNF503,0.999499
Tex261,TEX261,0.99949604
Kcnj10,KCNJ10,0.9994931
Ppp2r5b,PPP2R5B,0.999491
Kcna1,KCNA1,0.9994895
Hand2,HAND2,0.9994883
Dmap1,DMAP1,0.99948496
Grid1,GRID1,0.9994847
Snw1,SNW1,0.99948275
Gria2,GRIA2,0.99948263
Pank3,PANK3,0.999477
Onecut2,ONECUT2,0.9994657
Bmp4,BMP4,0.99946517
Snrnp200,SNRNP200,0.9994635
Pou4f2,POU4F2,0.9994533
Prdm12,PRDM12,0.9994515
Zyg11b,ZYG11B,0.9994485
Slitrk1,SLITRK1,0.9994353
Rps18-ps5,RPS18,0.99943477
H2bc4,H2BC11,0.9994312
Gfpt2,GFPT2,0.99942976
Ormdl3,ORMDL3,0.99942476
Fem1b,FEM1B,0.9994242
Plcl2,PLCL2,0.9994205
Mb21d2,MB21D2,0.99941826
Kcnk12,KCNK12,0.9994178
Tmem121,TMEM121,0.9994162
Six2,SIX2,0.99941564
Abtb2,ABTB2,0.9994134
Yy1,YY1,0.99940217
Grik1,GRIK1,0.99940205
Tmem60,TMEM60,0.9994003
Trappc5,TRAPPC5,0.99939543
Taf5,TAF5,0.99939364
Gng11,GNG11,0.9993892
Zic2,ZIC2,0.99938864
Hoxc13,HOXC13,0.9993882
Wnt6,WNT6,0.99937767
Fut9,FUT9,0.99937624
Lmx1a,LMX1A,0.9993623
Kctd12,KCTD12,0.99935746
Neurod1,NEUROD1,0.9993571
Irf6,IRF6,0.9993548
Mtrex,MTREX,0.999351
Wnt2,WNT2,0.99934775
Daam1,DAAM1,0.99934757
Selenot,SELENOT,0.999347
Dvl3,DVL3,0.9993395
Crabp1,CRABP1,0.9993368
Flnb,FLNB,0.9993349
Meox2,MEOX2,0.9993338
Trpc5,TRPC5,0.9993333
Kcnd3,KCND3,0.9993276
Wnt1,WNT1,0.99932754
Tmem203,TMEM203,0.99932474
Cnot4,CNOT4,0.999324
Cdh11,CDH11,0.99932086
Acvr2a,ACVR2A,0.999319
Neurod6,NEUROD6,0.9993164
Pdk2,PDK2,0.9993152
H2ac12,H2AC12,0.99931294
Ankrd34a,ANKRD34A,0.9993101
Tle4,TLE4,0.9993048
Dcaf12,DCAF12,0.9992896
Gjc1,GJC1,0.99928653
Clvs1,CLVS1,0.9992861
Adgrb2,ADGRB2,0.999281
Lbx1,LBX1,0.9992786
Pou3f4,POU3F4,0.9992661
Myh7b,MYH7B,0.9992646
Zdhhc15,ZDHHC15,0.9992575
Neurod2,NEUROD2,0.99925214
Sox1,SOX1,0.99924594
Strn3,STRN3,0.9992426
Gnb3,GNB3,0.99923897
Rps26,RPS26,0.99923486
Fmnl2,FMNL2,0.9992314
Arntl,BMAL1,0.9992215
Rap2a,RAP2A,0.99921733
Tafa1,TAFA1,0.9992107
Nckap1,NCKAP1,0.9992084
Lhfpl5,LHFPL5,0.99920297
Fam20b,FAM20B,0.999196
Spin1,SPIN1,0.9991865
Klhl9,KLHL9,0.9991808
Sox2,SOX2,0.9991701
Gtf2b,GTF2B,0.9991682
Epha7,EPHA7,0.9991628
Gjd2,GJD2,0.99916214
Gbx2,GBX2,0.9991448
Gjb1,GJB1,0.9991414
Slitrk2,SLITRK2,0.9991378
Rpl22,RPL22,0.9991376
Pip4k2b,PIP4K2B,0.99913675
Wnt3,WNT3,0.9991353
Castor2,CASTOR2,0.99912924
Egr3,EGR3,0.99911773
Foxa1,FOXA1,0.9991171
Mbtps1,MBTPS1,0.9991131
Rpl35a,RPL35A,0.9991091
Gpr27,GPR27,0.9991073
Ctcf,CTCF,0.99910533
Ctps,CTPS1,0.9990935
Fem1c,FEM1C,0.9990905
Maf,MAF,0.9990866
Nkx6-2,NKX6-2,0.99908286
Otof,OTOF,0.9990709
Tmem178,TMEM178A,0.9990647
Prrx1,PRRX1,0.9990646
Lrrn1,LRRN1,0.9990606
Abce1,ABCE1,0.99905795
Pcdh17,PCDH17,0.99904233
Top2a,TOP2A,0.9990406
Olig2,OLIG2,0.99903876
Fbn1,FBN1,0.9990377
Arx,ARX,0.99903727
Zmiz1,ZMIZ1,0.999034
Brpf1,BRPF1,0.9990127
H2ax,H2AX,0.9990092
Cacna1g,CACNA1G,0.99900883
Tubb4b,TUBB,0.9990012
Cacnb3,CACNB3,0.99899954
Usp12,USP12,0.998995
Foxg1,FOXG1,0.9989885
Zdhhc5,ZDHHC5,0.9989881
Gm28035,LRRC8A,0.9989838
Ago2,AGO2,0.99898064
Arl5a,ARL5A,0.9989771
Dipk2a,DIPK2A,0.99897563
Fmnl3,FMNL3,0.99896985
Sap18b,SAP18,0.9989484
Smad5,SMAD5,0.9989348
Gnaz,GNAZ,0.99892426
Cdc5l,CDC5L,0.99892294
Dyrk2,DYRK2,0.99891615
Rbm46,RBM46,0.9989158
Extl3,EXTL3,0.99891335
H2aj,H2AJ,0.9989063
Grem1,GREM1,0.9989015
Ush1g,USH1G,0.9989012
Nlgn1,NLGN1,0.9988946
Cnnm1,CNNM1,0.99889374
Wnt9a,WNT9A,0.99888957
Zdhhc9,ZDHHC9,0.9988893
Sf3b5,SF3B5,0.9988772
Lingo2,LINGO2,0.99887127
Rbm10,RBM10,0.9988712
Tmem47,TMEM47,0.99886674
Ssrp1,SSRP1,0.9988653
Dlgap3,DLGAP3,0.9988632
Ppwd1,PPWD1,0.99885833
Prpf8,PRPF8,0.99885726
Zswim5,ZSWIM5,0.99885654
Rnf152,RNF152,0.998855
Chmp4b,CHMP4B,0.9988537
Osbpl6,OSBPL6,0.9988481
Cadps2,CADPS2,0.9988392
Sf3a3,SF3A3,0.99883246
Cdh20,CDH20,0.99882925
H2ac21,H2AC21,0.99882406
Il1rapl2,IL1RAPL2,0.9988236
Ccin,CCIN,0.9988197
Klhl2,KLHL2,0.99881935
Olfm2,OLFM2,0.998818
Myh3,MYH3,0.99881047
Atp2a2,ATP2A2,0.9988075
Thoc3,THOC3,0.9988071
Clcn3,CLCN3,0.99880505
Nipbl,NIPBL,0.9987986
Lix1l,LIX1L,0.99879134
Sfrp2,SFRP2,0.9987789
Ints3,INTS3,0.99877733
Slitrk3,SLITRK3,0.99877334
Mafb,MAFB,0.99876034
Atp2b3,ATP2B3,0.9987562
Dhx38,DHX38,0.9987464
Efnb3,EFNB3,0.9987438
Adam11,ADAM11,0.9987386
Nrarp,NRARP,0.99873805
Jup,JUP,0.99873483
Rab9b,RAB9B,0.99873394
Abhd2,ABHD2,0.9987243
Rnf122,RNF122,0.9987224
Tcf15,TCF15,0.998719
Kctd4,KCTD4,0.9987154
Pik3ca,PIK3CA,0.99871486
Ing2,ING2,0.9987141
Ddx3x,DDX3X,0.99871314
Glra3,GLRA3,0.9987128
Prkd1,PRKD1,0.9987122
Jph4,JPH4,0.99871105
E130308A19Rik,KIAA1958,0.99871
Vcpip1,VCPIP1,0.99870807
Zcchc24,ZCCHC24,0.9987072
Tmem240,TMEM240,0.9987026
Cacna2d2,CACNA2D2,0.99870133
Upf1,UPF1,0.9986949
Epha6,EPHA6,0.9986948
Abi1,ABI1,0.998692
Epha5,EPHA5,0.99869055
Grik4,GRIK4,0.9986845
Cdc40,CDC40,0.9986833
Dkk2,DKK2,0.9986806
Gan,GAN,0.9986535
Zfp143,ZNF143,0.9986502
Wnt5a,WNT5A,0.9986424
Six6,SIX6,0.99864215
Myo6,MYO6,0.9986417
Drp2,DRP2,0.9986414
Tnmd,TNMD,0.998639
