zebrafish gene name,frog gene name
UBE2A,ube2a
YPEL1,ypel1
ACTC1,actc1
ARF3,arf3
PPP3R1,ppp3r1
ELOC,eloc
actb2,actb
COPS2,cops2
SKP1,skp1
PSMD14,psmd14
RAB6A,rab6a
SEC61G,sec61g
UBE2G1,ube2g1
PPP2CA,ppp2ca
tubb2b,tubb4b
PRPF8,prpf8
MAB21L1,mab21l1
CYFIP2,cyfip2
SEC11A,sec11a
RPL15,rpl15
SPOP,spop
RBBP4,rbbp4
NR2F1,nr2f1
VCP,vcp
CTNNB1,ctnnb1
RAB14,rab14
LSM6,lsm6
MCTS2,mcts1
UBE2B,ube2b
RPL8,rpl8
SRP54,srp54
SMAD2,smad2
MYL12A,myl12b
NCKAP1,nckap1
COPS5,cops5
ELOF1,elof1
CASK,cask
MLST8,kcnj10
rap1aa,rap1a
LSM3,lsm3
SNRPD3,snrpd3
USP7,usp7
PPP2R2D,ppp2r2d
COPS9,cops9
CDC42SE2,cdc42se2l
SSR3,ssr3
UBE2K,ube2k
KPNA3,pamr1
ORMDL1,ormdl1
ARL8B,arl8b
DR1,dr1
eif1axb,eif1ax
EMX2,emx2
MAPK1,mapk1
MARCHF5,marchf5
CDC42,cdc42
RAB5A,rab5a
PRKG1,prkg1
RAP2A,rap2a
KPNA4,kpna4
GNG4,gng4
COPB1,copb1
GPR85,gpr85
RAB1B,rab1a
RRAS2,rras2
SIX1,six1
POLR3B,polr3b
ZC4H2,zc4h2
RPS15,rps15
ATP5F1A,atp5f1a
ARL1,arl1
EIF2S1,eif2s1
prkar1ab,prkar1a
SLC25A5,slc25a5
CUL1,cul1
RPS7,rps7
SMC3,smc3
DHX15,dhx15
GTF2B,gtf2b
BBS5,bbs5
SMURF2,smurf2
SIX6,six6
CLTC,cltc
ATP6V1B2,atp6v1b2
USP9Y,usp9x
TRRAP,trrap
RAP2C,rap2c
CDK8,cdk8
MIB1,mib1
MOB4,mob4
SIX2,six2
MT-CO1,COX1
TUSC3,tusc3
EIF6,eif6
GNAT1,gnat1
RPL30,rpl30
AP2B1,ap2b1
FBXL14,fbxl14
RHOQ,rhoq
SNX6,snx6
ZIC1,zic1
ARL5A,arl5a
CNOT7,cnot7
TNPO1,tnpo1
RAB11A,rab11a
PPTC7,pptc7
XPO7,xpo7
HSP90AB1,hsp90ab1
tuba5,tuba5
KLHL14,klhl14
PSMA6,psma6
MOSMO,mosmo
PPP2R1B,ppp2r1b
JAZF1,vill
RPL11,rpl11
PHB1,phb
POLR2C,polr2c
CCNY,ccny
PSMD6,psmd6
hpcal4,hpcal4
SIX3,six3
SEPHS1,sephs1
NALCN,nalcn
CTNNA2,ctnna2
CLVS2,clvs2
PRKAA2,prkaa2
OTX2,otx2
ATP6V1H,atp6v1h
POLR2F,polr2f
STT3B,stt3b
UBE2D3,ube2d3
GABARAPL2,gabarapl2
ATP6V1C1,atp6v1c1
CUL2,cul2
LIM2,lim2
ZCCHC24,zcchc24
MED10,med10
YY1,yy1
RBPJ,rbpj
RPS24,rps24
VPS35,vps35
FERMT2,fermt2
NAPB,napb
PELI1,peli1
DIP2C,dip2c
ARL3,arl3
GDI2,gdi2
GUCY1B1,gucy1b1
GNAI3,gnai3
DNAL4,dnal4
EBF1,ebf4
GRIK2,grik2
MAP2K1,map2k1
UBR5,ubr5
DDX6,ddx6
MED23,med23
CDK17,cdk17
UBE2W,ube2w
RPSA2,rpsa
CCDC6,ccdc6
ENO1,eno1
CREB1,creb1
SSU72L1,ssu72
UFD1,ufd1
CACNG5,cacng5
STK3,stk3
CYFIP1,cyfip1
NTN1,NTN1
KPNA6,kpna6
ZDHHC17,zdhhc17
MKLN1,mkln1
ENC1,enc1
fam49al,XB5901009 [provisional]
PAX6,pax6
MT-CO3,cox3
NRF1,nrf1
TRAPPC13,trappc13
DOCK7,dock7
PSMA5,psma5
GID8,gid8
gnpda2,gnpda2
DNM1,dnm1
SEPTIN6,septin6
SAP30L,sap30l
GID4,gid4
CELF2,celf2
PIP4K2A,pip4k2a
PCCB,pccb
INTS11,ints11
XPO4,xpo4
AHCY,ahcy
CCT4,cct4
CXXC4,cxxc4
NR2E1,nr2e1
SHOC2,shoc2
IDE,ide
HECTD1,hectd1
SMAD3,smad3
SOX2,sox2
RPL21,rpl21
DIRAS1,diras1
GNB5,gnb5
PARVA,parva
HK1,hk1
TFCP2,tfcp2
CYTH2,cyth1
FHL2,fhl2
CRIPT,cript
CETN1,cetn1
ACTL6A,actl6a
KCNJ3,kcnj3
PANK1,pank1
KLHL25,pnliprp2
ARL6,arl6
TNNI3K,tnni3k
RAB5C,rab5c
PIK3R3,pik3r3
UBE2E3,ube2e3
MYO7A,myo7a
CHIC1,chic1
KCTD10,kctd10
rnf11a,rnf11.2
HAND2,hand2
DNAJA2,dnaja2
NF1,nf1
CIB2,cib2
PAPSS1,papss1
dnm2a,dnm2
KIF5B,kif5b
ELAVL4,ppp1r26
UBE2H,ube2h
GALNT9,galnt9
KCNMA1,kcnma1
CFL2,cfl2
RNF144A,rnf144a
SNX3,snx3
MSI2,msi2
ASB7,asb7
NFIA,nfia
SNRNP40,snrnp40
BTBD3,btbd3
LMO4,lmo4.1
PRRX1,prrx1
FAM199X,fam199x
UGCG,ugcg
POLR3F,polr3f
C1QL3,c1ql3
GNA13,gna13
RBBP5,rbbp5
NR5A2,nr5a2
SCFD1,scfd1
FOXB1,foxb1
GSK3B,gsk3b
CDK1,cdk1
cadpsa,cadps
ube2q1,ube2q2
CPSF3,cpsf3
TLK1,tlk1
TENT5A,tent5a
HAPSTR1,c16orf72
TEAD1,tead1
RPL5,rpl5
LMO1,lmo1
NAMPT,nampt
ZSWIM5,zswim5
TSPAN7,tspan7
IPO5,ipo5
IDH3A,cbln2
HTR5A,htr5a
LRRC8A,lrrc8a
DCTN4,dctn4
PHYHIPL,phyhipl
SLC17A6,slc17a6
MAN1A2,man1a2
NKX2-2,nkx2-2
MEIS2,meis2
PSMB2,psmb2
nt5c2b,nt5c2
NAP1L1,nap1l1
PIP4P2,c8orf88
PPFIA2,ppfia2
RAB27A,rab27a
TLK2,tlk2
HS2ST1,hs2st1
NEK7,nek7
STK40,stk40
NAA35,naa35
VPS4B,vps4b
DARS1,dars1
CACHD1,cachd1
TMEM167A,tmem167a
DDX23,ddx23
TUBGCP4,tubgcp4
NKX2-4,nkx2-4
GLRB,glrb
WNT6,wnt6
TRIM23,trim23
NBEA,nbea
SPTBN1,sptbn1
HYPK,hypk
DIPK2A,dipk2a
CSRP2,csrp2
HNF4A,hnf4a
BTF3,btf3
RAB22A,rab22a
BABAM2,babam2
MAPKAPK2,mapkapk2
UCHL5,naaa
POU4F1,pou4f1
MORF4L1,morf4l1
RAB30,rab30
FLII,flii
RPS6KA3,rps6ka3
KAT2A,kat2a
ANKRD28,ankrd28
TOP3B,egfl7
EIF3M,eif3m
WDR17,wdr17
ARFGEF1,arfgef1
STAG1,stag1
STXBP1,stxbp1
DDX1,ddx1
VPS26B,vps26b
EZH2,ezh2
CBLN1,cbln1
PPP2R3C,ppp2r3c
ALDOC,aldoc
ALDH1L2,aldh1l2
FAM43A,fam43a
POU4F2,pou4f2
LHX9,lhx9
RUNX2,runx2
ube2l3a,ube2l3
RAB35,rab35
LMO3,lmo3
guca1aa,guca1al
CCT8,cct8
PTEN,pten
ENY2,eny2
SERINC1,serinc1.1
CTR9,ctr9
BTBD10,btbd10
GRIK1,grik1
CELF4,celf4
VPS50,vps50
ITPR1,itpr1
EXT2,ext2
PCID2,pcid2
EXT1,ext1
PSMB7,psmb7
SERP2,serp2
EXOC5,fbxw9
ATP9A,atp9a
DLX6,dlx6
MCM4,mcm4
GPHN,mtss1.1
HPRT1,hprt1
RHOG,rhog
CKB,ckb
SRGAP3,srgap3
SUCLG2,suclg2
GRIA2,gria2
SPG21,spg21
UGDH,ugdh
GALNT13,galnt13
ANKFY1,ankfy1
RFC5,rfc5
DNAAF10,dnaaf10
HOXC8,hoxc8
ATP2B1,atp2b1
HERC2,herc2
STUM,stum
BCAS3,bcas3
UBE3B,ube3b
NMT2,nmt2
MIRLET7F2,xtr-let-7f
KCNJ6,kcnj6
RNF41,rnf41
GMPS,gmps
DYRK2,dyrk2
CLCN3,clcn3
pde11a,pde11a
TRIP12,trip12
SUFU,sufu
RAB9A,rab9a
dre-mir-148,xtr-mir-148a
ACLY,acly
FZD8,fzd8
RAB12,rab12
DNAJC27,DNAJC27
RRM2,rrm2.2
UCK2,uck2
MFN2,mfn2
TLL1,tll1
SNF8,snf8
GMPPA,gmppa
PPP2R2C,ppp2r2c
DGKH,dgkh
UGP2,ugp2
SPCS3,spcs3
EIF3B,eif3b
CARM1,carm1
PELI2,peli2
FZD7,fzd7
CDC5L,cdc5l
NR4A2,nr4a2
RFX4,rfx4
TCF7L2,tcf7l2
ARRDC3,arrdc3
WDFY2,wdfy2
PIK3R4,pik3r4
SV2A,sv2a
PI4KA,pi4ka
CCZ1,ccz1b
EYA1,eya1
TXNL4B,txnl4b
ABI1,abi1
CCDC25,ccdc25
DDX46,ddx46
PI4KB,pi4kb
NAA15,naa15
HACE1,hace1
GABRA1,gabra1
SNRPA,snrpa
BTBD6,btbd6
Metazoa_SRP,Metazoa_SRP
SEPTIN8,septin8
SPTLC1,sptlc1
STX16,stx16
MPPED1,mpped1
JMJD6,jmjd6
TRAPPC2L,trappc2l
GARS1,gars1
TAF2,taf2
CLPX,clpx
GPM6B,gpm6b
ANP32A,anp32a
SND1,snd1
MARCHF9,marchf9
TRAF4,traf4
MOB3C,mob3c
oxsr1b,gal3st4.3
ING3,ing3
SESTD1,sestd1
MCM6,mcm6
ETFDH,etfdh
nlgn4xa,nlgn4x
pou3f1,pou3f1
SHMT1,gli2
CNOT6L,cnot6l
MON2,ptpn3
HRAS,hras
SYT1,syt1
BMAL1,arntl
SPAG6,spag6
COPZ1,copz1
NELFA,nelfa
CBLN4,cbln4
SLC25A4,slc25a4
RORB,rorb
CAPN7,capn7
YTHDF3,ythdf3
MYO6,myo6
WNT5B,wnt5b
UBA3,uba3
SSBP3,ssbp3
COP1,cop1
ONECUT1,onecut1
ESRRG,esrrg
SCN8A,scn8a
ERGIC1,ergic1
RGS6,rgs6
PLXNA1,plxna1
GFM1,gfm1
ST8SIA3,st8sia3
PUM1,pum1
HS6ST1,hs6st1
UFM1,ufm1
GPD1L,gpd1l
EIF3E,eif3e
AIDA,aida
ALDH6A1,aldh6a1
PFKP,pfkp
KSR2,ksr2
ALDH1L1,aldh1l1
ZMIZ1,zmiz1
MTNR1A,mtnr1a
twist1b,twist1
GSK3A,gsk3a
GCLC,gclc
RDH10,rdh10
HADHB,hadhb
RASGRF1,rasgrf1
LIN7A,lin7a
GATM,gatm
ALDH7A1,aldh7a1
WDR37,wdr37
SFXN2,sfxn2
EXOC1,exoc1
MAPK8,mapk8
KIF1A,kif1a
GRID2,grid2
VWC2L,vwc2l
POMGNT1,pomgnt1
NPEPL1,npepl1
bmpr1ba,bmpr1b
TMEM50A,tmem50a
SUCLA2,sucla2
BCS1L,bcs1l
DLX1,dlx1
GABRG2,gabrg2
BBIP1,BBIP1
RORA,rora
PPM1A,ppm1a
ONECUT2,onecut2
FOXG1,foxg1
SNRNP27,snrnp27
RAB2A,rab2a
mir124-1,xtr-mir-122
MFAP1,mfap1
mir202,xtr-mir-202-1
TADA2B,tada2b
CDC40,cdc40
NDUFV2,ndufv2
CNNM2,cnnm2
XPR1,xpr1
HGS,hgs
MAPRE3,mapre3
FMNL2,fmnl2
CORO2B,coro2b
DUSP6,dusp6
ONECUT3,onecut3
SFXN3,sfxn3
BIRC6,birc6
stat5a,stat5b
FUT8,fut8
ETFB,etfb
SRL,srl
KAT2B,kat2b
ACVR2A,acvr2a
MICU1,micu1
MDH1,mdh1
TAOK3,taok3
SLC12A4,slc12a4
KAT7,kat7
CBX1,cbx1
FBN3,fbn3
MT-CO2,cox2
PPWD1,ppwd1
SCRT1,scrt2
PRKD1,prkd1
EIF4G2,eif4g2
A1CF,a1cf
myo1eb,myo1e.2
RSPRY1,rspry1
CNIH3,cnih3
UCP1,ucp1
COG6,cog6
tdh,tdh
DHX38,dhx38
GMDS,gmds
cltcl1,cltcl1
PAPSS2,papss2
UXS1,uxs1
ANP32B,anp32b
KLHL2,klhl2
NR2F6,nr2f6
HIBADH,hibadh
SPG7,spg7
AK6,ak6
FOXF1,foxf1
IFT88,ift88
KCND2,kcnd2
DCLK1,dclk1
UBE2J2,ube2j2
CDC45,cdc45
NCK2,nck2
GPM6A,gpm6a
PSMA3,psma3
FOXC1,foxc1
MACO1,maco1
WNT4,wnt4
MT-ATP6,ATP6
IER3IP1,ier3ip1
PGM5,pgm5
slc6a4b,slc6a4l
ISOC1,isoc1
KIFAP3,kifap3
SLC4A4,slc4a4
RAB5IF,rab5if
FOXD3,foxd3
RBFOX1,rbfox1
CDK18,cdk18
DVL3,dvl3
B4GALT2,b4galt2
PI4K2A,pi4k2a
GABRB3,gabrb3
CLDN19,cldn19
