Gene name,Mouse gene name
TCEANC2,Tceanc2
MEX3A,Mex3a
RAB25,Rab25
LAMC1,Lamc1
ACTRT3,Actrt3
GJA8,Gja8
MIR30C1,Mir30c-1
KLF17,Klf17
CTTNBP2NL,Cttnbp2nl
NEXN,Nexn
ABHD10,Abhd10
PPP2R3A,Ppp2r3a
MIR101-1,Mir101a
ZNF692,Zfp692
RCC2,Rcc2
MYNN,Mynn
GJA5,Gja5
WARS2,Wars2
IL24,Il24
C1orf174,A430005L14Rik
PLCL2,Plcl2
CRTC2,Crtc2
SLC5A9,Slc5a9
BLZF1,Blzf1
TMEM59,Tmem59
DFFB,Dffb
LAMTOR2,Lamtor2
TXNRD3,Txnrd3
TBX15,Tbx15
OSBPL10,Osbpl10
SH3BP5L,Sh3bp5l
CFAP45,Cfap45
ARHGEF26,Arhgef26
DENND4B,Dennd4b
DAZL,Dazl
FCMR,Fcmr
PADI6,Padi6
MSL2,Msl2
CCDC181,Ccdc181
FANCD2,Fancd2
JAK1,Jak1
LAMC2,Lamc2
LRRC34,Lrrc34
SPAG17,Spag17
GATAD2B,Gatad2b
LDLRAD1,Ldlrad1
RFTN1,Rftn1
ACP6,Acp6
VSIG8,Vsig8
SLC19A2,Slc19a2
WDR3,Wdr3
PIGR,Pigr
TRABD2B,Trabd2b
TNN,Tnn
SLC6A9,Slc6a9
KCND3,Kcnd3
FANCD2OS,Fancd2os
MIGA1,Miga1
SSR2,Ssr2
RAVER2,Raver2
SPATA46,Spata46
LYPD8,Lypd8
PADI4,Padi4
DHX36,Dhx36
BRK1,Brk1
LRRIQ4,Lrriq4
FCAMR,Fcamr
SRP9,Srp9
EFCAB2,Efcab2
GDAP2,Gdap2
DDX20,Ddx20
BCL9,Bcl9
C3orf22,BC048671
RIMS3,Rims3
SLC27A3,Slc27a3
F5,F5
CEP104,Cep104
OLFML2B,Olfml2b
OXNAD1,Oxnad1
CCDC24,Ccdc24
SLAMF8,Slamf8
C1orf116,AA986860
CACHD1,Cachd1
KIAA0040,4930523C07Rik
PCCB,Pccb
B4GALT2,B4galt2
VHL,Vhl
LRRC42,Lrrc42
LRRC31,Lrrc31
PADI3,Padi3
NMNAT2,Nmnat2
TENT5C,Tent5c
GPR149,Gpr149
INTS3,Ints3
INKA2,Inka2
ATF6,Atf6
MME,Mme
PADI1,Padi1
MAN1A2,Man1a2
PFKFB2,Pfkfb2
IRAK2,Irak2
CMPK1,Cmpk1
IFT25,Ift25
CHD1L,Chd1l
ARHGEF2,Arhgef2
LRRC47,Lrrc47
RAP1A,Rap1a
STT3B,Stt3b
DPH2,Dph2
STRIT1,Strit1
UBE2U,Ube2u
UROC1,Uroc1
SELP,Selp
PHLDB2,Phldb2
SMIM1,Smim1
EXO5,Exo5
FCRL6,Fcrl2
SDE2,Sde2
DPH3,Dph3
TNR,Tnr
PADI2,Padi2
STIL,Stil
SAMD7,Samd7
TATDN2,Tatdn2
NPR1,Npr1
ROR1,Ror1
DIO1,Dio1
CCDC27,Ccdc27
HNRNPU,Hnrnpu
VTCN1,Vtcn1
GALNT15,Galnt15
TMIGD3,Tmigd3
USP33,Usp33
OR9G1,Or9g20
SELL,Sell
KHDC4,Khdc4
YOD1,Yod1
ZFP69,Zfp69
IPO13,Ipo13
SMG7,Smg7
SELE,Sele
SEC62,Sec62
ZXDC,Zxdc
GHRL,Ghrl
GADL1,Gadl1
ACBD3,Acbd3
RIT1,Rit1
ARTN,Artn
C1orf162,I830077J02Rik
TRIM45,Trim45
METTL18,Mettl18
FMO5,Fmo5
PLCH1,Plch1
ATP13A2,Atp13a2
SNAPIN,Snapin
SMAP2,Smap2
TP73,Trp73
NDC1,Ndc1
OR2T1,Or2t1
TAL1,Tal1
OR2T6,Or2t6
FIRRM,Firrm
ZZZ3,Zzz3
PDZK1IP1,Pdzk1ip1
SEC13,Sec13
SYT11,Syt11
DUSP23,Dusp23
TGFBR2,Tgfbr2
CHTOP,Chtop
COL9A2,Col9a2
WDR77,Wdr77
COX20,Cox20
CD101,Cd101
ST3GAL3,St3gal3
PRKAB2,Prkab2
LIN9,Lin9
CRP,Crp
CFAP100,Cfap100
GLIS1,Glis1
ZMPSTE24,Zmpste24
CYP4X1,Cyp4x1
STAG1,Stag1
GPR160,Gpr160
APCS,Apcs
S100A1,S100a1
WRAP73,Wrap73
SCYL3,Scyl3
EFCAB7,Efcab7
PTGFRN,Ptgfrn
MFAP2,Mfap2
S100A16,S100a16
DESI2,Desi2
OVGP1,Ovgp1
DMRTB1,Dmrtb1
COP1,Cop1
CD2,Cd2
S100A2,S100a2
AK5,Ak5
CYP4B1,Cyp4b1
S100A3,S100a3
KLF15,Klf15
TMCO2,Tmco2
PHC3,Phc3
CIMAP3,Cimap3
PARP1,Parp1
ATP2B2,Atp2b2
S100A4,S100a4
NCF2,Ncf2
KDM4A,Kdm4a
IGSF3,Igsf3
S100A5,S100a5
RLF,Rlf
TPRG1L,Tprg1l
ANKRD28,Ankrd28
TRIM58,Trim58
ACKR1,Ackr1
RBMS3,Rbms3
PIGK,Pigk
OR11L1,Or11l3
STUM,Stum
OR9H1P,Or9s18
