rhesus_macaque gene name,commonmarmoset gene name,correlation,identical_scores,orthology confidence,combo_score
HOXC9,HOXC9,1.0000026,100.0,1.0,2.0
ZBTB14,ZBTB14,1.0000024,100.0,1.0,1.999999624475867
MCTS1,MCTS1,1.0000019,100.0,1.0,1.9999986856655343
UBE2R2,UBE2R2,1.0000018,100.0,1.0,1.9999984979034675
PPIL1,PPIL1,1.0000018,100.0,1.0,1.9999984979034675
DEXI,DEXI,1.0000017,100.0,1.0,1.9999983101414012
LSM2,LSM2,1.0000017,100.0,1.0,1.9999983101414012
ARL5B,ARL5B,1.0000017,100.0,1.0,1.9999983101414012
FAM32A,FAM32A,1.0000014,100.0,1.0,1.9999977468552013
MTPN,MTPN,1.0000014,100.0,1.0,1.9999977468552013
PDIK1L,PDIK1L,1.0000013,100.0,1.0,1.999997559093135
DUSP6,DUSP6,1.0000012,100.0,1.0,1.9999973713310684
PPP2CB,PPP2CB,1.0000012,100.0,1.0,1.9999973713310684
CKS1B,CKS1B,1.0000011,100.0,1.0,1.9999971835690018
CNFN,CNFN,1.000001,100.0,1.0,1.999996995806935
CAMK2N2,CAMK2N2,1.000001,100.0,1.0,1.999996995806935
CNIH2,CNIH2,1.000001,100.0,1.0,1.999996995806935
TOMM20,TOMM20,1.0000008,100.0,1.0,1.9999966202828021
FCER1G,FCER1G,1.0000008,100.0,1.0,1.9999966202828021
FAM78B,FAM78B,1.0000008,100.0,1.0,1.9999966202828021
ZCRB1,ZCRB1,1.0000008,100.0,1.0,1.9999966202828021
TIMM10,TIMM10,1.0000008,100.0,1.0,1.9999966202828021
DDA1,DDA1,1.0000007,100.0,1.0,1.9999964325207356
CWC15,CWC15,1.0000007,100.0,1.0,1.9999964325207356
RBM18,RBM18,1.0000006,100.0,1.0,1.9999962447586688
MAB21L1,MAB21L1,1.0000006,100.0,1.0,1.9999962447586688
ARF5,ARF5,1.0000005,100.0,1.0,1.9999960569966024
RPS16,RPS16,1.0000005,100.0,1.0,1.9999960569966024
GTF2H5,GTF2H5,1.0000005,100.0,1.0,1.9999960569966024
HES1,HES1,1.0000005,100.0,1.0,1.9999960569966024
H2AC6,H2AC6,1.0000004,100.0,1.0,1.9999958692345359
RHOG,RHOG,1.0000004,100.0,1.0,1.9999958692345359
RPL27,RPL27,1.0000002,100.0,1.0,1.9999954937104025
SMIM15,SMIM15,1.0000002,100.0,1.0,1.9999954937104025
TPPP3,TPPP3,1.0000002,100.0,1.0,1.9999954937104025
CDK17,CDK17,1.0000002,100.0,1.0,1.9999954937104025
CTXN1,CTXN1,1.0000002,100.0,1.0,1.9999954937104025
ACTG1,ACTG1,1.0000002,100.0,1.0,1.9999954937104025
PIP4P1,PIP4P1,1.0000002,100.0,1.0,1.9999954937104025
SPSB1,SPSB1,1.0000001,100.0,1.0,1.9999953059483362
SAP18,SAP18,1.0000001,100.0,1.0,1.9999953059483362
MAFG,MAFG,1.0000001,100.0,1.0,1.9999953059483362
MAB21L2,MAB21L2,1.0000001,100.0,1.0,1.9999953059483362
FHL3,FHL3,1.0,100.0,1.0,1.9999951181862696
PSENEN,PSENEN,1.0,100.0,1.0,1.9999951181862696
UNC119B,UNC119B,1.0,100.0,1.0,1.9999951181862696
H2BC5,H2BC5,0.99999994,100.0,1.0,1.9999950055290299
PHYHIPL,PHYHIPL,0.9999999,100.0,1.0,1.9999949304242033
RBX1,RBX1,0.9999999,100.0,1.0,1.9999949304242033
GPR173,GPR173,0.9999998,100.0,1.0,1.9999947426621367
NRGN,NRGN,0.9999998,100.0,1.0,1.9999947426621367
ZNF664,ZNF664,0.9999998,100.0,1.0,1.9999947426621367
ZNHIT1,ZNHIT1,0.99999976,100.0,1.0,1.99999466755731
HPCAL4,HPCAL4,0.9999997,100.0,1.0,1.99999455490007
SLC32A1,SLC32A1,0.9999997,100.0,1.0,1.99999455490007
RPS28,RPS28,0.9999997,100.0,1.0,1.99999455490007
SEC61A1,SEC61A1,0.99999964,100.0,1.0,1.99999444224283
SRSF2,SRSF2,0.99999964,100.0,1.0,1.99999444224283
OST4,OST4,0.99999964,100.0,1.0,1.99999444224283
DYNLT1,DYNLT1,0.9999996,100.0,1.0,1.9999943671380032
SNN,SNN,0.9999996,100.0,1.0,1.9999943671380032
LMX1A,LMX1A,0.9999995,100.0,1.0,1.999994179375937
POLR2J,POLR2J,0.9999995,100.0,1.0,1.999994179375937
YWHAG,YWHAG,0.9999995,100.0,1.0,1.999994179375937
EMC6,EMC6,0.9999995,100.0,1.0,1.999994179375937
DPH3,DPH3,0.9999994,100.0,1.0,1.9999939916138705
C14H11orf96,C11orf96,0.9999994,100.0,1.0,1.9999939916138705
MYL9,MYL9,0.99999934,100.0,1.0,1.9999938789566303
H2BC26,H2BC26,0.99999934,100.0,1.0,1.9999938789566303
DAD1,DAD1,0.99999934,100.0,1.0,1.9999938789566303
PHLDA3,PHLDA3,0.9999993,100.0,1.0,1.9999938038518037
EMC3,EMC3,0.9999993,100.0,1.0,1.9999938038518037
NOG,NOG,0.9999993,100.0,1.0,1.9999938038518037
ANAPC13,ANAPC13,0.9999992,100.0,1.0,1.999993616089737
SVBP,SVBP,0.9999992,100.0,1.0,1.999993616089737
GREM2,GREM2,0.99999917,100.0,1.0,1.9999935597611174
TRAPPC1,TRAPPC1,0.99999917,100.0,1.0,1.9999935597611174
LHX5,LHX5,0.99999917,100.0,1.0,1.9999935597611174
TMEM203,TMEM203,0.99999917,100.0,1.0,1.9999935597611174
PSMA5,PSMA5,0.9999991,100.0,1.0,1.9999934283276708
CAMK2N1,CAMK2N1,0.9999991,100.0,1.0,1.9999934283276708
RAB39B,RAB39B,0.9999991,100.0,1.0,1.9999934283276708
BCAS2,BCAS2,0.9999991,100.0,1.0,1.9999934283276708
SERP1,SERP1,0.99999905,100.0,1.0,1.9999933344466374
SIAH2,SIAH2,0.99999905,100.0,1.0,1.9999933344466374
RPL38,RPL38,0.99999905,100.0,1.0,1.9999933344466374
BLCAP,BLCAP,0.999999,100.0,1.0,1.9999932405656042
ZNF706,ZNF706,0.9999989,100.0,1.0,1.9999930528035375
CFL2,CFL2,0.99999887,100.0,1.0,1.9999929964749175
EMX2,EMX2,0.99999887,100.0,1.0,1.9999929964749175
EIF3I,EIF3I,0.99999875,100.0,1.0,1.9999927711604377
SPCS3,SPCS3,0.99999875,100.0,1.0,1.9999927711604377
HSBP1,HSBP1,0.9999987,100.0,1.0,1.9999926772794046
RGS17,RGS17,0.9999986,100.0,1.0,1.999992489517338
TMEM127,TMEM127,0.9999985,100.0,1.0,1.9999923017552712
PCBP1,PCBP1,0.9999985,100.0,1.0,1.9999923017552712
PIN1,PIN1,0.99999845,100.0,1.0,1.999992207874238
ANAPC16,ANAPC16,0.9999984,100.0,1.0,1.9999921139932044
ACTA1,ACTA1,0.9999984,100.0,1.0,1.9999921139932044
RAC3,RAC3,0.9999984,100.0,1.0,1.9999921139932044
LSM8,LSM8,0.99999833,100.0,1.0,1.9999919825597585
RPL10A,RPL10A,0.99999833,100.0,1.0,1.9999919825597585
DPY30,DPY30,0.9999983,100.0,1.0,1.9999919262311383
NEUROD1,NEUROD1,0.99999803,100.0,1.0,1.9999914192735584
WDR82,WDR82,0.9999979,100.0,1.0,1.999991175182872
NEUROD6,NEUROD6,0.9999979,100.0,1.0,1.999991175182872
FUT9,FUT9,0.99999785,100.0,1.0,1.9999910813018387
HRAS,HRAS,0.99999774,100.0,1.0,1.9999908747635653
CTXN2,CTXN2,0.9999977,100.0,1.0,1.9999907996587387
RAB14,RAB14,0.99999756,100.0,1.0,1.9999905367918456
LRRC3B,LRRC3B,0.99999684,100.0,1.0,1.9999891849049667
LDB1,LDB1,0.9999028,100.0,1.0,1.999812613457576
TM9SF3,TM9SF3,0.99988383,100.0,1.0,1.99977699499355
STXBP1,STXBP1,0.99985665,100.0,1.0,1.9997259612638598
YIPF4,YIPF4,0.9998176,100.0,1.0,1.999652640176869
NFYA,NFYA,0.99973595,100.0,1.0,1.999499332449525
PSMD14,PSMD14,0.9997002,100.0,1.0,1.999432207510731
SNW1,SNW1,0.99964714,100.0,1.0,1.9993325809582152
CYRIB,CYRIB,0.9996359,100.0,1.0,1.9993114765019344
AP1G1,AP1G1,0.99960756,100.0,1.0,1.9992582647322719
MXD1,MXD1,0.99957806,100.0,1.0,1.9992028749226378
LIN52,LIN52,0.9994864,100.0,1.0,1.9990307722124312
STXBP6,STXBP6,0.999427,100.0,1.0,1.998919241544896
IPO7,IPO7,0.9994255,100.0,1.0,1.9989164251138978
CNOT2,CNOT2,0.999409,100.0,1.0,1.9988854443729154
FAM76B,FAM76B,0.9993605,100.0,1.0,1.9987943797706353
WASF1,WASF1,0.9993525,100.0,1.0,1.9987793588053107
NFIA,NFIA,0.9992887,100.0,1.0,1.9986595666068472
COPB2,COPB2,0.99990517,99.8896,1.0,1.9986447251851684
LRRC8A,LRRC8A,0.99996424,99.8765,1.0,1.9986165272627263
HNRNPK,HNRNPK,0.99924916,100.0,1.0,1.9985853254857302
SF3B3,SF3B3,0.9991965,100.0,1.0,1.9984864499814812
IL1RAPL1,IL1RAPL1,0.99998105,99.8563,1.0,1.998433586150224
MMP16,MMP16,0.9999797,99.8353,1.0,1.9982080522418446
HECTD1,HECTD1,0.9999025,99.8467,1.0,1.9981841565918663
FEM1B,FEM1B,0.9999262,99.8405,1.0,1.9981628183660696
MSL2,MSL2,0.9999624,99.8267,1.0,1.9980842459549901
PPFIA3,PPFIA3,0.9999232,99.8325,1.0,1.9980722334581753
SMC1A,SMC1A,0.99896425,100.0,1.0,1.9980503725819014
MBNL1,MBNL1,0.9989635,100.0,1.0,1.9980489643664026
SIX2,SIX2,0.99991024,99.82935,1.0,1.9980144496262773
