A	B	source
RPSA	RPSA	only_in_union
MIR133A2	MIR133A2	only_in_union
TUBGCP6	TUBGCP6	only_in_union
C1orf74	C1orf74	only_in_union
SMAGP	SMAGP	only_in_union
C10orf95	C10orf95	only_in_union
SNORA49	SNORA49	only_in_union
SNORD121B	SNORD121B	only_in_union
C15orf62	C15orf62	only_in_union
ptr-mir-448	ggo-mir-448	only_in_union
GXYLT2	GXYLT2	only_in_union
RPL23	RPL23	only_in_union
SNORD24	SNORD24	only_in_union
MIR298	MIR298	only_in_union
ptr-mir-551b	MIR551B	only_in_union
NDUFA11	NDUFA11	only_in_union
GABRR2	GABRR2	only_in_union
MIR3121	MIR3121	only_in_union
MIR126	MIR126	only_in_union
C11orf68	C11orf68	only_in_union
C10orf120	C10orf120	only_in_union
C19orf38	C19orf38	only_in_union
MIR152	MIR152	only_in_union
MIR107	ggo-mir-107	only_in_union
MIR6738	MIR6738	only_in_union
MIR634	MIR634	only_in_union
H4C3	H4C11	only_in_union
HLA-DMB	HLA-DMB	only_in_union
MIR154	ggo-mir-154	only_in_union
C5orf47	C5orf47	only_in_union
REEP6	REEP6	only_in_union
MIR548AZ	MIR548AZ	only_in_union
MIR609	MIR609	only_in_union
RPL6	RPL6	only_in_union
MIR449B	MIR449B	only_in_union
PKP3	PKP3	only_in_union
MIR874	MIR874	only_in_union
MIR4729	MIR4729	only_in_union
Vault	Vault	only_in_union
RBM24	RBM24	only_in_union
SNORD13	SNORD13	only_in_union
C20orf173	C20orf173	only_in_union
ZNF630	ZNF630	only_in_union
CPSF1	CPSF1	only_in_union
SNORD26	SNORD26	only_in_union
SNORA53	SNORA53	only_in_union
SNORA63D	SNORA63	only_in_union
C12orf42	C12orf42	only_in_union
TPRX2	TPRX2	only_in_union
MTCL3	MTCL3	only_in_union
C5orf34	C5orf34	only_in_union
MIR320E	MIR320E	only_in_union
SNORA60	SNORA71	only_in_union
MIR555	MIR555	only_in_union
PPP1CA	PPP1CA	only_in_union
MIR374A	MIR374A	only_in_union
SNORD49B	SNORD49B	only_in_union
MIR345	MIR345	only_in_union
C2orf42	C2orf42	only_in_union
SYT8	SYT8	only_in_union
MIR379	MIR379	only_in_union
PDIA2	PDIA2	only_in_union
DBP	DBP	only_in_union
RAN	RAN	only_in_union
C9orf57	C9orf57	only_in_union
ACTN1	ACTN1	only_in_union
SNORA84	SNORA84	only_in_union
RNU7-79P	U7	only_in_union
ZNF585B	ZNF585B	only_in_union
SNORD35B	SNORD35B	only_in_union
MIR331	MIR331	only_in_union
MIR544A	MIR544A	only_in_union
MIR27B	MIR27B	only_in_union
PCDHB10	PCDHB10	only_in_union
C12orf50	C12orf50	only_in_union
SNORD114-11	SNORD114-11	only_in_union
CYP20A1	CYP20A1	only_in_union
SNORD114-24	SNORD114-24	only_in_union
JMJD7	JMJD7	only_in_union
MIR30E	MIR30E	only_in_union
MIR4458	MIR4458	only_in_union
C5orf46	C5orf46	only_in_union
MIA	MIA	only_in_union
SNORA67	SNORA67	only_in_union
MIR361	MIR361	only_in_union
MIR4510	MIR4510	only_in_union
MIR6743	MIR6743	only_in_union
MIR7-1	ggo-mir-7-1	only_in_union
ZNF140	ZNF140	only_in_union
C5orf22	C5orf22	only_in_union
MIR410	MIR410	only_in_union
MIR380	MIR380	only_in_union
C12orf56	C12orf56	only_in_union
MIR10B	ggo-mir-10b	only_in_union
MIR183	ggo-mir-183	only_in_union
MIR548H5	MIR548H5	only_in_union
MIR664A	MIR664A	only_in_union
SNORD114-6	SNORD114-6	only_in_union
SNORD114-2	SNORD114-2	only_in_union
MIR484	MIR484	only_in_union
MIR1248	MIR1248	only_in_union
MIR381	MIR381	only_in_union
SNORA68	SNORA68	only_in_union
MIR497	ggo-mir-497	only_in_union
MIR200B	MIR200B	only_in_union
MIR451A	MIR451A	only_in_union
ptr-mir-660	MIR660	only_in_union
ARB2A	ARB2A	only_in_union
CLDN9	CLDN9	only_in_union
RNU5E-7P	U5	only_in_union
MIR940	MIR940	only_in_union
ptr-mir-362	MIR362	only_in_union
C1orf116	C1orf116	only_in_union
MIR711	MIR711	only_in_union
ptr-mir-141	ggo-mir-141	only_in_union
MIR575	MIR575	only_in_union
RPL22	RPL22	only_in_union
C1orf87	C1orf87	only_in_union
FKBP3	FKBP3	only_in_union
MIR760	MIR760	only_in_union
C19orf73	C19orf73	only_in_union
MIR1587	MIR1587	only_in_union
DEFB106A	DEFB106A	only_in_union
MIR153-2	ggo-mir-153	only_in_union
SNORA19	SNORA19	only_in_union
MIR377	MIR377	only_in_union
SNORD114-31	SNORD114-31	only_in_union
SAT1	SAT1	only_in_union
SCARNA8	SCARNA8	only_in_union
MIR4677	MIR4677	only_in_union
EIF3F	EIF3F	only_in_union
FZD1	FZD1	only_in_union
MIRLET7F1	MIRLET7F	only_in_union
ptr-mir-551a	MIR551A	only_in_union
MIR5579	MIR5579	only_in_union
C8orf82	C8orf82	only_in_union
MIR645	MIR645	only_in_union
MIR181C	ggo-mir-181c	only_in_union
COL26A1	COL26A1	only_in_union
MIR517A	MIR517C	only_in_union
SNORD45C	SNORD45C	only_in_union
MIR4282	MIR4282	only_in_union
VDAC2	VDAC2	only_in_union
MIR28	ggo-mir-28	only_in_union
TBL1X	TBL1X	only_in_union
C1orf174	C1orf174	only_in_union
LARP6	LARP6	only_in_union
PPP4R3A	PPP4R3A	only_in_union
C3orf18	C3orf18	only_in_union
MIR519B	MIR519C-1	only_in_union
IPO7	IPO7	only_in_union
H2BC12	H2BC12	only_in_union
ptr-mir-219-1	ggo-mir-219	only_in_union
MIR541	MIR541	only_in_union
MIR1296	MIR1296	only_in_union
SNORA1	SNORA1	only_in_union
HLA-E	HLA-E	only_in_union
SNORD126	SNORD126	only_in_union
WBP1	WBP1	only_in_union
SNORA31	SNORA31	only_in_union
C16orf78	C16orf78	only_in_union
BHLHE41	BHLHE41	only_in_union
SNORA46	SNORA46	only_in_union
SNORD1B	SNORD1B	only_in_union
ZNF554	ZNF554	only_in_union
SLC35E2B	SLC35E2B	only_in_union
MIR934	MIR934	only_in_union
NUDT11	NUDT11	only_in_union
MIR4520-1	MIR4520-1	only_in_union
RPLP0	RPLP0	only_in_union
RIC8A	RIC8A	only_in_union
ptr-mir-516b-2	MIR516B-2	only_in_union
OGDH	OGDH	only_in_union
MIR125A	MIR125A	only_in_union
MIR137	MIR137	only_in_union
SNORD90	SNORD90	only_in_union
SNORA65	SNORA65	only_in_union
SNORD116-27	SNORD116	only_in_union
MIR548O2	MIR548O2	only_in_union
SLC35B3	SLC35B3	only_in_union
C17orf107	C17orf107	only_in_union
SNORD104	SNORD104	only_in_union
SNORD38D	SNORD38D	only_in_union
SNORA31B	SNORA31B	only_in_union
MIR548K	ggo-mir-548c	only_in_union
MIR548S	MIR548S	only_in_union
SNORD88B	SNORD88B	only_in_union
PIM1	PIM1	only_in_union
DEFB119	DEFB119	only_in_union
C10orf67	C10orf67	only_in_union
MIR4681	MIR4681	only_in_union
MIR6128	MIR6128	only_in_union
MIR519F	MIR519A-1	only_in_union
C16orf74	C16orf74	only_in_union
ACTR1A	ACTR1A	only_in_union
MIR339	MIR339	only_in_union
SNORA7A	SNORA7A	only_in_union
MIR518E	MIR518E	only_in_union
BMAL1	BMAL1	only_in_union
C1orf94	C1orf94	only_in_union
C3orf49	C3orf49	only_in_union
MIR92A1	ggo-mir-92-1	only_in_union
MIRLET7G	MIRLET7G	only_in_union
MIR30D	ggo-mir-30d	only_in_union
MIR21	ggo-mir-21	only_in_union
SNORD114-7	SNORD114-7	only_in_union
MIR146B	MIR146B	only_in_union
C1orf21	C1orf21	only_in_union
MIR101-1	ggo-mir-101	only_in_union
MIR192	ggo-mir-192	only_in_union
MIR3145	MIR3145	only_in_union
MIR653	MIR653	only_in_union
SNORD113-9	SNORD113-9	only_in_union
MIR194-1	ggo-mir-194	only_in_union
C1orf131	C1orf131	only_in_union
CYTIP	CYTIP	only_in_union
BRD9	BRD9	only_in_union
C2orf81	C2orf81	only_in_union
MIR486-1	MIR486	only_in_union
MIR140	ggo-mir-140	only_in_union
MIR4486	MIR4486	only_in_union
SNORD83A	SNORD83A	only_in_union
MIR195	ggo-mir-195	only_in_union
SATL1	SATL1	only_in_union
C1orf146	C1orf146	only_in_union
MIR433	MIR433	only_in_union
ABCC6	ABCC6	only_in_union
CFAP276	CFAP276	only_in_union
ptr-mir-149	MIR149	only_in_union
MIR17	ggo-mir-17	only_in_union
TSHZ3	TSHZ3	only_in_union
SNORA69	SNORA69	only_in_union
MIR4793	MIR4793	only_in_union
MIR450A1	MIR450A1	only_in_union
ZNF224	ZNF224	only_in_union
PTPMT1	PTPMT1	only_in_union
C3orf20	C3orf20	only_in_union
APOBEC3F	APOBEC3F	only_in_union
H2AC25	H2AC25	only_in_union
MIR708	MIR708	only_in_union
MIR3140	MIR3140	only_in_union
MIR516B1	MIR516B-1	only_in_union
C2orf49	C2orf49	only_in_union
SNORD113-4	SNORD113-4	only_in_union
SCARNA17	SCARNA17	only_in_union
MIR6855	MIR6855	only_in_union
PCDHB4	PCDHB4	only_in_union
C4orf50	C4orf50	only_in_union
MIR5585	MIR5585	only_in_union
SNORD50B	SNORD50B	only_in_union
MIR6832	MIR6832	only_in_union
SNORD124	SNORD124	only_in_union
ptr-mir-210	ggo-mir-210	only_in_union
C4orf36	C4orf36	only_in_union
ptr-mir-532	MIR532	only_in_union
MIR4451	MIR4451	only_in_union
SNORD83B	SNORD83B	only_in_union
MIR216A	ggo-mir-216	only_in_union
MIR597	MIR597	only_in_union
MIR3119-2	MIR3119-2	only_in_union
SNORD114-9	SNORD114-9	only_in_union
ADSS2	ADSS2	only_in_union
MIR877	MIR877	only_in_union
SNORA20	SNORA20	only_in_union
MIR515-2	MIR515-2	only_in_union
SERPINB11	SERPINB11	only_in_union
MIR6791	MIR6791	only_in_union
U3	U3	only_in_union
SNORA5C	SNORA5C	only_in_union
MCM9	MCM9	only_in_union
C3orf33	C3orf33	only_in_union
ANPEP	ANPEP	only_in_union
SNORD59A	SNORD59A	only_in_union
SNORD114-13	SNORD114-13	only_in_union
SNORD36A	SNORD36	only_in_union
ZNF680	ZNF675	only_in_union
MIR3065	MIR3065	only_in_union
MIR181A2	ggo-mir-181a-2	only_in_union
FRMD8	FRMD8	only_in_union
SNORA30B	SNORA30B	only_in_union
MIR518B	MIR518B	only_in_union
ABT1	ABT1	only_in_union
MIR92A2	ggo-mir-92-2	only_in_union
MIR542	MIR542	only_in_union
MIR6806	MIR6806	only_in_union
MIR599	MIR599	only_in_union
C1orf53	C1orf53	only_in_union
MIR492	MIR492	only_in_union
MIR6747	MIR6747	only_in_union
SNORA38	SNORA38	only_in_union
C8orf74	C8orf74	only_in_union
MIR374B	MIR374B	only_in_union
CYP3A4	CYP3A4	only_in_union
RSKR	RSKR	only_in_union
MIR124-1	MIR124-1	only_in_union
MIR455	MIR455	only_in_union
MIR18A	ggo-mir-18a	only_in_union
C20orf141	C20orf141	only_in_union
MIR424	MIR424	only_in_union
MIR4661	MIR4661	only_in_union
MIR4475	MIR4475	only_in_union
C18orf21	C18orf21	only_in_union
SMIM2	SMIM2	only_in_union
MIR1260B	MIR1260B	only_in_union
MIR411	MIR411	only_in_union
MIR323B	MIR323B	only_in_union
MIR494	MIR494	only_in_union
MIR6782	MIR6782	only_in_union
LRBA	LRBA	only_in_union
SNORD29	SNORD29	only_in_union
MIR942	MIR942	only_in_union
MIR1180	MIR1180	only_in_union
RAP2C	RAP2C	only_in_union
EHD1	EHD1	only_in_union
C9orf43	C9orf43	only_in_union
MIR4727	MIR4727	only_in_union
SCARNA21	SCARNA21	only_in_union
MIR4275	MIR4275	only_in_union
ptr-mir-1285	MIR1285-1	only_in_union
ptr-mir-548b	MIR548B	only_in_union
ZNF790	ZNF790	only_in_union
C19orf47	C19orf47	only_in_union
POGLUT3	POGLUT3	only_in_union
MIR548AN	MIR548AN	only_in_union
MIR7703	MIR7703	only_in_union
MIR217	ggo-mir-217	only_in_union
MIR4662B	MIR4662B	only_in_union
MIR138-1	MIR138-1	only_in_union
C1orf35	C1orf35	only_in_union
MIR3135A	MIR3135A	only_in_union
SNORD1C	SNORD1C	only_in_union
MIR4692	MIR4692	only_in_union
MIR5187	MIR5187	only_in_union
ACSM2B	ACSM2B	only_in_union
MIR8087	MIR8087	only_in_union
MIR4653	MIR4653	only_in_union
C14orf93	C14orf93	only_in_union
MTG1	MTG1	only_in_union
SNORD101	SNORD101	only_in_union
SNORA4	SNORA4	only_in_union
SNORD16	SNORD16	only_in_union
