A	B	source
Ivl	IVL	only_in_union
H3c1	H3C4	only_in_union
Camk2d	CAMK2D	only_in_union
Gm9195	FBN3	only_in_union
Mtdh	MTDH	only_in_union
Zfp52	ZNF484	only_in_union
Akr1c20	AKR1C8	only_in_union
Olfr1175	OR5D18	only_in_union
Olfr749	OR11H4	only_in_union
Ocm	PVALEF	only_in_union
Cnksr3	CNKSR3	only_in_union
Gm15737	NREP	only_in_union
H2bu2	H2BK1	only_in_union
Snrpe	SNRPE	only_in_union
Btn2a2	BTN1A1	only_in_union
Tbx10	TBX10	only_in_union
Cfl1	CFL1	only_in_union
D630045J12Rik	KIAA1549	only_in_union
H2ac12	H2AC12	only_in_union
Cryga	CRYGD	only_in_union
Pitpnc1	PITPNC1	only_in_union
Sumo1	SUMO1	only_in_union
Zfp677	ZNF567	only_in_union
Zfp275	ZNF16	only_in_union
Fam126a	HYCC1	only_in_union
Zp1	ZP4	only_in_union
Ccdc163	CCDC197	only_in_union
Snrpg	SNRPG	only_in_union
Zfp607a	ZNF471	only_in_union
Setd1a	SETD1A	only_in_union
Oas1d	OASL	only_in_union
Krtap17-1	KRTAP17-1	only_in_union
Olfr220	OR6Y1	only_in_union
Pgbd1	PGBD2	only_in_union
Gm14743	OBP	only_in_union
Olfr790	OR6J1	only_in_union
Olfr273	OR13C3	only_in_union
S100a9	S100A12	only_in_union
Gm42742	PAGR1	only_in_union
Ifnab	IFN-OMEGA-3	only_in_union
Nsmce3	MAGEF1	only_in_union
Rab32	RAB32	only_in_union
Defb3	DEFB1	only_in_union
Clec2i	CLEC2B	only_in_union
2610301B20Rik	CFAP418	only_in_union
Zfp300	ZNF614	only_in_union
BC025920	ZNF648	only_in_union
Cd68	CD68	only_in_union
Klra2	OLR1	only_in_union
Map3k7cl	MAP3K7CL	only_in_union
Rpl11	RPL11	only_in_union
Gm11639	EFCAB13	only_in_union
Rpl26	RPL26	only_in_union
Gm49380	RNF26	only_in_union
Wfdc13	WFDC10A	only_in_union
Rpl21	RPL26L1	only_in_union
Mogat2	MOGAT1	only_in_union
Ifna9	IFN-OMEGA-5	only_in_union
Vpreb1	VPREB1	only_in_union
Rnf165	RNF181	only_in_union
Gnao1	GNAO1	only_in_union
Olfr283	OR8S1	only_in_union
Trav7-6	TRAV2	only_in_union
Taz	TAFAZZIN	only_in_union
Olfr159	OR2S2	only_in_union
1500011B03Rik	C12orf76	only_in_union
Rpl7	RPL7	only_in_union
Pfdn6	PFDN6	only_in_union
Icosl	HHLA2	only_in_union
Dusp3	DUSP3	only_in_union
Zfp97	ZNF331	only_in_union
Fau	FAU	only_in_union
Rps29	RPS29	only_in_union
E430018J23Rik	ZNF599	only_in_union
Cd1d1	CD1E	only_in_union
Serpina16	SERPINA6	only_in_union
Tubb2b	TUBB2B	only_in_union
Olfr1270	OR4B1	only_in_union
Jtb	JTB	only_in_union
Mageb3	MAGEB3	only_in_union
Zfp953	ZNF404	only_in_union
A930033H14Rik	ENHO	only_in_union
Rpl27a	RPL27A	only_in_union
Krtap6-2	KRTAP21-1	only_in_union
Olfr161	OR13H1	only_in_union
Gm9733	SIRPB2	only_in_union
Zkscan14	PGBD1	only_in_union
Olfr453	OR2G3	only_in_union
Olfr726	OR4K13	only_in_union
Esp3	C2orf15	only_in_union
Gcnt2	GCNT2	only_in_union
Nars	NARS1	only_in_union
Casz1	CASZ1	only_in_union
Olfr1406	OR10J4	only_in_union
Samd9l	SAMD9	only_in_union
Col22a1	COL22A1	only_in_union
Zfp710	ZNF710	only_in_union
Mkrn1	MKRN1	only_in_union
Asah2	CPO	only_in_union
Gm9747	TMEM31	only_in_union
Defb45	DEFB121	only_in_union
Olfr212	OR6T1	only_in_union
Olfr578	OR51G1	only_in_union
D11Wsu47e	MTNAP1	only_in_union
Gm37797	MARCOL	only_in_union
Fam183b	SPMIP2	only_in_union
Fcrl6	FCRL6	only_in_union
Efcab8	S100A1	only_in_union
Nupl2	NUP42	only_in_union
Prdx2	PRDX2	only_in_union
Rasd2	DIRAS3	only_in_union
Nlrp1b	NLRP8	only_in_union
