crab_eating_macaque gene name,rhesus_macaque gene name,human gene name,mice gene name,pig gene name
C17orf49,C16H17orf49,C17orf49,0610010K14Rik,C17orf49
C2orf68,C13H2orf68,C2orf68,0610030E20Rik,C2orf68
C4orf19,C5H4orf19,C4orf19,0610040J01Rik,C4orf19
C4orf54,C5H4orf54,C4orf54,1110002E22Rik,C4orf54
C11orf58,C14H11orf58,C11orf58,1110004F10Rik,C11orf58
C9orf85,C15H9orf85,C9orf85,1110059E24Rik,C9orf85
KIAA1143,KIAA1143,KIAA1143,1110059G10Rik,KIAA1143
C6orf120,C4H6orf120,C6orf120,1600012H06Rik,C6orf120
C19orf12,C19H19orf12,C19orf12,1600014C10Rik,C19orf12
C6orf118,C4H6orf118,C6orf118,1700010I14Rik,C20orf96
C4orf51,C5H4orf51,C4orf51,1700011L22Rik,C4orf51
C11orf97,C14H11orf97,C11orf97,1700012B09Rik,C11orf97
C4orf36,C5H4orf36,C4orf36,1700016H13Rik,C4orf36
C15orf39,C7H15orf39,C15orf39,1700017B05Rik,C15orf39
C12orf50,C11H12orf50,C12orf50,1700017N19Rik,C12orf50
C2orf88,C12H2orf88,C2orf88,1700019D03Rik,C2orf88
C20orf141,C10H20orf141,C20orf141,1700020A23Rik,C20orf141
C10orf53,C9H10orf53,C10orf53,1700024G13Rik,C10orf53
C13orf46,C17H13orf46,C13orf46,1700029H14Rik,C13orf46
C16orf46,C20H16orf46,C16orf46,1700030J22Rik,C16orf46
C19orf44,C19H19orf44,C19orf44,1700030K09Rik,C19orf44
C16orf90,C20H16orf90,C16orf90,1700037C18Rik,C16orf90
C2orf69,C12H2orf69,C2orf69,1700066M21Rik,C2orf69
C19orf67,C19H19orf67,C19orf67,1700067K01Rik,C19orf67
C22orf23,C10H22orf23,C22orf23,1700088E04Rik,C22orf23
C2orf74,C13H2orf74,C2orf74,1700093K21Rik,C2orf74
C3orf62,C2H3orf62,C3orf62,1700102P08Rik,C3orf62
C11orf86,C14H11orf86,C11orf86,2010003K11Rik,C11orf86
C19orf33,C19orf33,C19orf33,2200002D01Rik,FAM133A
C12orf43,C11H12orf43,C12orf43,2210016L21Rik,C12orf43
KIAA0825,KIAA0825,KIAA0825,2210408I21Rik,KIAA0825
C6orf15,C4H6orf15,C6orf15,2300002M23Rik,C6orf15
C15orf61,C7H15orf61,C15orf61,2300009A05Rik,C15orf61
C1orf53,C1H1orf53,C1orf53,2310009B15Rik,C1orf53
C1orf198,C1H1orf198,C1orf198,2310022B05Rik,C1orf198
C11orf52,C14H11orf52,C11orf52,2310030G06Rik,C11orf52
C1orf35,C1H1orf35,C1orf35,2310033P09Rik,C1orf35
C6orf136,ATAT1,C6orf136,2310061I04Rik,C6orf136
C1orf52,C1H1orf52,C1orf52,2410004B18Rik,C1orf52
C3orf70,C2H3orf70,C3orf70,2510009E07Rik,C3orf70
KIAA2013,KIAA2013,KIAA2013,2510039O18Rik,KIAA2013
C1orf210,C1H1orf210,C1orf210,2610528J11Rik,C1orf210
KIAA0586,KIAA0586,KIAA0586,2700049A03Rik,KIAA0586
C18orf21,C18H18orf21,C18orf21,2700062C07Rik,C18orf21
C1orf131,C1H1orf131,C1orf131,2810004N23Rik,C1orf131
KIAA1671,KIAA1671,KIAA1671,2900026A02Rik,CRACDL
C7orf50,C3H7orf50,C7orf50,3110082I17Rik,C7orf50
C10orf71,C9H10orf71,C10orf71,3425401B19Rik,C10orf71
C5orf34,C6H5orf34,C5orf34,4833420G17Rik,C5orf34
KIAA1191,KIAA1191,KIAA1191,4833439L19Rik,KIAA1191
C16orf87,C20H16orf87,C16orf87,4921524J17Rik,C16orf87
C1orf141,C1H1orf141,C1orf141,4921539E11Rik,C1orf141
TCHHL1,TCHHL1,TCHHL1,4930407I10Rik,SPATA31G1
C14orf39,C7H14orf39,C14orf39,4930447C04Rik,C14orf39
C16orf92,C6H16orf92,C16orf92,4930451I11Rik,C16orf92
C3orf38,C2H3orf38,C3orf38,4930453N24Rik,C3orf38
C18orf54,C18H18orf54,C18orf54,4930503L19Rik,C18orf54
CIMIP6,C13H2orf73,CIMIP6,4930505A04Rik,CIMIP6
C1orf185,C1H1orf185,C1orf185,4930522H14Rik,C1orf185
KIAA0040,KIAA0040,KIAA0040,4930523C07Rik,KIAA0040
C1orf105,C1H1orf105,C1orf105,4930558K02Rik,C1orf105
C8orf74,C8H8orf74,C8orf74,4930578I06Rik,C8orf74
C4orf17,C5H4orf17,C4orf17,4930579F01Rik,C4orf17
C4orf46,C5H4orf46,C4orf46,4930579G24Rik,C4orf46
C14orf93,C7H14orf93,C14orf93,4931414P19Rik,C14orf93
C16orf78,C20H16orf78,C16orf78,4933402J07Rik,C16orf78
C10orf120,C9H10orf120,C10orf120,4933402N03Rik,C14H10orf120
C16orf86,C20H16orf86,C16orf86,4933405L10Rik,C16orf86
C1orf43,C1H1orf43,C1orf43,4933434E20Rik,C1orf43
KIAA0930,KIAA0930,KIAA0930,5031439G07Rik,KIAA0930
C1orf216,C1H1orf216,C1orf216,5730409E04Rik,C1orf216
C17orf75,C16H17orf75,C17orf75,5730455P16Rik,C17orf75
PACRGL,PACRGL,PACRGL,5730480H06Rik,PACRGL
C5orf22,C6H5orf22,C5orf22,6030458C11Rik,C5orf22
KIAA0513,KIAA0513,KIAA0513,6430548M08Rik,KIAA0513
C8orf76,C8H8orf76,C8orf76,9130401M01Rik,C8orf76
KIAA0408,KIAA0408,KIAA0408,9330159F19Rik,KIAA0408
C1orf74,C1H1orf74,C1orf74,A130010J15Rik,C1orf74
A1CF,A1CF,A1CF,A1cf,A1CF
C1orf174,C1H1orf174,C1orf174,A430005L14Rik,C1orf174
A4GALT,A4GALT,A4GALT,A4galt,A4GALT
SP100,SP100,SP100,A630001G21Rik,SP110
C8orf34,C8H8orf34,C8orf34,A830018L16Rik,C8orf34
C1orf116,C1H1orf116,C1orf116,AA986860,C1orf116
C19orf38,C19H19orf38,C19orf38,AB124611,C19orf38
SNORD113-6,SNORD113-6,SNORD113-6,AF357425,SNORD113-6
C2orf49,C13H2orf49,C2orf49,AI597479,C2orf49
C11orf68,C14H11orf68,C11orf68,AI837181,C11orf68
C16orf89,C20H16orf89,C16orf89,AU021092,C16orf89
KIAA0319L,KIAA0319L,KIAA0319L,AU040320,KIAA0319L
C7orf25,C3H7orf25,C7orf25,AW209491,C7orf25
VWA5A,VWA5A,VWA5A,AW551984,VWA5A
KIAA1328,KIAA1328,KIAA1328,AW554918,KIAA1328
AAAS,AAAS,AAAS,Aaas,AAAS
AACS,AACS,AACS,Aacs,AACS
AADAC,AADAC,AADAC,Aadac,AADAC
AADACL3,AADACL3,AADACL3,Aadacl3,AADACL3
