crab_eating_macaque gene name,rhesus_macaque gene name,correlation,identical_scores,orthology confidence,combo_score
RS1,RS1,1.0000036,100.0,1.0,2.0
MAFK,MAFK,1.0000031,100.0,1.0,1.999999076001603
CYP7B1,CYP7B1,1.000003,100.0,1.0,1.9999988912019235
FLRT1,FLRT1,1.0000029,100.0,1.0,1.999998706402244
MSTN,MSTN,1.0000029,100.0,1.0,1.999998706402244
DUSP14,DUSP14,1.0000029,100.0,1.0,1.999998706402244
NRM,NRM,1.0000026,100.0,1.0,1.9999981520032062
ANXA10,ANXA10,1.0000026,100.0,1.0,1.9999981520032062
KCNS3,KCNS3,1.0000026,100.0,1.0,1.9999981520032062
ADORA2B,ADORA2B,1.0000026,100.0,1.0,1.9999981520032062
TAT,TAT,1.0000025,100.0,1.0,1.9999979672035266
TIPARP,TIPARP,1.0000023,100.0,1.0,1.999997597604168
PNMA1,PNMA1,1.0000023,100.0,1.0,1.999997597604168
TAS2R10,TAS2R10,1.0000023,100.0,1.0,1.999997597604168
STEAP3,STEAP3,1.0000023,100.0,1.0,1.999997597604168
ZBTB14,ZBTB14,1.0000023,100.0,1.0,1.999997597604168
DYNLL1,DYNLL1,1.0000021,100.0,1.0,1.9999972280048093
PADI1,PADI1,1.0000021,100.0,1.0,1.9999972280048093
CREB5,CREB5,1.000002,100.0,1.0,1.9999970432051302
MCCD1,MCCD1,1.000002,100.0,1.0,1.9999970432051302
CLDN24,CLDN24,1.000002,100.0,1.0,1.9999970432051302
RANBP1,RANBP1,1.000002,100.0,1.0,1.9999970432051302
OR51G2,OR51G2,1.000002,100.0,1.0,1.9999970432051302
PLEKHB1,PLEKHB1,1.000002,100.0,1.0,1.9999970432051302
C11orf86,C14H11orf86,1.000002,100.0,1.0,1.9999970432051302
PROX1,PROX1,1.0000019,100.0,1.0,1.9999968584054506
MRFAP1L1,MRFAP1L1,1.0000019,100.0,1.0,1.9999968584054506
NFKBIA,NFKBIA,1.0000019,100.0,1.0,1.9999968584054506
TAS2R7,TAS2R7,1.0000019,100.0,1.0,1.9999968584054506
MED7,MED7,1.0000019,100.0,1.0,1.9999968584054506
TSPAN19,TSPAN19,1.0000019,100.0,1.0,1.9999968584054506
TRMT112,TRMT112,1.0000019,100.0,1.0,1.9999968584054506
TRAF6,TRAF6,1.0000019,100.0,1.0,1.9999968584054506
SDF2,SDF2,1.0000019,100.0,1.0,1.9999968584054506
VLDLR,VLDLR,1.0000019,100.0,1.0,1.9999968584054506
TMEM186,TMEM186,1.0000019,100.0,1.0,1.9999968584054506
MPC2,MPC2,1.0000018,100.0,1.0,1.999996673605771
PPIL1,PPIL1,1.0000018,100.0,1.0,1.999996673605771
SLC39A2,SLC39A2,1.0000018,100.0,1.0,1.999996673605771
TRMT6,TRMT6,1.0000018,100.0,1.0,1.999996673605771
NMUR1,NMUR1,1.0000018,100.0,1.0,1.999996673605771
SEC61B,SEC61B,1.0000018,100.0,1.0,1.999996673605771
NKAPD1,NKAPD1,1.0000018,100.0,1.0,1.999996673605771
