Gene name	Tropical clawed frog gene name	Tropical clawed frog homology type	%id. target Tropical clawed frog gene identical to query gene	%id. query gene identical to target Tropical clawed frog gene	Tropical clawed frog Gene-order conservation score	Tropical clawed frog orthology confidence [0 low, 1 high]
fam162a		ortholog_one2many	33.9744	32.716	0	0
fam162a	fam162a	ortholog_one2many	38.4615	26.9058	25	0
si:ch211-235i11.3		ortholog_one2one	34.4173	29.6729	0	0
caly						
TMEM177	tmem177	ortholog_one2one	51.6129	51.6129	50	1
OSTC	ostc	ortholog_one2one	93.9597	93.9597	0	0
vps37c						
RAB9B	rab9b	ortholog_one2one	75.2475	75.6219	25	0
TPPP3	tppp3	ortholog_one2one	73.4463	73.8636	0	0
znf1029						
SLC39A9	slc39a9	ortholog_one2one	83.1715	84.8185	25	0
KIF16B						
MTX1	mtx1	ortholog_one2many	35.3312	49.5575	0	0
gpkow	gpkow	ortholog_one2one	51.1858	52.008	0	0
SAMD4A	samd4a	ortholog_one2one	69.6221	66.6203	50	1
zgc:158270						
DYNC2I2	dync2i2	ortholog_one2one	50.8982	50.6958	50	1
GRIA3	gria3	ortholog_one2many	77.991	83.8592	0	0
EML5	eml5	ortholog_one2one	85.9319	85.4977	0	0
si:dkey-27d5.7	rbbp6	ortholog_one2many	44.964	5.9952	0	0
si:dkeyp-87d1.6						
si:dkey-20d21.6						
si:dkey-251i8.2						
CREB3L1	creb3l1	ortholog_one2one	51.3308	56.962	75	1
CDC42	cdc42	ortholog_one2many	98.4293	88.6792	75	1
SYT2	syt2	ortholog_one2many	70.4651	70.7944	50	1
tspan33b						
adamts13	adamts13	ortholog_one2one	41.9226	39.5217	0	0
gnal	gnal	ortholog_one2many	82.5858	62.475	25	0
si:dkey-238o14.1						
TMEM240	tmem240	ortholog_one2many	71.4286	83.8926	0	0
foxo3a	foxo6	ortholog_one2many	37.9471	43.5714	0	0
osmr	lifr	ortholog_one2many	25.2241	18.0238	0	0
osmr	osmr	ortholog_one2many	23.1754	19.7814	50	0
si:ch211-197e18.1						
parvg	parvg	ortholog_one2one	48.5714	48.7261	50	1
si:ch211-198m17.1						
DNAH3	dnah3	ortholog_one2one	73.3092	69.5428	50	1
or30bu1		ortholog_many2many	33.6391	37.5427	0	0
or30bu1		ortholog_many2many	36.6972	36.5854	0	0
or30bu1		ortholog_many2many	35.7798	35.6707	0	0
or30bu1		ortholog_many2many	36.6972	36.036	0	0
or30bu1		ortholog_many2many	23.2416	38	0	0
or30bu1		ortholog_many2many	34.2508	35.6688	0	0
or30bu1	XB5900534 [provisional:or56a5]	ortholog_many2many	37.6147	37.7301	0	0
or30bu1	or30a1h	ortholog_many2many	38.5321	38.7692	0	0
or30bu1		ortholog_many2many	31.4985	32.4921	0	0
or30bu1		ortholog_many2many	37.0031	36.3363	0	0
or30bu1	or30a1c	ortholog_many2many	35.7798	34.9254	0	0
or30bu1	or30g1	ortholog_many2many	38.8379	38.6018	0	0
or30bu1		ortholog_many2many	38.8379	40.4459	0	0
or30bu1		ortholog_many2many	36.6972	37.2671	0	0
si:ch211-190h11.2						
ap5b1	ap5b1	ortholog_one2one	39.6091	41.6667	100	1
nhej1	nhej1	ortholog_one2one	31.7152	28.0802	0	0
si:dkeyp-69b9.3	myos	ortholog_one2one	33.0113	25.4658	0	0
si:dkey-85n7.7		ortholog_many2many	15.1079	16.1538	0	0
si:dkey-85n7.7		ortholog_many2many	28.777	8.28157	0	0
nlgn3b						
pitpnaa	pitpna	ortholog_one2many	81.5498	81.5498	25	0
CTU1	ctu1	ortholog_one2one	86.5889	87.0968	0	0
nitr12						
wfdc2						
si:dkey-157e10.8						
STX5	stx5	ortholog_one2many	68.8761	61.4396	25	0
si:dkeyp-68b7.12						
ldlrb						
si:ch211-59m15.1						
KIF7	kif7	ortholog_one2one	57.9604	56.7937	0	0
si:ch211-137i24.14						
NARF	narf	ortholog_one2one	52.6882	53.7281	25	0
si:ch211-220m6.5						
