rhesus_macaque gene name,human gene name
SNORA16A,SNORA16A
HPCA,HPCA
S100A4,S100A4
CAMK2N1,CAMK2N1
STRIT1,STRIT1
CLDN19,CLDN19
ANAPC13,ANAPC13
GNAI3,GNAI3
TAF13,TAF13
AMIGO1,AMIGO1
PSMA5,PSMA5
UBE2E2,UBE2E2
PUM1,PUM1
MIR4790,MIR4790
AIDA,AIDA
NHLH2,NHLH2
PARK7,PARK7
FBXO44,FBXO44
ZNF385D,ZNF385D
TOMM20,TOMM20
KCNJ6,KCNJ6
RBM8A,RBM8A
PTP4A2,PTP4A2
HPCAL4,HPCAL4
DNAJC19,DNAJC19
SF3B4,SF3B4
LMX1A,LMX1A
IRF6,IRF6
DNAJB11,DNAJB11
H2AC21,H2AC21
H2AC20,H2AC20
mml-mir-194-1,MIR194-1
H3C13,H3C15
C1H1orf21,C1orf21
TMCO1,TMCO1
H2BC26,H2BC26
UCK2,UCK2
CNBP,CNBP
FAM78B,FAM78B
mml-mir-26a-1,MIR26A1
TADA1,TADA1
AHCYL1,AHCYL1
RNF2,RNF2
SEC22B,SEC22B
RAP2B,RAP2B
LYPLA2,LYPLA2
PCP4,PCP4
PITHD1,PITHD1
RPL15,RPL15
RUVBL1,RUVBL1
RAB6B,RAB6B
SEC61A1,SEC61A1
PEX14,PEX14
MAEA,MAEA
KHDC4,KHDC4
GNG5,GNG5
TAGLN2,TAGLN2
UBE2H,UBE2H
GNGT1,GNGT1
SEM1,SEM1
DUSP23,DUSP23
MIR3662,MIR3662
KCNAB2,KCNAB2
ZNHIT1,ZNHIT1
GATAD2B,GATAD2B
SNRPC,SNRPC
CDKN2C,CDKN2C
SMAD1,SMAD1
PRKAA2,PRKAA2
PFDN2,PFDN2
CNR1,CNR1
CDC73,CDC73
AP1S1,AP1S1
LSM6,LSM6
ASF1A,ASF1A
EIF4A2,EIF4A2
TMA7,TMA7
AGO3,AGO3
AGO1,AGO1
HNRNPD,HNRNPD
TUBB2B,TUBB2B
PRRX1,PRRX1
UFC1,UFC1
mml-mir-711,MIR711
EIF1B,EIF1B
MIR323B,MIR323B
mml-mir-412,MIR412
RPL10A,RPL10A
RPL9,RPL9
NRAS,NRAS
CTNNB1,CTNNB1
BCAS2,BCAS2
BMP5,BMP5
PTBP2,PTBP2
PPP1R11,PPP1R11
POLR2J,POLR2J
SNORD114-28,SNORD114-28
MIR5004,MIR5004
SERINC1,SERINC1
mml-mir-654,MIR654
mml-mir-544,MIR544A
CLDN12,CLDN12
YWHAG,YWHAG
MIR4282,MIR4282
VPS37D,VPS37D
LRRC73,LRRC73
SH3BGRL2,SH3BGRL2
PFDN6,PFDN6
ARF4,ARF4
RAB25,RAB25
DDX39B,DDX39B
HES1,HES1
TRA2A,TRA2A
NEUROD6,NEUROD6
VAMP4,VAMP4
BZW2,BZW2
CHIC2,CHIC2
UBA3,UBA3
PHOX2B,PHOX2B
GUCY1B1,GUCY1B1
HSPB1,HSPB1
TSPAN5,TSPAN5
PSMC2,PSMC2
RNF7,RNF7
PSMA6,PSMA6
NR2F2,NR2F2
MIR1469,MIR1469
SNORD126,SNORD126
KCND3,KCND3
TAFA1,TAFA1
mml-mir-133b,MIR133B
RAP1A,RAP1A
CASTOR2,CASTOR2
NFYA,NFYA
C1QL3,C1QL3
CRIP1,CRIP1
TMEM243,TMEM243
NSG1,NSG1
H2BC15,H2BC15
GNAT1,GNAT1
GNAI2,GNAI2
SNORD114-9,SNORD114-9
KBTBD2,KBTBD2
GTF2H4,GTF2H4
PELI2,PELI2
mml-mir-599,MIR599
MED30,MED30
MIR6501,MIR6501
BRMS1L,BRMS1L
H1-0,H1-0
SMIM19,SMIM19
U2AF1,U2AF1
U7,RNU7-93P
DNAJB4,DNAJB4
OARD1,OARD1
BUD31,BUD31
FEM1C,FEM1C
mml-mir-95,MIR95
H2BC11,H2BC11
CSTF1,CSTF1
ERH,ERH
GEMIN2,GEMIN2
H2AC14,H2AC14
LHX9,LHX9
ID4,ID4
RPL35A,RPL35A
PIP4P1,PIP4P1
TUSC3,TUSC3
SSR3,SSR3
PHYHIP,PHYHIP
HAS2,HAS2
H2AC12,H2AC12
H2BC12,H2BC12
mml-mir-214,MIR214
mml-mir-199a-1,MIR199A2
HMGB2,HMGB2
ERG28,ERG28
MAPK10,MAPK10
CCNL1,CCNL1
HMGN4,HMGN4
mml-mir-181a-1,MIR181A1
PTP4A1,PTP4A1
HECTD1,HECTD1
TMEM33,TMEM33
SNAI2,SNAI2
TAB1,TAB1
GNAT3,GNAT3
MAB21L2,MAB21L2
SLC25A28,SLC25A28
H2AC6,H2AC6
SEC61G,SEC61G
RANBP1,RANBP1
RPL3,RPL3
RABGGTB,RABGGTB
ZCCHC24,ZCCHC24
SNAP25,SNAP25
DAD1,DAD1
FOXG1,FOXG1
HNRNPF,HNRNPF
TMEM9,TMEM9
H2AC8,H2AC8
MRFAP1L1,MRFAP1L1
S100P,S100P
H2BC5,H2BC5
MRFAP1,MRFAP1
SSTR1,SSTR1
EMX2,EMX2
FBXW11,FBXW11
RBM17,RBM17
STXBP6,STXBP6
SUPT16H,SUPT16H
CACNG2,CACNG2
EIF3D,EIF3D
SNORD116,SNORD116-17
JOSD1,JOSD1
SRSF5,SRSF5
