gorilla gene name,rhesus_macaque gene name,correlation,identical_scores,orthology confidence,combo_score
MARCHF5,MARCHF5,1.0000025,100.0,1.0,2.0
TIMM8A,TIMM8A,1.000002,100.0,1.0,1.999999046881334
MRFAP1L1,MRFAP1L1,1.0000019,100.0,1.0,1.9999988562576005
MCTS1,MCTS1,1.0000019,100.0,1.0,1.9999988562576005
PPIL1,PPIL1,1.0000018,100.0,1.0,1.9999986656338673
SEC61B,SEC61B,1.0000018,100.0,1.0,1.9999986656338673
H2AC12,H2AC12,1.0000015,100.0,1.0,1.9999980937626676
SLC6A1,SLC6A1,1.0000015,100.0,1.0,1.9999980937626676
ASF1A,ASF1A,1.0000014,100.0,1.0,1.9999979031389343
GNAZ,GNAZ,1.0000014,100.0,1.0,1.9999979031389343
FGF18,FGF18,1.0000014,100.0,1.0,1.9999979031389343
HS3ST5,HS3ST5,1.0000014,100.0,1.0,1.9999979031389343
ATXN7L3B,ATXN7L3B,1.0000013,100.0,1.0,1.9999977125152015
SLC30A7,SLC30A7,1.0000013,100.0,1.0,1.9999977125152015
MARCKSL1,MARCKSL1,1.0000013,100.0,1.0,1.9999977125152015
EAF1,EAF1,1.0000013,100.0,1.0,1.9999977125152015
PDIK1L,PDIK1L,1.0000013,100.0,1.0,1.9999977125152015
GABARAP,GABARAP,1.0000012,100.0,1.0,1.999997521891468
LHFPL4,LHFPL4,1.0000012,100.0,1.0,1.999997521891468
CSTF1,CSTF1,1.0000012,100.0,1.0,1.999997521891468
GJB1,GJB1,1.0000011,100.0,1.0,1.9999973312677346
CD63,CD63,1.0000011,100.0,1.0,1.9999973312677346
KLF12,KLF12,1.0000011,100.0,1.0,1.9999973312677346
WNT2,WNT2,1.0000011,100.0,1.0,1.9999973312677346
HSPA5,HSPA5,1.0000011,100.0,1.0,1.9999973312677346
PCNA,PCNA,1.0000011,100.0,1.0,1.9999973312677346
PIK3CA,PIK3CA,1.0000011,100.0,1.0,1.9999973312677346
EMP3,EMP3,1.0000011,100.0,1.0,1.9999973312677346
CAMK2N2,CAMK2N2,1.000001,100.0,1.0,1.9999971406440014
CNIH2,CNIH2,1.000001,100.0,1.0,1.9999971406440014
HPCA,HPCA,1.000001,100.0,1.0,1.9999971406440014
NUDT11,NUDT11,1.000001,100.0,1.0,1.9999971406440014
RPL35A,RPL35A,1.000001,100.0,1.0,1.9999971406440014
GJD2,GJD2,1.000001,100.0,1.0,1.9999971406440014
ZRANB1,ZRANB1,1.000001,100.0,1.0,1.9999971406440014
VAMP4,VAMP4,1.000001,100.0,1.0,1.9999971406440014
SMCO4,SMCO4,1.0000008,100.0,1.0,1.999996759396535
MT4,MT4,1.0000008,100.0,1.0,1.999996759396535
DNAJA2,DNAJA2,1.0000008,100.0,1.0,1.999996759396535
CHMP7,CHMP7,1.0000008,100.0,1.0,1.999996759396535
FEM1C,FEM1C,1.0000008,100.0,1.0,1.999996759396535
FAM78B,FAM78B,1.0000008,100.0,1.0,1.999996759396535
DCUN1D3,DCUN1D3,1.0000008,100.0,1.0,1.999996759396535
MYF6,MYF6,1.0000008,100.0,1.0,1.999996759396535
TIMM10,TIMM10,1.0000008,100.0,1.0,1.999996759396535
UBTD1,UBTD1,1.0000008,100.0,1.0,1.999996759396535
TMEM167A,TMEM167A,1.0000008,100.0,1.0,1.999996759396535
ERG28,ERG28,1.0000007,100.0,1.0,1.9999965687728016
MAB21L1,MAB21L1,1.0000007,100.0,1.0,1.9999965687728016
PHOX2B,PHOX2B,1.0000007,100.0,1.0,1.9999965687728016
C1orf21,C1H1orf21,1.0000007,100.0,1.0,1.9999965687728016
CHMP4B,CHMP4B,1.0000006,100.0,1.0,1.9999963781490684
CWC15,CWC15,1.0000006,100.0,1.0,1.9999963781490684
CAND1,CAND1,1.0000006,100.0,1.0,1.9999963781490684
SOCS3,SOCS3,1.0000006,100.0,1.0,1.9999963781490684
LRRTM3,LRRTM3,1.0000006,100.0,1.0,1.9999963781490684
HES1,HES1,1.0000006,100.0,1.0,1.9999963781490684
ARPC5L,ARPC5L,1.0000006,100.0,1.0,1.9999963781490684
ORMDL1,ORMDL1,1.0000006,100.0,1.0,1.9999963781490684
OAZ2,OAZ2,1.0000006,100.0,1.0,1.9999963781490684
GNB3,GNB3,1.0000006,100.0,1.0,1.9999963781490684
GNG13,GNG13,1.0000006,100.0,1.0,1.9999963781490684
LRRTM2,LRRTM2,1.0000006,100.0,1.0,1.9999963781490684
PPIB,PPIB,1.0000005,100.0,1.0,1.9999961875253354
MAGEH1,MAGEH1,1.0000005,100.0,1.0,1.9999961875253354
RPL27,RPL27,1.0000005,100.0,1.0,1.9999961875253354
TMEM35A,TMEM35A,1.0000005,100.0,1.0,1.9999961875253354
RBM18,RBM18,1.0000005,100.0,1.0,1.9999961875253354
GTF2H5,GTF2H5,1.0000005,100.0,1.0,1.9999961875253354
FAM168B,FAM168B,1.0000005,100.0,1.0,1.9999961875253354
IMP3,IMP3,1.0000005,100.0,1.0,1.9999961875253354
YEATS4,YEATS4,1.0000005,100.0,1.0,1.9999961875253354
