A	B	source
TFF1	Tff1	only_in_union
MCHR1	Mchr1	only_in_union
LHFPL6	Lhfpl6	only_in_union
HTRA1	Htra1	only_in_union
ZNF397	Zfp397	only_in_union
MAN2B1	Man2b1	only_in_union
MIR532	Mir532	only_in_union
NICOL1	Nicol1	only_in_union
ABHD10	Abhd10	only_in_union
MIR15B	Mir15b	only_in_union
AIRIM	Airim	only_in_union
ZFY	Zfx	only_in_union
C1orf162	I830077J02Rik	only_in_union
U4	Gm24265	only_in_union
RNU6-516P	Gm23116	only_in_union
RINT1	Rint1	only_in_union
CLEC4D	Clec4d	only_in_union
KIAA0825	2210408I21Rik	only_in_union
FAM53A	Fam53a	only_in_union
SNORA75B	Gm22972	only_in_union
ABHD15	Abhd15	only_in_union
OTOG	Otog	only_in_union
MMADHC	Mmadhc	only_in_union
SNAPIN	Snapin	only_in_union
ACSBG2	Acsbg2	only_in_union
SNORA8	Gm25791	only_in_union
PDE6H	Pde6h	only_in_union
FAM228A	Fam228a	only_in_union
DCHS1	Dchs1	only_in_union
AHSP	Ahsp	only_in_union
VPS37A	Vps37a	only_in_union
RREB1	Rreb1	only_in_union
DUSP1	Dusp1	only_in_union
HNRNPDL	Hnrnpdl	only_in_union
MIR23B	Mir23b	only_in_union
KLHL42	Klhl42	only_in_union
FBLIM1	Fblim1	only_in_union
DIAPH3	Diaph3	only_in_union
PTGS1	Ptgs1	only_in_union
DNAAF11	Dnaaf11	only_in_union
TEKTIP1	Tektip1	only_in_union
GLTP	Gltp	only_in_union
SNORD12	Snord12	only_in_union
MIR770	Mir770	only_in_union
SNORA51	Gm24451	only_in_union
SCAI	Scai	only_in_union
RNU6-839P	Gm24527	only_in_union
GPBP1L1	Gpbp1l1	only_in_union
HRAS	Hras	only_in_union
XPO6	Xpo6	only_in_union
MIR29B2	Mir29b-2	only_in_union
MT-ND5	mt-Nd5	only_in_union
MIR504	Mir504	only_in_union
IFFO2	Iffo2	only_in_union
RNU6-1089P	Gm26439	only_in_union
SNORD113-9	Gm55110	only_in_union
CIPC	Cipc	only_in_union
NUP205	Nup205	only_in_union
TRAPPC2L	Trappc2l	only_in_union
B4GALT3	B4galt3	only_in_union
MIR143	Mir143	only_in_union
OR5V1	Or5v1b	only_in_union
MVD	Mvd	only_in_union
ADAMTS6	Adamts6	only_in_union
RNU6-1055P	Gm24202	only_in_union
PLG	Plg	only_in_union
NSMCE4A	Nsmce4a	only_in_union
PLEKHD1	Plekhd1	only_in_union
TCF7L1	Tcf7l1	only_in_union
MIR181A1	Mir181a-1	only_in_union
RHO	Rho	only_in_union
NFILZ	Nfilz	only_in_union
UGGT1	Uggt1	only_in_union
RARA	Rara	only_in_union
RNU6-313P	Gm55126	only_in_union
RXFP1	Rxfp1	only_in_union
PSME4	Psme4	only_in_union
SHD	Shd	only_in_union
ZNF121	Zfp560	only_in_union
SCARNA15	Gm54927	only_in_union
CLK1	Clk1	only_in_union
HOXD3	Hoxd3	only_in_union
PIK3R3	Pik3r3	only_in_union
TNNT3	Tnnt3	only_in_union
WWC1	Wwc1	only_in_union
MIR196B	Mir196b	only_in_union
RNU4-67P	Gm25995	only_in_union
CFAP95	Cfap95	only_in_union
WIZ	Wiz	only_in_union
ANKRD13B	Ankrd13b	only_in_union
MYORG	Myorg	only_in_union
LRRD1	Lrrd1	only_in_union
RNU6-653P	Gm55397	only_in_union
VPS11	Vps11	only_in_union
LHFPL7	Lhfpl7	only_in_union
NUDT3	Nudt3	only_in_union
MIR675	Mir675	only_in_union
SLC6A11	Slc6a11	only_in_union
SNORA20B	Gm24615	only_in_union
MIR193A	Mir193a	only_in_union
TLE5	Tle5	only_in_union
UBASH3B	Ubash3b	only_in_union
RNU6-1292P	Gm25207	only_in_union
GID4	Gid4	only_in_union
SND1	Snd1	only_in_union
RAB11A	Rab11a	only_in_union
SYCP3	Sycp3	only_in_union
STAG2	Stag2	only_in_union
MEIOSIN	Meiosin	only_in_union
SNORD114-14	Gm23787	only_in_union
OR1B1	Or1b1	only_in_union
HEPACAM	Hepacam	only_in_union
ARFGAP3	Arfgap3	only_in_union
SPATA19	Spata19	only_in_union
MGAT4C	Mgat4c	only_in_union
PPP2R2A	Ppp2r2a	only_in_union
JARID2	Jarid2	only_in_union
UFD1	Ufd1	only_in_union
UBE2F	Ube2f	only_in_union
MRAP	Mrap	only_in_union
MIR331	Mir331	only_in_union
ZCCHC8	Zcchc8	only_in_union
TMEM39B	Tmem39b	only_in_union
PRKAR1B	Prkar1b	only_in_union
IL17A	Il17a	only_in_union
DENND10	Dennd10	only_in_union
CDH7	Cdh7	only_in_union
SNORD37	Snord37	only_in_union
Y_RNA	Gm26168	only_in_union
OR51D1	Or51d1	only_in_union
GARIN3	Garin3	only_in_union
MIR10B	Mir10b	only_in_union
FASTKD3	Fastkd3	only_in_union
MIR195	Mir195a	only_in_union
KIF4B	Kif4-ps	only_in_union
TMEM220	Tmem220	only_in_union
SNORD60	Snord60	only_in_union
OGFOD2	Ogfod2	only_in_union
SNORA4	Gm24616	only_in_union
PHLPP1	Phlpp1	only_in_union
METTL25B	Mettl25b	only_in_union
HTD2	Htd2	only_in_union
MIR450A2	Mir450-2	only_in_union
ERGIC2	Ergic2	only_in_union
OR8A1	Or8a1b	only_in_union
N4BP3	N4bp3	only_in_union
NADK	Nadk	only_in_union
PROKR2	Prokr2	only_in_union
RNU7-79P	Rnu7-ps3	only_in_union
DCAKD	Dcakd	only_in_union
PIGX	Pigx	only_in_union
STAG3	Stag3	only_in_union
ZFP82	Zfp82	only_in_union
CLEC10A	Mgl2	only_in_union
ACCSL	Accsl	only_in_union
RNU6-1234P	Gm56000	only_in_union
MR1	Mr1	only_in_union
PAQR7	Paqr7	only_in_union
ARID1B	Arid1b	only_in_union
CIMAP2	Cimap2	only_in_union
GLS2	Gls2	only_in_union
ARF6	Arf6	only_in_union
RPL32	Rpl32	only_in_union
COG1	Cog1	only_in_union
CLSTN3	Clstn3	only_in_union
SLC4A8	Slc4a8	only_in_union
MT-CO2	mt-Co2	only_in_union
RNU6-970P	Gm26228	only_in_union
RNU6-2	Gm23512	only_in_union
IRAK3	Irak3	only_in_union
CDK3	Cdk3	only_in_union
ATP5PO	Atp5po	only_in_union
SNORD38A	Snord38a	only_in_union
ITGA4	Itga4	only_in_union
IFNLR1	Ifnlr1	only_in_union
IMPDH2	Impdh2	only_in_union
OR10G8	Or10g9	only_in_union
RNU6-821P	Gm23503	only_in_union
RNU6-282P	Gm23104	only_in_union
PRMT5	Prmt5	only_in_union
MIR216B	Mir216b	only_in_union
HGFAC	Hgfac	only_in_union
OR9Q2	Or9q2	only_in_union
DNASE1L2	Dnase1l2	only_in_union
OR2I1P	Or2i1	only_in_union
MIR218-1	Mir218-1	only_in_union
ZNF106	Zfp106	only_in_union
ATG4A	Atg4a	only_in_union
CCDC91	Ccdc91	only_in_union
MIR9-3	Mir9-3	only_in_union
RBP1	Rbp1	only_in_union
RBM6	Rbm6	only_in_union
RNU6-547P	Gm25609	only_in_union
SEPSECS	Sepsecs	only_in_union
RNU6-1294P	Gm25008	only_in_union
SNORD97	Gm23262	only_in_union
OR5W2	Or5w8	only_in_union
ZBTB8B	Zbtb8b	only_in_union
KRT10	Krt10	only_in_union
IL31RA	Il31ra	only_in_union
SLC19A1	Slc19a1	only_in_union
MT-CO3	mt-Co3	only_in_union
RNU6-302P	Gm24678	only_in_union
MCCC1	Mccc1	only_in_union
SNORA68	Snora68	only_in_union
BTRC	Btrc	only_in_union
DPP4	Dpp4	only_in_union
CMSS1	Cmss1	only_in_union
CFAP97D1	Cfap97d1	only_in_union
PLAU	Plau	only_in_union
EGLN1	Egln1	only_in_union
SNORD61	Snord61	only_in_union
RNU6-1046P	Gm55764	only_in_union
CCND2	Ccnd2	only_in_union
LRSAM1	Lrsam1	only_in_union
RNU6-1153P	Gm22381	only_in_union
SNORD49A	Snord49a	only_in_union
ANO3	Ano3	only_in_union
RNU6-507P	Gm26227	only_in_union
HS3ST3B1	Hs3st3b1	only_in_union
SH3GL1	Sh3gl1	only_in_union
MIR133A1	Mir133a-1	only_in_union
IFIT3	Ifit3b	only_in_union
ATP5IF1	Atp5if1	only_in_union
SNORA62	Snora62	only_in_union
NEK5	Nek5	only_in_union
RNLS	Rnls	only_in_union
MIRLET7E	Mirlet7e	only_in_union
MIR33A	Mir33	only_in_union
CHFR	Chfr	only_in_union
SSBP2	Ssbp2	only_in_union
SEC61B	Sec61b	only_in_union
MIR218-2	Mir218-2	only_in_union
APOA5	Apoa5	only_in_union
TEC	Tec	only_in_union
MIR155	Mir155	only_in_union
GALNTL6	Galntl6	only_in_union
BPI	Bpi	only_in_union
EOGT	Eogt	only_in_union
PGPEP1	Pgpep1	only_in_union
PCNX3	Pcnx3	only_in_union
RGMB	Rgmb	only_in_union
RNU5A-2P	Gm24043	only_in_union
OR4D11	Or4d11	only_in_union
TANC2	Tanc2	only_in_union
MTERF3	Mterf3	only_in_union
SYCP2L	Sycp2l	only_in_union
THRAP3	Thrap3	only_in_union
SNORD42B	Snord42b	only_in_union
UTP25	Utp25	only_in_union
FRRS1L	Frrs1l	only_in_union
ENSA	Ensa	only_in_union
SLC38A3	Slc38a3	only_in_union
TRAPPC10	Trappc10	only_in_union
ATP5F1C	Atp5f1c	only_in_union
AMDHD1	Amdhd1	only_in_union
PHF12	Phf12	only_in_union
DNAI1	Dnai1	only_in_union
FADS2	Fads2	only_in_union
SDR42E2	Sdr42e2	only_in_union
ATP5PF	Atp5pf	only_in_union
HOXA3	Hoxa3	only_in_union
IQCA1	Iqca1	only_in_union
OR10A4	Or10a4	only_in_union
ADCY6	Adcy6	only_in_union
PDZD4	Pdzd4	only_in_union
HEATR5A	Heatr5a	only_in_union
SCN1A	Scn1a	only_in_union
TBC1D16	Tbc1d16	only_in_union
RTTN	Rttn	only_in_union
ABCC3	Abcc3	only_in_union
POU2AF2	Pou2af2	only_in_union
PLAGL1	Plagl1	only_in_union
RNU6-1131P	Gm24927	only_in_union
TBL1XR1	Tbl1xr1	only_in_union
CEACAM20	Ceacam20	only_in_union
ST6GALNAC2	St6galnac2	only_in_union
LEPROT	Leprot	only_in_union
CRIP2	Crip2	only_in_union
ZNF286A	Zfp286	only_in_union
BMAL1	Bmal1	only_in_union
MNX1	Mnx1	only_in_union
CCK	Cck	only_in_union
E2F6	E2f6	only_in_union
ADISSP	Adissp	only_in_union
KIFC3	Kifc3	only_in_union
CYTH4	Cyth4	only_in_union
DNAAF10	Dnaaf10	only_in_union
CFAP299	Cfap299	only_in_union
RPL35	Rpl35	only_in_union
NSG2	Nsg2	only_in_union
RNU6-421P	Gm26403	only_in_union
RNU6-194P	Gm24867	only_in_union
OR10A6	Or10a49	only_in_union
MINDY4	Mindy4	only_in_union
PLA2G2A	Pla2g2a	only_in_union
LRRC8C	Lrrc8c	only_in_union
TRMT44	Trmt44	only_in_union
DPEP2	Dpep2	only_in_union
UBE2T	Ube2t	only_in_union
MIR19B2	Mir19b-2	only_in_union
TBC1D13	Tbc1d13	only_in_union
RNU6-384P	Gm23410	only_in_union
AARS1	Aars1	only_in_union
NRK	Nrk	only_in_union
SNORA74A	Snora74a	only_in_union
CRLF3	Crlf3	only_in_union
OR8J1	Or8j3	only_in_union
CYP1A2	Cyp1a2	only_in_union
MRGPRF	Mrgprf	only_in_union
RHOT2	Rhot2	only_in_union
SNORA16A	Snora16a	only_in_union
RNU4-39P	Gm22720	only_in_union
GNB1	Gnb1	only_in_union
FBXO27	Fbxo27	only_in_union
METTL3	Mettl3	only_in_union
KIAA0319L	AU040320	only_in_union
ORC2	Orc2	only_in_union
MID2	Mid2	only_in_union
KCNH5	Kcnh5	only_in_union
CDH16	Cdh16	only_in_union
GALNT1	Galnt1	only_in_union
PLAG1	Plag1	only_in_union
OR2T1	Or2t1	only_in_union
PPP2R2C	Ppp2r2c	only_in_union
UPK1A	Upk1a	only_in_union
AMPD3	Ampd3	only_in_union
RNU1-150P	Gm25581	only_in_union
RGS5	Rgs5	only_in_union
ZNF202	Zfp202	only_in_union
MIR29C	Mir29c	only_in_union
HEATR1	Heatr1	only_in_union
DLX1	Dlx1	only_in_union
IL17B	Il17b	only_in_union
ZFP28	Zfp28	only_in_union
VTRNA2-2P	Vaultrc-ps1	only_in_union
CCDC69	Ccdc69	only_in_union
SNORD18C	Gm22455	only_in_union
C3orf18	6430571L13Rik	only_in_union
OR4K2	Or4k2	only_in_union
RNU6-1006P	Gm22929	only_in_union
COPS7B	Cops7b	only_in_union
PTP4A1	Ptp4a1	only_in_union
SLC18A1	Slc18a1	only_in_union
ATP5F1A	Atp5f1a	only_in_union
ASGR2	Asgr2	only_in_union
FRY	Fry	only_in_union
ZC3H12B	Zc3h12b	only_in_union
DNM1	Dnm1	only_in_union
TSTD2	Tstd2	only_in_union
PLA2G4D	Pla2g4d	only_in_union
GYPC	Gypc	only_in_union
MIR206	Mir206	only_in_union
RNU6-1310P	Gm23422	only_in_union
RN7SL116P	Gm22649	only_in_union
ANO6	Ano6	only_in_union
TOMM6	Tomm6	only_in_union
MYO1E	Myo1e	only_in_union
OR51G2	Or51g2	only_in_union
CSNK1G3	Csnk1g3	only_in_union
RNU6-699P	Gm22013	only_in_union
MIR433	Mir433	only_in_union
SNORA80A	Gm24696	only_in_union
STARD8	Stard8	only_in_union
RNU6-153P	Gm22215	only_in_union
DET1	Det1	only_in_union
PRND	Prnd	only_in_union
RNU1-130P	Gm24524	only_in_union
NIPAL4	Nipal4	only_in_union
NECTIN4	Nectin4	only_in_union
CSTF2	Cstf2	only_in_union
C3orf70	2510009E07Rik	only_in_union
DNAH5	Dnah5	only_in_union
OR2A25	Or2a25	only_in_union
RNU6-1227P	Gm24686	only_in_union
MIR374A	Mir374c	only_in_union
DHRS2	Dhrs2	only_in_union
PNRC2	Pnrc2	only_in_union
POLR3B	Polr3b	only_in_union
RNU6-855P	Gm22263	only_in_union
NDUFS4	Ndufs4	only_in_union
C2CD2	C2cd2	only_in_union
RNU6-1225P	Gm22351	only_in_union
SNORD32B	Gm56121	only_in_union
SNORD125	Gm24958	only_in_union
SNORD62B	Gm25632	only_in_union
PCMTD2	Pcmtd2	only_in_union
RNU6-1007P	Gm22260	only_in_union
MIR412	Mir412	only_in_union
ASDURF	Asdurf	only_in_union
SRGAP2	Srgap2	only_in_union
ADHFE1	Adhfe1	only_in_union
SPDEF	Spdef	only_in_union
HOXD10	Hoxd10	only_in_union
MIR424	Mir322	only_in_union
ATG7	Atg7	only_in_union
PNMA8C	Pnma8c	only_in_union
CLEC2L	Clec2l	only_in_union
PLS3	Pls3	only_in_union
MIR205	Mir205	only_in_union
OR2J2	Or2j3	only_in_union
OR5M3	Or5m3	only_in_union
RNU6-788P	Gm23241	only_in_union
PCF11	Pcf11	only_in_union
ADAM17	Adam17	only_in_union
DEPDC5	Depdc5	only_in_union
TAS2R10	Tas2r106	only_in_union
RNU1-109P	Gm24446	only_in_union
PCDH19	Pcdh19	only_in_union
TTC38	Ttc38	only_in_union
ERGIC1	Ergic1	only_in_union
FEM1A	Fem1a	only_in_union
ADGRL4	Adgrl4	only_in_union
MAOA	Maoa	only_in_union
NKTR	Nktr	only_in_union
ABCA8	Abca8b	only_in_union
MIR488	Mir488	only_in_union
RPS6KA6	Rps6ka6	only_in_union
PPP1R3E	Ppp1r3e	only_in_union
ZNF771	Zfp771	only_in_union
MIR23A	Mir23a	only_in_union
CYP4F12	Cyp4a30b	only_in_union
SNIP1	Snip1	only_in_union
SNORA14B	Gm26397	only_in_union
SLC25A17	Slc25a17	only_in_union
OR2Y1	Or2y1d	only_in_union
CLDN20	Cldn20	only_in_union
OAS3	Oas3	only_in_union
TRMT5	Trmt5	only_in_union
U8	Snord118	only_in_union
CXXC5	Cxxc5	only_in_union
ATXN3	Atxn3	only_in_union
ACP7	Acp7	only_in_union
ABCB8	Abcb8	only_in_union
OR5M9	Or5m9	only_in_union
RNU1-140P	Gm23405	only_in_union
ATP11A	Atp11a	only_in_union
ZNF655	Zfp655	only_in_union
JAGN1	Jagn1	only_in_union
TBATA	Tbata	only_in_union
MAP1B	Map1b	only_in_union
SLC22A7	Slc22a7	only_in_union
MIR132	Mir132	only_in_union
EEF1A2	Eef1a2	only_in_union
CLCA4	Clca4b	only_in_union
RNU6-330P	Gm22476	only_in_union
ARHGAP42	Arhgap42	only_in_union
RNU6-258P	Gm22236	only_in_union
MT-ND4L	mt-Nd4l	only_in_union
RNU6-778P	Gm23678	only_in_union
TCAF2C	Tcaf2	only_in_union
CATSPERG	Catsperg1	only_in_union
SHOX2	Shox2	only_in_union
IQCA1L	Iqca1l	only_in_union
SNORA36B	Snora36b	only_in_union
5S_rRNA	n-R5s108	only_in_union
EIF2B1	Eif2b1	only_in_union
G6PC1	G6pc1	only_in_union
MIR375	Mir375	only_in_union
TK2	Tk2	only_in_union
EPHA6	Epha6	only_in_union
DBT	Dbt	only_in_union
ATP1A4	Atp1a4	only_in_union
MIR196A2	Mir196a-2	only_in_union
YWHAB	Ywhab	only_in_union
UNC13C	Unc13c	only_in_union
MIR381	Mir381	only_in_union
GPRASP3	Bhlhb9	only_in_union
SRGAP1	Srgap1	only_in_union
NLRP2	Nlrp2	only_in_union
CFAP90	Cfap90	only_in_union
PRRT2	Prrt2	only_in_union
ZNF426	Zfp426	only_in_union
NARS1	Nars1	only_in_union
CRACD	Cracd	only_in_union
SLC9C1	Slc9c1	only_in_union
ADH1B	Adh1	only_in_union
SCARNA18	Gm24507	only_in_union
KIF5A	Kif5a	only_in_union
ASF1B	Asf1b	only_in_union
CLK4	Clk4	only_in_union
RNU6-205P	Gm23125	only_in_union
ABCC8	Abcc8	only_in_union
EPCIP	Epcip	only_in_union
GYG1	Gyg1	only_in_union
EMC4	Emc4	only_in_union
SNORA74	Gm23946	only_in_union
CCSER1	Ccser1	only_in_union
ADAMTSL3	Adamtsl3	only_in_union
NLE1	Nle1	only_in_union
ZNF689	Zfp689	only_in_union
NME6	Nme6	only_in_union
CTPS1	Ctps1	only_in_union
ZSCAN20	Zscan20	only_in_union
GNA13	Gna13	only_in_union
HDAC4	Hdac4	only_in_union
ALLC	Allc	only_in_union
