Gene name	Mouse Lemur gene name	Mouse Lemur homology type	%id. target Mouse Lemur gene identical to query gene	%id. query gene identical to target Mouse Lemur gene	Mouse Lemur Gene-order conservation score	Mouse Lemur Whole-genome alignment coverage	Mouse Lemur orthology confidence [0 low, 1 high]
MT-TF							
MT-RNR1							
MT-TV							
MT-RNR2							
MT-TL1							
MT-ND1	ND1	ortholog_one2one	78.6164	78.6164	50	100.00	1
MT-TI							
MT-TQ							
MT-TM							
MT-ND2	ND2	ortholog_one2one	60.8069	60.4585	75	100.00	1
MT-TW							
MT-TA							
MT-TN							
MT-TC							
MT-TY							
MT-CO1	COX1	ortholog_one2one	91.2281	91.2281	100	100.00	1
MT-TS1							
MT-TD							
MT-CO2	COX2	ortholog_one2one	72.6872	72.6872	100	100.00	1
MT-TK							
MT-ATP8	ATP8	ortholog_one2one	50	50	100	100.00	1
MT-ATP6	ATP6	ortholog_one2one	74.7788	74.7788	100	100.00	1
MT-CO3	COX3	ortholog_one2one	85.8238	85.8238	100	100.00	1
MT-TG							
MT-ND3	ND3	ortholog_one2one	68.6957	68.6957	100	100.00	1
MT-TR							
MT-ND4L	ND4L	ortholog_one2one	68.3673	68.3673	100	100.00	1
MT-ND4	ND4	ortholog_one2one	72.3312	72.3312	100	100.00	1
MT-TH							
MT-TS2							
MT-TL2							
MT-ND5	ND5	ortholog_one2one	69.3201	69.3201	100	100.00	1
MT-ND6	ND6	ortholog_one2one	59.1954	59.1954	75	100.00	1
MT-TE							
MT-CYB	CYTB	ortholog_one2one	78.9474	79.1557	50	100.00	1
MT-TT							
MT-TP							
							
							
5S_rRNA							
							
							
							
							
							
							
							
							
							
							
							
							
5_8S_rRNA							
RNA5-8SN5							
							
							
5_8S_rRNA							
							
		ortholog_one2many	86.5	86.5	0	100.00	1
							
							
							
							
							
							
							
							
U6	U6	ortholog_one2many	76.4151	75.7009		0.00	0
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
Y_RNA	Y_RNA	ortholog_one2many	76.2376	75.4902		0.00	0
							
							
							
							
							
							
							
							
							
U6							
							
							
							
							
							
							
U1	U1	ortholog_one2many	69.3182	77.2152		0.00	0
							
							
							
U2							
							
							
							
							
							
							
							
U1	U1	ortholog_one2many	69.4444	62.5		100.00	1
							
							
U1							
							
							
							
							
							
							
	FRG1	ortholog_one2many	80.4878	38.3721	0	78.90	0
							
							
							
							
							
							
							
							
U2							
							
							
							
							
							
		ortholog_one2many	77.1242	75.641	0	99.60	1
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
MAFIP		ortholog_one2many	64.3411	18.5682	0	93.23	0
							
							
							
RNA5-8SN4							
5_8S_rRNA							
							
							
							
							
							
							
							
							
							
							
Y_RNA	Y_RNA	ortholog_one2many	76.2376	75.4902		0.00	0
							
							
							
							
							
							
		ortholog_many2many	79.5918	62.9032	0	0.00	0
		ortholog_many2many	82.6531	85.2632	0	0.00	0
		ortholog_many2many	80.6122	83.1579	0	0.00	0
							
							
							
							
							
							
							
							
							
							
	SLC6A8	ortholog_one2many	94.0157	94.0157	0	100.00	1
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
U6							
							
							
							
							
U6							
							
							
							
							
							
							
							
							
RPL23AP45							
							
C8orf33							
LINC02688							
MUC5AC							
MUC2							
ZSWIM4							
							
RN7SL619P							
MIR23AHG							
MIR24-2							
MIR27A							
MIR23A							
NANOS3							
MIR181C							
MIR181D							
BRME1							
CC2D1A							
PODNL1							
DCAF15							
RFX1							
							
RLN3							
							
IL27RA							
PALM3							
EEF1DP1							
MISP3							
MIR1199							
C19orf67							
PRKACA							
							
ASF1B							
ADGRL1-AS1							
ADGRL1							
RN7SL231P							
							
							
SAMD1							
CNTNAP3C							
RN7SL462P							
							
RNU1-62P							
MTCO3P47							
RNA5SP136							
RYBP							
SYT15B							
							
NPY4R2							
							
FAM25C							
AGAP12P							
AGAP12P							
RNA5SP315							
BMS1P7							
							
							
HMX1							
							
PPP2R3B							
RPL14P5							
							
IL3RA							
P2RY8							
SLC25A6							
DHRSX-IT1							
DHRSX							
ASMTL							
LINC00685							
PLCXD1							
ZBED1							
MIR6089							
LINC00102							
CD99							
Metazoa_SRP							
FABP5P13							
KRT18P53							
SHOX							
MIR3690							
RNA5SP498							
CD99P1							
CRLF2							
AKAP17A							
ASMT							
							
CSF2RA							
							
							
							
							
							
ASMTL-AS1							
							
							
							
LINC00106							
							
							
							
							
							
							
							
LINC02968							
							
							
							
LINC03015							
CD99P1							
LINC03014							
							
							
							
FAM20C							
							
							
LINC03112							
							
GTPBP6							
AMD1P2							
DPH3P2							
VAMP7							
ELOCP24							
TRPC6P1							
							
DDX11L16							
