A	B	source
SNORD73	SNORD73	only_in_union
LANCL1	LANCL1	only_in_union
MAPK12	MAPK12	only_in_union
NKRF	STEEP1	only_in_union
HSH2D	HSH2D	only_in_union
LGALSL	LGALSL	only_in_union
SMAGP	SMAGP	only_in_union
ASS1	ASS1	only_in_union
SNORA49	SNORA49	only_in_union
SNORD121B	SNORD121B	only_in_union
CCDC38	CCDC38	only_in_union
BID	BID	only_in_union
MKNK2	MKNK2	only_in_union
ggo-mir-15b	mml-mir-15b	only_in_union
RPL23	RPL23	only_in_union
CDRT15	CDRT15	only_in_union
MCM5	MCM5	only_in_union
SNORD24	SNORD24	only_in_union
GAS2	GAS2	only_in_union
ARK2C	ARK2C	only_in_union
ENKD1	ENKD1	only_in_union
RWDD3	TLCD4	only_in_union
JPH2	JPH2	only_in_union
MIR152	MIR152	only_in_union
MIR940	mml-mir-940	only_in_union
ggo-mir-21	mml-mir-21	only_in_union
ggo-mir-125b-2	mml-mir-125b-2	only_in_union
MIR185	mml-mir-185	only_in_union
POLR3H	POLR3H	only_in_union
NKX2-2	NKX2-2	only_in_union
SLC2A3	SLC2A3	only_in_union
SEPTIN4	SEPTIN4	only_in_union
NUDCD2	NUDCD2	only_in_union
GRB7	GRB7	only_in_union
ZFR2	ZFR2	only_in_union
MIRLET7A2	mml-let-7a-2	only_in_union
Vault	Vault	only_in_union
PRDM7	PRDM9	only_in_union
EXOG	EXOG	only_in_union
SNORD13	SNORD13	only_in_union
NKIRAS2	NKIRAS2	only_in_union
KIF17	DDOST	only_in_union
RAB6B	RAB6B	only_in_union
FDPS	FDPS	only_in_union
ACTA1	ACTA1	only_in_union
MIR486	MIR486-1	only_in_union
MIR135A1	mml-mir-135a-1	only_in_union
ggo-mir-100	mml-mir-100	only_in_union
MIR653	mml-mir-653	only_in_union
SNORD26	SNORD26	only_in_union
FAM76B	FAM76B	only_in_union
SNORA53	SNORA53	only_in_union
MIR374B	mml-mir-374b	only_in_union
WWP2	WWP2	only_in_union
ZNF793	ZNF793	only_in_union
KCNK9	KCNK9	only_in_union
MIR675B	mml-mir-675	only_in_union
PPP1CA	PPP1CA	only_in_union
MIR517C	mml-mir-517a	only_in_union
MIR324	mml-mir-324	only_in_union
SNORD49B	SNORD49B	only_in_union
ggo-mir-767	mml-mir-767	only_in_union
TFAP4	TFAP4	only_in_union
SYT8	SYT8	only_in_union
DEUP1	DEUP1	only_in_union
ZNF670	ZNF670	only_in_union
RAN	RAN	only_in_union
SERP1	SERP1	only_in_union
MIR922	mml-mir-922	only_in_union
SNORA84	SNORA84	only_in_union
ZNF397	ZNF397	only_in_union
SPI1	SPI1	only_in_union
CYP2C8	CYP2C19	only_in_union
RAB1B	RAB1B	only_in_union
MIR331	MIR331	only_in_union
NEK7	NEK7	only_in_union
PARP6	PARP6	only_in_union
RNF20	RNF20	only_in_union
MIR216B	mml-mir-216b	only_in_union
POLR1B	POLR1B	only_in_union
CSRP1	CSRP1	only_in_union
MIR27B	MIR27B	only_in_union
SNORD114-11	SNORD114-11	only_in_union
MXRA5	MXRA5	only_in_union
DALRD3	DALRD3	only_in_union
IFRD2	IFRD2	only_in_union
EPHX1	EPHX1	only_in_union
