crab_eating_macaque gene name,mice gene name,correlation,identical_scores,orthology confidence,combo_score
DYNLL1,Dynll1,1.0000021,100.0,1.0,1.999999676646451
HOXC8,Hoxc8,1.0000012,100.0,1.0,1.9999982215554817
HOXC6,Hoxc6,1.0000012,100.0,1.0,1.9999982215554817
MAB21L1,Mab21l1,1.0000007,100.0,1.0,1.9999974131716094
RHOB,Rhob,1.0000005,100.0,1.0,1.999997089818061
RRAGA,Rraga,1.0,100.0,1.0,1.9999962814341887
ZNF664,Zfp664,0.9999998,100.0,1.0,1.9999959580806401
OTP,Otp,0.99999976,100.0,1.0,1.9999958934099302
ZMAT2,Zmat2,0.9999997,100.0,1.0,1.9999957964038657
EMC6,Emc6,0.9999995,100.0,1.0,1.9999954730503169
PHF5A,Phf5a,0.9999995,100.0,1.0,1.9999954730503169
DAD1,Dad1,0.9999994,100.0,1.0,1.9999953113735425
ROMO1,Romo1,0.9999994,100.0,1.0,1.9999953113735425
RAP2C,Rap2c,0.99999934,100.0,1.0,1.9999952143674777
SERP1,Serp1,0.99999905,100.0,1.0,1.999994745504832
LSM6,Lsm6,0.9999988,100.0,1.0,1.9999943413128958
RAP2B,Rap2b,0.99999875,100.0,1.0,1.9999942604745087
PCBP1,Pcbp1,0.9999984,100.0,1.0,1.9999936946057981
ETF1,Etf1,0.99939686,100.0,1.0,1.9990211441370596
ARF5,Arf5,0.99916846,100.0,1.0,1.9986518743843251
VCP,Vcp,0.9991655,100.0,1.0,1.9986470887518026
SMC3,Smc3,0.9999283,99.8357,1.0,1.998176868576048
ATAD1,Atad1,0.9983185,100.0,1.0,1.997277686472616
GPR85,Gpr85,0.99995935,99.7297,1.0,1.9971280430139224
MAB21L2,Mab21l2,0.99990827,99.7215,1.0,1.9969604395095888
EBF1,Ebf1,0.99862313,99.91555,1.0,1.996894610330112
FOXB1,Foxb1,0.9999293,99.6923,1.0,1.9966916895215014
COPS2,Cops2,0.9978538,100.0,1.0,1.996526374501969
TMEM258,Tmem258,0.9978289,100.0,1.0,1.9964861169851427
EIF1B,Eif1b,0.99775064,100.0,1.0,1.9963595887414955
CYRIA,Cyria,0.99960166,99.6904,1.0,1.9961422722116131
