human gene name,mice gene name
TUBB,Tubb5
PSMC1,Psmc1
UBE2N,Ube2n
ISL1,Isl1
SNU13,Snu13
UBE2D1,Ube2d1
PHF5A,Phf5a
PPP2R2A,Ppp2r2a
UBE2G2,Ube2g2
SNRPD3,Snrpd3
UFM1,Ufm1
RPL30,Rpl30
MYL12B,Myl12b
ZNF706,Zfp706
ROMO1,Romo1
RNU6-8,Gm23296
RNU6-7,Gm24859
DAD1,Dad1
EIF1AX,Eif1ax
TIMM10,Timm10
NCS1,Ncs1
SUMO2,Sumo2
MIR32,Mir32
STMN2,Stmn2
NR2F2,Nr2f2
TXNL4A,Txnl4a
RPS16,Rps16
TUBB4B,Tubb4b
CA10,Car10
BTG1,Btg1
MIR3618,Mir3618
RRAS2,Rras2
STX1B,Stx1b
NCALD,Ncald
MAB21L1,Mab21l1
SERP2,Serp2
DYNLL2,Dynll2
ZMAT2,Zmat2
ENHO,Enho
ATAD1,Atad1
LSM5,Lsm5
MAGOH,Magoh
ZMYND19,Zmynd19
AP1S1,Ap1s1
RPS15,Rps15
RBX1,Rbx1
ANAPC16,Anapc16
MIR25,Mir25
TMEM258,Tmem258
RPS28,Rps28
BTF3L4,Btf3l4
SRSF1,Srsf1
AP3S2,Ap3s2
PSMD14,Psmd14
EIF3E,Eif3e
CNIH2,Cnih2
SNRPD1,Snrpd1
RAP1B,Rap1b
CALM1,Calm1
TMA7,Tma7
CPLX2,Cplx2
ABCE1,Abce1
PPP2CB,Ppp2cb
MAP1LC3A,Map1lc3a
ZC4H2,Zc4h2
CACNG7,Cacng7
RPS27L,Rps27l
TUBA1B,Tuba1b
ARF3,Arf3
POLR2G,Polr2g
ANAPC15,Anapc15
PCBP1,Pcbp1
SMU1,Smu1
H2AC20,H2ac20
RAB6B,Rab6b
VCP,Vcp
CSNK2B,Csnk2b
RPS11,Rps11
SNRPD2,Snrpd2
COPZ1,Copz1
HPCA,Hpca
RHOG,Rhog
UBE2R2,Ube2r2
RNASEK,Rnasek
SF3B1,Sf3b1
MOB4,Mob4
RRAGA,Rraga
EIF5A2,Eif5a2
PLP1,Plp1
GABARAPL2,Gabarapl2
SNX3,Snx3
SUPT4H1,Supt4a
ACTG2,Actg2
RNPS1,Rnps1
EIF4A2,Eif4a2
RBBP4,Rbbp4
OTP,Otp
PSME3,Psme3
UBE2D2,Ube2d2a
ELOC,Eloc
