microcebus gene name,human gene name,correlation,identical_scores,orthology confidence,combo_score
MARCHF5,MARCHF5,1.0000025,100.0,1.0,2.0
PPIL1,PPIL1,1.0000018,100.0,1.0,1.9999990272224841
UBE2R2,UBE2R2,1.0000018,100.0,1.0,1.9999990272224841
FOXB1,FOXB1,1.0000017,100.0,1.0,1.9999988882542676
ASF1A,ASF1A,1.0000015,100.0,1.0,1.9999986103178342
PFDN2,PFDN2,1.0000014,100.0,1.0,1.9999984713496177
CTXND1,CTXND1,1.0000011,100.0,1.0,1.999998054444968
PCNA,PCNA,1.0000011,100.0,1.0,1.999998054444968
HPCA,HPCA,1.000001,100.0,1.0,1.9999979154767513
CABP7,CABP7,1.000001,100.0,1.0,1.9999979154767513
TIMM10,TIMM10,1.000001,100.0,1.0,1.9999979154767513
CAMK2N2,CAMK2N2,1.000001,100.0,1.0,1.9999979154767513
PI15,PI15,1.0000008,100.0,1.0,1.9999976375403183
YPEL5,YPEL5,1.0000007,100.0,1.0,1.9999974985721016
MAB21L1,MAB21L1,1.0000007,100.0,1.0,1.9999974985721016
CWC15,CWC15,1.0000007,100.0,1.0,1.9999974985721016
H2AC7,H2AC7,1.0000006,100.0,1.0,1.999997359603885
H2BC21,H2BC21,1.0000006,100.0,1.0,1.999997359603885
FAM168B,FAM168B,1.0000005,100.0,1.0,1.9999972206356686
RHOB,RHOB,1.0000005,100.0,1.0,1.9999972206356686
WNT7A,WNT7A,1.0000004,100.0,1.0,1.999997081667452
H2AC6,H2AC6,1.0000004,100.0,1.0,1.999997081667452
CTXN1,CTXN1,1.0000002,100.0,1.0,1.9999968037310185
RAB1B,RAB1B,1.0000002,100.0,1.0,1.9999968037310185
TMSB10,TMSB10,1.0000002,100.0,1.0,1.9999968037310185
BTG1,BTG1,1.0000002,100.0,1.0,1.9999968037310185
MAB21L2,MAB21L2,1.0000001,100.0,1.0,1.9999966647628025
TFAP2D,TFAP2D,1.0000001,100.0,1.0,1.9999966647628025
H2BC5,H2BC5,0.99999994,100.0,1.0,1.9999964424136558
RBX1,RBX1,0.9999999,100.0,1.0,1.999996386826369
ZNF664,ZNF664,0.9999998,100.0,1.0,1.9999962478581526
RPS28,RPS28,0.9999998,100.0,1.0,1.9999962478581526
SEC61G,SEC61G,0.99999976,100.0,1.0,1.9999961922708658
PKIA,PKIA,0.99999976,100.0,1.0,1.9999961922708658
OTP,OTP,0.99999976,100.0,1.0,1.9999961922708658
