chimpanzee gene name,gorilla gene name
RNU6-503P,U6
5S_rRNA,5S_rRNA
SNORA57,SNORA57
MIR4686,MIR4686
RNU7-79P,U7
H2AC14,H2AC14
MIR4276,MIR4276
NDEL1,NDEL1
FZR1,FZR1
MIR33A,ggo-mir-33
MIR493,MIR493
RAB31,RAB31
MIR181B1,ggo-mir-181b
MIR3610,MIR3610
SNORD88C,SNORD88C
MIR6865,MIR6865
MIR4743,MIR4743
MTCH2,MTCH2
MIR326,MIR326
BLCAP,BLCAP
ptr-mir-671,MIR671
SNORA3B,SNORA3B
MIR34A,ggo-mir-34a
MIR520B,MIR519B
SOWAHD,SOWAHD
RNU1-15P,U1
UBE3A,UBE3A
FAM110A,FAM110A
CCT2,CCT2
MIR628,MIR628
ptr-mir-221,ggo-mir-221
MIR769,ggo-mir-769
MIR6516,MIR6516
MIR889,MIR889
MIR31,ggo-mir-31
RN7SL101P,Metazoa_SRP
MIR208A,MIR208A
MIR766,ggo-mir-766
MIR4728,MIR4728
MIR6775,MIR6775
SERTM1,SERTM1
MIR23A,ggo-mir-23a
MIR494,MIR494
MIR320E,MIR320E
MIR6832,MIR6832
MIR195,ggo-mir-195
MIR1260B,MIR1260B
MIR30C1,MIR30C1
KCNA1,KCNA1
U8,U8
SNORA48,SNORA48
MIR4703,MIR4703
MIR4654,MIR4654
LRRTM2,LRRTM2
ptr-mir-93,ggo-mir-93
MIR3138,MIR3138
CTXND1,CTXND1
SNORA8,SNORA8
MIR6758,MIR6758
HLF,HLF
RNU5E-7P,U5
ptr-mir-329-2,MIR329B
SNORA75B,SNORA75
MIR5187,MIR5187
SFN,SFN
MIR147B,MIR147B
MIR3134,MIR3134
MIR125B2,ggo-mir-125b-2
SMIM38,SMIM38
MIR3117,MIR3117
MIR5186,MIR5186
MIR3139,MIR3139
MIR424,MIR424
ptr-mir-6129,MIR6129
MIR30D,ggo-mir-30d
PGAM5,PGAM5
VSIR,VSIR
GCNT4,GCNT4
MIR33B,MIR33B
MIR5194,MIR5194
SNORD115,SNORD115
BTBD9,BTBD9
MIR1226,MIR1226
MIR410,MIR410
MIR103A1,ggo-mir-103
SNORD42A,SNORD42
MIR199A1,MIR199A1
SPRYD7,SPRYD7
MIR378A,MIR378A
SNORA9B,SNORA9B
CPLX4,CPLX4
