Gene name	Human gene name	Human homology type	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human Gene-order conservation score	Human Whole-genome alignment coverage	Human orthology confidence [0 low, 1 high]
							
							
							
							
							
MT-ND1	MT-ND1	ortholog_one2one	78.6164	78.6164	50	100.00	1
							
							
							
MT-ND2	MT-ND2	ortholog_one2one	60.4585	60.8069	75	100.00	1
							
							
							
							
							
MT-CO1	MT-CO1	ortholog_one2one	91.2281	91.2281	100	100.00	1
							
							
MT-CO2	MT-CO2	ortholog_one2one	72.6872	72.6872	100	100.00	1
							
MT-ATP8	MT-ATP8	ortholog_one2one	50	50	100	100.00	1
MT-ATP6	MT-ATP6	ortholog_one2one	74.7788	74.7788	100	100.00	1
MT-CO3	MT-CO3	ortholog_one2one	85.8238	85.8238	100	100.00	1
							
MT-ND3	MT-ND3	ortholog_one2one	68.6957	68.6957	100	100.00	1
							
MT-ND4L	MT-ND4L	ortholog_one2one	68.3673	68.3673	100	100.00	1
MT-ND4	MT-ND4	ortholog_one2one	72.3312	72.3312	100	100.00	1
							
							
							
MT-ND5	MT-ND5	ortholog_one2one	69.3201	69.3201	100	100.00	1
MT-ND6	MT-ND6	ortholog_one2one	59.1954	59.1954	75	100.00	1
							
MT-CYB	MT-CYB	ortholog_one2one	79.1557	78.9474	50	100.00	1
							
							
							
SLC6A18	SLC6A18	ortholog_one2one	76.5854	75	100	100.00	1
CYP26C1	CYP26C1	ortholog_one2one	92.9254	93.1034	100	100.00	1
	HMGN1	ortholog_one2many	92.6316	88	0	0.00	0
							
FKBP10	FKBP10	ortholog_one2one	93.8144	93.8144	100	100.00	1
							
ADGRA2	ADGRA2	ortholog_one2one	91.2978	90.9566	100	100.00	1
NPNT	NPNT	ortholog_one2one	74.2609	75.5752	100	100.00	1
BICDL2	BICDL2	ortholog_one2one	88.3721	89.7638	100	100.00	1
	ECHDC1	ortholog_one2many	85.6115	79.0698	0	0.00	0
SPOUT1	SPOUT1	ortholog_one2one	83.6228	89.6277	100	100.00	1
	LENG1	ortholog_one2many	78	73.8636	0	0.00	0
ELAPOR2	ELAPOR2	ortholog_one2one	97.0845	97.0845	100	100.00	1
COMMD3	COMMD3	ortholog_one2one	92.3077	92.3077	100	100.00	1
	FCHSD1	ortholog_one2many	79.5745	27.1014	0	0.00	0
SARM1	SARM1	ortholog_one2one	95.5801	95.5801	100	100.00	1
							
							
C12orf71	C12orf71	ortholog_one2one	57.4545	58.7361	0	100.00	1
CIR1	CIR1	ortholog_one2one	88.0952	90.4444	100	100.00	1
U7							
CARD14	CARD14	ortholog_one2one	81.8182	81.5737	100	100.00	1
							
U6							
H2AC7	H2AC7	ortholog_one2one	100	100	50	100.00	1
U6							
U4	RNU4-68P	ortholog_one2one	86.4286	85.8156		0.00	0
Y_RNA							
							
5S_rRNA							
PNO1	PNO1	ortholog_one2many	97.619	97.619	100	100.00	1
Y_RNA							
ACVR2A	ACVR2A	ortholog_one2one	99.4152	99.4152	100	100.00	1
MRPL55	MRPL55	ortholog_one2one	85.9375	85.9375	100	100.00	1
PPIL2	PPIL2	ortholog_one2one	95.5854	95.7692	100	100.00	1
