microcebus gene name,human gene name
TIMM13,TIMM13
MIR105-1,MIR105-1
MIR759,MIR759
MIR375,MIR375
MIR2113,MIR2113
EBF1,EBF1
DERL1,DERL1
SNORA50A,SNORA50A
PTP4A1,PTP4A1
MAGOH,MAGOH
H2AC7,H2AC7
MIR130A,MIR130A
MIR22,MIR22
MIR17,MIR17
MIR133A1,MIR133A1
MIR3115,MIR3115
UBE2K,UBE2K
TIMM9,TIMM9
MIRLET7F2,MIRLET7F2
CDC42SE1,CDC42SE1
MIR29B1,MIR29B1
MIR30E,MIR30E
MIR9-2,MIR9-2
MIR142,MIR142
MIR32,MIR32
CHIC2,CHIC2
MIR18A,MIR18A
MIR4657,MIR4657
MIR19A,MIR19A
H2AC25,H2AC25
MIR136,MIR136
SMIM45,SMIM45
MIR29A,MIR29A
MIR137,MIR137
MIR873,MIR873
MIR27B,MIR27B
RPL10A,RPL10A
MIR125B2,MIR125B2
ANAPC13,ANAPC13
RAB6B,RAB6B
RPL24,RPL24
MIR124-3,MIR124-3
MIR1251,MIR1251
MIR29B2,MIR29B2
MIR26A2,MIR26A2
MIR107,MIR107
ACTA2,ACTA2
RPS11,RPS11
H2BC21,H2BC21
WDR82,WDR82
YPEL4,YPEL4
TUBB,TUBB
DCTN5,DCTN5
MAP1LC3A,MAP1LC3A
CLVS2,CLVS2
PSMC4,PSMC4
H3C8,H3C8
RBM8A,RBM8A
ARF3,ARF3
PPIL1,PPIL1
MAB21L2,MAB21L2
RAB2A,RAB2A
MIR29C,MIR29C
MIR365B,MIR365B
MIR101-2,MIR101-2
MIR3064,MIR3064
MIR25,MIR25
MIR3184,MIR3184
RRAGA,RRAGA
SF3B5,SF3B5
MIR214,MIR214
HPCA,HPCA
MIR499B,MIR499B
PFDN4,PFDN4
PSMC1,PSMC1
MIR128-2,MIR128-2
H2AC19,H2AC19
RPS23,RPS23
POLE3,POLE3
HPCAL4,HPCAL4
SH3BGRL3,SH3BGRL3
CDK5,CDK5
SEM1,SEM1
PTP4A2,PTP4A2
ACTA1,ACTA1
PRPS1,PRPS1
ARGLU1,ARGLU1
UBE2L3,UBE2L3
HMGB1,HMGB1
CTXND1,CTXND1
TMEM167B,TMEM167B
MED11,MED11
AP2B1,AP2B1
RPS27,RPS27
H2AZ2,H2AZ2
WNT7A,WNT7A
UBE2D1,UBE2D1
HNRNPK,HNRNPK
TUSC3,TUSC3
CELF1,CELF1
HNRNPH3,HNRNPH3
PPIH,PPIH
YWHAZ,YWHAZ
POLR2K,POLR2K
DLX3,DLX3
FBXW2,FBXW2
MIR153-2,MIR153-2
MIR1306,MIR1306
MIR190A,MIR190A
MIR885,MIR885
TFAP2D,TFAP2D
SNRPD2,SNRPD2
CRIPT,CRIPT
ACTG2,ACTG2
SEC61G,SEC61G
CYRIA,CYRIA
ARPC3,ARPC3
SMARCB1,SMARCB1
GNG4,GNG4
ROMO1,ROMO1
TIAL1,TIAL1
MIR3618,MIR3618
RAB39A,RAB39A
SUPT4H1,SUPT4H1
CPLX2,CPLX2
PPP1CB,PPP1CB
PCP4,PCP4
ARF1,ARF1
AKT3,AKT3
RBM39,RBM39
CASK,CASK
RRAS2,RRAS2
ETF1,ETF1
