chimpanzees gene name,gorillas gene name,correlation
OPCML,OPCML,1.0000038
ZDHHC23,ZDHHC23,1.0000027
CA12,CA12,1.0000025
FAM81A,FAM81A,1.0000025
MARCHF5,MARCHF5,1.0000025
RASD2,RASD2,1.0000025
RPL18A,RPL18A,1.0000025
HIBADH,HIBADH,1.0000024
PSMA1,PSMA1,1.0000024
DRAM1,DRAM1,1.0000023
LINGO1,LINGO1,1.0000023
PRKAB1,PRKAB1,1.0000023
RPS27,RPS27,1.0000023
ZC3H13,ZC3H13,1.0000023
DYNLL1,DYNLL1,1.0000021
FABP4,FABP4,1.0000021
MARVELD1,MARVELD1,1.0000021
MTURN,MTURN,1.0000021
OR51E2,OR51E2,1.0000021
PLEKHF2,PLEKHF2,1.0000021
TGFB1,TGFB1,1.0000021
ARL6IP5,ARL6IP5,1.000002
C1H1orf146,C1orf146,1.000002
DEPTOR,DEPTOR,1.000002
KLHL29,KLHL29,1.000002
SF3B3,SF3B3,1.000002
TIMM8A,TIMM8A,1.000002
TRIM23,TRIM23,1.000002
UFSP2,UFSP2,1.000002
INSL4,INSL4,1.0000019
MRFAP1L1,MRFAP1L1,1.0000019
NBDY,NBDY,1.0000019
POLR2D,POLR2D,1.0000019
RAD21,RAD21,1.0000019
RIMS3,RIMS3,1.0000019
SMIM10L2A,SMIM10L2B,1.0000019
C1H1orf115,C1orf115,1.0000018
CSK,CSK,1.0000018
KCNJ9,KCNJ9,1.0000018
MCTS1,MCTS1,1.0000018
NOVA1,NOVA1,1.0000018
PPIL1,PPIL1,1.0000018
RHO,RHO,1.0000018
SEC61B,SEC61B,1.0000018
CDC42,CDC42,1.0000017
DERL1,DERL1,1.0000017
ENOX1,ENOX1,1.0000017
H1-0,H1-0,1.0000017
LRP6,LRP6,1.0000017
PKNOX1,PKNOX1,1.0000017
SLC7A7,SLC7A7,1.0000017
SMIM38,SMIM38,1.0000017
C14H14orf28,C14orf28,1.0000015
CCDC172,CCDC172,1.0000015
COX7A2L,COX7A2L,1.0000015
GAST,GAST,1.0000015
GCNT4,GCNT4,1.0000015
H2AC12,H2AC12,1.0000015
HES2,HES2,1.0000015
LHX1,LHX1,1.0000015
MACROD1,MACROD1,1.0000015
MSTN,MSTN,1.0000015
NDUFB5,NDUFB5,1.0000015
NDUFS4,NDUFS4,1.0000015
PAQR4,PAQR4,1.0000015
PHB2,PHB2,1.0000015
RIMKLB,RIMKLB,1.0000015
RPL38,RPL38,1.0000015
SLC6A1,SLC6A1,1.0000015
TCP1,TCP1,1.0000015
WNT11,WNT11,1.0000015
YWHAB,YWHAB,1.0000015
ABCD2,ABCD2,1.0000014
ASCL2,ASCL2,1.0000014
ASF1A,ASF1A,1.0000014
CLIC1,CLIC1,1.0000014
DHRS7C,DHRS7C,1.0000014
DUSP6,DUSP6,1.0000014
GNAZ,GNAZ,1.0000014
IGFBP5,IGFBP5,1.0000014
INTS13,INTS13,1.0000014
KLRK1,KLRK1,1.0000014
MACROH2A1,MACROH2A1,1.0000014
MICOS10,MICOS10,1.0000014
PHF5A,PHF5A,1.0000014
SAR1A,SAR1A,1.0000014
SMAP2,SMAP2,1.0000014
SOAT1,SOAT1,1.0000014
TMEM121,TMEM121,1.0000014
TMEM88,TMEM88,1.0000014
ZNF581,ZNF581,1.0000014
CDK2AP2,CDK2AP2,1.0000013
DNAJB5,DNAJB5,1.0000013
DUSP1,DUSP1,1.0000013
EAF1,EAF1,1.0000013
EPC2,EPC2,1.0000013
ERAS,ERAS,1.0000013
FERD3L,FERD3L,1.0000013
FKBP14,FKBP14,1.0000013
GABARAP,GABARAP,1.0000013
GPR171,GPR171,1.0000013
HBE1,HBE1,1.0000013
HERC3,HERC3,1.0000013
KAT6B,KAT6B,1.0000013
MARCKSL1,MARCKSL1,1.0000013
MED30,MED30,1.0000013
MOB2,MOB2,1.0000013
MXD1,MXD1,1.0000013
PATE1,PATE1,1.0000013
PDIK1L,PDIK1L,1.0000013
PIP4K2C,PIP4K2C,1.0000013
PLGRKT,PLGRKT,1.0000013
PROK1,PROK1,1.0000013
PSENEN,PSENEN,1.0000013
RBIS,RBIS,1.0000013
RCN1,RCN1,1.0000013
SLC25A1,SLC25A1,1.0000013
SMIM32,SMIM32,1.0000013
SNCA,SNCA,1.0000013
SPINK6,SPINK6,1.0000013
STK38L,STK38L,1.0000013
TMEM229B,TMEM229B,1.0000013
TMEM54,TMEM54,1.0000013
UPF3B,UPF3B,1.0000013
VAX2,VAX2,1.0000013
ATP6V0C,ATP6V0C,1.0000012
BCL2L1,BCL2L1,1.0000012
CD52,CD52,1.0000012
CLVS2,CLVS2,1.0000012
CRABP1,CRABP1,1.0000012
CREG1,CREG1,1.0000012
CSTF1,CSTF1,1.0000012
CTXN3,CTXN3,1.0000012
DDB1,DDB1,1.0000012
DOK5,DOK5,1.0000012
FGFR1OP2,FGFR1OP2,1.0000012
ISOC1,ISOC1,1.0000012
LHFPL4,LHFPL4,1.0000012
LSAMP,LSAMP,1.0000012
LTB4R2,LTB4R2,1.0000012
MYL12A,MYL12A,1.0000012
NCALD,NCALD,1.0000012
THY1,THY1,1.0000012
VANGL2,VANGL2,1.0000012
ZNF32,ZNF32,1.0000012
ACTC1,ACTC1,1.0000011
ARL4A,ARL4A,1.0000011
BARHL1,BARHL1,1.0000011
BEST4,BEST4,1.0000011
BMT2,BMT2,1.0000011
CCL22,CCL22,1.0000011
CTXND1,CTXND1,1.0000011
CXCL14,CXCL14,1.0000011
EMP3,EMP3,1.0000011
FAM107A,FAM107A,1.0000011
GJB1,GJB1,1.0000011
GOT1,GOT1,1.0000011
HPCAL1,HPCAL1,1.0000011
KCTD6,KCTD6,1.0000011
MAGOHB,MAGOHB,1.0000011
MGAT4C,MGAT4C,1.0000011
MPC2,MPC2,1.0000011
MRPS21,MRPS21,1.0000011
MUL1,MUL1,1.0000011
MYL7,MYL7,1.0000011
NDUFB4,NDUFB4,1.0000011
OLFM3,OLFM3,1.0000011
PCNA,PCNA,1.0000011
POLR2K,POLR2K,1.0000011
SCAMP3,SCAMP3,1.0000011
SNRPD3,SNRPD3,1.0000011
SPSB4,SPSB4,1.0000011
TMEM86A,TMEM86A,1.0000011
WASL,WASL,1.0000011
WNT2,WNT2,1.0000011
CACYBP,CACYBP,1.000001
CAMK2N2,CAMK2N2,1.000001
CDH10,CDH10,1.000001
CDO1,CDO1,1.000001
CFAP20,CFAP20,1.000001
CFAP300,CFAP300,1.000001
CNIH2,CNIH2,1.000001
EID2B,EID2B,1.000001
FBXO17,FBXO17,1.000001
FEM1C,FEM1C,1.000001
FERRY3,C12orf4,1.000001
GJD2,GJD2,1.000001
HPCA,HPCA,1.000001
ID1,ID1,1.000001
KCNJ8,KCNJ8,1.000001
KLHDC10,KLHDC10,1.000001
LIX1L,LIX1L,1.000001
MAGT1,MAGT1,1.000001
MED18,MED18,1.000001
MLANA,MLANA,1.000001
MORN4,MORN4,1.000001
MRPL41,MRPL41,1.000001
MT4,MT4,1.000001
NAA15,NAA15,1.000001
P2RY1,P2RY1,1.000001
PRPS1,PRPS1,1.000001
RPL35A,RPL35A,1.000001
SYCE3,SYCE3,1.000001
TSPAN31,TSPAN31,1.000001
UPF2,UPF2,1.000001
ABHD17B,ABHD17B,1.0000008
ACP5,ACP5,1.0000008
BAMBI,BAMBI,1.0000008
C6H6orf62,C6orf62,1.0000008
CA7,CA7,1.0000008
CACNG5,CACNG5,1.0000008
CALN1,CALN1,1.0000008
CARHSP1,CARHSP1,1.0000008
CPSF2,CPSF2,1.0000008
DCTD,DCTD,1.0000008
DCUN1D3,DCUN1D3,1.0000008
DHH,DHH,1.0000008
DNAJA2,DNAJA2,1.0000008
DR1,DR1,1.0000008
FAM240A,FAM240A,1.0000008
FAM78B,FAM78B,1.0000008
FAXC,FAXC,1.0000008
HOXB13,HOXB13,1.0000008
HPSE2,HPSE2,1.0000008
HSPB3,HSPB3,1.0000008
KCNG1,KCNG1,1.0000008
LHX5,LHX5,1.0000008
MARCHF4,MARCHF4,1.0000008
MED10,MED10,1.0000008
MED21,MED21,1.0000008
MRPL15,MRPL15,1.0000008
MYF6,MYF6,1.0000008
NPY1R,NPY1R,1.0000008
PET117,PET117,1.0000008
PLN,PLN,1.0000008
PLS1,PLS1,1.0000008
POLDIP2,POLDIP2,1.0000008
RIT1,RIT1,1.0000008
RPP14,RPP14,1.0000008
S100A3,S100A3,1.0000008
S100P,S100P,1.0000008
SCN3B,SCN3B,1.0000008
SGTB,SGTB,1.0000008
SH2D1A,SH2D1A,1.0000008
TIMM10,TIMM10,1.0000008
TMEM14A,TMEM14A,1.0000008
TMEM167A,TMEM167A,1.0000008
TTC9B,TTC9B,1.0000008
UBE2D1,UBE2D1,1.0000008
UBL7,UBL7,1.0000008
UBTD1,UBTD1,1.0000008
VAMP4,VAMP4,1.0000008
WASF1,WASF1,1.0000008
WFDC9,WFDC9,1.0000008
ZER1,ZER1,1.0000008
ACKR3,ACKR3,1.0000007
ACSL3,ACSL3,1.0000007
ADIRF,ADIRF,1.0000007
BMF,BMF,1.0000007
CDC26,CDC26,1.0000007
CEPT1,CEPT1,1.0000007
CGGBP1,CGGBP1,1.0000007
CH25H,CH25H,1.0000007
CHAC2,CHAC2,1.0000007
CXCL8,CXCL8,1.0000007
CYBB,CYBB,1.0000007
DCAKD,DCAKD,1.0000007
DIRAS1,DIRAS1,1.0000007
EGLN3,EGLN3,1.0000007
ERG28,ERG28,1.0000007
FFAR4,FFAR4,1.0000007
GTF2E2,GTF2E2,1.0000007
HMGN3,HMGN3,1.0000007
ICOS,ICOS,1.0000007
IL26,IL26,1.0000007
INHBA,INHBA,1.0000007
IRF6,IRF6,1.0000007
ITFG2,ITFG2,1.0000007
KCNJ2,KCNJ2,1.0000007
KCNJ5,KCNJ5,1.0000007
KCNK9,KCNK9,1.0000007
MAB21L1,MAB21L1,1.0000007
NXPH2,NXPH2,1.0000007
PRDX2,PRDX2,1.0000007
PSMD7,PSMD7,1.0000007
RIT2,RIT2,1.0000007
SPRR2E,SPRR2E,1.0000007
STARD4,STARD4,1.0000007
TBCC,TBCC,1.0000007
TERF2IP,TERF2IP,1.0000007
TMEM150A,TMEM150A,1.0000007
ZBTB37,ZBTB37,1.0000007
ARHGDIB,ARHGDIB,1.0000006
ARPC5L,ARPC5L,1.0000006
ATP5ME,ATP5ME,1.0000006
BCL6,BCL6,1.0000006
BTG2,BTG2,1.0000006
CAV3,CAV3,1.0000006
CRCP,CRCP,1.0000006
CWC15,CWC15,1.0000006
CXHXorf38,CXorf38,1.0000006
EBF1,EBF1,1.0000006
FABP3,FABP3,1.0000006
FAM167B,FAM167B,1.0000006
GATA1,GATA1,1.0000006
GDPD1,GDPD1,1.0000006
GJB2,GJB2,1.0000006
GNG13,GNG13,1.0000006
GOLT1B,GOLT1B,1.0000006
GPR12,GPR12,1.0000006
GPR174,GPR174,1.0000006
GTF2F2,GTF2F2,1.0000006
GUCA1B,GUCA1B,1.0000006
H2AC7,H2AC7,1.0000006
H2BC21,H2BC21,1.0000006
HES1,HES1,1.0000006
HES5,HES5,1.0000006
HSBP1L1,HSBP1L1,1.0000006
HSF2,HSF2,1.0000006
HSPA8,HSPA8,1.0000006
KAT5,KAT5,1.0000006
KHDRBS1,KHDRBS1,1.0000006
KIAA1143,KIAA1143,1.0000006
LHX2,LHX2,1.0000006
LMBRD2,LMBRD2,1.0000006
LRRTM2,LRRTM2,1.0000006
LRRTM3,LRRTM3,1.0000006
MAGOH,MAGOH,1.0000006
MFN2,MFN2,1.0000006
ORMDL1,ORMDL1,1.0000006
P2RY4,P2RY4,1.0000006
PHOX2B,PHOX2B,1.0000006
PROX1,PROX1,1.0000006
RNF13,RNF13,1.0000006
RNF144A,RNF144A,1.0000006
RPL10A,RPL10A,1.0000006
RPRD1B,RPRD1B,1.0000006
SCRG1,SCRG1,1.0000006
SMNDC1,SMNDC1,1.0000006
SOCS3,SOCS3,1.0000006
TSPAN13,TSPAN13,1.0000006
TSPO2,TSPO2,1.0000006
UQCRQ,UQCRQ,1.0000006
VPS26C,VPS26C,1.0000006
ARF5,ARF5,1.0000005
CALM1,CALM1,1.0000005
CERS6,CERS6,1.0000005
CKS1B,CKS1B,1.0000005
CTNNB1,CTNNB1,1.0000005
DGAT2,DGAT2,1.0000005
ELOVL6,ELOVL6,1.0000005
ETS1,ETS1,1.0000005
FAM168B,FAM168B,1.0000005
FAM210A,FAM210A,1.0000005
FUT8,FUT8,1.0000005
GJC1,GJC1,1.0000005
GOLGA7B,GOLGA7B,1.0000005
GTF2H5,GTF2H5,1.0000005
H2BC9,H2BC9,1.0000005
IFFO2,IFFO2,1.0000005
IMP3,IMP3,1.0000005
INA,INA,1.0000005
KCNK4,KCNK4,1.0000005
LRRC10,LRRC10,1.0000005
LRRC39,LRRC39,1.0000005
MAGEH1,MAGEH1,1.0000005
NHLH1,NHLH1,1.0000005
NKIRAS1,NKIRAS1,1.0000005
NNAT,NNAT,1.0000005
PAQR8,PAQR8,1.0000005
PCP4,PCP4,1.0000005
PGAP3,PGAP3,1.0000005
PHOSPHO1,PHOSPHO1,1.0000005
