rhesus_macaque gene name,human gene name,correlation,identical_scores,orthology confidence,combo_score
RS1,RS1,1.0000036,100.0,1.0,2.0
MARCHF5,MARCHF5,1.0000025,100.0,1.0,1.9999978075701965
BMP5,BMP5,1.0000021,100.0,1.0,1.9999970103229954
MRFAP1L1,MRFAP1L1,1.0000019,100.0,1.0,1.999996611699395
FZD2,FZD2,1.0000018,100.0,1.0,1.9999964123875948
PPIL1,PPIL1,1.0000018,100.0,1.0,1.9999964123875948
UBE2R2,UBE2R2,1.0000018,100.0,1.0,1.9999964123875948
H1-0,H1-0,1.0000017,100.0,1.0,1.999996213075795
FOXB1,FOXB1,1.0000017,100.0,1.0,1.999996213075795
LSM2,LSM2,1.0000017,100.0,1.0,1.999996213075795
ASF1A,ASF1A,1.0000015,100.0,1.0,1.999995814452194
H2AC12,H2AC12,1.0000015,100.0,1.0,1.999995814452194
SPRY2,SPRY2,1.0000015,100.0,1.0,1.999995814452194
TWIST2,TWIST2,1.0000015,100.0,1.0,1.999995814452194
PFDN2,PFDN2,1.0000014,100.0,1.0,1.9999956151403937
FGF18,FGF18,1.0000014,100.0,1.0,1.9999956151403937
SPTSSA,SPTSSA,1.0000014,100.0,1.0,1.9999956151403937
GNAZ,GNAZ,1.0000014,100.0,1.0,1.9999956151403937
ATXN7L3B,ATXN7L3B,1.0000013,100.0,1.0,1.9999954158285937
MARCKSL1,MARCKSL1,1.0000013,100.0,1.0,1.9999954158285937
RAP1A,RAP1A,1.0000012,100.0,1.0,1.9999952165167934
PCNA,PCNA,1.0000011,100.0,1.0,1.999995017204993
SUDS3,SUDS3,1.0000011,100.0,1.0,1.999995017204993
KLF12,KLF12,1.0000011,100.0,1.0,1.999995017204993
GJB1,GJB1,1.0000011,100.0,1.0,1.999995017204993
HPCA,HPCA,1.000001,100.0,1.0,1.9999948178931926
CABP7,CABP7,1.000001,100.0,1.0,1.9999948178931926
NUDT11,NUDT11,1.000001,100.0,1.0,1.9999948178931926
TIMM10,TIMM10,1.000001,100.0,1.0,1.9999948178931926
CNFN,CNFN,1.000001,100.0,1.0,1.9999948178931926
FGF16,FGF16,1.000001,100.0,1.0,1.9999948178931926
GJD2,GJD2,1.000001,100.0,1.0,1.9999948178931926
CAMK2N2,CAMK2N2,1.000001,100.0,1.0,1.9999948178931926
TOMM20,TOMM20,1.0000008,100.0,1.0,1.9999944192695922
FEM1C,FEM1C,1.0000008,100.0,1.0,1.9999944192695922
MYF6,MYF6,1.0000008,100.0,1.0,1.9999944192695922
TMEM167A,TMEM167A,1.0000008,100.0,1.0,1.9999944192695922
UBTD1,UBTD1,1.0000008,100.0,1.0,1.9999944192695922
PHOX2B,PHOX2B,1.0000007,100.0,1.0,1.9999942199577918
ERG28,ERG28,1.0000007,100.0,1.0,1.9999942199577918
UBTD2,UBTD2,1.0000007,100.0,1.0,1.9999942199577918
YPEL5,YPEL5,1.0000007,100.0,1.0,1.9999942199577918
MAB21L1,MAB21L1,1.0000007,100.0,1.0,1.9999942199577918
DDA1,DDA1,1.0000007,100.0,1.0,1.9999942199577918
CWC15,CWC15,1.0000007,100.0,1.0,1.9999942199577918
MOB3B,MOB3B,1.0000006,100.0,1.0,1.9999940206459916
ARPC5L,ARPC5L,1.0000006,100.0,1.0,1.9999940206459916
CHMP4B,CHMP4B,1.0000006,100.0,1.0,1.9999940206459916
LRRTM3,LRRTM3,1.0000006,100.0,1.0,1.9999940206459916
GNG13,GNG13,1.0000006,100.0,1.0,1.9999940206459916
HES1,HES1,1.0000005,100.0,1.0,1.9999938213341917
FOXG1,FOXG1,1.0000005,100.0,1.0,1.9999938213341917
MAGEH1,MAGEH1,1.0000005,100.0,1.0,1.9999938213341917
IMP3,IMP3,1.0000005,100.0,1.0,1.9999938213341917
RBM18,RBM18,1.0000005,100.0,1.0,1.9999938213341917
FAM168B,FAM168B,1.0000005,100.0,1.0,1.9999938213341917
TMEM35A,TMEM35A,1.0000005,100.0,1.0,1.9999938213341917
H2AC6,H2AC6,1.0000004,100.0,1.0,1.9999936220223913
B3GALT1,B3GALT1,1.0000004,100.0,1.0,1.9999936220223913
S100A4,S100A4,1.0000002,100.0,1.0,1.9999932233987905
H3C13,H3C15,1.0000002,100.0,1.0,1.9999932233987905
SMIM15,SMIM15,1.0000002,100.0,1.0,1.9999932233987905
BTG1,BTG1,1.0000002,100.0,1.0,1.9999932233987905
MID1IP1,MID1IP1,1.0000002,100.0,1.0,1.9999932233987905
LHFPL6,LHFPL6,1.0000002,100.0,1.0,1.9999932233987905
CTXN1,CTXN1,1.0000002,100.0,1.0,1.9999932233987905
USP27X,USP27X,1.0000002,100.0,1.0,1.9999932233987905
SMKR1,SMKR1,1.0000002,100.0,1.0,1.9999932233987905
H2AC21,H2AC21,1.0000001,100.0,1.0,1.9999930240869905
GNG5,GNG5,1.0000001,100.0,1.0,1.9999930240869905
NRAS,NRAS,1.0000001,100.0,1.0,1.9999930240869905
MAB21L2,MAB21L2,1.0000001,100.0,1.0,1.9999930240869905
TAF7,TAF7,1.0000001,100.0,1.0,1.9999930240869905
H2BC17,H2BC17,1.0000001,100.0,1.0,1.9999930240869905
NXT1,NXT1,1.0000001,100.0,1.0,1.9999930240869905
UNC119B,UNC119B,1.0000001,100.0,1.0,1.9999930240869905
TIMP3,TIMP3,1.0000001,100.0,1.0,1.9999930240869905
RRAGA,RRAGA,1.0,100.0,1.0,1.9999928247751901
HMGN4,HMGN4,0.99999994,100.0,1.0,1.99999270518811
H2AC8,H2AC8,0.99999994,100.0,1.0,1.99999270518811
H2BC5,H2BC5,0.99999994,100.0,1.0,1.99999270518811
SSTR1,SSTR1,0.99999994,100.0,1.0,1.99999270518811
DNAJA1,DNAJA1,0.99999994,100.0,1.0,1.99999270518811
IKZF5,IKZF5,0.99999994,100.0,1.0,1.99999270518811
DESI1,DESI1,0.99999994,100.0,1.0,1.99999270518811
PRKAA2,PRKAA2,0.9999999,100.0,1.0,1.9999926254633897
RBX1,RBX1,0.9999999,100.0,1.0,1.9999926254633897
IGFBP4,IGFBP4,0.9999998,100.0,1.0,1.9999924261515893
ZNF664,ZNF664,0.9999998,100.0,1.0,1.9999924261515893
PAIP2B,PAIP2B,0.9999998,100.0,1.0,1.9999924261515893
NRGN,NRGN,0.9999998,100.0,1.0,1.9999924261515893
RPS28,RPS28,0.9999998,100.0,1.0,1.9999924261515893
ZNHIT1,ZNHIT1,0.99999976,100.0,1.0,1.9999923464268694
TAFA1,TAFA1,0.99999976,100.0,1.0,1.9999923464268694
DNAJC5,DNAJC5,0.99999976,100.0,1.0,1.9999923464268694
PGAP4,PGAP4,0.99999976,100.0,1.0,1.9999923464268694
OTP,OTP,0.99999976,100.0,1.0,1.9999923464268694
ARGLU1,ARGLU1,0.99999976,100.0,1.0,1.9999923464268694
SOX21,SOX21,0.99999976,100.0,1.0,1.9999923464268694
PRPF38A,PRPF38A,0.99999976,100.0,1.0,1.9999923464268694
MOB3C,MOB3C,0.9999997,100.0,1.0,1.9999922268397894
KCTD4,KCTD4,0.9999997,100.0,1.0,1.9999922268397894
TOB1,TOB1,0.9999997,100.0,1.0,1.9999922268397894
GNAI3,GNAI3,0.99999964,100.0,1.0,1.9999921072527092
GNAT3,GNAT3,0.99999964,100.0,1.0,1.9999921072527092
STRIT1,STRIT1,0.9999996,100.0,1.0,1.999992027527989
AMIGO1,AMIGO1,0.9999996,100.0,1.0,1.999992027527989
TOMM22,TOMM22,0.9999996,100.0,1.0,1.999992027527989
OST4,OST4,0.9999996,100.0,1.0,1.999992027527989
CKS2,CKS2,0.9999996,100.0,1.0,1.999992027527989
SNN,SNN,0.9999996,100.0,1.0,1.999992027527989
DYNLT1,DYNLT1,0.9999996,100.0,1.0,1.999992027527989
CDC42SE1,CDC42SE1,0.9999996,100.0,1.0,1.999992027527989
LMX1A,LMX1A,0.9999995,100.0,1.0,1.9999918282161888
EIF1B,EIF1B,0.9999995,100.0,1.0,1.9999918282161888
POLR2J,POLR2J,0.9999995,100.0,1.0,1.9999918282161888
YWHAG,YWHAG,0.9999995,100.0,1.0,1.9999918282161888
SH3BGRL2,SH3BGRL2,0.9999995,100.0,1.0,1.9999918282161888
GPR22,GPR22,0.9999995,100.0,1.0,1.9999918282161888
RAB10,RAB10,0.9999995,100.0,1.0,1.9999918282161888
PHF5A,PHF5A,0.9999995,100.0,1.0,1.9999918282161888
EMC6,EMC6,0.9999995,100.0,1.0,1.9999918282161888
H2AX,H2AX,0.99999946,100.0,1.0,1.9999917484914684
KLHL11,KLHL11,0.99999946,100.0,1.0,1.9999917484914684
SVIP,SVIP,0.99999946,100.0,1.0,1.9999917484914684
NRARP,NRARP,0.99999946,100.0,1.0,1.9999917484914684
KCNJ6,KCNJ6,0.9999994,100.0,1.0,1.9999916289043884
RMND5A,RMND5A,0.9999994,100.0,1.0,1.9999916289043884
TNP1,TNP1,0.9999994,100.0,1.0,1.9999916289043884
H2BC12,H2BC12,0.9999993,100.0,1.0,1.9999914295925882
MRFAP1,MRFAP1,0.9999993,100.0,1.0,1.9999914295925882
PHLDA3,PHLDA3,0.9999993,100.0,1.0,1.9999914295925882
TMEM47,TMEM47,0.9999993,100.0,1.0,1.9999914295925882
NOG,NOG,0.9999993,100.0,1.0,1.9999914295925882
ANAPC13,ANAPC13,0.9999992,100.0,1.0,1.9999912302807878
BOK,BOK,0.9999992,100.0,1.0,1.9999912302807878
