A	B	source
TPRG1L	TPRG1L	only_in_union
ZNF256	ZNF256	only_in_union
RRP7A	RRP7A	only_in_union
MAPK12	MAPK12	only_in_union
C13H2orf92	C2orf92	only_in_union
CD8B	CD8B	only_in_union
LILRAB	LILRB2	only_in_union
CCDC117	CCDC117	only_in_union
LGALSL	LGALSL	only_in_union
TRPC1	TRPC1	only_in_union
CFAP107	CFAP107	only_in_union
OR14A2	OR14A2	only_in_union
NECTIN2	NECTIN2	only_in_union
SMAGP	SMAGP	only_in_union
LMBR1L	LMBR1L	only_in_union
AMACR	C1QTNF3	only_in_union
ASS1	ASS1	only_in_union
HADHA	HADHA	only_in_union
SNORA49	SNORA49	only_in_union
DUOXA2	DUOXA2	only_in_union
SNORD121B	SNORD121B	only_in_union
ENTPD7	ENTPD7	only_in_union
CCDC38	CCDC38	only_in_union
MKNK2	MKNK2	only_in_union
LHX1	LHX1	only_in_union
FPR1	FPR1	only_in_union
MRPS9	MRPS9	only_in_union
GXYLT2	GXYLT2	only_in_union
LUC7L3	LUC7L3	only_in_union
CDRT15	CDRT15	only_in_union
ARHGEF15	ARHGEF15	only_in_union
HSP90AA1	HSP90AA1	only_in_union
SNORD24	SNORD24	only_in_union
MIR15A	MIR15A	only_in_union
PLEKHG2	PLEKHG2	only_in_union
MUC5B	MUC5B	only_in_union
mml-mir-23a	MIR23A	only_in_union
AMDHD1	AMDHD1	only_in_union
TXNDC15	TXNDC15	only_in_union
SNORD98	SNORD98	only_in_union
ARK2C	ARK2C	only_in_union
mml-mir-942	MIR942	only_in_union
ENKD1	ENKD1	only_in_union
TVP23A	TVP23A	only_in_union
PPP1R3E	PPP1R3E	only_in_union
mml-mir-33b	MIR33B	only_in_union
JPH2	JPH2	only_in_union
C3H7orf33	C7orf33	only_in_union
GCNT3	GCNT3	only_in_union
HINT1	HINT1	only_in_union
ACSBG1	ACSBG1	only_in_union
SPMIP8	SPMIP8	only_in_union
ZNF142	ZNF142	only_in_union
C1H1orf174	C1orf174	only_in_union
mml-mir-660	MIR660	only_in_union
MIR152	MIR152	only_in_union
NXPE1	NXPE4	only_in_union
TAS2R46	TAS2R30	only_in_union
GNA11	GNA11	only_in_union
DYNLT5	DYNLT5	only_in_union
TRIM6	TRIM6	only_in_union
THAP8	THAP8	only_in_union
MYO1F	MYO1F	only_in_union
ZNF699	ZNF699	only_in_union
NSMCE4A	NSMCE4A	only_in_union
EPM2A	EPM2A	only_in_union
HNRNPH1	HNRNPH1	only_in_union
NKX2-2	NKX2-2	only_in_union
FBXW10B	FBXW10	only_in_union
H4C3	H4C11	only_in_union
CHN1	CHN1	only_in_union
NUTM2A	NUTM2B	only_in_union
SLC25A40	SLC25A40	only_in_union
SLC2A3	SLC2A3	only_in_union
GP6	GP6	only_in_union
ADAL	MAPDA	only_in_union
AQP7	AQP7	only_in_union
DNAJC25	DNAJC25	only_in_union
PIP4K2B	PIP4K2B	only_in_union
PKP3	PKP3	only_in_union
DDOST	KIF17	only_in_union
GPA33	GPA33	only_in_union
CFAP210	CFAP210	only_in_union
CCDC66	CCDC66	only_in_union
CFAP91	CFAP91	only_in_union
DHRS12	DHRS12	only_in_union
SEPTIN4	SEPTIN4	only_in_union
NUDCD2	NUDCD2	only_in_union
KCTD10	KCTD10	only_in_union
C21orf140	C21orf140	only_in_union
ZFR2	ZFR2	only_in_union
PRMT1	PRMT1	only_in_union
Vault	Vault	only_in_union
TSGA10IP	TSGA10IP	only_in_union
YPEL3	YPEL3	only_in_union
VWF	VWF	only_in_union
mml-mir-103-2	MIR103A2	only_in_union
EXOG	EXOG	only_in_union
SLC48A1	SLC48A1	only_in_union
SNORD13	SNORD13	only_in_union
FRY	FRY	only_in_union
SYT15	SYT15B	only_in_union
PLLP	PLLP	only_in_union
RINT1	RINT1	only_in_union
NKIRAS2	NKIRAS2	only_in_union
RAB6B	RAB6B	only_in_union
OPN1LW	OPN1LW	only_in_union
MCM4	MCM4	only_in_union
ACTA1	ACTA1	only_in_union
KRT79	KRT79	only_in_union
ELOVL7	ELOVL7	only_in_union
SPNS3	SPNS3	only_in_union
SAFB2	SAFB2	only_in_union
HSPE1	MOB4	only_in_union
SLC35B1	FAM117A	only_in_union
SNORD26	SNORD26	only_in_union
CDY	CDY1	only_in_union
IL36G	IL36G	only_in_union
FAM76B	FAM76B	only_in_union
SNORA53	SNORA53	only_in_union
LIFR	LIFR	only_in_union
ZNF41	ZNF41	only_in_union
mml-mir-887	MIR887	only_in_union
mml-mir-122a	MIR122	only_in_union
WWP2	WWP2	only_in_union
DEFA1B	DEFA1B	only_in_union
ZNF793	ZNF793	only_in_union
PRAME	PRAME	only_in_union
ZFP28	ZFP28	only_in_union
PCYOX1	PCYOX1	only_in_union
CFAP68	CFAP68	only_in_union
WDR7	WDR7	only_in_union
U1	RNU1-96P	only_in_union
OSBPL3	OSBPL3	only_in_union
CCDC69	CCDC69	only_in_union
mml-let-7f-2	MIRLET7F2	only_in_union
AKR1C2	AKR1C1	only_in_union
ACP5	ACP5	only_in_union
KCNK9	KCNK9	only_in_union
LCE1F	LCE1E	only_in_union
SNORD49B	SNORD49B	only_in_union
CDYL	CDYL	only_in_union
TFAP4	TFAP4	only_in_union
C2H3orf84	CIMIP7	only_in_union
TBC1D2B	TBC1D2B	only_in_union
mml-mir-489	MIR489	only_in_union
mml-mir-153-2	MIR153-2	only_in_union
NXPH4	NXPH4	only_in_union
