A	B	source
MIR138-2	MIR138-2	only_in_union
TUBB2A	TUBB2A	only_in_union
MIR96	MIR96	only_in_union
OCRL	OCRL	only_in_union
RRP7A	RRP7A	only_in_union
CD8B	CD8B	only_in_union
MIR133A2	MIR133A2	only_in_union
MIR148B	MIR148B	only_in_union
VASP	VASP	only_in_union
TRPC1	TRPC1	only_in_union
CMC1	CMC1	only_in_union
EIF3C	EIF3C	only_in_union
CFAP107	CFAP107	only_in_union
MOGAT3	MOGAT3	only_in_union
NDUFAB1	NDUFAB1	only_in_union
CPT1A	CPT1A	only_in_union
ZC2HC1C	ZC2HC1C	only_in_union
NECTIN2	NECTIN2	only_in_union
MT-ATP6	MT-ATP6	only_in_union
LMBR1L	LMBR1L	only_in_union
HMCES	HMCES	only_in_union
HADHA	HADHA	only_in_union
DUOXA2	DUOXA2	only_in_union
SNORD121B	SNORD121B	only_in_union
ENTPD7	ENTPD7	only_in_union
CCDC38	CCDC38	only_in_union
GMPR2	GMPR2	only_in_union
KSR1	KSR1	only_in_union
MKNK2	MKNK2	only_in_union
TULP1	TULP1	only_in_union
LHX1	LHX1	only_in_union
FPR1	FPR1	only_in_union
MRPS9	MRPS9	only_in_union
PSMC2	PSMC2	only_in_union
GXYLT2	GXYLT2	only_in_union
C9orf85	C9orf85	only_in_union
RPL23	RPL23	only_in_union
HSP90AA1	HSP90AA1	only_in_union
MCM5	MCM5	only_in_union
SNORD24	SNORD24	only_in_union
MIR15A	MIR15A	only_in_union
PLEKHG2	PLEKHG2	only_in_union
CD1B	CD1B	only_in_union
LTB	LTB	only_in_union
RNU2-43P	RNU2-43P	only_in_union
HACD4	HACD4	only_in_union
AMDHD1	AMDHD1	only_in_union
TXNDC15	TXNDC15	only_in_union
ARK2C	ARK2C	only_in_union
SNORD62	SNORD62A	only_in_union
TVP23A	TVP23A	only_in_union
PPP1R3E	PPP1R3E	only_in_union
ESX1	ESX1	only_in_union
SEC61A2	SEC61A2	only_in_union
MIR126	MIR126	only_in_union
