Gene name	Human gene name	Human homology type	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human Gene-order conservation score	Human Whole-genome alignment coverage	Human orthology confidence [0 low, 1 high]
PGBD2	PGBD2	ortholog_one2many	98.9865	98.9865	50	100.00	1
U6	RNU6-1205P	ortholog_one2many	92.233	89.6226		100.00	1
ZNF692	ZNF692	ortholog_one2one	97.8805	97.8805	75	100.00	1
ZNF672	ZNF672	ortholog_one2one	97.7876	97.7876	100	100.00	1
SH3BP5L	SH3BP5L	ortholog_one2one	61.5213	69.9746	100	100.00	1
							
LYPD8	LYPD8	ortholog_one2one	86.5546	86.9198	100	100.00	1
							
							
OR2T27	OR2T27	ortholog_one2one	93.0599	93.0599	100	100.00	1
	OR2T2	ortholog_many2many	93.5185	93.5185	25	76.59	1
	OR2T35	ortholog_many2many	92.9012	93.1889	75	100.00	1
							
Y_RNA	Y_RNA	ortholog_one2one	84.6154	80.7339		100.00	1
OR2T10	OR2T10	ortholog_one2one	92.9487	92.9487	50	100.00	1
							
	OR2G6	ortholog_one2one	92.0886	92.0886	25	0.00	0
OR14I1	OR14I1	ortholog_one2one	92.6045	92.6045	0	100.00	1
							
OR9G1	OR9G1	ortholog_one2one	93.1148	93.1148	0	100.00	1
	OR2T5	ortholog_one2many	91.1111	91.1111	50	100.00	1
	OR2T29	ortholog_one2many	90.7936	90.7936	25	0.00	0
	OR2T4	ortholog_one2many	90.1587	88.75	0	0.00	0
	OR2T2	ortholog_many2many	94.1358	94.1358	75	97.36	1
	OR2T35	ortholog_many2many	93.5185	93.8081	25	75.87	1
OR2T1	OR2T1	ortholog_one2one	82.1138	95.283	100	100.00	1
OR2T6	OR2T6	ortholog_one2one	93.5065	93.5065	75	100.00	1
	OR2M2	ortholog_one2many	90.4153	81.5562	50	100.00	1
	OR2M7	ortholog_one2many	90.0958	90.3846	50	100.00	1
	OR2M3	ortholog_one2many	92.3323	92.6282	50	100.00	1
	OR2M5	ortholog_one2many	91.6933	91.9872	50	53.57	0
OR2M4	OR2M4	ortholog_one2one	95.1768	95.1768	25	100.00	1
	OR2T8	ortholog_many2many	85.625	87.8205	0	0.00	0
	OR2T33	ortholog_many2many	92.5	92.5	50	100.00	1
	OR2T12	ortholog_many2many	92.1875	92.1875	50	100.00	1
							
OR2L13	OR2L13	ortholog_one2one	91.9872	91.9872	50	100.00	1
							
	OR2L8	ortholog_many2many	93.5897	93.5897	25	0.00	0
	OR2L3	ortholog_many2many	92.3077	92.3077	50	100.00	1
