Gene name	Macaque gene name	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	Macaque orthology confidence [0 low, 1 high]
							
							
							
							
							
ND1	ND1	ortholog_one2many	83.3333	83.3333	50	100.00	1
ND1		ortholog_one2many	19.4969	72.9412	0	0.00	0
							
							
							
ND2	ND2	ortholog_one2one	73.1988	73.1988	75	100.00	1
							
							
							
							
							
COX1	COX1	ortholog_one2one	92.5781	90.8046	100	100.00	1
							
							
COX2	COX2	ortholog_one2one	87.6652	87.6652	100	100.00	1
							
ATP8	ATP8	ortholog_one2one	51.4706	51.4706	100	100.00	1
ATP6	ATP6	ortholog_one2one	75.6637	75.6637	100	100.00	1
COX3	COX3	ortholog_one2one	86.2069	86.2069	100	100.00	1
							
ND3	ND3	ortholog_one2one	78.2609	78.2609	100	100.00	1
							
ND4L	ND4L	ortholog_one2one	80.6122	80.6122	100	100.00	1
ND4	ND4	ortholog_one2one	76.0349	76.0349	100	100.00	1
							
							
							
ND5	ND5	ortholog_one2one	75.2902	75.2902	100	100.00	1
ND6	ND6	ortholog_one2many	79.8851	79.4286	75	100.00	1
ND6		ortholog_one2many	68.3908	74.8428	0	0.00	0
ND6		ortholog_one2many	67.8161	53.3937	0	0.00	0
ND6		ortholog_one2many	43.6782	47.5	0	0.00	0
ND6		ortholog_one2many	48.8506	54.1401	0	0.00	0
ND6		ortholog_one2many	45.977	67.7966	0	0.00	0
ND6		ortholog_one2many	57.4713	46.9484	0	0.00	0
							
CYTB	CYTB	ortholog_one2one	80.2632	80.2632	50	100.00	1
							
							
		ortholog_one2many	76.4151	79.4118	0	0.00	0
		ortholog_one2many	78.3019	48.538	0	0.00	0
NFATC2	NFATC2	ortholog_one2one	99.6757	99.6757	100	100.00	1
DYNC1LI2	DYNC1LI2	ortholog_one2one	98.4649	71.4968	100	100.00	1
	ATF5	ortholog_one2many	93.9716	92.3345	0	100.00	1
PHKG2	PHKG2	ortholog_one2one	97.8916	80.0493	100	100.00	1
SSBP4	SSBP4	ortholog_one2many	96.3636	90.709	100	0.00	1
	CCDC65	ortholog_one2one	98.538	69.6281	0	0.00	0
	PNMA6E	ortholog_one2one	90.7859	57.4614	100	100.00	1
							
SLC7A3	SLC7A3	ortholog_one2one	97.7383	97.7383	100	100.00	1
PECAM1	PECAM1	ortholog_one2one	89.0244	78.777	100	100.00	1
							
FERMT3	FERMT3	ortholog_one2one	98.6425	87.9032	100	100.00	1
U6	U6	ortholog_one2one	96.1905	96.1905		100.00	1
							
5S_rRNA	5S_rRNA	ortholog_one2one	80.6723	80.6723		0.00	0
							
PHOSPHO1	PHOSPHO1	ortholog_one2one	91.3858	81.0631	100	100.00	1
	mml-mir-650a-2	ortholog_one2one	94.7368	94.7368		0.00	0
PIP4K2C	PIP4K2C	ortholog_one2one	99.0499	99.0499	100	100.00	1
SLC5A10	SLC5A10	ortholog_one2one	97.7124	97.7124	50	100.00	1
							
CGNL1	CGNL1	ortholog_one2one	96.9349	97.1582	100	100.00	1
CNPPD1	CNPPD1	ortholog_one2one	97.3171	95.2267	50	100.00	1
							
