Gene name,Tropical clawed frog gene name
TMEM177,tmem177
OSTC,ostc
RAB9B,rab9b
TPPP3,tppp3
SLC39A9,slc39a9
gpkow,gpkow
SAMD4A,samd4a
DYNC2I2,dync2i2
EML5,eml5
CREB3L1,creb3l1
adamts13,adamts13
parvg,parvg
DNAH3,dnah3
ap5b1,ap5b1
nhej1,nhej1
si:dkeyp-69b9.3,myos
CTU1,ctu1
KIF7,kif7
NARF,narf
NRAP,nrap
ARAF,araf
ISCA2,isca2
RPTOR,rptor
INTS15,c7orf26
PLOD2,plod2
pxmp2,pxmp2
TMEM214,tmem214
FA2H,fa2h
NDUFB7,ndufb7
CTDP1,ctdp1
ANKHD1,ankhd1
CYP27B1,cyp27b1
MRPL51,mrpl51
USP3,usp3
HMGCS1,hmgcs1
HAPLN4,hapln4
OLIG3,olig3
abhd15a,abhd15
TAFA1,tafa1
crfb4,il10rb
LSM11,lsm11
CDK5,cdk5
lonrf1,cdpf1
HOXB3,hoxb3
GPR176,gpr176
GOLPH3L,golph3l
IQCH,pnlip
SHPK,dlx6
GFI1,gfi1
pdyn,pdyn
SS18L2,ss18l2
USE1,use1
FES,fes
IDH3B,idh3b
IRF4,irf4
MTG2,mtg2
PKIG,pkig
mief2,mief2
si:ch211-129o18.4,c1orf127
alkbh6,alkbh6
SETBP1,setbp1
henmt1,henmt1
PRKAG1,prkag1
haus5,haus5
tars3,tars3
MED6,med6
GAB2,gab2
NAV2,nav2
GPR101,gpr101
CHCHD10,chchd10
YIPF3,yipf3
klf17,klf17
arap3,ssbp1
ARL8A,arl8a
itgb7,itgb7
RTRAF,rtraf
ACMSD,acmsd
atoh8,atoh8
PDCD7,pdcd7
hnrnpa3,hnrnpa3
ITGA8,itga8
cdk5rap2,cdk5rap2
SLC15A4,slc15a4
P2RY8,p2ry8
SLC24A5,slc24a5
ABHD14B,abhd14b
slc22a15,slc22a15.2
CIAO2B,ciao2b
SH3BGRL3,sh3bgrl3
prr36a,prr36
PLG,plg
DEPTOR,deptor
ADAMTS9,adamts9
MATCAP2,kiaa0895
PHYHD1,phyhd1
AGTRAP,agtrap
ZZZ3,zzz3
PARP16,parp16
PUDP,pudp
MXD4,mxd4
TYW1B,tyw1
ambp,ambp
RPS28,rps28p9
CHKA,chka
mrpl42,mrpl42
EBAG9,ebag9
COLEC11,colec11
arid5b,arid5b
MYBL2,mybl2
AHCYL1,ahcyl1
ATP1A2,atp1a2
HEPH,hephl1
GRB7,grb7
mbd2,mbd2
DOC2B,doc2b
TMC8,tmc8
ANKK1,ankk1
TRMT1L,trmt1l
lyplal1,lyplal1
rbm48,rbm48
IGBP1C,igbp1
si:ch1073-159d7.4,h3c14
zc3h11a,zc3h11a
DCAF12,dcaf12
ATP8B4,atp8b4
rnf169,rnf169
creb3l3l,creb3
si:dkeyp-97a10.3,vstm5
PSMB7,psmb7
COL8A1,col8a1
ATG3,atg3
pagr1,pagr1
EIF4H,eif4h
SKI,ski
zgc:112496,linc02867
mdh1b,mdh1b
ZNF507,znf507
JOSD1,josd1
zgc:162025,c1h12orf43
RNF141,rnf141
mydgf,mydgf
MARCHF5,marchf5
CCDC90B,ccdc90b
NYX,nyx
RPAP1,rpap1
NUTF2,nutf2
IFT46,ift46
NAA60,naa60
YARS2,yars2
NDUFAF7,ndufaf7
BTK,btk
DDX59,ddx59
CHRNA5,chrna5
TIMM17B,timm17b
YEATS4,yeats4
GYPC,gypc
ZCRB1,zcrb1
PCDH11X,pcdh11x
MFRP,mfrp
dalrd3,dalrd3
ARHGEF38,arhgef38
NCOA5,ncoa5
hunk,hunk
arhgdig,arhgdig
CNOT6L,cnot6l
KCNK6,kcnk6
SMARCD1,smarcd1
NTS,nts
PTBP3,ptbp3
ITGB5,itgb5
CYP1B1,cyp1b1
sgca,rrp1b
terb1,terb1
KCTD8,KCTD8
TTPAL,ttpal
BDKRB2,bdkrb2
RTCB,rtcb
STOML1,stoml1
rubcnl,rubcnl
NMNAT2,nmnat2
KPNA2,kpna2
CROT,crot
ITGBL1,itgbl1
lrriq1,lrriq1
BIRC6,birc6
SELENOK,selenok
CCNY,ccny
ntn2,ntn3
C5H2orf68,c2orf68
MTMR10,mtmr10
DMTN,dmtn
CNEP1R1,cnep1r1
rrp7a,rrp7a
tsr2,tsr2
DHCR7,dhcr7
MC3R,mc3r
DFFB,dffb
RHCE,rhd
INTS3,ints3
ATP6V1H,atp6v1h
sh3kbp1,sh3kbp1
rhbdd2,rhbdd2
SLC25A11,slc25a11
uox,uox
ARL5B,arl5b
ATP9B,atp9b
cntnap3,cntnap4
bbs10,bbs10
casp8ap2,casp8ap2
PSME2,psme2
smim15,smim15
sh3d21,sh3d21
MRPL40,mrpl40
TMEM9B,tmem9b
pros1,pros1
VIPR2,vipr2
MAP2K1,map2k1
FMNL2,fmnl2
EHBP1,ehbp1
COX10,cox10
PWP1,pwp1
MEAK7,meak7
GAS6,gas6
MIEF1,mief1
MRPS10,mrps10
HGD,hgd
GRIK4,grik4
smarca1,smarca1
CMC2,cmc2
CKMT1B,ckmt1b
DENND6B,dennd6b
VWA2,vwa2
GMPPB,gmppb
GCC1,gcc1
TGS1,tgs1
l1cama,l1cam
POLB,polb
BTF3L4,btf3l4
si:ch73-173p19.2,atp6v0a4
calr3a,actr3
ubap1la,ubap1l
NINJ1,ninj1
KCTD3,kctd3
SDHA,sdha
ABCA3,abca3
SETD6,setd6
UFM1,ufm1
si:dkey-23a13.19,h4c3
zgc:110366,XB5731323 [provisional]
KRR1,krr1
TAF6,taf6
WDHD1,wdhd1
rxfp3,rxfp3
rpp21,rpp21
si:dkey-35i13.1,c11orf87
tmem123,tmem123
CTNND1,ctnnd1
PDE10A,pde10a
DYRK3,dyrk3
REV3L,rev3l
SOX10,sox10
ASIC2,asic2
PDHB,pdhb
atp8b3,atp8b3
TRMT12,trmt12
TTLL1,ttll1
DIMT1,dimt1
NLGN1,nlgn1
MBNL3,mbnl3
P2RY10,p2ry10
ENTPD6,apmap
FGF3,fgf3
EVI5,evi5
LAS1L,las1l
TMEM63C,tmem63c
CCNE1,ccne1
rfx5,rfx5
KCTD2,KCTD2
ercc5,ercc5
GFM2,gfm2
hexd,hexd
DTYMK,dtymk
WFDC1,wfdc1
NRG1,nrg1
si:ch211-117k10.3,klf15.2
PACSIN3,pacsin3
SLC5A1,slc5a1.1
ORAI2,orai1
kgd4,mrps36
PLIN2,plin2
LIAS,lias
MTMR12,mtmr12
IRAK1BP1,irak1bp1
OTUD7B,otud7b
TBC1D24,tbc1d24.1
TRIM71,trim71
CPSF6,cpsf6
CLCN7,clcn7
USP9Y,usp9x
ubb,ubc
ID4,id4
SINHCAF,sinhcaf
SDHAF4,sdhaf4
TTC9,ttc9
LRPAP1,slc17a6
RBMS3,rbms3
tcf20,tcf20
CHD2,chd2
zgc:85936,ankle1
CNOT9,cnot9
ALAS1,alas1
POLR1B,polr1b
RGS8,rgs8
SMC4,smc4
chaf1a,chaf1a
ddt,ddt
odad3,cdk4
MTAP,mtap
CDCA4,cdca4
PAN3,pan3
LYSMD4,lysmd4
E2F8,e2f8
CYP26A1,cyp26a1
LRRC10,lrrc10
ELP2,elp2
si:ch211-161c3.6,MGC147402
LIG1,lig1
SLC22A2,slc22a2
ZNF385B,znf385b
chmp4c,chmp4c
SLC5A5,slc5a5
SLC30A5,slc30a5
LRRC75A,lrrc75a
KIF3B,kif3b
ARMC8,armc8
TMCC2,tmcc2
MORN4,MORN4
CDK7,cdk7
ZDHHC13,zdhhc13
SMYD2,smyd2
PCNX4,pcnx4
PNPLA4,pnpla4
WDFY3,wdfy3
cntrl,cntrl
arl14ep,arl14ep
RAB11A,rab11a
styxl1,styxl1
rbp3,rbp3
CNR1,cnr1
DNAI4,dnai4
PRTG,prtg
CHCHD2,gpat3
TMEM30B,tmem30b
IFITM5,ifitm5
cables1,cables1
MBTPS2,mbtps2
MED22,med22
CENPF,cenpf
VDAC2,vdac2
DNPEP,dnpep
ABCA1,abca1
PARP2,parp2
RNF19B,rnf19b
ADIPOR2,adipor2
DDI2,ddi2
HES4,hes4
KCNK1,kcnk1
CORIN,rbm42
KSR2,ksr2
haus8,haus8
HAO1,hao1
CPSF1,cpsf1
MARK3,mark3
mlh3,mlh3
WDR6,wdr6
MED25,med25
BTAF1,btaf1
MPPE1,mppe1
ELP1,elp1
CCDC28A,ccdc28a
PAXIP1,paxip1
mcf2l2,mcf2l.2
BARX2,barx2
MTHFR,mthfr
gramd1a,gramd1a
MRPS11,mrps11
MRPL37,mrpl37
NRROS,nrros
cmah,cmahp
COPZ2,copz2
UBXN1,ubxn1
noxa1,noxa1
bora,bora
PPIH,ppih
rpain,rpain
SGF29,sgf29
EXOSC1,exosc1
si:dkeyp-47f9.4,clip4
znf654,znf654
GALNT2,galnt2
CASP7,casp7
DDX56,ddx56
prrc2a,prrc2a
PRELP,prelp
SZRD1,szrd1
DCP1B,dcp1b
THOC5,thoc5
PTF1A,ptf1a
EPB41L4B,epb41l4b
PTPRA,ptpra
BRINP3,brinp3
RAP2C,rap2c
TMEM104,tmem104
c1qa,c1qa
CYP2U1,cyp21a2.1
IMPDH2,impdh2
PDIA4,pdia4
ZIC1,zic1
LMNA,lmna
RPL9,rpl9
ccdc137,ccdc137
NFATC3,nfatc3
RBBP5,rbbp5
RASSF9,rassf9
GFPT2,gfpt2
DENND5B,dennd5b
MORC2,morc2
atxn2l,atxn2l
si:ch211-106k21.5,lrrc32.2
MCM3,zmcm3
RBM8A,rbm8a
EMC10,emc10
ARIH2,arih2
SCAMP3,scamp3
p3h4,p3h4
FBXL15,fbxl15
SOAT1,soat1
RPL22,rpl22
wbp2nl,wbp2nl
b3gnt7l,XB5969542
get1,get1
ZBTB17,zbtb17
PATJ,patj
si:ch211-147a11.3,c1orf174
HOXD4,hoxd4
SPCS3,spcs3
MTMR9,mtmr9
CHMP7,chmp7
ABCC5,abcc5
TRAPPC3,trappc3
GALNT16,galnt16
HACL1,colq
exd3,exd3
PABPN1,pabpn1
CLASRP,clasrp
SLC18B1,slc18b1
CSAD,csad
ano11,ano7
CFAP52,cfap52
npm1b,npm1
ALDH1L2,aldh1l2
BCAT2,bcat2
MLLT3,mllt3
GFM1,gfm1
TMEM120B,tmem120b
NR2F2,nr2f2
COQ8B,coq8b
NUDCD3,nudcd3
TP63,tp63
ncbp2as2,ncbp2as2
ifi35,ifi35
BBS7,bbs7
MRPS24,mrps24
DDX20,ddx20
ZNHIT1,znhit1
VGLL2,vgll2
TP73,tp73
HFM1,hfm1
SPIC,SPIC
si:ch211-59o9.10,rnf44
P2RY12,p2ry12
RPL21,rpl21
SCNM1,scnm1
SNAPC3,snapc3
AFAP1L2,afap1l2
WDR17,wdr17
epyc,epyc
UBE2B,ube2b
SLC35F1,slc35f1
MFSD14A,mfsd14a
ZZEF1,zzef1
TAF2,taf2
dnaaf9,dnaaf9
DYNLT2B,dynlt2b
PRPS1L1,prps1
DBR1,dbr1
HPS1,hps1
ccdc167,ccdc167
RABGEF1,rabgef1
MYD88,myd88
ASNSD1,asnsd1
RPP25L,rpp25l
tomm6,tomm6
BIN3,bin3
cfd,cfd
SLC13A4,slc13a4
cd68,omp
MED11,med11
SPTSSB,sptssb
MVD,mvd
EPHX4,ephx4
ERBIN,erbin
NR2C2AP,nr2c2ap
ADAM11,adam11
ZBTB41,zbtb41
lyrm1,lyrm1
NEU1,neu1
UBL3,ubl3
cry4,cry4
MAPK4,mapk4
GJA3,gja3
PBRM1,pbrm1
MFSD4B,mfsd4b
hrob,hrob
PCF11,pcf11
ACBD3,acbd3
FAM161B,fam161b
MRS2,mrs2
PEX11A,pex11a
ECT2,ect2
gnrhr4,gnrhr2
CACNA1C,cacna1c
WRN,wrn
ovca2,ovca2
IPO8,ipo8
HARBI1,harbi1
PSKH1,pskh1
VIPR1,vipr1
mrpl9,MRPL9
gpr174,gpr174
FAM120C,fam120c
NLN,maz
NDUFA10,ndufa10
malt1,malt1
SV2A,sv2a
DNASE1,dnase1l2
PRICKLE3,prickle3
ESD,esd
IDE,ide
TNNC2,tnnc2
pkp2,pkp2
WTAP,wtap
SKOR1,skor1
zgc:194209,apmapl
GPATCH8,gpatch8
RPL36,rpl36
EEF1E1,eef1e1
HDAC10,hdac10
NIPAL4,nipal4
WNT7B,wnt7b
ANKRD13A,ankrd13a
CYFIP1,cyfip1
MACROH2A2,macroh2a2
CDK18,cdk18
RAMP1,ramp1
ZNF330,znf330
gpx9,gpx1
ANKFN1,ankfn1
FKBP14,fkbp14
HES3,hes3
FAHD1,fahd1
CRYBB2,crybb2
EMG1,emg1
stk38l,stk38l
slx9,slx9
PDE12,pde12
tdh,tdh
SARS1,sars1
HSP90B1,hsp90b1
ezh1,ezh1
SEPTIN6,septin6
FANCD2,fancd2
BBX,bbx
SEMA3E,sema3e
BACH2,bach2
UTP23,utp23
ASPG,aspg
SMAD1,smad1
VPS45,vps45
CHERP,cherp
RRAD,rrad
TMEM121B,tmem121b
NGDN,ngdn
KANSL3,kansl3
JMJD1C,jmjd1c
TAFAZZIN,tafazzin
zgc:113333,hexdl
CRK,crk
DYNLRB2,dynlrb2
MMAB,mmab
SESTD1,sestd1
LAMA1,lama1
AASDH,aasdh
DISP3,disp3.2
DUSP23,dusp23
si:dkey-12e7.1,XB5919442 [provisional]
ITPR2,itpr2
GPR85,gpr85
si:dkey-154p10.3,XB5799681 [provisional:znf26]
IGSF10,igsf10
CMPK2,cmpk2
FHL5,fhl5
cldnj,cldn3
XPO6,xpo6
GATM,gatm
EPB41,epb41
CHRNB2,chrnb2
SMTNL2,smtnl2
TM4SF18,tm4sf18
MEF2A,mef2a
XRCC3,xrcc3
she,she
COQ10A,coq10a
INTS8,ints8
SETD4,setd4
dtx2,uap1l1
TENT2,tent2
KIF1B,kif1b
GIT1,git1
TRPC1,trpc1
EXOC6B,exoc6b
TMEM98,tmem98
DHTKD1,dhtkd1
ERBB2,erbb2
ckap2l,ckap2l
MRPL28,mrpl28
FLRT3,flrt3
RNF103,chmp3
ABRAXAS1,abraxas1
POLN,poln
GCNT7,gcnt7
PRR18,PRR18
BTBD7,btbd7
GEMIN8,gemin8
P3H1,p3h1
SLC6A5,slc6a5
CAP2,cap2
YBX1,ybx1
SLC38A11,slc38a11
dthd1,dthd1
MZT1,mzt1
adgrg4b,adgrg2
BCAR3,bcar3
ZBTB44,zbtb44
TTC27,ttc27
STN1,stn1
TIMM8A,TIMM8A
thap4,stk25
FTCD,ftcd
PGRMC2,pgrmc2
c1qc,C1QC
NOP58,nop58
cox16,cox16
LATS1,lats1
IFT88,ift88
SOX7,sox7
BPTF,bptf
HERPUD1,herpud1
cdca7b,cdca7l
larp1b,larp1b
IL1RAPL2,il1rapl2
WNT9B,wnt9b
EMC8,emc8
RPP14,rpp14
MPHOSPH10,mphosph10
