Gene name	Chimpanzee gene name	Chimpanzee homology type	%id. target Chimpanzee gene identical to query gene	%id. query gene identical to target Chimpanzee gene	Chimpanzee Gene-order conservation score	Chimpanzee Whole-genome alignment coverage	Chimpanzee orthology confidence [0 low, 1 high]
MT-TF							
MT-RNR1							
MT-TV							
MT-RNR2							
MT-TL1							
MT-ND1	MT-ND1	ortholog_one2one	94.6541	94.6541	50	100.00	1
MT-TI							
MT-TQ							
MT-TM							
MT-ND2	MT-ND2	ortholog_one2one	96.2536	96.2536	75	100.00	1
MT-TW							
MT-TA	MT-TA	ortholog_one2one	100	100		100.00	1
MT-TN							
MT-TC							
MT-TY							
MT-CO1	MT-CO1	ortholog_one2one	98.8304	98.8304	100	100.00	1
MT-TS1							
MT-TD							
MT-CO2	MT-CO2	ortholog_one2one	97.7974	97.7974	100	100.00	1
MT-TK							
MT-ATP8	MT-ATP8	ortholog_one2one	94.1176	94.1176	100	100.00	1
MT-ATP6	MT-ATP6	ortholog_one2one	94.2478	94.2478	100	100.00	1
MT-CO3	MT-CO3	ortholog_one2one	97.318	97.318	100	100.00	1
MT-TG							
MT-ND3	MT-ND3	ortholog_one2one	94.7826	94.7826	100	100.00	1
MT-TR							
MT-ND4L		ortholog_one2many	89.7959	89.7959	0	0.00	0
MT-ND4L	MT-ND4L	ortholog_one2many	98.9796	98.9796	100	100.00	1
MT-ND4L		ortholog_one2many	89.7959	89.7959	0	0.00	0
MT-ND4L		ortholog_one2many	90.8163	90.8163	0	0.00	0
MT-ND4	MT-ND4	ortholog_one2one	94.9891	94.9891	100	100.00	1
MT-TH							
MT-TS2							
MT-TL2							
MT-ND5	MT-ND5	ortholog_one2one	93.3665	93.3665	100	100.00	1
MT-ND6	MT-ND6	ortholog_one2one	95.977	95.977	75	100.00	1
MT-TE	MT-TE	ortholog_one2one	100	100		100.00	1
MT-CYB	MT-CYB	ortholog_one2one	93.4211	93.4211	50	100.00	1
MT-TT							
MT-TP							
							
							
5S_rRNA	5S_rRNA	ortholog_one2many	94.958	94.958		0.00	0
5S_rRNA	5S_rRNA	ortholog_one2many	93.2773	93.2773		0.00	0
							
							
							
							
							
							
							
							
							
							
							
							
5_8S_rRNA	5_8S_rRNA	ortholog_one2many	97.3684	97.3684		0.00	0
5_8S_rRNA	5_8S_rRNA	ortholog_one2many	97.3684	97.3684		100.00	1
RNA5-8SN5							
							
							
5_8S_rRNA							
							
	PRODH	ortholog_one2many	44.1667	98.8806	0	79.73	0
							
							
							
							
							
							
							
							
U6	U6	ortholog_one2many	98.1132	98.1132		100.00	1
							
							
							
							
	DGCR6	ortholog_many2many	99.5455	99.5455	25	100.00	1
	DGCR6	ortholog_many2many	99.5455	99.5455	0	0.00	0
		ortholog_one2many	92.7739	71.7117	0	24.63	0
							
							
							
							
							
							
							
							
							
							
							
							
		ortholog_one2many	93.3219	93.3219	0	0.00	0
							
							
							
							
							
Y_RNA	Y_RNA	ortholog_one2one	100	100		0.00	0
							
		ortholog_one2many	86.6667	90.4348	0	0.00	0
		ortholog_one2many	88.3333	91.3793	0	0.00	0
		ortholog_one2many	88.3333	91.3793	0	0.00	0
		ortholog_one2many	88.3333	91.3793	0	0.00	0
		ortholog_one2many	92.5	91.7355	0	100.00	1
							
							
							
							
							
							
							
U6							
							
							
							
							
							
							
U1	U1	ortholog_one2many	99.4318	99.4318		100.00	1
							
							
							
U2	U2	ortholog_one2many	99.115	99.115		100.00	1
							
							
							
							
							
							
							
U1	U1	ortholog_one2many	98.6111	98.6111		0.00	0
U1	U1	ortholog_one2many	98.6111	98.6111		100.00	1
	FAM231D	ortholog_one2one	98.8166	98.8166	0	100.00	1
		ortholog_one2many	88.0682	90.6433	0	0.00	0
		ortholog_one2many	73.8636	90.2778	0	0.00	0
U1							
							
							
							
							
							
							
		ortholog_one2many	60.9756	35.2113	0	69.64	0
		ortholog_one2many	64.2276	35.9091	0	0.00	0
		ortholog_one2many	59.3496	31.0638	0	0.00	0
		ortholog_one2many	75.6098	40.6114	0	0.00	0
							
							
							
							
							
		ortholog_one2many	91.3753	70.6306	0	24.63	0
							
							
U2	U2	ortholog_one2many	99.115	99.115		100.00	1
							
							
							
							
		ortholog_one2many	100	100		100.00	1
	MRPL23	ortholog_one2many	73.8562	59.1623	0	89.66	0
		ortholog_one2many	100	100		100.00	1
							
							
							
							
							
							
							
							
							
							
							
							
							
		ortholog_one2one	84.6774	92.9204	0	0.00	0
MAFIP							
							
							
							
RNA5-8SN4							
5_8S_rRNA							
							
							
							
							
							
							
							
							
							
							
Y_RNA	Y_RNA	ortholog_many2many	96.0396	96.0396		0.00	0
Y_RNA	Y_RNA	ortholog_many2many	97.0297	97.0297		0.00	0
Y_RNA	Y_RNA	ortholog_many2many	97.0297	97.0297		0.00	0
