A	B	source
TPRG1L	TPRG1L	only_in_union
ZNF256	ZNF256	only_in_union
RPSA	RPSA	only_in_union
SYN2	SYN2	only_in_union
SLC23A1	SLC23A1	only_in_union
LMBR1L	LMBR1L	only_in_union
ASS1	ASS1	only_in_union
SNORA49	SNORA49	only_in_union
FBXL22	FBXL22	only_in_union
LHX1	LHX1	only_in_union
MIR29B2	mml-mir-29b-2	only_in_union
HSP90AA1	HSP90AA1	only_in_union
MIR15A	MIR15A	only_in_union
SNORD24	SNORD24	only_in_union
CD1B	CD1B	only_in_union
FLOT1	FLOT1	only_in_union
SNORD98	SNORD98	only_in_union
GABRR2	GABRR2	only_in_union
RWDD3	TLCD4	only_in_union
PPP1R3E	PPP1R3E	only_in_union
RNU2-20P	U2	only_in_union
PLIN1	PLIN1	only_in_union
ZCCHC24	ZCCHC24	only_in_union
MIR152	MIR152	only_in_union
MIR940	mml-mir-940	only_in_union
SLC2A1	SLC2A1	only_in_union
CLEC11A	CLEC11A	only_in_union
GDPD4	GDPD4	only_in_union
YPEL5	YPEL5	only_in_union
HNRNPH1	HNRNPH1	only_in_union
NKX2-2	NKX2-2	only_in_union
ADAM18	ADAM18	only_in_union
SLC2A3	SLC2A3	only_in_union
PIP4K2B	PIP4K2B	only_in_union
Mafa-E	MAMU-E	only_in_union
MIR767	mml-mir-767	only_in_union
SEPTIN4	SEPTIN4	only_in_union
NUDCD2	NUDCD2	only_in_union
GRB7	GRB7	only_in_union
MIRLET7A2	mml-let-7a-2	only_in_union
SNORD13	SNORD13	only_in_union
USP12	USP12	only_in_union
NKIRAS2	NKIRAS2	only_in_union
KIF17	DDOST	only_in_union
HTRA1	HTRA1	only_in_union
FOXN1	FOXN1	only_in_union
MIR135A1	mml-mir-135a-1	only_in_union
SNORD28B	SNORD28	only_in_union
MIR653	mml-mir-653	only_in_union
SNORD26	SNORD26	only_in_union
SNORA53	SNORA53	only_in_union
MIR129-2	mml-mir-129-2	only_in_union
MIR374B	mml-mir-374b	only_in_union
MIR101-1	mml-mir-101-1	only_in_union
H2BW1	H2BW1C	only_in_union
ZNF793	ZNF793	only_in_union
CYP2D6	CYP2D6	only_in_union
MIR450A2	mml-mir-450a-2	only_in_union
MIR324	mml-mir-324	only_in_union
SNORD49B	SNORD49B	only_in_union
RAB8A	RAB8A	only_in_union
NUP205	NUP205	only_in_union
FOXF2	FOXF2	only_in_union
MIR922	mml-mir-922	only_in_union
SNORA84	SNORA84	only_in_union
TRBV11-2	TRBV11-2	only_in_union
ZNF397	ZNF397	only_in_union
C1QTNF3	AMACR	only_in_union
RANBP9	RANBP9	only_in_union
MIR217	mml-mir-217	only_in_union
MIR331	MIR331	only_in_union
NKX6-2	NKX6-2	only_in_union
NEK7	NEK7	only_in_union
PARP6	PARP6	only_in_union
MIR216B	mml-mir-216b	only_in_union
TBX3	TBX3	only_in_union
MIR27B	MIR27B	only_in_union
SNORD114-11	SNORD114-11	only_in_union
SLC6A11	SLC6A11	only_in_union
C1QTNF5	C1QTNF5	only_in_union
ZYG11A	ZYG11A	only_in_union
MXRA5	MXRA5	only_in_union
FAM120C	FAM120C	only_in_union
GPRASP3	GPRASP3	only_in_union
H2BC5	H2BC5	only_in_union
SLC38A6	SLC38A6	only_in_union
MIR642A	mml-mir-642	only_in_union
MIR124-2	mml-mir-124a-1	only_in_union
SNORA67	SNORA67	only_in_union
SNORD39	SNORD39	only_in_union
RXYLT1	RXYLT1	only_in_union
MIR223	mml-mir-223	only_in_union
MIR484	MIR484	only_in_union
ADCY5	ADCY5	only_in_union
MIR381	MIR381	only_in_union
NHLH1	NHLH1	only_in_union
SLC6A2	SLC6A2	only_in_union
MT-CO2	COX2	only_in_union
SNIP1	SNIP1	only_in_union
AFAP1L1	AFAP1L1	only_in_union
RPS28	RPS28	only_in_union
FBF1	FBF1	only_in_union
MIR449B	mml-mir-449b	only_in_union
FCGR3A	FCGR3	only_in_union
KISS1	KISS1	only_in_union
IBA57	IBA57	only_in_union
MIR181A1	mml-mir-181a-1	only_in_union
MBD3	MBD3	only_in_union
RPL22	RPL22	only_in_union
SNORA63B	SNORA63	only_in_union
MIR760	MIR760	only_in_union
CYP2A13	CYP2A29	only_in_union
GLUD1	GLUD1	only_in_union
CAST	CAST	only_in_union
CLDN3	CLDN3	only_in_union
MIR106B	mml-mir-106b	only_in_union
RASL11A	RASL11A	only_in_union
SNORA19	SNORA19	only_in_union
KCNS2	KCNS2	only_in_union
CLSTN3	CLSTN3	only_in_union
MIR105-2	mml-mir-105-2	only_in_union
SNORD114-31	SNORD114-31	only_in_union
MIR4677	MIR4677	only_in_union
SNORD116-26	SNORD116	only_in_union
SNORD58B	SNORD58	only_in_union
PMP2	PMP2	only_in_union
SUN5	SUN5	only_in_union
MIR128-2	mml-mir-128b	only_in_union
PDE6H	PDE6H	only_in_union
ADHFE1	ADHFE1	only_in_union
MIR130A	mml-mir-130a	only_in_union
SNORD19	SNORD19	only_in_union
INTS5	INTS5	only_in_union
PARD6G	PARD6G	only_in_union
SNORD79	SNORD79	only_in_union
MIR1180	mml-mir-1180	only_in_union
GPR108	GPR108	only_in_union
SNORD45C	SNORD45C	only_in_union
AFMID	AFMID	only_in_union
MIR4282	MIR4282	only_in_union
MIR302B	mml-mir-302b	only_in_union
SNORD5	SNORD5	only_in_union
MIR124-1	mml-mir-124a-2	only_in_union
ZNF84	ZNF84	only_in_union
