A	B	source
RPSAP58	RPSA	only_in_union
ZCCHC18	ZCCHC18	only_in_union
TXNL4A	TXNL4A	only_in_union
PAEP	PAEP	only_in_union
SERPINA1	SERPINA1	only_in_union
KIAA1549	KIAA1549	only_in_union
C19orf73	RPL36AL	only_in_union
HSPE1	HSPE1	only_in_union
FCER2	CD209	only_in_union
RPL8	RPL8	only_in_union
SULT1A2	SULT1A3	only_in_union
NUDT21	NUDT21	only_in_union
RPL35A	RPL35A	only_in_union
RPL5	RPL5	only_in_union
MYADM	MYADM	only_in_union
PRM1	PRM1	only_in_union
CYCS	CYCS	only_in_union
FTL	FTL	only_in_union
UBE2V1	UBE2V1	only_in_union
C2orf73	C2orf73	only_in_union
HBE1	HBE1	only_in_union
AKT1	AKT1	only_in_union
LDHB	LDHB	only_in_union
CCL1	CCL1	only_in_union
RPS4X	RPS4X	only_in_union
TUBB2B	TUBB2B	only_in_union
TRIM54	TRIM54	only_in_union
ORM1	OBP	only_in_union
AKR1C1	AKR1C2	only_in_union
AVP	AVP	only_in_union
DGAT2	DGAT2	only_in_union
CYP4A22	CYP4A21	only_in_union
RPS15	RPS15	only_in_union
SERF2	SERF2	only_in_union
UGT2B11	UGT2B31	only_in_union
EIF3I	EIF3I	only_in_union
KRTAP21-2	KRTAP21-1	only_in_union
EIF5	EIF5	only_in_union
RPLP1	RPLP1	only_in_union
RPL37A	RPL37A	only_in_union
GLRX	GLRX	only_in_union
YWHAG	YWHAG	only_in_union
PMF1-BGLAP	PMF1	only_in_union
YWHAE	YWHAE	only_in_union
DCD	APOF	only_in_union
SNRPB	SNRPB	only_in_union
ATOX1	ATOX1	only_in_union
CHRNA7	CHRFAM7A	only_in_union
MEIS3	MEIS3	only_in_union
UBE2D3	UBE2D3	only_in_union
RPS16	RPS16	only_in_union
SINHCAF	SINHCAF	only_in_union
FAU	FAU	only_in_union
RAB18	RAB18	only_in_union
JTB	JTB	only_in_union
TRBV5-7	TRBV9	only_in_union
RNF212	RNF212	only_in_union
TMEM86B	TMEM86B	only_in_union
RPL22	RPL22	only_in_union
PFDN6	PFDN6	only_in_union
POLD3	POLD3	only_in_union
TSPAN8	TSPAN8	only_in_union
HSPE1-MOB4	MOBKL3	only_in_union
CLDN22	CLDN22	only_in_union
SNRPG	SNRPG	only_in_union
C3orf84	C3orf84	only_in_union
RPL22L1	RPL22L1	only_in_union
SLC6A14	SLC6A14	only_in_union
PFDN4	PFDN4	only_in_union
PGA3	PGA5	only_in_union
CXCL3	CXCL2	only_in_union
CBX3	CBX3	only_in_union
H3C13	H3C14	only_in_union
TMEM167A	TMEM167A	only_in_union
SNRPC	SNRPC	only_in_union
ANP32E	ANP32E	only_in_union
SPINT3	PTI	only_in_union
DEFB112	SPAG11	only_in_union
SLC5A3	SLC5A3	only_in_union
RAB11B	RAB11B	only_in_union
AAMDC	AAMDC	only_in_union
HMGN2	HMGN2	only_in_union
CCDC163	HILPDA	only_in_union
PTGDS	PTGDS	only_in_union
PLTP	PLTP	only_in_union
CCL4L2	CCL4	only_in_union
OVCH1	AWN	only_in_union
ARHGEF35	TACC2	only_in_union
NME1-NME2	NME2	only_in_union
RPS17	RPS17	only_in_union
RPL32	RPL32	only_in_union
SUMO3	SUMO3	only_in_union
RPL15	RPL15	only_in_union
GSTA2	GSTA1	only_in_union
CHMP4B	CHMP4B	only_in_union
OR9G1	OR9G1	only_in_union
AP3S1	AP3S1	only_in_union
IFI27	ISG12(A)	only_in_union
BRD3OS	BRD3OS	only_in_union
PMM2	PMM2	only_in_union
CYP2C9	CYP2C42	only_in_union
RPL14	RPL14	only_in_union
SIRPB1	ICAM3	only_in_union
RPL10	RPL10	only_in_union
RPL10A	RPL10A	only_in_union
TRMO	TRMO	only_in_union
BMT2	BMT2	only_in_union
RPS26	RPS26	only_in_union
RPL24	RPL24	only_in_union
SELENOH	SELENOH	only_in_union
MTDH	MTDH	only_in_union
EID1	PAGE2B	only_in_union
BNIP3	BNIP3	only_in_union
PRB3	TP23	only_in_union
MRPL42	MRPL42	only_in_union
HBD	HBB	only_in_union
KDM5C	KDM5C	only_in_union
TMSB10	TMSB10	only_in_union
PRDX2	PRDX2	only_in_union
SLN	SLN	only_in_union
FAM47C	MUC13	only_in_union
EIF2S3B	EIF2S3B	only_in_union
RPL11	RPL11	only_in_union
RPL26	RPL26	only_in_union
KRTAP13-3	KRTAP13-3	only_in_union
CNKSR3	CNKSR3	only_in_union
C1D	C1D	only_in_union
CYP2C18	CYP2C49	only_in_union
RPL27A	RPL27A	only_in_union
ADAL	ADAL	only_in_union
HEMGN	TRMO	only_in_single
IFI27L2	ISG12(A)	only_in_single
MUC13	MUC13	only_in_single
PGA5	PGA5	only_in_single
TACC2	TACC2	only_in_single
ICAM3	ICAM3	only_in_single
PAGE3	PAGE2B	only_in_single
SERPINA2	SERPINA1	only_in_single
CLEC4M	CD209	only_in_single
