mice gene name,frog gene name
Lsm6,lsm6
Uba52,uba52
Ube2i,ube2i
Mosmo,mosmo
Calm2,calm2
Rps29,rps29
Psmc1,psmc1
Rab14,rab14
Tuba1b,tuba1b
Ypel2,ypel2
Arf3,arf3
Actc1,actc1
Rpl23,rpl23
Ypel5,ypel5
Gabarapl1,gabarapl1
Phf5a,phf5a
Snrpf,snrpf
Ppp3r1,ppp3r1
Polr2l,polr2l.1
Dcaf7,dcaf7
Ppp1cb,ppp1cb
Ube2r2,ube2r2
Erh,erh
Ncald,ncald
Ncs1,ncs1
Ube2g1,ube2g1
Skp1,skp1
Ppp1cc,ppp1cc
Rps27a,rps27a
Cnot9,cnot9
Ap2m1,ap2m1
Acta2,acta2
Sf3b6,sf3b6
Ywhag,ywhag
Cul3,cul3
Psmd14,psmd14
Ppp2ca,ppp2ca
Ppp2r5e,ppp2r5e
Gpr85,gpr85
Rap2a,rap2a
Arf1,arf5
Mab21l1,mab21l1
Prpf8,prpf8
Tubb3,tubb3
Cops2,cops2
Ypel1,ypel1
Rbbp4,rbbp4
Ube2b,ube2b
Tuba1c,tuba1c
Spop,spop
Smu1,smu1
Rap1b,rap1b
Eef1a2,eef1a2
Klhl20,klhl20
Ran,ran
Cul1,cul1
Sec61a1,sec61a1
Gnai1,gnai1
Polr2h,polr2h
Actr2,actr2
Ctnnb1,ctnnb1
Cyfip2,cyfip2
Prps2,yars2
Mab21l2,mab21l2
Zc4h2,zc4h2
Tle4,tle4
Rpl19,rpl19
Pdcd10,pdcd10
Cnep1r1,cnep1r1
Rab6a,rab6a
Ube2k,ube2k
Dr1,dr1
Cand1,cand1
Kras,krasl
Gnb1,gnb1
Hdac2,hdac2
Nckap1,nckap1
Srp54a,srp54
Sar1a,sar1a
Nsa2,nsa2
Jazf1,vill
Ago1,ago1
Peli1,peli1
Lsm8,lsm8
Abhd17b,abhd17b
Tubb6,tubb6
Rpl17,rpl17
Rap2c,rap2c
Arf2,arf1
Gnaq,lyve1
Ostc,ostc
Sf3b3,sf3b3
Eif4a2,eif4a2
Psmd7,psmd7
Ube2g2,ube2g2
Nova1,nova1
U2af2,u2af2
Prps1,prps1
Arl8b,arl8b
Myl12a,myl12b
Rpl36a,rpl36a
Ssr3,ssr3
Tbl1xr1,tbl1xr1
Rps23,rps23
Btf3l4,btf3l4
Kpna3,pamr1
Arf4,arf4
Psmc5,psmc5
Fbxo11,fbxo11
Ago3,ago3
Lsm3,lsm3
Gnaz,gnaz
Stat3,stat3.2
Stt3a,stt3a
Smurf2,smurf2
Rps25,rps25
Rnd3,rnd3
Celf4,celf4
Dynlrb2,dynlrb2
Mirlet7c-1,xtr-let-7c
Supt4a,supt4h1
Isl1,isl1
Eef2,fbxl16
Tubb2b,tubb2b
Cacng2,cacng2
Drg1,fzd3
Napb,napb
Copb1,copb1
Ebf3,ebf3
Smad1,smad1
Psma7,psma7
Nlk,nlk
Hdac3,hdac3
Rab3a,rab3a
Osr2,osr2
Dync1h1,dync1h1
Chic2,chic2
Dcun1d1,dcun1d1
Smad2,smad2
U2af1,u2af1
Psmc6,psmc6
Cops5,cops5
Chp1,chp1
Psma2,psma2
Ccnc,ccnc
Smc3,smc3
Gnat1,gnat1
Csnk1g3,csnk1g3
