Gene name,Pig gene name
mt-Nd1,ND1
mt-Nd2,ND2
mt-Co1,COX1
mt-Co2,COX2
mt-Atp8,ATP8
mt-Co3,COX3
mt-Nd3,ND3
mt-Nd4,ND4
mt-Nd5,ND5
mt-Nd6,ND6
mt-Cytb,CYTB
Chst9,CHST9
Cdh2,CDH2
Klf9,KLF9
Habp2,HABP2
Cep120,CEP120
Csnk1g3,CSNK1G3
Krtap8-1,KRTAP8-1
Krtap7-1,KRTAP7-1
Krtap11-1,KRTAP11-1
Dsc3,DSC3
Bmerb1,BMERB1
Ndufb4,NDUFB4
Marf1,MARF1
Gramd2b,GRAMD2B
Mamdc2,MAMDC2
Fstl1,FSTL1
Cfap95,CFAP95
Lrrc58,LRRC58
Mir411,ssc-mir-411
Mir299a,ssc-mir-299
Lratd1,LRATD1
Ptar1,PTAR1
Gpr156,GPR156
Mir323,MIR323A
Dsc2,DSC2
Gm25414,U6
Mir381,ssc-mir-381
Gsk3b,GSK3B
Apba1,APBA1
Trib2,TRIB2
Vrtn,VRTN
Syndig1l,SYNDIG1L
Entrep1,ENTREP1
Nde1,NDE1
Nubpl,NUBPL
Tjp2,TJP2
Npc2,NPC2
Dsc1,DSC1
Isca2,ISCA2
Arhgap5,ARHGAP5
Akap6,AKAP6
Tiam1,TIAM1
Fxn,FXN
Pip5k1b,PIP5K1B
Npas3,NPAS3
Fam169a,FAM169A
Egln3,EGLN3
Ltbp2,LTBP2
Pabir1,PABIR1
Tmem252,TMEM252
Pgm5,PGM5
Aldh7a1,ALDH7A1
Tfap2a,TFAP2A
Nrap,NRAP
Sod1,SOD1
Scaf4,SCAF4
Ppp2r5c,PPP2R5C
Nme8,NME8
Kdm5d,KDM5D
Hunk,HUNK
Dsg4,DSG4
Phax,PHAX
Spmip10,SPMIP10
Gpr50,GPR50
Mis18a,MIS18A
Lmnb1,LMNB1
Gpr141,GPR141
Urb1,URB1
Marchf3,MARCHF3
Dsg3,DSG3
Aoah,AOAH
Arel1,AREL1
Htr2c,HTR2C
Myh11,MYH11
C330018D20Rik,C5orf63
Gfm2,GFM2
Dsg2,DSG2
Rlim,RLIM
Snora35,SNORA35
Ttr,TTR
B4galt6,B4GALT6
Dync1h1,DYNC1H1
Megf10,MEGF10
Casp7,CASP7
Prrg3,PRRG3
Nexmif,NEXMIF
Dock8,DOCK8
Fate1,FATE1
Il13ra2,IL13RA2
Trappc8,TRAPPC8
Fcf1,FCF1
Cnga2,CNGA2
Kank1,KANK1
Abcb7,ABCB7
Hsp90aa1,HSP90AA1
Dmrt1,DMRT1
Rnf125,RNF125
Uprt,UPRT
Dmrt3,DMRT3
Rnf138,RNF138
Dmrt2,DMRT2
Gabre,GABRE
Cep20,CEP20
Smug1,SMUG1
Nhlrc2,NHLRC2
Eva1c,EVA1C
Ccdc134,CCDC134
Zdhhc15,ZDHHC15
Lpin1,LPIN1
Adrb1,ADRB1
Mep1b,MEP1B
Ccdc186,CCDC186
Magee2,MAGEE2
Gabra3,GABRA3
Hexb,HEXB
Garem1,GAREM1
Mroh2b,MROH2B
Gm22886,U6
Fbn2,FBN2
Pacs1,PACS1
Cfap298,CFAP298
Hivep1,HIVEP1
Cbx5,CBX5
Igsf11,IGSF11
Edn1,EDN1
C7,C7
Clxn,CLXN
Klhl14,KLHL14
Sf3b2,SF3B2
Rpl37,RPL37
Lrch2,LRCH2
Slc27a6,SLC27A6
Snord72,SNORD72
Prkaa1,PRKAA1
Isoc1,ISOC1
Arhgef28,ARHGEF28
Synj1,SYNJ1
Adamts19,ADAMTS19
Srebf2,SREBF2
Gal3st3,GAL3ST3
Ccdc178,CCDC178
Catsper1,CATSPER1
Cst6,CST6
Tdrd1,TDRD1
Pbdc1,PBDC1
Mtbp,MTBP
Minar2,MINAR2
Fgf16,FGF16
Ube2v2,UBE2V2
Chsy3,CHSY3
Mcm4,MCM4
Atrx,ATRX
Ntsr2,NTSR2
Nol4,NOL4
Ylpm1,YLPM1
Paxbp1,PAXBP1
Shisa8,SHISA8
Sntb1,SNTB1
Prss16,PRSS16
Rbm22,RBM22
Ttc33,TTC33
Mok,MOK
Dtna,DTNA
Has2,HAS2
Hnrnpa1,HNRNPA1
Prox2,PROX2
Epcip,EPCIP
Banf1,BANF1
Zbtb20,ZBTB20
Eif1ad,EIF1AD
Phactr1,PHACTR1
Vwa2,VWA2
Gm23656,U6
Ptger4,PTGER4
Magt1,MAGT1
Sart1,SART1
Cinp,CINP
Nfe2,NFE2
Tsga10ip,TSGA10IP
Drap1,DRAP1
Dlst,DLST
Zhx2,ZHX2
Mapre2,MAPRE2
Cox7b,COX7B
Derl1,DERL1
Gm25873,U6
Apex2,APEX2
Copz1,COPZ1
Tigit,TIGIT
Prkdc,PRKDC
AI837181,C11orf68
Mir148b,MIR148B
Fosl1,FOSL1
Zfp385a,ZNF385A
Ccdc85b,CCDC85B
Afap1l2,AFAP1L2
Tbc1d31,TBC1D31
Tbc1d7,TBC1D7
Zfp397,ZNF397
Pspc1,PSPC1
Zfp24,ZNF24
Alas2,ALAS2
Ino80c,INO80C
Greb1,GREB1
Galnt1,GALNT1
Dach1,DACH1
Gfod1,GFOD1
Itga5,ITGA5
Atp7a,ATP7A
Sirt5,SIRT5
Drd3,DRD3
2700062C07Rik,C18orf21
Zmym5,ZMYM5
Mrpl47,MRPL47
Rprd1a,RPRD1A
Gtsf1,GTSF1
Ppp2r3c,PPP2R3C
Fibp,FIBP
Adgrl4,ADGRL4
Cdx1,CDX1
Tpgs2,TPGS2
Rps6kl1,RPS6KL1
Cebpd,CEBPD
Wdhd1,WDHD1
Spidr,SPIDR
Mtrr,MTRR
Pgk1,PGK1
Ndufb5,NDUFB5
Ppargc1b,PPARGC1B
Ctsw,CTSW
Pgf,PGF
Taf9b,TAF9B
Tecpr2,TECPR2
Mir378a,ssc-mir-378-1
Nol7,NOL7
Efemp2,EFEMP2
Celf4,CELF4
Slc30a7,SLC30A7
Pkp2,PKP2
Pfkfb1,PFKFB1
Ifi44,IFI44
Fastkd3,FASTKD3
Nckap1l,NCKAP1L
Yars2,YARS2
Gm24378,U6
Zdhhc23,ZDHHC23
Socs4,SOCS4
Eif2b2,EIF2B2
Zmym2,ZMYM2
Ifi44l,IFI44L
Ptgfr,PTGFR
Ifnar1,IFNAR1
Usp13,USP13
Zfp322a,ZNF322
Prorp,PRORP
Snora69,SNORA69
Lgals3,LGALS3
Mus81,MUS81
Fer1l6,FER1L6
Ifngr2,IFNGR2
Cfap90,CFAP90
Extl2,EXTL2
Tmem65,TMEM65
Abt1,ABT1
Btn1a1,BTN1A1
Upf3b,UPF3B
Tmem50b,TMEM50B
Rnf139,RNF139
Dab2,DAB2
Adcy2,ADCY2
Pik3c3,PIK3C3
Gramd1c,GRAMD1C
Pibf1,PIBF1
Mlh3,MLH3
Gipc2,GIPC2
Nkap,NKAP
Ranbp9,RANBP9
Snx32,SNX32
Dnajb4,DNAJB4
Ndufa1,NDUFA1
Zmiz1,ZMIZ1
Agrp,AGRP
Ovol1,OVOL1
Ripor1,RIPOR1
Zc2hc1c,ZC2HC1C
Vcam1,VCAM1
Mcur1,MCUR1
Ap5b1,AP5B1
Nek9,NEK9
Dnajc28,DNAJC28
Rnaseh2c,RNASEH2C
Atp6v1a,ATP6V1A
Rnf182,RNF182
Cd83,CD83
Tmed10,TMED10
Ctcf,CTCF
1500009L16Rik,C12orf75
Fos,FOS
Gpr88,GPR88
Arhgap18,ARHGAP18
Cysltr1,CYSLTR1
Klf5,KLF5
Cdc14a,CDC14A
Nol10,NOL10
Nr3c2,NR3C2
Gm22970,U2
Klf12,KLF12
Il17b,IL17B
Hfe,HFE
Gm54625,SNORA13
Yeats4,YEATS4
Pcyox1l,PCYOX1L
Grpel2,GRPEL2
Dlgap5,DLGAP5
Lyz3,LYZ
Odc1,ODC1
Srbd1,SRBD1
Afap1l1,AFAP1L1
Lpar4,LPAR4
Tnpo1,TNPO1
P2ry10,P2RY10
Hpcal1,HPCAL1
Carmil2,CARMIL2
Dnm1l,DNM1L
Ablim3,ABLIM3
Arl14,ARL14
Ppm1l,PPM1L
Pcm1,PCM1
B3galnt1,B3GALNT1
Nmd3,NMD3
Tro,TRO
Atp6v1e2,ATP6V1E2
Sh3tc2,SH3TC2
Rhoq,RHOQ
Bag5,BAG5
Cpsf6,CPSF6
Pex5l,PEX5L
Coa8,COA8
Pigf,PIGF
Adrb2,ADRB2
Mbip,MBIP
Trim38,TRIM38
Wdr33,WDR33
Tbc1d4,TBC1D4
Zfp366,ZNF366
Nkx2-1,NKX2-1
Socs5,SOCS5
Tatdn1,TATDN1
Ptcd2,PTCD2
Nkx2-9,NKX2-8
Acd,ACD
Pax9,PAX9
Slc17a2,SLC17A2
Rfx4,RFX4
Mcfd2,MCFD2
Slc25a21,SLC25A21
Gpr174,GPR174
Sft2d3,SFT2D3
Htr4,HTR4
Mrps27,MRPS27
Klc1,KLC1
Ndufb9,NDUFB9
C9,C9
Itm2a,ITM2A
