rhesus_macaque gene name,human gene name,correlation
RS1,RS1,1.0000036
MARCHF5,MARCHF5,1.0000025
BMP5,BMP5,1.0000021
MCTS1,MCTS1,1.0000019
MRFAP1L1,MRFAP1L1,1.0000019
FZD2,FZD2,1.0000018
PPIL1,PPIL1,1.0000018
UBE2R2,UBE2R2,1.0000018
FOXB1,FOXB1,1.0000017
H1-0,H1-0,1.0000017
LSM2,LSM2,1.0000017
ASF1A,ASF1A,1.0000015
H2AC12,H2AC12,1.0000015
SPRY2,SPRY2,1.0000015
TWIST2,TWIST2,1.0000015
FGF18,FGF18,1.0000014
GNAZ,GNAZ,1.0000014
PFDN2,PFDN2,1.0000014
SPTSSA,SPTSSA,1.0000014
ATXN7L3B,ATXN7L3B,1.0000013
MARCKSL1,MARCKSL1,1.0000013
PGAM4,PGAM1,1.0000012
RAP1A,RAP1A,1.0000012
RPS12,RPS12,1.0000012
GJB1,GJB1,1.0000011
H4C1,H4-16,1.0000011
KLF12,KLF12,1.0000011
PCNA,PCNA,1.0000011
SUDS3,SUDS3,1.0000011
CABP7,CABP7,1.000001
CAMK2N2,CAMK2N2,1.000001
CNFN,CNFN,1.000001
FGF16,FGF16,1.000001
GJD2,GJD2,1.000001
HPCA,HPCA,1.000001
NUDT11,NUDT11,1.000001
TIMM10,TIMM10,1.000001
FEM1C,FEM1C,1.0000008
MYF6,MYF6,1.0000008
TMEM167A,TMEM167A,1.0000008
TOMM20,TOMM20,1.0000008
UBTD1,UBTD1,1.0000008
CWC15,CWC15,1.0000007
DDA1,DDA1,1.0000007
ERG28,ERG28,1.0000007
MAB21L1,MAB21L1,1.0000007
PHOX2B,PHOX2B,1.0000007
UBTD2,UBTD2,1.0000007
YPEL5,YPEL5,1.0000007
ARPC5L,ARPC5L,1.0000006
CHMP4B,CHMP4B,1.0000006
GNG13,GNG13,1.0000006
LRRTM3,LRRTM3,1.0000006
MOB3B,MOB3B,1.0000006
FAM168B,FAM168B,1.0000005
FOXG1,FOXG1,1.0000005
HES1,HES1,1.0000005
IMP3,IMP3,1.0000005
MAGEH1,MAGEH1,1.0000005
RBM18,RBM18,1.0000005
TMEM35A,TMEM35A,1.0000005
B3GALT1,B3GALT1,1.0000004
H2AC6,H2AC6,1.0000004
RPS26,RPS26,1.0000004
BTG1,BTG1,1.0000002
CTXN1,CTXN1,1.0000002
H2BC4,H2BC10,1.0000002
H3C13,H3C13,1.0000002
LHFPL6,LHFPL6,1.0000002
MID1IP1,MID1IP1,1.0000002
S100A4,S100A4,1.0000002
SMIM15,SMIM15,1.0000002
SMKR1,SMKR1,1.0000002
USP27X,USP27X,1.0000002
GNG5,GNG5,1.0000001
H2AC21,H2AC21,1.0000001
H2BC17,H2BC17,1.0000001
MAB21L2,MAB21L2,1.0000001
NRAS,NRAS,1.0000001
NXT1,NXT1,1.0000001
TAF7,TAF7,1.0000001
TBC1D9,TBC1D9,1.0000001
TIMP3,TIMP3,1.0000001
UNC119B,UNC119B,1.0000001
RRAGA,RRAGA,1.0
DESI1,DESI1,0.99999994
DNAJA1,DNAJA1,0.99999994
H2AC8,H2AC4,0.99999994
H2BC5,H2BC5,0.99999994
HMGN4,HMGN4,0.99999994
IKZF5,IKZF5,0.99999994
SSTR1,SSTR1,0.99999994
PRKAA2,PRKAA2,0.9999999
RBX1,RBX1,0.9999999
IGFBP4,IGFBP4,0.9999998
NRGN,NRGN,0.9999998
PAIP2B,PAIP2B,0.9999998
RPS28,RPS28,0.9999998
ZNF664,ZNF664,0.9999998
ARGLU1,ARGLU1,0.99999976
DNAJC5,DNAJC5,0.99999976
OTP,OTP,0.99999976
PGAP4,PGAP4,0.99999976
PRPF38A,PRPF38A,0.99999976
SOX21,SOX21,0.99999976
TAFA1,TAFA1,0.99999976
ZNHIT1,ZNHIT1,0.99999976
KCTD4,KCTD4,0.9999997
MOB3C,MOB3C,0.9999997
TOB1,TOB1,0.9999997
GNAI3,GNAI3,0.99999964
GNAT3,GNAT3,0.99999964
RPL39,RPL39,0.99999964
AMIGO1,AMIGO1,0.9999996
CDC42SE1,CDC42SE1,0.9999996
CKS2,CKS2,0.9999996
DYNLT1,DYNLT1,0.9999996
OST4,OST4,0.9999996
SNN,SNN,0.9999996
STRIT1,STRIT1,0.9999996
TOMM22,TOMM22,0.9999996
EIF1B,EIF1B,0.9999995
EMC6,EMC6,0.9999995
GPR22,GPR22,0.9999995
LMX1A,LMX1A,0.9999995
PHF5A,PHF5A,0.9999995
POLR2J,POLR2J,0.9999995
RAB10,RAB10,0.9999995
SH3BGRL2,SH3BGRL2,0.9999995
YWHAG,YWHAG,0.9999995
H2AX,H2AX,0.99999946
KLHL11,KLHL11,0.99999946
NRARP,NRARP,0.99999946
RAMAC,RAMACL,0.99999946
SVIP,SVIP,0.99999946
KCNJ6,KCNJ6,0.9999994
RMND5A,RMND5A,0.9999994
RPS4X,RPS4X,0.9999994
TNP1,TNP1,0.9999994
H2BC26,H2BU1,0.99999934
TGFB2,TGFB2,0.99999934
H2BC12,H2BC12,0.9999993
MRFAP1,MRFAP1,0.9999993
NOG,NOG,0.9999993
PHLDA3,PHLDA3,0.9999993
TMEM47,TMEM47,0.9999993
ANAPC13,ANAPC13,0.9999992
BOK,BOK,0.9999992
H3C1,H3C1,0.9999992
GREM2,GREM2,0.99999917
HS6ST1,HS6ST1,0.99999917
RRAGC,RRAGC,0.99999917
UGCG,UGCG,0.99999917
BCAS2,BCAS2,0.9999991
CAMK2N1,CAMK2N1,0.9999991
H2AC20,H2AC20,0.9999991
RAB39B,RAB39B,0.9999991
KLHL9,KLHL9,0.99999905
TMA7,TMA7,0.99999905
RGP1,RGP1,0.999999
ZNF146,ZNF146,0.999999
S100P,S100P,0.9999989
SCX,SCX,0.9999989
TMEM170B,TMEM170B,0.9999989
RAB39A,RAB39A,0.99999887
CACNG2,CACNG2,0.9999988
LSM6,LSM6,0.9999988
PDRG1,PDRG1,0.9999988
UFC1,UFC1,0.9999988
DUSP23,DUSP23,0.99999875
POLE3,POLE3,0.99999875
RAP2B,RAP2B,0.99999875
SPCS3,SPCS3,0.99999875
ABHD17B,ABHD17B,0.9999987
GID8,GID8,0.9999987
RPRM,RPRM,0.9999987
WNT3,WNT3,0.9999987
DYNLL2,DYNLL2,0.9999986
RGS17,RGS17,0.9999986
DDX6,DDX6,0.99999857
H2AC11,H2AC11,0.9999985
PCBP1,PCBP1,0.9999985
PRRX2,PRRX2,0.9999985
CDKN2C,CDKN2C,0.99999845
GLRA3,GLRA3,0.99999845
LRRC73,LRRC73,0.99999845
SH3BGRL,SH3BGRL,0.99999845
SMPX,SMPX,0.99999845
SPIN1,SPIN1,0.99999845
DPY30,DPY30,0.9999984
HAS2,HAS2,0.9999984
ARL4D,ARL4D,0.99999833
BRK1,BRK1,0.9999982
HOXC4,HOXC4,0.9999982
KCNV1,KCNV1,0.9999982
RPL10A,RPL10A,0.9999982
FGF9,FGF9,0.9999981
SNRNP200,SNRNP200,0.9999981
H2AC14,H2AC14,0.99999803
BBLN,BBLN,0.999998
NEUROD6,NEUROD6,0.9999979
FUT9,FUT9,0.99999785
NDP,NDP,0.99999785
MACIR,MACIR,0.9999978
EIF4EBP2,EIF4EBP2,0.99999774
CRIP1,CRIP1,0.9999977
CTXN2,CTXN2,0.9999977
LRRC8A,LRRC8A,0.99999714
FLRT3,FLRT3,0.9999815
PELI1,PELI1,0.9999795
TFAP2D,TFAP2D,0.9999777
SLITRK2,SLITRK2,0.99997187
SUZ12,SUZ12,0.9999711
B3GALT2,B3GALT2,0.9999679
GRIN2D,GRIN2D,0.9999675
ZIC2,ZIC2,0.999966
DHX9,DHX9,0.9999652
C1GALT1C1,C1GALT1C1,0.99996483
DCUN1D3,DCUN1D3,0.99996436
KCND3,KCND3,0.99996316
EIF3A,EIF3A,0.999963
CCDC6,CCDC6,0.99996257
ANKRD52,ANKRD52,0.99996173
KCNS2,KCNS2,0.9999591
XPO4,XPO4,0.9999583
VANGL2,VANGL2,0.99995756
HOXD13,HOXD13,0.9999513
DLGAP3,DLGAP3,0.99995065
KCNK12,KCNK12,0.9999496
DHX15,DHX15,0.9999478
POLR2A,POLR2A,0.9999472
UBQLN4,UBQLN4,0.999946
PCGF1,PCGF1,0.9999432
FZD8,FZD8,0.99994266
ARHGAP35,ARHGAP35,0.9999422
PHIP,PHIP,0.99994016
PRR12,PRR12,0.9999398
HOXD10,HOXD10,0.99993914
ZBTB12,ZBTB12,0.9999387
ONECUT2,ONECUT2,0.9999368
GABRA3,GABRA3,0.99993527
NFYA,NFYA,0.9999321
RING1,RING1,0.99992865
RLF,RLF,0.99992836
PITX3,PITX3,0.9999263
UBASH3B,UBASH3B,0.9999245
LINGO2,LINGO2,0.99992377
MAP3K2,MAP3K2,0.9999231
LHX5,LHX5,0.9999223
NEUROD1,NEUROD1,0.9999212
KLHL1,KLHL1,0.999921
HS3ST5,HS3ST5,0.99992055
RWDD2A,RWDD2A,0.9999179
GPR88,GPR88,0.9999142
ZBTB5,ZBTB5,0.99991167
NEUROD2,NEUROD2,0.9999113
PURB,PURB,0.9999104
PI15,PI15,0.9999101
WNT3A,WNT3A,0.99991006
GJA1,GJA1,0.99990904
MED18,MED18,0.9999078
GPR183,GPR183,0.99990743
SRPRA,SRPRA,0.9999073
RNF187,RNF187,0.9999065
WNT7A,WNT7A,0.999905
ZNF711,ZNF711,0.9999012
HOXC9,HOXC9,0.9998988
BARHL1,BARHL1,0.9998984
KCTD12,KCTD12,0.9998977
SLITRK4,SLITRK4,0.9998967
POU3F4,POU3F4,0.99989665
SLC6A17,SLC6A17,0.99989635
MB21D2,MB21D2,0.9998958
SHB,SHB,0.9998932
FEZF2,FEZF2,0.9998914
TRHR,TRHR,0.9998913
TOX,TOX,0.99989074
PLAGL2,PLAGL2,0.9998905
USP47,USP47,0.9998905
WNT1,WNT1,0.9998864
AHDC1,AHDC1,0.9998852
E2F3,E2F3,0.9998849
LRFN2,LRFN2,0.9998846
FUNDC1,FUNDC1,0.9998843
TBX20,TBX20,0.99988246
ORAI1,ORAI1,0.99988186
VAMP4,VAMP4,0.99987626
ZSWIM5,ZSWIM5,0.99987286
PBX2,PBX2,0.9998725
PDE3A,PDE3A,0.9998725
BRINP2,BRINP2,0.9998724
MCM6,MCM6,0.9998718
CLIC4,CLIC4,0.99987006
TNMD,TNMD,0.9998696
LMBRD2,LMBRD2,0.9998661
RANBP9,RANBP9,0.999865
ZBTB33,ZBTB33,0.9998624
ATG2B,ATG2B,0.999862
ELOVL2,ELOVL2,0.99986136
B4GAT1,B4GAT1,0.9998609
NPTX1,NPTX1,0.9998602
NALF1,NALF1,0.9998593
RLIM,RLIM,0.99985915
POU3F1,POU3F1,0.9998571
KIF4A,KIF4A,0.99985313
TENM1,TENM1,0.999852
PRRX1,PRRX1,0.99985176
EXOC8,EXOC8,0.9998515
MSTN,MSTN,0.99985117
MSMP,MSMP,0.9998504
SLC35F3,SLC35F3,0.99984777
BEND3,BEND3,0.99984574
SLC25A53,SLC25A53,0.9998444
CDC20,CDC20,0.9998425
MEOX2,MEOX2,0.99984246
TCF21,TCF21,0.99984205
FRZB,FRZB,0.9998417
POU3F2,POU3F2,0.99984
AP3M1,AP3M1,0.99983984
EGR1,EGR1,0.9998387
RCBTB1,RCBTB1,0.9998379
SLITRK5,SLITRK5,0.99983674
CDH12,CDH12,0.9998366
XKR4,XKR4,0.99983627
HOXB5,HOXB5,0.9998348
ZC3H12B,ZC3H12B,0.99983436
GPR180,GPR180,0.99983424
ANAPC2,ANAPC2,0.9998341
DOLK,DOLK,0.9998321
SERTAD1,SERTAD1,0.9998309
FBXO41,FBXO41,0.9998306
CEBPB,CEBPB,0.99982995
SCRT1,SCRT1,0.99982953
TXLNA,TXLNA,0.99982285
INHBA,INHBA,0.99982196
CEBPG,CEBPG,0.99982136
CARMIL3,CARMIL3,0.9998212
MAPRE1,MAPRE1,0.99982053
FOXC1,FOXC1,0.99982005
ZNF503,ZNF503,0.9998149
INHBB,INHBB,0.99981385
ONECUT3,ONECUT3,0.99981326
SIM1,SIM1,0.9998124
SUV39H1,SUV39H1,0.9998117
TBC1D22B,TBC1D22B,0.9998086
MPLKIP,MPLKIP,0.9998084
YES1,YES1,0.9998079
HCN2,HCN2,0.9998077
RHOU,RHOU,0.9998031
TOMM70,TOMM70,0.9998021
GRPEL1,GRPEL1,0.9998016
SLC9A7,SLC9A7,0.99980086
EFNB3,EFNB3,0.99979764
ZNF654,ZNF654,0.9997957
H1-4,H1-4,0.9997932
GPR75,GPR75,0.9997928
RAX2,RAX2,0.99979264
FOXJ1,FOXJ1,0.99979144
LRRN1,LRRN1,0.9997905
MCMBP,MCMBP,0.99978846
MEX3A,MEX3A,0.99978745
SRF,SRF,0.99978447
LIX1L,LIX1L,0.99978167
GPR4,GPR4,0.9997806
HOXB9,HOXB9,0.9997789
CAB39,CAB39,0.9997784
IFT70A,TTC30A,0.99977803
CRYBB2,CRYBB2,0.9997777
HOXC8,HOXC8,0.99977744
SRGAP3,SRGAP3,0.99977696
TLN1,TLN1,0.99977624
ZBTB2,ZBTB2,0.9997755
SHISA2,SHISA2,0.9997742
NAP1L5,NAP1L5,0.9997736
RHOG,RHOG,0.99977255
GRM1,GRM1,0.99977195
FOXO1,FOXO1,0.99977124
ASTN1,ASTN1,0.9997691
ADGRB1,ADGRB1,0.99976814
WASL,WASL,0.9997643
SPON1,SPON1,0.99976397
KLHL15,KLHL15,0.99976265
CDC40,CDC40,0.99976254
NXPH2,NXPH2,0.9997624
SLC32A1,SLC32A1,0.99976116
RIMS4,RIMS4,0.9997602
FOXF2,FOXF2,0.99976003
ZDHHC21,ZDHHC21,0.999757
PLEKHM2,PLEKHM2,0.9997562
DRD1,DRD1,0.9997548
GMCL1,GMCL1,0.9997548
JAKMIP2,JAKMIP2,0.99975437
CCDC85B,CCDC85B,0.9997538
SLC17A6,SLC17A6,0.9997531
MC4R,MC4R,0.9997503
PNMA1,PNMA1,0.99975014
UBQLN2,UBQLN2,0.9997498
GSX1,GSX1,0.9997489
EEF1G,EEF1G,0.9997488
FAM110B,FAM110B,0.9997486
