gorilla gene name,rhesus_macaque gene name
GTF2H4,GTF2H4
SNORA50A,SNORA50A
ggo-mir-224,mml-mir-224
SNORD61,SNORD61
ggo-mir-194,mml-mir-194-1
ggo-mir-190a,mml-mir-190a
SNORD126,SNORD126
SNORD116,SNORD116
U7,U7
H4C11,H4C3
KCNS2,KCNS2
HOXC4,HOXC4
MIR1307,MIR1307
MCRS1,MCRS1
ggo-mir-106a,mml-mir-106a
UBE2H,UBE2H
GJB1,GJB1
SNORD92,SNORD92
SNORD14,SNORD14
SMCO4,SMCO4
MIR30C1,mml-mir-30c-1
CRK,CRK
MIR219A2,mml-mir-219-2
MIR133B,mml-mir-133b
TNFAIP1,TNFAIP1
STXBP6,STXBP6
MIR3661,MIR3661
RIC8B,RIC8B
MIR891B,mml-mir-891a
MIR455,mml-mir-455
SNORD53,SNORD53
ggo-mir-19a,mml-mir-19a
ggo-mir-153,mml-mir-153-2
RRAGA,RRAGA
MIR361,mml-mir-361
C16orf87,C20H16orf87
ggo-mir-214,mml-mir-214
DPYSL5,DPYSL5
RAB25,RAB25
MAP3K3,MAP3K3
ggo-mir-21,mml-mir-21
MIR1282,MIR1282
MIR6812,MIR6812
SMIM15,SMIM15
MIR516B-1,mml-mir-516b
RPL9,RPL9
TOB1,TOB1
MIR206,mml-mir-206
CLDN12,CLDN12
SF3B3,SF3B3
PSMC2,PSMC2
MIR152,MIR152
HPRT1,HPRT1
HAS2,HAS2
SNORA16A,SNORA16A
DIRAS2,DIRAS2
MIR599,mml-mir-599
ASF1A,ASF1A
KCND3,KCND3
ggo-mir-199a,mml-mir-199a-1
MIR4736,MIR4736
RIMKLB,RIMKLB
MIR218-2,mml-mir-218-2
CSNK1G3,CSNK1G3
PPIH,PPIH
MIR124-3,MIR124-3
NUDCD2,NUDCD2
PSMD14,PSMD14
ggo-mir-17,mml-mir-17
H2AX,H2AX
MIR323B,MIR323B
NOVA1,NOVA1
MIR3618,MIR3618
ggo-mir-9,mml-mir-9-2
LMO1,LMO1
SNORD2,SNORD2
MIR9-3,mml-mir-9-3
PPIB,PPIB
UBL3,UBL3
NEUROD1,NEUROD1
SNORD66,SNORD66
SNORD113-5,SNORD113-5
H3C2,H3C3
CHMP4B,CHMP4B
CWC15,CWC15
ggo-mir-27a,mml-mir-27a
B3GALT1,B3GALT1
ZCCHC24,ZCCHC24
KCNJ2,KCNJ2
CAMK2N2,CAMK2N2
SNORA36C,SNORA36C
FUT9,FUT9
CA7,CA7
CAND1,CAND1
PFDN6,PFDN6
CCT5,CCT5
H2AZ1,H2AZ1
LRRC8A,LRRC8A
NEUROD6,NEUROD6
H2BC12,H2BC12
MIR671,mml-mir-671
MIR135A1,mml-mir-135a-1
MAGEH1,MAGEH1
MINDY3,MINDY3
SNORD125,SNORD125
WDR82,WDR82
TMEM33,TMEM33
XPO1,XPO1
MIR153-1,mml-mir-153-1
CSNK1D,CSNK1D
RPL27,RPL27
MT4,MT4
NLK,NLK
NDP,NDP
MIR5004,MIR5004
U6,U6
CHMP2A,CHMP2A
ggo-mir-26a,mml-mir-26a-1
SNORD100,SNORD100
BBLN,BBLN
TAF13,TAF13
SNORD21,SNORD21
ZNF146,ZNF146
ggo-mir-497,mml-mir-497
MIR105-2,mml-mir-105-2
ERG28,ERG28
SNORD115,SNORD115
FBXO32,FBXO32
ggo-mir-204,mml-mir-204
TMEM35A,TMEM35A
RNPS1,RNPS1
MIR654,mml-mir-654
SNORD11,SNORD11
CRYAB,CRYAB
MIR124-1,mml-mir-124a-2
EMC4,EMC4
RNU6ATAC,RNU6ATAC
MIR1204,MIR1204
ZNF664,ZNF664
RNF24,RNF24
ggo-mir-125b-2,mml-mir-125b-2
ggo-mir-130a,mml-mir-130a
CKS1B,CKS1B
ggo-mir-221,mml-mir-221
MED30,MED30
