rhesus_macaques gene name,commonmarmosets gene name,correlation
HOXC9,HOXC9,1.0000026
MARCHF5,MARCHF5,1.0000025
ZBTB14,ZBTB14,1.0000024
MCTS1,MCTS1,1.0000019
PPIL1,PPIL1,1.0000018
UBE2R2,UBE2R2,1.0000018
ARL5B,ARL5B,1.0000017
DEXI,DEXI,1.0000017
LSM2,LSM2,1.0000017
TWIST2,TWIST2,1.0000017
FAM32A,FAM32A,1.0000014
MTPN,MTPN,1.0000014
PDIK1L,PDIK1L,1.0000013
DUSP6,DUSP6,1.0000012
PPP2CB,PPP2CB,1.0000012
RPS12,RPS12,1.0000012
CKS1B,CKS1B,1.0000011
PGAM4,PGAM1,1.0000011
ATF3,ATF3,1.000001
CAMK2N2,CAMK2N2,1.000001
CNFN,CNFN,1.000001
CNIH2,CNIH2,1.000001
FAM78B,FAM78B,1.0000008
FCER1G,FCER1G,1.0000008
SMCO4,SMCO4,1.0000008
TIMM10,TIMM10,1.0000008
TOMM20,TOMM20,1.0000008
ZCRB1,ZCRB1,1.0000008
CWC15,CWC15,1.0000007
DDA1,DDA1,1.0000007
ERG28,ERG28,1.0000007
SEC22B,SEC22B,1.0000007
YPEL5,YPEL5,1.0000007
CAND1,CAND1,1.0000006
MAB21L1,MAB21L1,1.0000006
RBM18,RBM18,1.0000006
ARF5,ARF5,1.0000005
GTF2H5,GTF2H5,1.0000005
HES1,HES1,1.0000005
RPS16,RPS16,1.0000005
H2AC6,H2AC6,1.0000004
POLR3K,POLR3K,1.0000004
RHOG,RHOG,1.0000004
RPS26,RPS26,1.0000004
ACTG1,ACTG1,1.0000002
CDK17,CDK17,1.0000002
CTXN1,CTXN1,1.0000002
H2BC11,H2BC11,1.0000002
PIP4P1,PIP4P1,1.0000002
RPL27,RPL27,1.0000002
SMIM15,SMIM15,1.0000002
TPPP3,TPPP3,1.0000002
MAB21L2,MAB21L2,1.0000001
MAFG,MAFG,1.0000001
RND3,RND3,1.0000001
SAP18,SAP18,1.0000001
SPSB1,SPSB1,1.0000001
FHL3,FHL3,1.0
PSENEN,PSENEN,1.0
UNC119B,UNC119B,1.0
DNAJA1,DNAJA1,0.99999994
H2BC5,H2BC5,0.99999994
ARL5A,ARL5A,0.9999999
PHYHIPL,PHYHIPL,0.9999999
RBX1,RBX1,0.9999999
GPR173,GPR173,0.9999998
NRGN,NRGN,0.9999998
ZNF664,ZNF664,0.9999998
PRPF8,PRPF8,0.99999976
ZNHIT1,ZNHIT1,0.99999976
HPCAL4,HPCAL4,0.9999997
RPS28,RPS28,0.9999997
SLC32A1,SLC32A1,0.9999997
OST4,OST4,0.99999964
SEC61A1,SEC61A1,0.99999964
SRSF2,SRSF2,0.99999964
CKS2,CKS2,0.9999996
DYNLT1,DYNLT1,0.9999996
SNN,SNN,0.9999996
TMEM250,TMEM250,0.9999996
EMC6,EMC6,0.9999995
LMX1A,LMX1A,0.9999995
POLR2J,POLR2J,0.9999995
RAB10,RAB10,0.9999995
