A	B	source
TARDBP	TARDBP	only_in_union
BMI1	BMI1	only_in_union
ATG3	ATG3	only_in_union
G2E3	G2E3	only_in_union
C3orf84	C3orf84	only_in_union
CYP2C76	CYP2C8	only_in_union
TSTD3	TSTD3	only_in_union
RPL36	RPL36	only_in_union
RPL35	RPL35	only_in_union
PABPN1	BCL2L2-PABPN1	only_in_union
KIR3DL3	KIR2DS3	only_in_union
TMSB4X	TMSB4X	only_in_union
BMT2	BMT2	only_in_union
ADAL	ADAL	only_in_union
OR52E2	OR52E8	only_in_union
ALDH1A1	ALDH1A1	only_in_union
ANKRD26	ANKRD26	only_in_union
H2AC11	H2AC11	only_in_union
PSMA6	PSMA6	only_in_union
FOLR1	FOLR1	only_in_union
UBE2C	UBE2C	only_in_union
ANKS1B	ANKS1B	only_in_union
TCEAL4	TCEAL3	only_in_union
MISFA	SPTY2D1OS	only_in_union
CHRFAM7A	CHRFAM7A	only_in_union
RPS20	RPS20	only_in_union
C2orf73	C2orf73	only_in_union
SCFD2	SCFD2	only_in_union
HNRNPDL	HNRNPDL	only_in_union
RPS12	RPS12	only_in_union
SINHCAF	SINHCAF	only_in_union
LUC7L3	LUC7L3	only_in_union
CYP2J90P	CYP2J2	only_in_union
ISCA1	ISCA1	only_in_union
LILRB4	LILRA5	only_in_union
HIGD1A	HIGD1A	only_in_union
CKS2	CKS2	only_in_union
CYP2C9	CYP2C9	only_in_union
RPS27A	RPS27A	only_in_union
RPS4X	RPS4X	only_in_union
CYP2D93	CYP2D7	only_in_union
OSBPL9	OSBPL9	only_in_union
PTGES3	PTGES3	only_in_union
TUBA1B	TUBA3D	only_in_union
SAA4	SAA2	only_in_union
POLD3	POLD3	only_in_union
GNAO1	GNAO1	only_in_union
BRD3OS	BRD3OS	only_in_union
CYP2J89	CYP2J2	only_in_single
