mice gene name,pig gene name,correlation,identical_scores,orthology confidence,combo_score
Dynll1,DYNLL1,1.0000021,100.0,1.0,2.0
Mab21l2,MAB21L2,1.0000018,100.0,1.0,1.9999994508386656
Rps17,RPS17,1.0000017,100.0,1.0,1.9999992677848877
Hoxc8,HOXC8,1.0000012,100.0,1.0,1.9999983525159966
Cabp7,CABP7,1.000001,100.0,1.0,1.99999798640844
Rpl36,RPL36,1.0000008,100.0,1.0,1.999997620300884
Rhob,RHOB,1.0000005,100.0,1.0,1.9999970711395494
C1ql3,C1QL3,0.99999994,100.0,1.0,1.9999960460383912
Otp,OTP,0.99999976,100.0,1.0,1.9999957165415907
H2bc18,H2BC18,0.9999997,100.0,1.0,1.9999956067093239
Arf6,ARF6,0.9999997,100.0,1.0,1.9999956067093239
Etf1,ETF1,0.99999964,100.0,1.0,1.999995496877057
Ost4,OST4,0.99999964,100.0,1.0,1.999995496877057
Eif2s1,EIF2S1,0.9999995,100.0,1.0,1.9999952406017674
Phf5a,PHF5A,0.9999995,100.0,1.0,1.9999952406017674
Nxph1,NXPH1,0.9999995,100.0,1.0,1.9999952406017674
Myl12b,MYL12B,0.99999946,100.0,1.0,1.999995167380256
Romo1,ROMO1,0.9999994,100.0,1.0,1.9999950575479892
Psmc1,PSMC1,0.9999992,100.0,1.0,1.999994691440433
H2ac20,H2AC20,0.99999917,100.0,1.0,1.9999946365242995
Serp1,SERP1,0.99999905,100.0,1.0,1.9999944168597659
Hoxc5,HOXC5,0.99999905,100.0,1.0,1.9999944168597659
Rap2b,RAP2B,0.99999875,100.0,1.0,1.9999938676984312
Cacng7,CACNG7,0.9999976,100.0,1.0,1.999991762579982
Kpna3,KPNA3,0.9995418,100.0,1.0,1.9991574034590394
Rpl22,RPL22,0.9991376,100.0,1.0,1.998417500087637
Ebf2,EBF2,0.9999681,99.8261,1.0,1.998191537551127
Pou4f1,POU4F1,0.9998893,99.7625,1.0,1.997408649098884
Prpf8,PRPF8,0.99885726,99.9143,1.0,1.9970437669713175
Atad1,ATAD1,0.9983186,100.0,1.0,1.9969182896443458
Ppp2ca,PPP2CA,0.999852,99.6764,1.0,1.9964757932682282
Ogt,OGT,0.9995258,99.7132,1.0,1.9962482005916267
Lrrc3b,LRRC3B,0.9999176,99.6139,1.0,1.995968280167943
Eif1b,EIF1B,0.9977507,100.0,1.0,1.9958787272380634
Efna5,EFNA5,0.9998442,99.5614,1.0,1.9953067377365916
Gtf2b,GTF2B,0.9991682,99.6835,1.0,1.9952953664816642
Kcnd2,KCND2,0.9999081,99.5238,1.0,1.9950461471193797
Sf3b4,SF3B4,0.99984384,99.5283,1.0,1.9949737037007935
Klhl14,KLHL14,0.99981976,99.5238,1.0,1.9948844374117358
Enc1,ENC1,0.9998038,99.4907,1.0,1.9945228469865417
Hand2,HAND2,0.9994883,99.5392,1.0,1.9944323271063107
Ncald,NCALD,0.99690974,100.0,1.0,1.9943393181850841
Rap2c,RAP2C,0.99975663,99.4536,1.0,1.994063959308936
Gpr173,GPR173,0.9996652,99.4638,1.0,1.9939990169685615
Foxb1,FOXB1,0.99988806,99.3846,1.0,1.9936116804874344
Pip4k2b,PIP4K2B,0.99913675,99.5192,1.0,1.9935879707079136
Rtcb,RTCB,0.9997298,99.4059,1.0,1.993535864423972
Prkcb,PRKCB,0.99969625,99.4056,1.0,1.993471437418775
Peli1,PELI1,0.997731,99.7608,1.0,1.99344072878293
Rps28,RPS28,0.99623924,100.0,1.0,1.9931119426023898
Mafg,MAFG,0.99962264,99.3827,1.0,1.993106740219475
Rap2a,RAP2A,0.99921733,99.4536,1.0,1.9930767502832132
Kpnb1,KPNB1,0.9999189,99.3151,1.0,1.9929702470994315
Pou3f1,POU3F1,0.99974555,99.33385,1.0,1.9928412022885884
Isl1,ISL1,0.99608195,100.0,1.0,1.992824017314691
Fam78b,FAM78B,0.9960757,100.0,1.0,1.992812576453555
Mfap1a,MFAP1,0.9996926,99.3166,1.0,1.9925710587125014
Six1,SIX1,0.9997778,99.2958,1.0,1.9925181564566556
Sec61a1,SEC61A1,0.99574345,100.0,1.0,1.992204380275553
Ilf2,ILF2,0.9984413,99.4872,1.0,1.9919935938616327
Fem1c,FEM1C,0.9990905,99.3517,1.0,1.9918213500403996
Hoxb5,HOXB5,0.9996072,99.2565,1.0,1.9918112341081102
Rps3a1,RPS3A,0.9996421,99.2424,1.0,1.991733534133644
Emc3,EMC3,0.9996362,99.2337,1.0,1.9916353725448062
Kctd21,KCTD21,0.9996122,99.2308,1.0,1.9915623191660683
Ebf1,EBF1,0.9986226,99.40835,1.0,1.9915336947700153
Crabp1,CRABP1,0.9993368,99.2701,1.0,1.9914528216639331
Lingo1,LINGO1,0.9997201,99.1936,1.0,1.99138628882808
Prpf4,PRPF4,0.9982931,99.4242,1.0,1.9910896910125695
Hpca,HPCA,0.99510455,100.0,1.0,1.9910348496867631
Kcnc1,KCNC1,0.99595356,99.8291,1.0,1.990872895030775
Grin1,GRIN1,0.9995372,99.1658,1.0,1.9907723285985122
Hnrnph2,HNRNPH2,0.99977267,99.1091,1.0,1.9906340098951707
Nog,NOG,0.9995573,99.1379,1.0,1.9905289633844427
Rnf11,RNF11,0.99838555,99.3506,1.0,1.9905198667348558
H2ac21,H2AC21,0.99882406,99.2308,1.0,1.9901195991187235
Olig3,OLIG3,0.9996215,99.0829,1.0,1.9900941990967156
Cacnb3,CACNB3,0.9989995,99.1736,1.0,1.9898663724613108
Sf3a3,SF3A3,0.99883246,99.2016,1.0,1.989841762607929
Rims4,RIMS4,0.9995096,99.0727,1.0,1.9897869381899171
Nckap1,NCKAP1,0.9992084,99.1165,1.0,1.9896753997522827
Fem1b,FEM1B,0.9994242,99.0431,1.0,1.989333380618366
Lhx5,LHX5,0.99960387,99.005,1.0,1.9892796905891221
Kcna2,KCNA2,0.9996418,98.998,1.0,1.989278832092764
Plagl2,PLAGL2,0.9996318,98.9919,1.0,1.9891992733083779
Cbln1,CBLN1,0.999742,98.9637,1.0,1.9891178270858303
Pou3f2,POU3F2,0.99955875,98.9865,1.0,1.989011328196292
Map1lc3a,MAP1LC3A,0.9984042,99.1736,1.0,1.9887766533198072
Six2,SIX2,0.99941564,98.9865,1.0,1.988749359934339
Ppp3ca,PPP3CA,0.9980179,99.2341,1.0,1.9886770298693497
Copb1,COPB1,0.99953276,98.9507,1.0,1.9886042653135827
Kctd6,KCTD6,0.9982513,99.1561,1.0,1.9883210371069147
Rps7,RPS7,0.99355054,100.0,1.0,1.9881901756684737
Brinp1,BRINP1,0.999606,98.88235,1.0,1.9880519945008979
Gria2,GRIA2,0.99948263,98.8675,1.0,1.9876770441551614
Clp1,CLP1,0.9983621,99.0588,1.0,1.9875468186506673
Celf1,CELF1,0.9979902,99.12375,1.0,1.987518239806436
Pcyt1b,PCYT1B,0.9961414,99.458,1.0,1.9874903269891173
Rbm8a,RBM8A,0.99316794,100.0,1.0,1.9874898119131583
Pik3ca,PIK3CA,0.99871486,98.97,1.0,1.9873008702236161
Kcnk12,KCNK12,0.9994178,98.8372,1.0,1.9872541116663396
Leprotl1,LEPROTL1,0.99718887,99.2366,1.0,1.9871845629872578
Slc32a1,SLC32A1,0.99973804,98.76315,1.0,1.9870967468960141
Pou3f3,POU3F3,0.99952996,98.7992,1.0,1.9870778461856533
Acvr2a,ACVR2A,0.999319,98.8304,1.0,1.9870049720474876
Arl5a,ARL5A,0.9989771,98.8827,1.0,1.986904283829647
Kcnj3,KCNJ3,0.997173,99.2016,1.0,1.9868040583805486
Rps25,RPS25,0.9927522,100.0,1.0,1.9867287841357544
Mb21d2,MB21D2,0.99941826,98.778,1.0,1.9866604944237474
Prdm12,PRDM12,0.9994515,98.7656,1.0,1.9865968263780662
Gnb2,GNB2,0.99267995,100.0,1.0,1.9865965277810194
Psmc2,PSMC2,0.9938254,99.7691,1.0,1.986374725221447
Sf3b5,SF3B5,0.9988772,98.8372,1.0,1.9862645229415001
Kcnj10,KCNJ10,0.9994931,98.6807,1.0,1.9858204498288665
Nr2f2,NR2F2,0.9935751,99.7585,1.0,1.9858101012688238
Rps14,RPS14,0.99221724,100.0,1.0,1.9857495196440045
Armc1,ARMC1,0.9980305,98.9362,1.0,1.9857087192656266
Appbp2,APPBP2,0.9977908,98.9744,1.0,1.9856535262660349
Pde6g,PDE6G,0.9984597,98.8506,1.0,1.9856348300812088
Pank3,PANK3,0.999477,98.6487,1.0,1.9854696488246488
Cdc40,CDC40,0.9986833,98.791,1.0,1.9854456624224226
Atp2a2,ATP2A2,0.9988075,98.75370000000001,1.0,1.9852984656960713
Eif4a3,EIF4A3,0.99456644,99.5134,1.0,1.985163604634442
Gng11,GNG11,0.9993892,98.6301,1.0,1.9851221549250848
Sf3b6,SF3B6,0.9918562,100.0,1.0,1.9850886222832647
Kctd12,KCTD12,0.99935746,98.62195,1.0,1.984982215088099
Kcnd3,KCND3,0.9993276,98.626,1.0,1.984968223475279
Lhfpl5,LHFPL5,0.99920297,98.6301,1.0,1.984781253873981
Kcns2,KCNS2,0.99969435,98.5325,1.0,1.9847006890241115
Dcx,DCX,0.9967782,99.0426,1.0,1.9844847568767021
Kcnj6,KCNJ6,0.995365,99.293,1.0,1.9844122430153757
Eif1ax,EIF1AX,0.99529433,99.3056,1.0,1.984409402340296
Nlgn3,NLGN3,0.9975653,98.87805,1.0,1.9842732374187264
Kcnj9,KCNJ9,0.99838334,98.7277,1.0,1.9842609446969757
Gbx2,GBX2,0.9991448,98.5632,1.0,1.9840029923273776
Kcnj2,KCNJ2,0.99954295,98.47965,1.0,1.9838928501060589
Hoxc13,HOXC13,0.9993882,98.4885,1.0,1.9836984420315598
Cacng2,CACNG2,0.9995014,98.452,1.0,1.9835391426232571
Rps23,RPS23,0.9910029,100.0,1.0,1.983526624394058
Kdelr1,KDELR1,0.9909262,100.0,1.0,1.9833862221461938
Ctnnbip1,CTNNBIP1,0.99769783,98.7654,1.0,1.983384658877851
Pgm5,PGM5,0.99768835,98.7654,1.0,1.9833673053796799
Gdf11,GDF11,0.99970376,98.39325,1.0,1.9833196296527367
Flnc,FLNC,0.999533,98.42095,1.0,1.9832851977361885
Anapc10,ANAPC10,0.99382424,99.4595,1.0,1.9832637403757405
Lrrc8a,LRRC8A,0.9989838,98.5185,1.0,1.9832594188144115
Grik2,GRIK2,0.9956867,99.1189,1.0,1.9832528945470753
Cnot4,CNOT4,0.999324,98.4507,1.0,1.9832013512160875
Meis2,MEIS2,0.9977206,98.7421,1.0,1.9831923722931366
Gnai1,GNAI1,0.99071604,100.0,1.0,1.9830015163259715
Cnot7,CNOT7,0.9925885,99.6491,1.0,1.9829055479919027
Ppp2r5b,PPP2R5B,0.999491,98.3903,1.0,1.9829005418852035
Prpf38a,PRPF38A,0.9976891,98.7179,1.0,1.9828917050351502
Gjd2,GJD2,0.99916214,98.4424,1.0,1.9828217155716255
Lbx1,LBX1,0.9992786,98.40174999999999,1.0,1.982626711316941
Sf3b3,SF3B3,0.9967724,98.84800000000001,1.0,1.9825200556726272
Gjb1,GJB1,0.9991414,98.41300000000001,1.0,1.982488528881457
Igf2bp1,IGF2BP1,0.99613583,98.9601,1.0,1.9824804471018322
Rac3,RAC3,0.99042624,100.0,1.0,1.9824710264768068
H2aj,H2AJ,0.9989063,98.4496,1.0,1.9824256898883652
Sfrp2,SFRP2,0.9987789,98.47229999999999,1.0,1.9824204223797337
Fgf16,FGF16,0.9982134,98.5507,1.0,1.9821725101616585
Grid1,GRID1,0.9994847,98.3152,1.0,1.9821348896884472
Pcbp2,PCBP2,0.994622,99.1489,1.0,1.9816051672326065
Fzr1,FZR1,0.99604493,98.88865,1.0,1.9815965830372564
Eef2,EEF2,0.99845153,98.43195,1.0,1.9814159830039726
Hoxb6,HOXB6,0.99957544,98.2143,1.0,1.9812878010928796
Nfya,NFYA,0.99527407,98.99135,1.0,1.981216761052377
Abhd2,ABHD2,0.9987243,98.3529,1.0,1.9811215148948438
Pum1,PUM1,0.99471164,99.0749,1.0,1.981026182526902
Cnnm2,CNNM2,0.99964863,98.1714,1.0,1.980990995998741
Map3k7,MAP3K7,0.99412996,99.1749,1.0,1.98096554951602
Prpf19,PRPF19,0.9955534,98.91284999999999,1.0,1.9809398241192298
Klhl2,KLHL2,0.99881935,98.3137,1.0,1.9809018790622384
Abi1,ABI1,0.9986918,98.3368,1.0,1.9809003535897642
Ints3,INTS3,0.9987772,98.31815,1.0,1.9808694067569041
Neurod6,NEUROD6,0.9993164,98.2196,1.0,1.9808668387588027
Neurod1,NEUROD1,0.9993571,98.17689999999999,1.0,1.9805125678005453
Grcc10,C12orf57,0.9980284,98.4127,1.0,1.9804481278676995
Hmbox1,HMBOX1,0.99714845,98.5714,1.0,1.9804309388715828
Lmx1a,LMX1A,0.9993623,98.1675,1.0,1.980427696101644
Psmb3,PSMB3,0.99728674,98.5366,1.0,1.9803346382777278
Egr3,EGR3,0.99911773,98.1912,1.0,1.98021798602318
Slc25a5,SLC25A5,0.99653345,98.6577,1.0,1.9801717432155852
Nrarp,NRARP,0.99873805,98.2456,1.0,1.9800692273262697
Lmx1b,LMX1B,0.9979812,98.3812,1.0,1.9800454179094982
Copb2,COPB2,0.9984573,98.28825,1.0,1.9799835756129034
Jup,JUP,0.99873483,98.18675,1.0,1.9794723882443614
Ptpn11,PTPN11,0.9979327,98.32045,1.0,1.979346613146916
Otud5,OTUD5,0.9973628,98.4238,1.0,1.9793411830370056
Glra2,GLRA2,0.999633,98.0089,1.0,1.9793306341084071
Ormdl3,ORMDL3,0.99942476,98.0392,1.0,1.979253701645154
Btk,BTK,0.99779916,98.3308,1.0,1.9792060930918594
Ptprt,PTPRT,0.99761957,98.34845,1.0,1.9790545800289912
Fzd3,FZD3,0.9967374,98.4985,1.0,1.9789464679001774
Pou4f3,POU4F3,0.9917388,99.4083,1.0,1.9789321367105819
Olfm2,OLFM2,0.998818,98.1172,1.0,1.9789262448213774
Marchf3,MARCHF3,0.9928192,99.2095,1.0,1.9789135911684403
Meox2,MEOX2,0.9993338,98.0198,1.0,1.9788923900125515
Car8,CA8,0.9940679,98.9691,1.0,1.978785396985265
Kcna1,KCNA1,0.9994895,97.9798,1.0,1.9787757430627635
Prox1,PROX1,0.99954504,97.9647,1.0,1.9787257838460532
Gabrg2,GABRG2,0.998166,98.20875000000001,1.0,1.9786520373632697
Fam76a,FAM76A,0.9945929,98.85835,1.0,1.978634328537526
Epha7,EPHA7,0.9991628,97.996,1.0,1.978340379350828
Sar1b,SAR1B,0.9936998,98.9899,1.0,1.9783204401026406
