Gene name,Human gene name
ZNF692,ZNF692
ZNF672,ZNF672
SH3BP5L,SH3BP5L
LYPD8,LYPD8
OR2T27,OR2T27
Y_RNA,Y_RNA
OR2T10,OR2T10
OR14I1,OR14I1
OR9G1,OR9G1
OR2T1,OR2T1
OR2T6,OR2T6
OR2M4,OR2M4
OR2L13,OR2L13
Y_RNA,Y_RNA
OR2L2,OR2L2
Y_RNA,Y_RNA
OR2L5,OR2L5
Y_RNA,Y_RNA
OR2W3,OR2W3
TRIM58,TRIM58
OR11L1,OR11L1
OR9H1P,OR9H1P
OR1C1,OR1C1
OR14K1,OR14K1
OR14A2,OR14A2
OR6F1,OR6F1
OR13G1,OR13G1
GCSAML,GCSAML
OR2C3,OR2C3
OR2B11,OR2B11
NLRP3,NLRP3
ZNF496,ZNF496
Y_RNA,Y_RNA
ZNF124,ZNF124
ZNF670,ZNF670
AHCTF1,AHCTF1
SCCPDH,SCCPDH
U6,RNU6-152P
Metazoa_SRP,RN7SL299P
5S_rRNA,RNA5S11
5S_rRNA,RNA5S15
U6,RNU6-151P
Y_RNA,Y_RNA
Metazoa_SRP,RN7SL372P
U6,RNU6-753P
Y_RNA,Y_RNA
U6,RNU6-830P
Metazoa_SRP,RN7SL229P
Metazoa_SRP,RN7SL294P
U6,RNU6-1297P
U6,RNU6-106P
GJA8,GJA8
ID3,ID3
CNST,CNST
CCDC190,CCDC190
TFB2M,TFB2M
Y_RNA,Y_RNA
Y_RNA,Y_RNA
SMYD3,SMYD3
U6,RNU6-1283P
NPR1,NPR1
KIF26B,KIF26B
U1,RNU1-132P
SH2D5,SH2D5
EFCAB2,EFCAB2
U6,RNU6-999P
KIAA1143,KIAA1143
U6,RNU6-1089P
SERP1,SERP1
HNRNPU,HNRNPU
COX20,COX20
PSEN2,PSEN2
DESI2,DESI2
COL8A2,COL8A2
CATSPERE,CATSPERE
COQ8A,COQ8A
ADPRS,ADPRS
CIART,CIART
ADSS2,ADSS2
TEKT2,TEKT2
DTL,DTL
SPMIP3,SPMIP3
AGO3,AGO3
U6,RNU6-1200P
Metazoa_SRP,RN7SL148P
E2F2,E2F2
ILF2,ILF2
ZBTB18,ZBTB18
PPP2R5A,PPP2R5A
POU3F1,POU3F1
SNORA16B,SNORA16B
ASAP3,ASAP3
AGO1,AGO1
PACC1,PACC1
DDOST,KIF17
NENF,NENF
AKT3,AKT3
PPP2R3A,PPP2R3A
SNAPIN,SNAPIN
SLC6A9,SLC6A9
GPR160,GPR160
PINK1,PINK1
CHTOP,CHTOP
U4,RNU4-38P
TCEA3,TCEA3
S100A1,S100A1
CDA,CDA
