A	B	source
OR4F17	Olfr1291-ps1	only_in_union
CYP2A7	Cyp2a5	only_in_union
SPTY2D1OS	Gm9999	only_in_union
OR2T12	Olfr314	only_in_union
TMPRSS11B	Tmprss11c	only_in_union
H2BU1	H2bu1-ps	only_in_union
ZNF34	Zfp568	only_in_union
FAM177B	Fam177a	only_in_union
LCE1E	Lce1j	only_in_union
IGHV1-58	Ighv1-81	only_in_union
OR8U9	Olfr1044	only_in_union
VNN2	Vnn3	only_in_union
METTL7A	Mettl7a2	only_in_union
OR5H1	Olfr183	only_in_union
GSDMB	Gvin1	only_in_union
EEF1AKMT4-ECE2	Gm49333	only_in_union
IGHV1-46	Ighv1-53	only_in_union
TRAJ44	Traj44	only_in_union
DEFB126	Defb22	only_in_union
SMIM4	Smim4	only_in_union
RPS4X	Rps4x	only_in_union
ZNF134	E130114P18Rik	only_in_union
KIR3DP1	Lilra6	only_in_union
IGHV1OR15-9	Ighv1-59	only_in_union
HLA-DMB	H2-DMb1	only_in_union
NNAT	Nnat	only_in_union
SLC22A18AS	Gm10277	only_in_union
MAGEF1	Nscme3l	only_in_union
ZNF850	Zfp873	only_in_union
MNDA	Ifi204	only_in_union
CASZ1	Casz1	only_in_union
CCL4L2	Ccl4	only_in_union
IGKV1-5	Igkv15-103	only_in_union
OR11H4	Olfr749	only_in_union
TRAJ48	Traj48	only_in_union
ZNF124	Gm14393	only_in_union
CD163L1	Clec2h	only_in_union
IGSF5	Igsf5	only_in_union
CLEC2D	Clec2g	only_in_union
IFI16	Ifi203	only_in_union
UBE2D3	Ube2d3	only_in_union
DNAJC19	Dnajc19	only_in_union
OR2B3	Olfr1359	only_in_union
TRAJ20	Traj15	only_in_union
TRAV26-2	Trav21-dv12	only_in_union
SPANXC	4931400O07Rik	only_in_union
FAM209B	Gm904	only_in_union
OR5B17	Olfr1459	only_in_union
TRAJ38	Traj38	only_in_union
RBP5	Gm37389	only_in_union
NCR2	Treml4	only_in_union
ATP5MC1	Atp5g1	only_in_union
OR1L4	Olfr365	only_in_union
ZNF860	Zfp53	only_in_union
DEFB106A	Defb15	only_in_union
RPS15A	Rps15a	only_in_union
ANKRD20A3P	Poteg	only_in_union
IGHV1-69	Ighv1-54	only_in_union
TRAJ11	Traj11	only_in_union
TCHP	Tchp	only_in_union
ODF3	Odf3	only_in_union
KRTAP5-9	Gm4559	only_in_union
PF4V1	Pf4	only_in_union
CSTA	Cstdc5	only_in_union
TRBD1	Trbd1	only_in_union
SPCS3	Spcs3	only_in_union
PRAMEF19	E330014E10Rik	only_in_union
PRAMEF27	Pramel13	only_in_union
SCYGR2	Gm47791	only_in_union
POTEI	Gm21119	only_in_union
HTR1D	Htr1d	only_in_union
C10orf99	2610528A11Rik	only_in_union
OR10G8	Olfr980	only_in_union
KRTAP1-3	Krtap1-4	only_in_union
TTC24	Ttc24	only_in_union
IGHV3OR16-17	Ighv4-1	only_in_union
USP17L10	Usp17le	only_in_union
C4orf45	Tex49	only_in_union
