Gene name,Tropical clawed frog gene name
mt-Nd1,nd1
mt-Nd2,nd2
mt-Co1,COX1
mt-Co2,cox2
mt-Atp6,ATP6
mt-Co3,cox3
mt-Nd3,nd3
mt-Nd4,nd4
mt-Nd5,nd5
mt-Nd6,nd6
mt-Cytb,cytb
Cdh2,cdh2
Klf9,klf9
Cep120,cep120
Smc5,smc5
Csnk1g3,csnk1g3
Bmerb1,bmerb1
Ndufb4,ndufb4
Marf1,marf1
Zfp608,znf608
Gramd2b,gramd2b
Mamdc2,mamdc2
Fstl1,fstl1
Cfap95,cfap95
Lrrc58,lrrc58
Lratd1,lratd1
Ptar1,ptar1
Gpr156,gpr156
Gsk3b,gsk3b
Apba1,apba1
Trib2,trib2
Entrep1,fam189a2
Nde1,nde1
Nubpl,nubpl
Npc2,npc2
Isca2,isca2
Arhgap5,arhgap5
Akap6,akap6
Tiam1,tiam1
Fxn,fxn
Cntnap3,cntnap4
Pip5k1b,pip5k1b
Npas3,npas3
Fam169a,fam169a
Egln3,egln3
Tmem252,tmem252
Pgm5,pgm5
Aldh7a1,aldh7a1
Nsa2,nsa2
Tfap2a,tfap2a
Nrap,nrap
Sod1,sod1
Scaf4,scaf4
Ppp2r5c,ppp2r5c
Phax,phax
Gpr50,mtnr1c
Mis18a,mis18a
Lmnb1,lmnb1
Gpr141,gpr141
Vma21,vma21
Urb1,urb1
Marchf3,marchf3
Aoah,aoah
Arel1,arel1
Htr2c,htr2c
Myh11,myh11
C330018D20Rik,C5orf63
Gfm2,gfm2
Dsg2,dsg2
Rlim,rlim
Ttr,ttr
Zng1,cbwd2
B4galt6,b4galt6
Dync1h1,dync1h1
Megf10,megf10
Casp7,casp7
Prrg3,prrg3
Nexmif,nexmif
Dock8,dock8
Il13ra2,il13ra2
Trappc8,trappc8
Fcf1,fcf1
Cnga2,cnga2
Kank1,kank1
Abcb7,abcb7
Hsp90aa1,hsp90aa1.1
Dmrt1,dmrt1
Rnf125,rnf125
Uprt,uprt
Dmrt3,dmrt3
Dmrt2,dmrt2
Cep20,cep20
Gm25176,U4
Smug1,smug1
Nhlrc2,nhlrc2
Ccdc134,ccdc134
Zdhhc15,zdhhc15
Lpin1,lpin1
Adrb1,ADRB1
Mep1b,mep1b
Ccdc186,ccdc186
Gabra3,gabra3
Hexb,hexb
Garem1,mcm3
Fbn2,fbn2
Pacs1,pacs1
Cfap298,cfap298
Hivep1,hivep1
Cbx5,cbx5
Igsf11,igsf11
Edn1,edn1
C7,c7
Clxn,efcab1
Klhl14,klhl14
Sf3b2,sf3b2
Lrch2,lrch2
Slc27a6,slc27a6
Prkaa1,prkaa1
Isoc1,isoc1
Arhgef28,arhgef28
Synj1,synj1
Adamts19,adamts19
Srebf2,srebf2
Tdrd1,tdrd1
Pbdc1,pbdc1
Mtbp,mtbp
Minar2,minar2
Fgf16,fgf16
Ube2v2,ube2v2
Chsy3,chsy3
Mcm4,mcm4
Atrx,cox17
Ntsr2,ntsr2
Nol4,nol4
Ylpm1,ylpm1
Paxbp1,paxbp1
Mir33,xtr-mir-33a
Sntb1,sntb1
Prss16,prss16
Rbm22,rbm22
Ttc33,ttc33
Mok,mok
Dtna,dtna
Has2,has2
Epcip,c21orf62
Zfp839,znf839
Zbtb20,zbtb20
Eif1ad,eif1ad
Phactr1,phactr1
Vwa2,vwa2
Ptger4,ptger4
Magt1,magt1
Cinp,cinp
Nfe2,nfe2
Drap1,drap1
Dlst,dlst
Zhx2,zhx2
Mapre2,mapre2
Derl1,derl1
Apex2,apex2
Copz1,copz1
Prkdc,prkdc
AI837181,c11orf68
Mir148b,xtr-mir-148b
Fosl1,fosl1
Zfp385a,znf385a
Ccdc85b,ccdc85b
Afap1l2,afap1l2
Tbc1d31,tbc1d31
Pspc1,pspc1
Alas2,alas2
Greb1,greb1
Galnt1,galnt1
Dach1,dach1
Gfod1,gfod1
Itga5,itga5
Atp7a,atp7a
Sirt5,sirt5
Mir187,xtr-mir-187
2700062C07Rik,c18orf21
Mrpl47,mrpl47
Rprd1a,rprd1a
Gtsf1,gtsf1
Ppp2r3c,ppp2r3c
Fibp,fibp
Mzt2,mzt2b
Tpgs2,tpgs2
Rps6kl1,rps6kl1
Cebpd,cebpd
Wdhd1,wdhd1
Spidr,sox6
Mtrr,mtrr
Ndufb5,ndufb5
Ppargc1b,ppargc1b
Tecpr2,tecpr2
Nol7,nol7
Efemp2,efemp2
Celf4,celf4
Slc30a7,slc30a7
Pkp2,pkp2
Pfkfb1,pfkfb1
Fastkd3,fastkd3
Nckap1l,nckap1l
Yars2,yars2
Zdhhc23,zdhhc23
Socs4,socs4
Eif2b2,eif2b2
Zmym2,zmym2
Ptgfr,ptgfr
Usp13,usp13
Prorp,prorp
Lgals3,lgals3
Mus81,mus81
Fer1l6,fer1l6
Extl2,extl2
Tmem65,tmem65
Abt1,abt1
Upf3b,upf3b
Trmt12,trmt12
Tmem50b,tmem50b
Rnf139,rnf139
Dab2,dab2
Pik3c3,pik3c3
Gramd1c,gramd1c
Pibf1,pibf1
Mlh3,mlh3
Gipc2,gipc2
Ranbp9,ranbp9
Akap14,akap14
Dnajb4,dnajb4
Ndufa1,ndufa1
Zmiz1,zmiz1
Agrp,agrp
Ripor1,ripor1
Zc2hc1c,zc2hc1c
Mcur1,mcur1
Ap5b1,ap5b1
Nek9,nek9
Dnajc28,dnajc28
Rnf182,rnf182
Tmed10,tmed10
Ctcf,ctcf
Smarca2,smarca2
Fos,fos
