gorillas gene name,rhesus_macaques gene name,correlation
MARCHF5,MARCHF5,1.0000025
DYNLL1,DYNLL1,1.0000021
TIMM8A,TIMM8A,1.000002
MCTS1,MCTS1,1.0000019
MRFAP1L1,MRFAP1L1,1.0000019
PPIL1,PPIL1,1.0000018
SEC61B,SEC61B,1.0000018
H1-0,H1-0,1.0000017
H2AC12,H2AC12,1.0000015
SLC6A1,SLC6A1,1.0000015
ASF1A,ASF1A,1.0000014
FGF18,FGF18,1.0000014
GNAZ,GNAZ,1.0000014
HS3ST5,HS3ST5,1.0000014
SAR1A,SAR1A,1.0000014
ATXN7L3B,ATXN7L3B,1.0000013
EAF1,EAF1,1.0000013
MARCKSL1,MARCKSL1,1.0000013
PDIK1L,PDIK1L,1.0000013
SLC30A7,SLC30A7,1.0000013
CSTF1,CSTF1,1.0000012
GABARAP,GABARAP,1.0000012
LHFPL4,LHFPL4,1.0000012
CD63,CD63,1.0000011
EMP3,EMP3,1.0000011
GJB1,GJB1,1.0000011
HSPA5,HSPA5,1.0000011
KLF12,KLF12,1.0000011
PCNA,PCNA,1.0000011
PIK3CA,PIK3CA,1.0000011
WNT2,WNT2,1.0000011
CAMK2N2,CAMK2N2,1.000001
CNIH2,CNIH2,1.000001
GJD2,GJD2,1.000001
HPCA,HPCA,1.000001
NUDT11,NUDT11,1.000001
RPL35A,RPL35A,1.000001
VAMP4,VAMP4,1.000001
ZRANB1,ZRANB1,1.000001
CHMP7,CHMP7,1.0000008
DCUN1D3,DCUN1D3,1.0000008
DNAJA2,DNAJA2,1.0000008
FAM78B,FAM78B,1.0000008
FEM1C,FEM1C,1.0000008
MT4,MT4,1.0000008
MYF6,MYF6,1.0000008
SMCO4,SMCO4,1.0000008
TIMM10,TIMM10,1.0000008
TMEM167A,TMEM167A,1.0000008
UBTD1,UBTD1,1.0000008
C1orf21,C1H1orf21,1.0000007
ERG28,ERG28,1.0000007
MAB21L1,MAB21L1,1.0000007
PHOX2B,PHOX2B,1.0000007
ARPC5L,ARPC5L,1.0000006
CAND1,CAND1,1.0000006
CHMP4B,CHMP4B,1.0000006
CWC15,CWC15,1.0000006
GNB3,GNB3,1.0000006
GNG13,GNG13,1.0000006
HES1,HES1,1.0000006
LRRTM2,LRRTM2,1.0000006
LRRTM3,LRRTM3,1.0000006
OAZ2,OAZ2,1.0000006
ORMDL1,ORMDL1,1.0000006
SOCS3,SOCS3,1.0000006
ARF5,ARF5,1.0000005
FAM168B,FAM168B,1.0000005
GTF2H5,GTF2H5,1.0000005
IMP3,IMP3,1.0000005
MAGEH1,MAGEH1,1.0000005
PPIB,PPIB,1.0000005
RBM18,RBM18,1.0000005
RPL27,RPL27,1.0000005
TMEM258,TMEM258,1.0000005
TMEM35A,TMEM35A,1.0000005
YEATS4,YEATS4,1.0000005
B3GALT1,B3GALT1,1.0000004
H2AC6,H2AC6,1.0000004
POLR3K,POLR3K,1.0000004
RPS26,RPS26,1.0000004
CRK,CRK,1.0000002
ENC1,ENC1,1.0000002
GSKIP,GSKIP,1.0000002
H2BC11,H2BC11,1.0000002
H3C14,H3C13,1.0000002
MDK,MDK,1.0000002
MRPS17,MRPS17,1.0000002
RPL32,RPL32,1.0000002
S100A4,S100A4,1.0000002
SMIM15,SMIM15,1.0000002
SST,SST,1.0000002
STMP1,STMP1,1.0000002
USP27X,USP27X,1.0000002
ANKRA2,ANKRA2,1.0000001
CHST11,CHST11,1.0000001
CPEB4,CPEB4,1.0000001
GIPC1,GIPC1,1.0000001
H2AC21,H2AC21,1.0000001
H2BC17,H2BC17,1.0000001
KLF3,KLF3,1.0000001
MAB21L2,MAB21L2,1.0000001
MAFG,MAFG,1.0000001
PSMC2,PSMC2,1.0000001
RPLP2,RPLP2,1.0000001
S100A16,S100A16,1.0000001
SAP18,SAP18,1.0000001
TIMP3,TIMP3,1.0000001
CBX5,CBX5,1.0
GNAT1,GNAT1,1.0
RRAGA,RRAGA,1.0
CRYAB,CRYAB,0.99999994
DNAJA1,DNAJA1,0.99999994
H2BC5,H2BC5,0.99999994
LAMTOR3,LAMTOR3,0.99999994
SSTR1,SSTR1,0.99999994
PPP1R11,PPP1R11,0.9999999
RING1,RING1,0.9999999
RPL30,RPL30,0.9999999
S100A6,S100A6,0.9999999
STXBP6,STXBP6,0.9999999
TMEM50A,TMEM50A,0.9999999
EIF2S1,EIF2S1,0.9999998
IGFBP4,IGFBP4,0.9999998
LHFPL5,LHFPL5,0.9999998
NRGN,NRGN,0.9999998
PAIP2B,PAIP2B,0.9999998
RPS28,RPS28,0.9999998
SNRPC,SNRPC,0.9999998
SUPT4H1,SUPT4H1,0.9999998
ZNF664,ZNF664,0.9999998
GNG7,GNG7,0.99999976
KCNS2,KCNS2,0.99999976
PGAP4,PGAP4,0.99999976
PRPF38A,PRPF38A,0.99999976
PRPF8,PRPF8,0.99999976
SOX21,SOX21,0.99999976
ZNF367,ZNF367,0.99999976
CCDC126,CCDC126,0.9999997
DNAJC5,DNAJC5,0.9999997
HSPB1,HSPB1,0.9999997
KCTD4,KCTD4,0.9999997
PSMB2,PSMB2,0.9999997
RASL10B,RASL10B,0.9999997
SLC23A2,SLC23A2,0.9999997
GNAI3,GNAI3,0.99999964
OST4,OST4,0.99999964
SMIM19,SMIM19,0.99999964
TOB1,TOB1,0.99999964
TOMM22,TOMM22,0.99999964
AMIGO1,AMIGO1,0.9999996
CKS2,CKS2,0.9999996
NHLH2,NHLH2,0.9999996
SNN,SNN,0.9999996
STRIT1,STRIT1,0.9999996
EIF1B,EIF1B,0.9999995
EMC6,EMC6,0.9999995
GPR22,GPR22,0.9999995
LMX1A,LMX1A,0.9999995
RAB10,RAB10,0.9999995
SH3BGRL2,SH3BGRL2,0.9999995
ATG101,ATG101,0.99999946
DDIT4L,DDIT4L,0.99999946
H2AX,H2AX,0.99999946
HLF,HLF,0.99999946
MSL2,MSL2,0.99999946
NRARP,NRARP,0.99999946
PAIP2,PAIP2,0.99999946
PELO,PELO,0.99999946
PRCD,PRCD,0.99999946
TAF13,TAF13,0.99999946
TMED2,TMED2,0.99999946
ZBTB18,ZBTB18,0.99999946
MEOX2,MEOX2,0.9999994
SF3B4,SF3B4,0.9999994
H2BC26,H2BC26,0.99999934
PHLDA3,PHLDA3,0.99999934
RAP2C,RAP2C,0.99999934
RPS11,RPS11,0.99999934
DLX3,DLX3,0.9999993
GREM2,GREM2,0.9999993
H2BC12L,H2BC12,0.9999993
ANAPC13,ANAPC13,0.9999992
H3C1,H3C1,0.9999992
LRRC4C,LRRC4C,0.9999992
SNAI2,SNAI2,0.9999992
H2AC20,H2AC20,0.99999917
HS6ST1,HS6ST1,0.99999917
LMO1,LMO1,0.99999917
RAB39B,RAB39B,0.99999917
TRAPPC1,TRAPPC1,0.99999917
BOK,BOK,0.9999991
CAMK2N1,CAMK2N1,0.9999991
DNAJC19,DNAJC19,0.9999991
MAD2L1,MAD2L1,0.9999991
BRMS1L,BRMS1L,0.99999905
SIAH2,SIAH2,0.99999905
TMA7,TMA7,0.99999905
TMEM170B,TMEM170B,0.99999905
BLCAP,BLCAP,0.999999
RPS13,RPS13,0.999999
BNIP3,BNIP3,0.9999989
CACNG2,CACNG2,0.9999989
HSPB8,HSPB8,0.9999989
RPL26,RPL26,0.99999887
ZNF146,ZNF146,0.99999887
JOSD1,JOSD1,0.9999988
LSM6,LSM6,0.9999988
PDRG1,PDRG1,0.9999988
POLE3,POLE3,0.9999988
TSPAN18,TSPAN18,0.9999988
EIF3I,EIF3I,0.99999875
RAP2B,RAP2B,0.99999875
SPCS3,SPCS3,0.99999875
GID8,GID8,0.9999987
CLDN12,CLDN12,0.9999986
RGS17,RGS17,0.9999986
SLC17A7,SLC17A7,0.9999986
ARL14EP,ARL14EP,0.99999857
DIRAS2,DIRAS2,0.99999857
UBE2H,UBE2H,0.99999857
GPR139,GPR139,0.9999985
KCND3,KCND3,0.9999985
PCBP1,PCBP1,0.9999985
CDKN2C,CDKN2C,0.99999845
ERH,ERH,0.99999845
H2AC11,H2AC11,0.99999845
HOXC12,HOXC12,0.99999845
RPL9,RPL9,0.99999845
SH3BGRL,SH3BGRL,0.99999845
SMPX,SMPX,0.99999845
DPY30,DPY30,0.9999984
FGF9,FGF9,0.9999984
HAS2,HAS2,0.9999984
ARL4D,ARL4D,0.99999833
LSM8,LSM8,0.99999833
CPLX3,CPLX3,0.9999983
EGR3,EGR3,0.9999983
NTMT1,NTMT1,0.9999983
BRK1,BRK1,0.9999982
HOXC4,HOXC4,0.9999982
H2AC14,H2AC14,0.99999803
NEUROD1,NEUROD1,0.99999803
BBLN,BBLN,0.999998
DNAL4,DNAL4,0.999998
H3-3A,H3-3A,0.999998
NEUROD6,NEUROD6,0.9999979
RPS7,RPS7,0.9999979
WDR82,WDR82,0.9999979
FUT9,FUT9,0.99999785
NDP,NDP,0.99999785
JAGN1,JAGN1,0.9999978
MACIR,MACIR,0.9999978
EIF4EBP2,EIF4EBP2,0.99999774
CTXN2,CTXN2,0.9999977
NUTF2,NUTF2,0.9999976
TBPL1,TBPL1,0.9999974
LRRC8A,LRRC8A,0.99999714
GRIN2B,GRIN2B,0.99999326
PCDH10,PCDH10,0.99999225
RTF1,RTF1,0.9999907
GPR180,GPR180,0.9999851
NFYA,NFYA,0.9999828
CHD4,CHD4,0.99997985
PELI1,PELI1,0.9999795
TFAP2D,TFAP2D,0.9999777
JPH1,JPH1,0.9999741
TGFB2,TGFB2,0.9999735
B3GALT2,B3GALT2,0.99996805
MTA2,MTA2,0.9999662
INO80D,INO80D,0.9999654
PITPNB,PITPNB,0.9999653
FLRT3,FLRT3,0.9999651
PROKR2,PROKR2,0.9999644
TOX4,TOX4,0.9999644
SPRY2,SPRY2,0.99996024
CSK,CSK,0.9999586
VANGL2,VANGL2,0.99995756
EIF3A,EIF3A,0.99995726
PLAG1,PLAG1,0.9999561
CNEP1R1,CNEP1R1,0.9999554
FBXL3,FBXL3,0.99995273
IL1RAPL1,IL1RAPL1,0.9999527
ZNF652,ZNF652,0.9999527
INHBB,INHBB,0.9999519
HSF2,HSF2,0.9999498
KCNK12,KCNK12,0.9999496
INTS13,INTS13,0.99994785
HMGB2,HMGB2,0.9999473
COL1A1,COL1A1,0.9999446
WNT10A,WNT10A,0.99994373
ARHGAP35,ARHGAP35,0.9999422
HOXD10,HOXD10,0.999939
ACTR8,ACTR8,0.99993896
BMPR1A,BMPR1A,0.99993855
GJC1,GJC1,0.9999384
SLITRK5,SLITRK5,0.9999377
GATAD2B,GATAD2B,0.99993753
KCNA1,KCNA1,0.9999374
DNAAF10,DNAAF10,0.9999365
GABRA3,GABRA3,0.99993527
ZBTB5,ZBTB5,0.9999352
ZNF639,ZNF639,0.9999316
CARMIL3,CARMIL3,0.9999311
CDH6,CDH6,0.99993104
CDK5R1,CDK5R1,0.99993056
LRRTM1,LRRTM1,0.9999305
ZNF609,ZNF609,0.99993014
LHX2,LHX2,0.9999295
ZIC1,ZIC1,0.99992746
TBX5,TBX5,0.9999274
PJVK,PJVK,0.99992687
PITX3,PITX3,0.9999263
CAMSAP2,CAMSAP2,0.9999251
SYT1,SYT1,0.99992436
DPYSL5,DPYSL5,0.99992424
ANGPT1,ANGPT1,0.99992305
SLITRK4,SLITRK4,0.99992305
TGFB1,TGFB1,0.9999229
DLGAP3,DLGAP3,0.99992245
LHX5,LHX5,0.9999223
PCDH7,PCDH7,0.9999221
KLHL1,KLHL1,0.999921
PACSIN3,PACSIN3,0.99992055
FBXW11,FBXW11,0.99992037
CXCR3,CXCR3,0.9999198
SMG8,SMG8,0.9999196
TGFB3,TGFB3,0.99991804
PCGF2,PCGF2,0.9999152
MAPRE1,MAPRE1,0.999915
CLVS1,CLVS1,0.9999139
SPC25,SPC25,0.9999138
TAF2,TAF2,0.9999125
CLIP3,CLIP3,0.999912
EXOSC9,EXOSC9,0.9999115
IGFBP5,IGFBP5,0.9999115
NEUROD2,NEUROD2,0.9999113
PI15,PI15,0.9999101
GRM7,GRM7,0.9999097
LINGO2,LINGO2,0.9999091
DNAJC13,DNAJC13,0.999908
MED18,MED18,0.99990785
BCL9,BCL9,0.999907
SRPRA,SRPRA,0.99990565
HERC3,HERC3,0.9999052
ATG2B,ATG2B,0.99990284
SOCS5,SOCS5,0.99990195
TAB2,TAB2,0.9999016
ZHX1,ZHX1,0.9999005
ELAVL4,ELAVL4,0.99990034
SPON1,SPON1,0.999899
PLPPR4,PLPPR4,0.9998989
HOXC9,HOXC9,0.9998988
SOX13,SOX13,0.9998986
BARHL1,BARHL1,0.9998984
MB21D2,MB21D2,0.99989724
VPS36,VPS36,0.9998967
POU3F4,POU3F4,0.99989665
TRIM32,TRIM32,0.9998955
CIC,CIC,0.9998931
PCDH9,PCDH9,0.99989265
GPR171,GPR171,0.9998924
CLDN10,CLDN10,0.99989045
LRRC3B,LRRC3B,0.9998899
MSTN,MSTN,0.9998893
BCORL1,BCORL1,0.99988914
CNOT6,CNOT6,0.999888
WNT1,WNT1,0.9998864
GKAP1,GKAP1,0.9998863
PAQR8,PAQR8,0.9998849
TIPARP,TIPARP,0.99988115
TERF2IP,TERF2IP,0.9998792
SRPX2,SRPX2,0.99987894
ZBTB12,ZBTB12,0.99987894
FGF4,FGF4,0.99987787
SNX30,SNX30,0.9998771
ZNF462,ZNF462,0.9998739
TMOD4,TMOD4,0.9998728
KCNB1,KCNB1,0.9998723
PCDH19,PCDH19,0.99987084
ABCG4,ABCG4,0.99987066
RLF,RLF,0.9998698
LMBRD2,LMBRD2,0.9998696
ZBTB14,ZBTB14,0.99986655
ANAPC2,ANAPC2,0.9998661
PLS1,PLS1,0.99986583
CKAP5,CKAP5,0.99986535
RNF182,RNF182,0.99986535
MCRS1,MCRS1,0.9998642
KCNH3,KCNH3,0.999864
ISL2,ISL2,0.9998616
B4GAT1,B4GAT1,0.99986094
G6PC3,G6PC3,0.9998609
TACR1,TACR1,0.9998607
GATA2,GATA2,0.99986047
VEZF1,VEZF1,0.99985933
RASD1,RASD1,0.99985874
TMEM168,TMEM168,0.9998585
TOX,TOX,0.9998582
AP2M1,AP2M1,0.9998568
KRTCAP2,KRTCAP2,0.99985665
CCDC6,CCDC6,0.9998566
COPB1,COPB1,0.9998533
ZNF513,ZNF513,0.9998522
ETS2,ETS2,0.9998518
THBS1,THBS1,0.99985164
BSX,BSX,0.999851
MSMP,MSMP,0.99985033
BEND4,BEND4,0.9998502
NFATC2,NFATC2,0.9998486
UBR2,UBR2,0.99984694
FGF16,FGF16,0.99984664
EXOC8,EXOC8,0.9998464
KLHL17,KLHL17,0.99984586
ADAMTS10,ADAMTS10,0.99984574
TRIM26,TRIM26,0.99984556
GRM1,GRM1,0.99984527
ZBTB43,ZBTB43,0.9998451
ZC3H12B,ZC3H12B,0.99984443
CCAR1,CCAR1,0.99984413
SF3A1,SF3A1,0.9998433
KLHL42,KLHL42,0.99984324
CDC20,CDC20,0.9998425
IRF6,IRF6,0.9998424
TCF21,TCF21,0.9998419
FAM81A,FAM81A,0.9998412
N4BP1,N4BP1,0.999841
MMGT1,MMGT1,0.99984086
EGR1,EGR1,0.9998407
FZD3,FZD3,0.99984
DCP2,DCP2,0.99983984
TMEM121,TMEM121,0.9998387
KCNG1,KCNG1,0.99983853
WDR7,WDR7,0.9998377
SLC16A2,SLC16A2,0.99983585
COL5A1,COL5A1,0.99983567
GPS2,GPS2,0.9998356
ETV5,ETV5,0.99983543
ANGPTL2,ANGPTL2,0.99983484
KIF3A,KIF3A,0.9998343
KCNK2,KCNK2,0.9998337
KCNV1,KCNV1,0.9998327
DOLK,DOLK,0.9998321
KHDRBS2,KHDRBS2,0.9998316
PEA15,PEA15,0.999831
ODF1,ODF1,0.99983066
BIRC6,BIRC6,0.99983054
SLC32A1,SLC32A1,0.99983
SLC9A7,SLC9A7,0.999829
KIAA1958,KIAA1958,0.99982744
DCAF12L2,DCAF12L2,0.999826
SPRED2,SPRED2,0.9998256
RP2,RP2,0.99982476
CCR7,CCR7,0.99982464
APCDD1,APCDD1,0.9998244
SMARCAD1,SMARCAD1,0.9998237
POU4F2,POU4F2,0.9998233
BEND3,BEND3,0.99982256
INHBA,INHBA,0.99982196
KDM1A,KDM1A,0.99982166
TOP2A,TOP2A,0.999821
SLC35F3,SLC35F3,0.99982065
CMAS,CMAS,0.9998206
CDH7,CDH7,0.99982023
HMG20A,HMG20A,0.99982023
SLC9A1,SLC9A1,0.9998199
SLC6A17,SLC6A17,0.99981946
PSD,PSD,0.99981934
MYO6,MYO6,0.999819
POPDC3,POPDC3,0.99981785
NDST3,NDST3,0.9998177
CITED2,CITED2,0.9998169
KCNJ6,KCNJ6,0.99981636
SND1,SND1,0.9998152
UBQLN2,UBQLN2,0.9998123
SUV39H1,SUV39H1,0.9998117
TMEM101,TMEM101,0.9998091
MPLKIP,MPLKIP,0.9998084
MAS1,MAS1,0.99980795
DHRS3,DHRS3,0.99980617
EFNB3,EFNB3,0.99980605
CTNND1,CTNND1,0.9998051
ATG14,ATG14,0.999805
GPR137C,GPR137C,0.9998043
ZFHX4,ZFHX4,0.99980325
GRPEL1,GRPEL1,0.9998016
PKP1,PKP1,0.99980044
TNPO1,TNPO1,0.9997979
MED13,MED13,0.9997971
BPGM,BPGM,0.99979645
UST,UST,0.99979603
TXLNA,TXLNA,0.9997956
ATP5F1B,ATP5F1B,0.999795
ELFN1,ELFN1,0.99979484
JAK1,JAK1,0.9997946
ZNF532,ZNF532,0.99979377
RAX2,RAX2,0.99979264
H2BC21,H2BC4,0.9997923
SGMS2,SGMS2,0.9997917
