A	B	source
SORT1	sort1	only_in_union
SLC5A8	slc5a8.1	only_in_union
ahr1a	ahr	only_in_union
HES3	hes3	only_in_union
MTCL2	soga1	only_in_union
NF1	nf1	only_in_union
DHRS7	dhrs7	only_in_union
TRHR	trhr	only_in_union
USP9Y	usp9x	only_in_union
QTRT1	qtrt1	only_in_union
SPOP	spop	only_in_union
IMMP1L	immp1l	only_in_union
FNDC10	fndc10	only_in_union
CNOT10	cnot10	only_in_union
ENKUR	enkur	only_in_union
b3galt10.1	b3galt5.3	only_in_union
UVRAG	uvrag	only_in_union
CEP290	cep290	only_in_union
rhobtb3	rhobtb3	only_in_union
CCN4	ccn4	only_in_union
CIT	cit	only_in_union
SLCO4A1	slco4a1	only_in_union
dre-mir-30b	xtr-mir-30b	only_in_union
TNPO2	tnpo2	only_in_union
WDR20	wdr20	only_in_union
ZFPM2	zfpm2	only_in_union
SPTLC1	sptlc1	only_in_union
SLC38A2	slc38a2	only_in_union
fam110a	FAM110A	only_in_union
NRCAM	nrcam	only_in_union
PRRC2C	prrc2c	only_in_union
KLF12	klf12	only_in_union
CAMKK1	camkk1	only_in_union
PIK3R5	pik3r5	only_in_union
MAP1A	map1a	only_in_union
CHDH	CHDH	only_in_union
LHX4	lhx4	only_in_union
EP300	ep300	only_in_union
FLAD1	flad1	only_in_union
TMEM177	tmem177	only_in_union
fip1l1a	fip1l1	only_in_union
ADGRL3	adgrl3	only_in_union
CTDP1	ctdp1	only_in_union
tuba1b	tuba1cl.3	only_in_union
SLC30A2	slc30a3	only_in_union
SYT6	syt6	only_in_union
GTDC1	gtdc1	only_in_union
kdrl	kdrl	only_in_union
agr1	ag1	only_in_union
SPIC	SPIC	only_in_union
LARS2	lars2	only_in_union
CSPG4	cspg4	only_in_union
FBP2	fbp2	only_in_union
CEP350	cep350	only_in_union
POLR2L	polr2l.1	only_in_union
GATA6	gata6	only_in_union
mir92b	xtr-mir-92b	only_in_union
RAB11FIP4	rab11fip4	only_in_union
ID2	id2	only_in_union
cfbl	cfb	only_in_union
st3gal1l	st3gal1	only_in_union
cdc42ep1b	cdc42ep1	only_in_union
UBE2H	ube2h	only_in_union
SGCE	sgce	only_in_union
lrrc52	lrrc52	only_in_union
pnmt	pnmt	only_in_union
