Gene name	Tropical clawed frog gene name	Tropical clawed frog homology type	%id. target Tropical clawed frog gene identical to query gene	%id. query gene identical to target Tropical clawed frog gene	Tropical clawed frog Gene-order conservation score	Tropical clawed frog orthology confidence [0 low, 1 high]
mt-Tf						
mt-Rnr1						
mt-Tv						
mt-Rnr2						
mt-Tl1						
mt-Nd1	nd1	ortholog_one2one	67.9245	67.0807	50	1
mt-Ti						
mt-Tq						
mt-Tm						
mt-Nd2	nd2	ortholog_one2one	48.1159	48.1159	75	1
mt-Tw						
mt-Ta						
mt-Tn						
mt-Tc						
mt-Ty						
mt-Co1	COX1	ortholog_one2one	89.1051	88.417	100	1
mt-Ts1						
mt-Td						
mt-Co2	cox2	ortholog_one2one	76.2115	75.5459	100	1
mt-Tk						
mt-Atp8						
mt-Atp6	ATP6	ortholog_one2one	53.0973	52.8634	100	1
mt-Co3	cox3	ortholog_one2one	78.9272	78.9272	100	1
mt-Tg						
mt-Nd3	nd3	ortholog_one2one	60	60.5263	100	1
mt-Tr						
mt-Nd4l						
mt-Nd4	nd4	ortholog_one2one	62.963	62.963	100	1
mt-Th						
mt-Ts2						
mt-Tl2						
mt-Nd5	nd5	ortholog_one2one	59.4728	59.6694	100	1
mt-Nd6	nd6	ortholog_one2one	32.5581	32.5581	75	1
mt-Te						
mt-Cytb	cytb	ortholog_one2one	76.9029	77.1053	50	1
mt-Tt						
mt-Tp						
						
						
						
						
Vmn1r186						
						
						
						
						
						
	pisd	ortholog_one2many	70.5479	24.9395	0	0
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
Gm16367						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
Csprs						
		ortholog_one2many	23	26.3761	0	0
		ortholog_one2many	13.8	26.6409	0	0
		ortholog_one2many	22.8	27.4038	0	0
		ortholog_one2many	24.4	25.523	0	0
		ortholog_one2many	20.4	24.0566	0	0
		ortholog_one2many	19.6	26.9972	0	0
		ortholog_one2many	15.8	27.5261	0	0
		ortholog_one2many	15	30.9917	0	0
		ortholog_one2many	21.4	23.2609	0	0
		ortholog_one2many	15.4	27.4021	0	0
		ortholog_one2many	15.6	30.9524	0	0
		ortholog_one2many	12.4	24.6032	0	0
		ortholog_one2many	23.2	26.0674	0	0
		ortholog_one2many	16.4	25.387	0	0
		ortholog_one2many	18.2	25.419	0	0
		ortholog_one2many	18.8	24.5431	0	0
		ortholog_one2many	22.8	25.6757	0	0
		ortholog_one2many	18.4	23.7113	0	0
		ortholog_one2many	23.6	25.9912	0	0
		ortholog_one2many	19.6	23.7864	0	0
		ortholog_one2many	23	26.3761	0	0
						
						
Gm28489						
Gm21867						
Gm29448						
Gm20816	spin1	ortholog_one2many	53.7445	46.5649	0	0
Gm29447						
Gm29446						
Gm29452						
Gm29451						
Gm20817	sycp3	ortholog_one2many	22.0721	19.0661	0	0
Gm28633						
Gm21562						
Gm29410						
Gm28298						
Gm21572						
Gm28297						
Gm21753						
Gm21723						
Gm28462						
Gm28296						
Gm21821						
Gm28295						
Gm29134						
Gm28303						
Gm28304						
Gm28824						
Gm21810						
Gm21916						
Gm29191						
Gm28210						
Gm29074						
Gm28211						
Gm28518						
Gm28519						
Gm28520						
Gm21626						
Gm28433						
Gm28521						
Gm28431						
Gm21633						
Gm28432						
Gm28522						
Gm21745						
Gm28517						
Gm29532						
Gm29531						
Gm28464						
Gm28841						
Gm29656						
Gm28842						
Gm29655						
Gm28837						
Gm21647						
Gm29653						
Gm28838						
Gm29654						
Gm28839						
Gm29651						
Gm29652						
Gm29080						
Gm21841						
Gm29081						
Gm29077						
Gm29076						
Gm29079						
Gm29078						
Gm20870	sycp3	ortholog_one2many	22.0721	19.0661	0	0
Gm29225						
Gm28483						
Gm29226						
Gm28484						
Gm29227						
Gm29386						
Gm29384						
Gm21896						
Gm29280						
Gm29279						
Gm29182						
Gm28260						
Gm28261						
Gm28264						
Gm28463						
Gm21757						
Gm28968						
Gm28495						
Gm28468						
Gm29255						
Gm28332						
Gm28678						
Gm28333						
Gm28334						
Gm28335						
Gm20903	sycp3	ortholog_one2many	22.0721	19.0661	0	0
Gm28336						
Gm28272						
Gm28337						
Gm29256						
Gm28259						
Gm28338						
Gm28273						
Gm29028						
Gm29029						
Gm29615						
Gm29030						
Gm29023						
Gm29025						
Gm29026						
Gm28213						
Gm28212						
Gm28227						
Gm20905	sycp3	ortholog_one2many	22.0721	19.0661	0	0
Gm29411						
Gm28222						
Gm28820						
Gm28223						
Gm29412						
Gm29671						
Gm21878						
Gm28162						
Gm28789						
Gm20738	spin1	ortholog_one2many	53.7445	46.5649	0	0
Gm20814	sycp3	ortholog_one2many	22.0721	19.0661	0	0
Gm28787						
Gm28788						
Gm28545						
Gm28547						
Gm29278						
