A	B	source
SNORD73	SNORD73	only_in_union
GJA5	CXNI	only_in_union
RPSA	RPSA	only_in_union
P3H4	LEPREL4	only_in_union
ADGRB3	BAI3	only_in_union
KDELR1	KDELR1	only_in_union
MAPK12	MAPK12	only_in_union
VASP	VASP	only_in_union
CYP4F8	CYP4F2	only_in_union
SMAGP	SMAGP	only_in_union
DNAJC3	DNAJC3	only_in_union
SNORD121B	SNORD121B	only_in_union
MKNK2	MKNK2	only_in_union
mml-mir-589	cja-mir-589	only_in_union
FBXL22	FBXL22	only_in_union
MRPS9	MRPS9	only_in_union
MIR15A	MIR15A	only_in_union
SNORD24	SNORD24	only_in_union
mml-mir-23a	MIR23A	only_in_union
AMDHD1	AMDHD1	only_in_union
SNORD98	SNORD98	only_in_union
ARK2C	ARK2C	only_in_union
GABRR2	GABRR2	only_in_union
CAVIN1	PTRF	only_in_union
MMEL1	MMEL1	only_in_union
ENKD1	ENKD1	only_in_union
ACKR1	DARC	only_in_union
HINT1	HINT1	only_in_union
PADI4	PADI4	only_in_union
CFAP206	CFAP206	only_in_union
SLC2A1	SLC2A1	only_in_union
PITPNC1	PITPNC1	only_in_union
CDC14B	CDC14B	only_in_union
SPG21	SPG21	only_in_union
JPT2	HN1L	only_in_union
MTERF2	MTERFD3	only_in_union
TRIR	C19orf43	only_in_union
ZNF699	ZNF699	only_in_union
MIR197	cja-mir-197	only_in_union
HNRNPH1	HNRNPH1	only_in_union
ELP1	ELP1	only_in_union
KLHL10	KLHL10	only_in_union
SLC2A3	SLC2A3	only_in_union
POU3F2	POU3F2	only_in_union
PKIB	PKIB	only_in_union
GP6	GP6	only_in_union
MFSD10	MFSD10	only_in_union
AQP7	AQP7	only_in_union
mml-mir-497	cja-mir-497	only_in_union
NSG2	NSG2	only_in_union
SRSF10	SRSF10	only_in_union
DDOST	KIF17	only_in_union
EFCAB11	EFCAB11	only_in_union
NUDCD2	NUDCD2	only_in_union
KCTD10	KCTD10	only_in_union
COX20	COX20	only_in_union
GRB7	GRB7	only_in_union
TIMM29	C19orf52	only_in_union
Vault	Vault	only_in_union
YPEL3	YPEL3	only_in_union
PABPC1	PABPC1	only_in_union
SNORD13	SNORD13	only_in_union
LSM6	LSM6	only_in_union
FDPS	FDPS	only_in_union
mml-mir-29b-1	cja-mir-29b-2	only_in_union
